Town,Latitude,Longitude
Getxo,43.362055748944286,-3.0227822073211765
Barakaldo,43.298378997955,-2.987132999827669
Basauri,43.24113129588412,-2.883761022803524
Erandio,43.3026526345891,-2.977239986375249
Bilbao,43.26750551179745,-2.935188110338201
Muskiz,43.32071311956527,-3.11271627237832
Santurtzi,43.33301199742545,-3.042560000349237
