Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);SO2 (µg/m3)
28/08/2017;0,21;0,23;7;24;34;;4
27/08/2017;0,36;0,35;5;24;32;;5
26/08/2017;0,25;0,23;3;14;18;;2
25/08/2017;0,23;0,24;4;13;19;;3
24/08/2017;0,22;0,22;2;10;13;18;2
23/08/2017;0,25;0,25;5;16;23;26;3
22/08/2017;0,25;0,27;8;31;43;43;7
21/08/2017;0,25;0,24;11;35;51;22;7
20/08/2017;0,19;0,19;4;16;22;13;4
19/08/2017;0,21;0,21;2;10;13;10;2
18/08/2017;0,27;0,27;8;22;34;17;4
17/08/2017;0,22;0,22;9;21;35;15;9
16/08/2017;0,24;0,23;7;16;26;12;6
15/08/2017;0,25;0,3;3;11;15;9;2
14/08/2017;0,34;0,29;7;20;29;25;4
13/08/2017;0,2;0,2;3;14;18;12;4
12/08/2017;0,18;0,17;5;15;22;14;5
11/08/2017;0,19;;5;16;24;18;4
10/08/2017;;;2;13;17;16;5
09/08/2017;0,17;0,16;2;11;14;13;4
08/08/2017;0,15;0,15;3;14;18;7;4
07/08/2017;0,19;0,18;6;17;25;26;3
06/08/2017;0,13;0,14;2;6;9;13;2
05/08/2017;0,19;;2;10;13;;2
04/08/2017;0,22;0,21;5;14;21;27;3
03/08/2017;0,24;0,25;8;18;30;24;4
02/08/2017;0,24;0,23;9;20;34;24;5
01/08/2017;0,22;0,22;7;16;27;16;3
31/07/2017;0,21;0,2;3;16;19;;3
30/07/2017;0,23;0,24;4;16;22;;3
29/07/2017;0,21;0,2;5;18;24;;7
28/07/2017;0,25;0,24;3;15;20;12;3
27/07/2017;0,26;0,26;14;22;42;31;6
26/07/2017;0,19;0,18;8;18;30;;6
25/07/2017;0,13;0,12;2;11;14;;4
24/07/2017;0,13;0,14;3;10;14;11;3
23/07/2017;0,14;0,14;3;9;13;21;5
22/07/2017;0,2;0,21;8;15;27;16;7
21/07/2017;0,22;0,24;11;22;38;22;5
20/07/2017;0,22;0,18;4;18;24;14;3
19/07/2017;0,22;0,22;4;20;25;28;4
18/07/2017;0,31;0,32;3;19;23;35;3
17/07/2017;0,35;0,33;12;34;52;42;5
16/07/2017;0,23;0,24;3;18;22;19;4
15/07/2017;0,18;0,16;2;10;12;15;2
14/07/2017;0,15;0,14;2;10;13;9;2
13/07/2017;0,28;0,29;4;13;19;8;2
12/07/2017;0,23;0,22;15;22;44;19;7
11/07/2017;0,23;0,23;11;19;35;19;5
10/07/2017;0,17;0,17;5;15;23;9;3
09/07/2017;0,2;0,21;2;11;14;20;3
08/07/2017;0,19;;2;12;14;20;2
07/07/2017;0,23;0,24;;;;28;4
06/07/2017;0,28;0,28;;;;37;4
05/07/2017;0,26;0,26;;;;38;4
04/07/2017;0,27;0,27;13;31;50;36;4
03/07/2017;0,25;0,24;10;15;30;19;6
02/07/2017;0,18;0,18;4;15;21;14;6
01/07/2017;0,13;0,13;2;10;14;17;5
30/06/2017;0,15;0,15;3;12;16;;4
29/06/2017;0,13;0,13;3;10;14;12;6
28/06/2017;0,16;0,17;5;12;19;;5
27/06/2017;0,44;0,48;12;21;38;27;3
26/06/2017;0,31;0,29;7;18;28;22;2
25/06/2017;0,33;0,3;4;13;20;27;2
24/06/2017;0,26;0,27;3;13;17;20;2
23/06/2017;0,31;0,3;4;18;23;44;2
22/06/2017;0,25;0,26;3;15;19;33;2
21/06/2017;0,32;0,32;4;33;39;49;6
20/06/2017;0,35;0,33;7;42;52;35;8
19/06/2017;0,28;0,3;4;25;31;28;5
18/06/2017;0,32;0,31;4;30;36;41;8
17/06/2017;0,27;0,26;5;19;26;36;5
16/06/2017;0,21;0,2;4;15;21;26;3
15/06/2017;0,25;0,25;3;16;19;23;3
14/06/2017;0,29;0,3;4;18;23;40;3
13/06/2017;0,27;0,25;9;22;36;31;4
12/06/2017;0,2;0,2;3;12;16;17;3
11/06/2017;0,2;0,2;3;12;16;33;5
10/06/2017;0,22;0,22;5;16;23;34;4
09/06/2017;0,24;0,25;7;19;29;25;6
08/06/2017;0,28;0,26;8;29;40;36;10
07/06/2017;0,22;0,21;7;25;36;31;5
06/06/2017;0,19;0,2;3;12;15;22;5
05/06/2017;0,17;0,16;5;20;28;16;5
