Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);SO2 (µg/m3)
31/12/2017;1;6;8;9;4
30/12/2017;9;23;36;8;3
29/12/2017;10;36;51;15;3
28/12/2017;5;34;41;16;3
27/12/2017;2;18;20;14;3
26/12/2017;10;24;39;8;4
25/12/2017;8;16;29;12;4
24/12/2017;19;26;55;16;3
23/12/2017;11;35;52;12;3
22/12/2017;54;46;127;35;4
21/12/2017;44;43;110;30;4
20/12/2017;30;40;86;27;4
19/12/2017;40;37;97;25;4
18/12/2017;31;39;86;18;4
17/12/2017;11;38;54;12;3
16/12/2017;6;45;54;13;3
15/12/2017;4;32;37;14;4
14/12/2017;19;36;65;17;4
13/12/2017;3;20;24;12;4
12/12/2017;15;42;65;14;4
11/12/2017;7;27;38;11;4
10/12/2017;1;13;15;11;4
09/12/2017;4;31;37;14;4
08/12/2017;5;34;41;14;4
07/12/2017;5;37;45;16;6
06/12/2017;25;31;70;33;5
05/12/2017;40;38;99;37;5
04/12/2017;50;49;126;29;4
03/12/2017;18;38;65;21;4
02/12/2017;3;22;26;8;4
01/12/2017;6;36;45;12;4
30/11/2017;10;40;55;9;4
29/11/2017;13;48;68;14;4
28/11/2017;37;37;93;25;6
27/11/2017;49;36;111;28;5
26/11/2017;9;30;44;21;4
25/11/2017;3;27;31;13;3
24/11/2017;9;33;46;23;5
23/11/2017;1;11;12;21;5
22/11/2017;5;34;41;30;7
21/11/2017;64;44;141;39;5
20/11/2017
19/11/2017
18/11/2017;29;32;77;36;4
17/11/2017;65;44;143;47;5
16/11/2017;77;45;163;43;5
15/11/2017;55;40;124;41;5
14/11/2017;30;34;81;29;4
13/11/2017;2;17;20;14;3
12/11/2017;9;22;35;14;3
11/11/2017;11;36;52;14;3
10/11/2017;29;41;85;18;3
09/11/2017;32;48;96;22;3
08/11/2017;7;45;56;16;3
07/11/2017;11;31;47;17;3
06/11/2017;16;34;57;22;3
05/11/2017;2;16;18;11;3
04/11/2017;16;35;60;27;4
03/11/2017;24;41;77;42;4
02/11/2017;9;36;50;30;4
01/11/2017;4;26;31;25;4
31/10/2017;22;33;66;33;4
30/10/2017;6;30;39;13;3
29/10/2017;7;30;40;29;3
28/10/2017;5;22;30;19;3
27/10/2017;32;28;77;33;4
26/10/2017;32;48;97;38;4
25/10/2017;54;57;139;48;6
24/10/2017;32;49;98;29;6
23/10/2017;20;37;67;26;3
22/10/2017;2;18;21;14;3
21/10/2017;2;14;16;23;3
20/10/2017;17;35;62;23;3
19/10/2017;8;30;43;14;3
18/10/2017;22;45;79;44;3
17/10/2017;8;30;42;58;3
16/10/2017;4;24;30;42;3
15/10/2017;2;20;22;38;3
14/10/2017;3;27;32;41;3
13/10/2017;21;38;70;48;3
12/10/2017;10;36;52;32;3
11/10/2017;19;38;66;30;4
10/10/2017;26;40;80;31;3
09/10/2017
08/10/2017
07/10/2017;7;28;38;22;3
06/10/2017;4;26;32;14;2
05/10/2017;5;27;34;17;2
04/10/2017;15;25;48;25;0
03/10/2017;24;21;57;18;0
02/10/2017;26;37;77;27;0
01/10/2017;15;28;50;21;0
30/09/2017;2;20;22;10;0
29/09/2017;24;34;70;47;1
28/09/2017;16;46;70;32;1
27/09/2017;14;36;57;23;1
26/09/2017;14;30;51;26;1
25/09/2017;11;35;52;30;0
24/09/2017;7;26;36;28;0
23/09/2017;5;21;28;24;0
22/09/2017;4;32;38;16;0
