Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);SH2 (µg/m3);SO2 (µg/m3)
31/12/2017;1;2;4;75;74;8;1;2
30/12/2017;1;2;4;55;52;5;1;2
29/12/2017;1;4;6;61;63;7;1;2
28/12/2017;1;6;8;66;64;12;1;2
27/12/2017;1;4;5;74;75;12;1;2
26/12/2017;1;2;4;64;64;5;1;2
25/12/2017;1;4;5;60;50;6;1;3
24/12/2017;6;18;26;18;20;8;1;4
23/12/2017;1;9;10;36;38;5;1;2
22/12/2017;5;16;24;27;27;12;1;4
21/12/2017;10;18;32;29;32;14;1;3
20/12/2017;6;12;21;32;;11;2;3
19/12/2017;7;12;22;41;46;9;2;6
18/12/2017;6;6;14;50;47;6;2;2
17/12/2017;6;3;11;49;51;4;2;2
16/12/2017;6;6;15;63;65;10;2;3
15/12/2017;6;4;13;75;76;8;2;2
14/12/2017;6;6;14;66;63;5;2;2
13/12/2017;6;4;13;50;48;6;2;3
12/12/2017;6;4;13;52;57;4;2;2
11/12/2017;7;5;16;71;70;5;2;2
10/12/2017;6;4;13;62;57;5;2;2
09/12/2017;5;3;11;51;53;4;2;2
08/12/2017;5;5;13;56;54;5;2;2
07/12/2017;6;7;16;51;53;6;2;7
06/12/2017;9;12;25;35;33;7;2;6
05/12/2017;10;21;36;21;25;7;2;3
04/12/2017;9;11;24;35;38;6;2;3
03/12/2017;5;11;18;28;27;6;2;3
02/12/2017;2;11;14;57;60;9;2;9
01/12/2017;3;10;16;70;69;7;2;7
30/11/2017;4;6;12;62;;3;1;2
29/11/2017;7;5;17;58;58;3;1;2
28/11/2017;8;9;20;41;36;5;1;3
27/11/2017;19;22;52;15;16;10;1;4
26/11/2017;6;5;15;40;43;5;1;2
25/11/2017;6;4;13;58;60;7;1;2
24/11/2017;6;9;19;60;63;11;1;3
23/11/2017;5;3;11;67;65;17;1;2
22/11/2017;6;8;18;65;66;15;1;2
21/11/2017;9;15;29;42;34;10;1;4
20/11/2017;34;35;86;8;9;20;2;9
19/11/2017;8;15;27;24;25;8;1;3
18/11/2017;8;11;23;28;27;9;1;4
17/11/2017;21;20;52;17;16;18;1;6
16/11/2017;21;25;57;12;9;18;1;7
15/11/2017;16;27;51;16;;13;1;4
14/11/2017;8;14;26;43;48;10;1;4
13/11/2017;7;10;21;74;75;11;1;7
12/11/2017;4;4;10;70;69;5;1;3
11/11/2017;4;4;10;70;71;3;1;2
10/11/2017;6;9;18;63;60;5;1;3
09/11/2017;7;9;19;66;67;7;1;4
08/11/2017;5;7;14;67;67;5;1;3
07/11/2017;6;11;20;47;44;9;1;5
06/11/2017;4;9;14;71;73;13;1;4
05/11/2017;2;4;8;77;75;8;1;6
04/11/2017;3;12;16;48;43;10;1;4
03/11/2017;2;12;15;48;53;10;1;3
02/11/2017;1;6;7;65;65;14;1;2
01/11/2017;1;5;7;64;61;14;1;2
31/10/2017;6;17;26;30;30;13;1;3
30/10/2017;4;11;17;56;58;8;1;8
29/10/2017;6;7;15;48;45;8;1;2
28/10/2017;4;8;14;59;66;10;1;3
27/10/2017;7;13;23;48;40;18;1;4
26/10/2017;7;19;29;49;46;23;1;7
25/10/2017;18;40;67;16;16;27;2;11
24/10/2017;22;37;71;16;17;24;1;8
23/10/2017;5;16;23;37;42;10;1;4
22/10/2017;2;4;8;62;64;9;1;2
21/10/2017;1;4;6;70;71;15;1;2
20/10/2017;2;9;13;51;50;10;1;3
19/10/2017;2;7;10;51;50;6;1;2
18/10/2017;3;9;13;43;41;11;1;2
17/10/2017;1;9;11;59;60;28;1;2
16/10/2017;1;7;9;68;70;29;1;2
15/10/2017;0;3;3;71;69;27;1;2
14/10/2017;1;8;11;61;58;31;2;3
13/10/2017;5;22;30;40;37;39;1;6
12/10/2017;4;16;22;36;40;23;1;4
11/10/2017;2;13;16;56;54;20;1;3
10/10/2017;6;16;25;32;34;15;1;4
09/10/2017;7;18;29;37;39;15;1;5
08/10/2017;3;9;14;46;45;13;1;3
07/10/2017;3;9;13;41;43;12;1;4
06/10/2017;2;11;14;48;54;11;1;3
05/10/2017;3;9;13;49;41;14;1;2
04/10/2017;9;11;25;21;18;18;1;3
03/10/2017;7;12;22;13;;11;1;2
02/10/2017;6;15;23;22;24;14;1;2
01/10/2017;1;5;7;38;40;9;0;2
30/09/2017;2;8;10;54;53;5;1;3
29/09/2017;6;17;26;41;43;22;1;6
28/09/2017;3;18;22;53;55;21;1;6
27/09/2017;2;13;17;51;55;11;1;7
26/09/2017;3;10;16;37;41;10;0;5
25/09/2017;2;7;10;50;55;10;0;2
24/09/2017;3;10;15;62;57;18;0;7
23/09/2017;1;9;11;60;67;15;1;3
22/09/2017;2;10;13;50;51;10;1;3
21/09/2017;6;13;22;44;44;15;1;3
20/09/2017;12;21;38;30;33;13;1;6
19/09/2017;0;6;6;47;;5;1;4
18/09/2017;0;7;7;44;47;6;1;3
17/09/2017;0;1;1;59;58;6;1;3
16/09/2017;0;1;1;57;57;4;1;3
15/09/2017;0;3;3;49;48;6;1;3
14/09/2017;0;3;4;53;53;11;1;3
13/09/2017;0;3;4;39;40;9;1;3
12/09/2017;0;4;4;54;59;8;1;3
11/09/2017;0;4;4;58;56;12;1;3
10/09/2017;0;2;3;62;64;10;1;3
09/09/2017;0;2;2;64;65;7;1;3
08/09/2017;0;4;4;58;55;14;1;4
07/09/2017;0;4;5;46;46;10;1;3
06/09/2017;0;6;6;48;52;9;1;3
05/09/2017;4;11;18;38;37;11;2;5
04/09/2017;1;7;9;36;38;6;1;3
03/09/2017;0;8;8;47;50;9;1;5
02/09/2017;0;4;4;54;57;7;1;4
01/09/2017;0;3;3;58;56;7;1;3
31/08/2017;0;4;4;56;60;6;1;4
30/08/2017;0;6;7;53;56;11;1;3
29/08/2017;2;9;12;57;61;13;1;3
28/08/2017;0;3;4;55;55;12;1;3
27/08/2017;0;4;4;45;42;13;1;3
26/08/2017;1;7;8;42;46;11;1;3
25/08/2017;1;9;10;42;43;9;1;3
24/08/2017;1;6;6;47;48;11;1;3
23/08/2017;1;7;8;44;43;18;1;4
22/08/2017;1;12;13;59;;25;2;4
21/08/2017;5;20;27;53;50;19;2;5
20/08/2017;0;4;5;43;44;10;2;4
19/08/2017;0;4;4;44;47;9;2;3
18/08/2017;0;5;6;47;47;8;2;3
17/08/2017;1;8;9;49;47;10;2;6
16/08/2017;1;7;7;34;35;7;2;4
15/08/2017;0;3;3;43;46;8;2;2
14/08/2017;2;9;11;51;50;17;2;3
13/08/2017;0;5;5;40;42;9;2;4
12/08/2017;2;7;10;46;50;11;2;7
11/08/2017;1;5;7;50;54;11;2;5
10/08/2017;0;5;5;60;62;12;2;2
09/08/2017;0;2;2;68;66;7;2;2
08/08/2017;0;3;3;63;64;7;2;3
07/08/2017;0;3;3;64;65;13;2;4
06/08/2017;0;6;7;60;62;9;2;10
05/08/2017;0;3;3;55;56;5;2;3
04/08/2017;0;5;6;54;54;11;2;4
03/08/2017;1;7;9;52;53;15;2;6
02/08/2017;1;6;7;47;46;15;2;5
01/08/2017;1;7;8;35;34;12;2;3
31/07/2017;0;5;6;33;35;9;2;3
30/07/2017;0;4;5;34;35;11;2;3
