Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3)
31/12/2017;0;5;6;12;5
30/12/2017;8;17;29;10;5
29/12/2017;10;30;45;15;7
28/12/2017;4;26;32;15;5
27/12/2017;1;15;17;14;5
26/12/2017;9;21;36;8;4
25/12/2017;7;15;25;13;9
24/12/2017;19;29;57;17;13
23/12/2017;17;28;53;14;8
22/12/2017;55;48;132;33;20
21/12/2017;66;47;147;29;16
20/12/2017;38;39;97;24;13
19/12/2017;66;45;145;21;12
18/12/2017;27;36;78;16;8
17/12/2017;14;37;58;16;10
16/12/2017;4;33;39;14;7
15/12/2017;2;24;26;14;7
14/12/2017;13;31;50;15;7
13/12/2017;1;17;18;10;5
12/12/2017;9;36;49;11;7
11/12/2017;3;24;28;11;7
10/12/2017;;;8;9;4
09/12/2017;;;25;10;5
08/12/2017;1;24;26;12;8
07/12/2017;6;35;44;13;8
06/12/2017;21;37;68;20;15
05/12/2017;54;43;124;21;13
04/12/2017;57;48;134;25;16
03/12/2017;11;33;49;20;13
02/12/2017;;;21;10;5
01/12/2017;5;26;33;10;7
30/11/2017;5;31;38;11;6
29/11/2017;6;38;47;10;6
28/11/2017;31;32;80;22;13
27/11/2017;62;41;135;23;15
26/11/2017;11;28;44;14;9
25/11/2017;;;25;13;7
24/11/2017;3;19;22;19;9
23/11/2017;0;8;9;21;9
22/11/2017;2;25;28;23;10
21/11/2017;64;49;148;30;17
20/11/2017;83;52;180;31;19
19/11/2017;31;36;83;18;13
18/11/2017;49;30;105;25;17
17/11/2017;73;40;151;37;22
16/11/2017;87;44;177;33;21
15/11/2017;75;44;159;28;17
14/11/2017;45;36;105;19;12
13/11/2017;2;16;20;12;
12/11/2017;4;15;21;12;5
11/11/2017;3;24;29;14;7
10/11/2017;26;26;65;14;8
09/11/2017;30;36;82;18;10
08/11/2017;8;37;48;12;4
07/11/2017;15;28;51;18;10
06/11/2017;13;26;45;13;5
05/11/2017;1;7;7;10;3
04/11/2017;17;29;54;20;10
03/11/2017;28;35;77;22;17
02/11/2017;1;15;16;19;10
01/11/2017;;;17;20;10
31/10/2017;19;31;60;26;13
30/10/2017;9;24;38;19;6
29/10/2017;10;30;44;27;13
28/10/2017;6;22;32;23;11
27/10/2017;36;26;81;34;17
26/10/2017;38;40;97;36;17
25/10/2017;65;50;149;38;21
24/10/2017;29;48;92;27;14
23/10/2017;25;38;76;19;10
22/10/2017;2;16;20;16;7
21/10/2017;1;11;12;22;7
20/10/2017;24;35;71;22;12
19/10/2017;12;34;52;14;8
18/10/2017;10;38;54;27;16
17/10/2017;2;20;22;40;17
16/10/2017;1;14;15;35;12
15/10/2017;0;9;9;29;13
14/10/2017;2;18;20;38;21
13/10/2017;19;27;57;45;23
12/10/2017;10;27;43;28;16
11/10/2017;29;30;74;29;13
10/10/2017;31;35;82;25;14
09/10/2017;29;30;74;22;13
08/10/2017;10;22;37;18;10
07/10/2017;7;21;32;18;8
06/10/2017;4;19;25;17;5
05/10/2017;2;14;17;20;8
04/10/2017;12;14;32;22;10
03/10/2017;15;14;36;17;9
02/10/2017;19;33;61;20;11
01/10/2017;9;26;40;18;9
30/09/2017;2;13;16;10;5
29/09/2017;16;24;48;30;16
28/09/2017;14;33;55;31;16
27/09/2017;20;33;63;23;10
26/09/2017;12;25;43;17;8
25/09/2017;13;24;44;19;9
24/09/2017;3;18;22;25;11
23/09/2017;2;17;19;22;10
22/09/2017;4;20;27;14;6
21/09/2017;24;27;63;23;12
20/09/2017;21;34;66;17;7
19/09/2017;9;23;37;13;5
18/09/2017;10;29;44;12;6
17/09/2017;2;13;16;11;5
16/09/2017;2;19;22;10;3
15/09/2017;12;26;43;15;7
14/09/2017;3;20;25;18;6
13/09/2017;15;20;42;18;8
12/09/2017;5;21;28;14;6
11/09/2017;2;15;18;19;6
10/09/2017;0;13;14;15;5
09/09/2017;0;8;9;12;4
08/09/2017;13;18;38;22;11
07/09/2017;15;21;44;20;7
06/09/2017;2;19;22;15;7
05/09/2017;12;16;33;17;8
04/09/2017;13;18;37;13;6
03/09/2017;1;15;17;20;8
02/09/2017;2;13;16;18;6
01/09/2017;8;17;28;21;7
31/08/2017;4;20;25;18;6
30/08/2017;3;16;21;25;9
29/08/2017;6;20;29;23;9
28/08/2017;5;23;30;26;10
27/08/2017;4;15;21;24;8
26/08/2017;1;10;13;19;8
25/08/2017;3;8;12;18;5
24/08/2017;0;6;7;20;8
23/08/2017;2;11;14;26;7
22/08/2017;5;16;24;36;13
21/08/2017;4;23;30;21;9
20/08/2017;3;12;16;15;5
