Date;Benceno (µg/m3);CO (mg/m3);CO 8h (mg/m3);Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
25/01/2017;0,09;0,37;0,39;0,26;37;54;111;1,18;26;10;2,3
24/01/2017;0,13;0,49;0,52;0,38;50;57;133;1,69;29;7;2,84
23/01/2017;0,34;0,5;0,48;0,19;40;45;106;0,95;24;3;2,11
22/01/2017;0,34;0,48;0,53;0,17;23;45;80;0,78;25;8;1,54
21/01/2017;0,11;0,56;0,52;0,34;48;50;124;1,4;29;13;2,73
20/01/2017;0,07;0,43;0,41;0,36;52;51;131;1,53;32;7;3,1
19/01/2017;0,16;0,34;0,32;0,16;22;41;75;0,8;20;3;1,93
18/01/2017;0,21;0,26;0,24;0,03;8;30;43;0,25;14;1;0,7
17/01/2017;0,08;0,14;0,16;0;5;15;23;0,14;7;1;0,34
16/01/2017;0,02;0,22;0,21;0,07;2;15;19;0,31;10;2;0,29
15/01/2017;0,08;0,24;0,24;0;1;15;18;0,09;10;2;0,24
14/01/2017;0,09;0,23;0,22;0,03;5;34;42;0,28;9;3;0,51
13/01/2017;0,05;0,15;0,16;0,04;3;25;29;0,34;14;3;0,58
12/01/2017;0,24;0,3;0,3;0,32;34;42;93;1,34;21;4;2,81
11/01/2017;0,02;0,24;0,23;0,09;4;28;34;0,43;6;2;0,46
10/01/2017;0,1;0,28;0,32;0,07;10;33;49;0,5;15;5;0,83
09/01/2017;0,59;0,44;0,44;0,39;63;62;158;1,81;26;10;3,12
08/01/2017;0,53;0,43;0,45;0,15;32;55;105;0,68;25;16;1,33
07/01/2017;0,69;0,48;0,46;0,18;53;58;138;0,88;31;19;1,69
06/01/2017;0,53;0,38;0,38;0,17;36;44;99;0,8;27;16;1,58
05/01/2017;0,65;0,39;0,42;0,32;44;54;121;1,44;25;12;3,37
04/01/2017;0,99;0,54;0,52;0,56;84;50;178;2,45;39;17;5,09
03/01/2017;0,67;0,47;0,45;0,67;61;51;144;2,59;31;13;3,26
02/01/2017;0,22;0,3;0,29;0,13;25;42;79;0,62;15;8;1,2
01/01/2017;0,26;0,28;0,27;0,07;20;39;69;0,47;23;9;0,98
