Date;Benceno (µg/m3);CO (mg/m3);CO 8h (mg/m3);Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
13/10/2017;0,31;0,44;0,45;0,36;34;39;90;1,56;43;8;2,78
12/10/2017;0,33;0,34;0,35;0,31;18;39;66;1,33;29;5;2,27
11/10/2017;0,39;0,39;0,37;0,32;28;41;84;1,42;28;5;2,59
10/10/2017;0,27;0,28;0,29;0,39;36;41;95;1,64;28;8;3,4
09/10/2017;0,32;0,28;0,27;0,39;27;41;82;1,66;25;6;2,6
08/10/2017;0,41;0,24;0,23;0,15;14;32;53;0,7;21;7;1,22
07/10/2017;0,24;0,21;0,2;0,12;11;30;46;0,59;19;4;1,1
06/10/2017;0,17;0,17;0,17;0,03;5;24;31;0,29;16;2;0,7
05/10/2017;0,16;0,23;0,23;0,12;7;25;35;0,63;16;3;1,53
04/10/2017;0,19;0,22;0,22;0,26;18;23;50;1,06;23;3;2
03/10/2017;0,18;0,28;0,3;0,21;31;21;68;0,95;17;3;2,12
02/10/2017;;0,35;0,37;;26;37;76;;43;2;
01/10/2017;;0,32;0,31;;27;33;74;;21;6;
30/09/2017;;0,24;0,23;;4;20;26;;9;2;
29/09/2017;;0,4;0,48;;23;30;65;;39;5;
28/09/2017;0,19;0,4;0,31;0,4;25;53;90;1,53;30;6;2,36
27/09/2017;0,23;0,25;0,25;0,33;22;43;76;1,29;22;5;2,41
26/09/2017;0,19;0,27;0,26;0,17;21;34;66;0,81;18;5;1,39
25/09/2017;0,18;0,22;0,22;0,12;15;28;51;0,61;17;3;1,36
24/09/2017;0,22;0,28;0,31;0,11;10;26;40;0,53;25;6;0,92
23/09/2017;0,26;0,27;0,25;0,08;9;28;41;0,52;20;2;1,35
22/09/2017;0,33;0,39;0,41;0,14;7;30;40;0,67;14;2;1,31
21/09/2017;0,32;0,44;0,42;0,4;29;36;79;1,63;25;6;3,02
20/09/2017;0,28;0,28;0,26;0,33;42;43;107;1,35;21;5;2,45
19/09/2017;0,16;0,25;;0,14;24;30;66;0,67;11;3;1,23
18/09/2017;0,19;;;0,1;46;37;108;0,44;10;4;1,14
17/09/2017;0,13;0,19;0,2;0,07;66;26;127;0,18;12;5;0,66
16/09/2017;0,17;0,17;;0,07;21;31;62;0,18;9;3;0,74
15/09/2017;0,15;;;0,22;22;38;72;0,45;22;6;1,71
14/09/2017;0,17;0,21;0,23;0,14;6;27;35;0,66;19;2;1,53
13/09/2017;0,12;0,37;0,37;0,24;21;28;61;0,91;21;6;2,01
