Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);O3 (µg/m3);O3 8h (µg/m3);SO2 (µg/m3)
11/07/2017;4;15;22;14;;;
10/07/2017;2;10;14;10;;;
09/07/2017;2;10;13;20;;;
08/07/2017;1;13;15;20;;;
07/07/2017;3;16;20;19;;;
06/07/2017;5;29;36;28;;;
05/07/2017;2;11;14;27;;;
04/07/2017;3;15;19;23;;;
03/07/2017;4;12;17;15;;;
02/07/2017;2;9;12;13;;;
01/07/2017;1;8;10;13;;;
30/06/2017;1;7;10;9;;;
29/06/2017;1;5;7;11;;;
28/06/2017;2;7;9;11;;;
27/06/2017;5;18;26;17;;;
26/06/2017;3;14;19;16;;;
25/06/2017;2;11;14;15;;;
24/06/2017;2;10;12;20;;;
23/06/2017;2;14;17;27;;;
22/06/2017;2;16;19;31;;;
21/06/2017;2;21;24;31;;;
20/06/2017;3;30;34;24;;;
19/06/2017;1;16;19;21;;;
18/06/2017;2;15;17;20;;;
17/06/2017;2;11;14;22;;;
16/06/2017;2;12;16;24;;;
15/06/2017;2;16;18;16;;;
14/06/2017;4;21;26;30;;;
13/06/2017;5;21;29;26;;;
12/06/2017;2;14;17;14;;;
11/06/2017;2;11;14;30;;;
10/06/2017;3;15;20;21;;;
09/06/2017;3;15;20;18;;;
08/06/2017;3;16;21;20;;;
07/06/2017;3;18;24;19;;;
06/06/2017;2;10;13;13;;;
05/06/2017;3;13;17;11;;;
04/06/2017;2;10;14;8;;;
03/06/2017;2;12;16;13;;;
02/06/2017;3;23;27;18;;;
01/06/2017;4;18;24;15;;;
31/05/2017;4;18;23;15;;;
30/05/2017;2;16;20;10;;;
29/05/2017;2;19;23;15;;;
28/05/2017;3;20;24;24;;;
27/05/2017;4;30;36;23;;;
26/05/2017;3;18;22;18;;;
25/05/2017;2;18;22;21;;;
24/05/2017;4;21;27;19;;;
23/05/2017;3;17;22;19;;;
22/05/2017;3;16;21;27;;;
21/05/2017;2;10;13;9;;;
20/05/2017;2;12;16;9;;;
19/05/2017;3;11;15;9;;;
18/05/2017;2;10;13;8;;;
17/05/2017;4;29;35;18;;;
16/05/2017;4;29;35;18;;;
15/05/2017;2;18;22;12;;;
14/05/2017;2;11;13;9;;;
13/05/2017;2;11;14;8;;;
12/05/2017;1;9;11;6;;;
11/05/2017;1;6;8;3;;;
10/05/2017;3;20;25;20;;;
09/05/2017;3;18;22;15;;;
08/05/2017;4;17;22;10;;;
07/05/2017;1;11;13;10;;;
06/05/2017;1;8;11;9;;;
05/05/2017;2;13;16;15;;;
04/05/2017;3;18;23;15;;;
03/05/2017;3;16;21;14;;;
02/05/2017;5;19;26;13;;;
01/05/2017;1;11;14;10;;;
30/04/2017;1;7;8;7;;;
29/04/2017;1;8;10;7;;;
28/04/2017;2;12;15;9;;;
27/04/2017;2;13;16;7;;;
26/04/2017;2;14;16;6;;;
25/04/2017;2;21;25;13;;;
24/04/2017;4;24;29;16;;;
23/04/2017;2;15;18;15;;;
22/04/2017;1;13;16;15;;;
21/04/2017;2;16;20;14;;;
20/04/2017;3;15;19;11;;;
19/04/2017;2;13;17;11;;;
18/04/2017;2;13;16;13;;;
17/04/2017;2;10;13;14;;;
16/04/2017;1;9;12;9;;;
15/04/2017;1;11;14;13;;;
14/04/2017;2;14;17;17;;;
13/04/2017;3;16;20;14;;;
12/04/2017;3;18;22;18;;;
11/04/2017;3;15;19;21;;;
10/04/2017;4;24;30;35;;;
09/04/2017;3;24;28;23;;;
08/04/2017;3;24;28;19;;;
07/04/2017;4;20;25;18;;;
06/04/2017;4;17;23;16;;;
05/04/2017;2;13;16;12;;;
04/04/2017;3;17;22;12;;;
03/04/2017;3;18;23;12;;;
02/04/2017;2;8;11;12;;;
01/04/2017;2;6;9;8;;;
31/03/2017;4;17;22;16;;;
30/03/2017;3;16;20;11;;;
29/03/2017;3;21;26;11;;;
