Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2017;0,57;0,5;8;3;15;49;49;17;6;2
30/12/2017;0,23;0,24;13;16;36;42;38;19;4;3
29/12/2017;0,36;0,38;6;18;27;43;45;19;5;2
28/12/2017;0,43;0,36;4;14;20;46;;25;6;2
27/12/2017;0,64;0,74;3;5;10;47;43;27;8;2
26/12/2017;0,56;0,52;6;16;25;36;37;13;7;2
25/12/2017;;;7;11;22;39;33;10;15;3
24/12/2017;0,34;0,28;15;21;43;24;30;13;16;3
23/12/2017;0,25;0,29;6;16;26;41;37;8;7;3
22/12/2017;0,57;0,63;42;49;114;4;5;32;23;3
21/12/2017;0,45;0,37;24;35;71;21;24;27;21;3
20/12/2017;0,44;0,46;26;34;73;23;19;25;18;3
19/12/2017;0,32;;25;35;74;26;33;20;13;3
18/12/2017;0,43;0,48;10;21;37;32;23;12;6;3
17/12/2017;0,36;0,31;9;27;41;29;38;15;8;2
16/12/2017;0,19;0,21;3;2;7;67;67;21;5;2
15/12/2017;0,4;0,43;4;6;12;61;59;36;11;2
14/12/2017;0,34;0,3;6;7;15;56;56;30;11;3
13/12/2017;0,23;0,26;5;14;22;39;34;16;6;4
12/12/2017;0,27;0,25;7;25;36;37;45;18;6;4
11/12/2017;0,31;0,33;3;5;11;54;52;13;3;3
10/12/2017;0,3;0,27;4;7;13;48;47;10;3;3
09/12/2017;0,27;0,24;5;19;27;41;46;12;1;3
08/12/2017;0,23;0,25;4;7;13;58;51;14;4;3
07/12/2017;0,23;0,22;6;27;35;34;33;11;9;5
06/12/2017;0,33;0,38;10;32;47;19;17;;13;5
05/12/2017;0,45;0,44;25;39;77;14;15;19;15;4
04/12/2017;0,43;0,44;30;41;87;11;10;16;12;3
03/12/2017;0,52;0,48;12;34;52;12;17;15;13;3
02/12/2017;0,19;0,18;4;9;15;56;59;12;5;3
01/12/2017;0,24;0,24;4;10;16;62;60;12;3;3
30/11/2017;0,27;0,27;7;20;31;43;39;10;4;3
29/11/2017;0,18;0,15;5;19;27;53;57;11;5;3
28/11/2017;0,28;0,37;13;20;40;33;25;16;11;5
27/11/2017;0,45;0,38;26;35;76;14;15;21;11;4
26/11/2017;0,31;0,29;6;24;33;26;31;15;8;3
25/11/2017;0,16;0,15;3;8;13;59;65;13;3;3
24/11/2017;0,16;0,17;3;7;11;63;62;18;6;3
23/11/2017;0,27;0,26;3;6;10;51;50;21;10;3
22/11/2017;0,2;0,2;3;11;16;54;51;18;10;3
21/11/2017;0,31;0,38;15;39;62;18;;18;13;5
20/11/2017;0,39;0,36;27;40;82;12;14;20;17;5
19/11/2017;0,36;0,35;10;27;41;18;21;19;17;4
18/11/2017;0,55;0,59;16;26;51;21;18;24;22;5
17/11/2017;0,61;0,62;35;36;90;15;16;33;22;6
16/11/2017;0,54;0,55;39;41;101;10;;36;10;6
15/11/2017;0,52;0,48;26;36;75;15;17;26;18;5
14/11/2017;0,3;0,25;13;27;47;34;39;17;12;4
13/11/2017;0,13;0,14;3;2;7;73;74;15;4;3
12/11/2017;0,25;0,26;3;5;10;58;56;16;4;3
11/11/2017;0,2;0,2;3;8;13;60;62;16;3;3
10/11/2017;0,27;0,27;5;15;22;51;50;8;5;3
09/11/2017;0,18;0,21;3;5;10;71;;42;3;3
08/11/2017;0,23;0,19;6;22;30;54;59;19;5;3
07/11/2017;0,21;0,21;7;15;25;41;39;13;7;3
06/11/2017;0,14;0,12;3;3;8;69;72;21;4;3
05/11/2017;0,19;0,2;3;3;8;71;70;14;4;3
04/11/2017;0,41;0,45;10;24;39;36;29;19;12;4
03/11/2017;0,28;0,23;7;24;35;38;44;16;12;3
02/11/2017;0,19;0,18;3;13;17;53;54;26;13;3
01/11/2017;0,22;0,23;4;14;20;51;48;16;8;4
31/10/2017;0,33;0,32;11;25;42;24;28;20;9;4
30/10/2017;0,17;0,16;4;7;14;57;62;9;4;3
29/10/2017;0,31;0,33;6;17;26;39;31;25;13;3
28/10/2017;0,19;0,17;3;12;17;53;63;15;12;3
27/10/2017;0,41;0,45;19;26;55;38;26;31;22;4
26/10/2017;0,29;0,33;5;25;34;42;39;27;16;4
25/10/2017;0,57;0,52;33;46;97;16;18;42;21;5
24/10/2017;0,27;0,27;9;32;46;27;25;24;11;4
23/10/2017;0,28;0,26;9;27;42;27;31;20;10;3
22/10/2017;0,21;0,2;4;9;16;56;59;30;7;3
21/10/2017;0,28;0,3;6;9;18;53;49;36;9;3
20/10/2017;0,29;0,28;8;18;31;35;34;20;9;3
19/10/2017;0,29;0,29;7;20;31;32;34;12;8;3
18/10/2017;0,36;0,4;6;17;26;38;38;22;16;3
17/10/2017;0,35;0,3;4;12;19;50;52;36;19;3
16/10/2017;0,26;0,27;46;10;81;56;55;34;13;3
