Date;CO (mg/m3);CO 8h (mg/m3);NH3 (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
24/08/2017;0,27;0,27;3;7;13;23;;6;1
23/08/2017;0,46;0,46;5;15;22;45;24;;2
22/08/2017;0,37;0,45;5;13;29;48;29;;3
21/08/2017;0,4;0,34;3;19;48;76;24;;5
20/08/2017;0,54;0,55;2;10;20;36;13;;1
19/08/2017;0,3;0,26;2;6;16;26;8;;1
18/08/2017;0,49;0,49;3;15;23;46;19;;1
17/08/2017;0,29;0,29;2;17;24;50;14;;4
16/08/2017;0,28;0,27;3;13;18;37;;6;3
15/08/2017;0,45;0,49;2;3;10;15;;5;1
14/08/2017;0,51;0,49;2;11;21;38;25;11;2
13/08/2017;0,23;0,22;1;6;18;26;11;7;4
12/08/2017;0,2;0,23;1;7;17;26;13;7;3
11/08/2017;0,27;0,25;2;14;22;43;15;7;2
10/08/2017;0,17;0,17;1;5;16;24;13;5;3
09/08/2017;0,2;0,19;1;3;14;18;10;3;2
08/08/2017;0,18;0,18;1;4;16;21;7;3;2
07/08/2017;0,26;0,26;1;9;19;33;18;6;2
06/08/2017;0,17;0,16;1;2;8;10;9;4;1
05/08/2017;0,21;0,21;2;3;9;12;;2;1
04/08/2017;0,23;0,24;4;8;16;28;;8;1
03/08/2017;0,24;0,29;3;12;19;37;23;11;2
02/08/2017;0,32;0,29;4;20;25;55;20;8;3
01/08/2017;0,28;0,26;4;20;21;52;14;5;1
31/07/2017;0,22;0,21;2;4;17;22;11;5;1
30/07/2017;0,38;0,41;1;4;16;23;;5;2
29/07/2017;0,27;0,24;1;8;23;34;;11;7
28/07/2017;0,25;0,24;2;7;18;28;;6;1
27/07/2017;0,48;0,51;2;21;22;54;33;19;4
26/07/2017;0,24;0,2;1;11;24;40;21;15;3
25/07/2017;0,13;0,13;1;2;10;12;6;4;2
24/07/2017;0,16;0,17;1;4;9;15;7;3;1
23/07/2017;0,17;0,15;1;2;10;12;16;;3
22/07/2017;0,2;0,23;2;8;16;27;;9;4
21/07/2017;0,39;0,4;3;16;25;50;23;11;2
20/07/2017;0,25;0,2;2;5;21;28;14;6;2
19/07/2017;0,25;0,26;4;8;23;35;;16;2
18/07/2017;0,36;0,38;5;5;21;29;;17;2
17/07/2017;0,51;0,5;4;19;40;69;48;23;4
16/07/2017;0,3;0,36;2;4;19;25;24;15;3
15/07/2017;0,31;0,23;2;4;17;22;11;7;2
14/07/2017;0,17;0,16;3;10;17;31;;5;1
13/07/2017;0,21;0,2;2;6;13;22;;6;1
12/07/2017;0,32;0,33;3;20;24;53;35;15;7
11/07/2017;0,36;0,34;6;30;28;73;26;11;4
10/07/2017;0,17;0,17;2;9;14;28;;6;1
09/07/2017;0,18;0,19;1;2;9;11;;12;1
08/07/2017;0,2;0,19;1;1;9;11;19;11;1
07/07/2017;0,24;0,26;3;9;17;30;29;16;1
06/07/2017;0,39;0,38;4;13;29;49;31;19;2
05/07/2017;0,22;0,23;4;5;18;24;;14;2
04/07/2017;0,55;0,57;5;18;36;64;;19;3
03/07/2017;0,31;0,29;2;20;18;49;18;8;3
02/07/2017;0,15;0,15;1;6;15;23;11;5;5
01/07/2017;0,11;0,11;1;3;10;14;10;4;4
30/06/2017;0,11;;1;4;12;19;8;4;4
29/06/2017;;;2;4;10;16;10;3;4
28/06/2017;0,2;0,22;5;8;13;25;7;5;3
27/06/2017;0,48;0,56;7;20;23;53;19;9;1
26/06/2017;0,34;0,26;4;10;20;36;16;11;1
25/06/2017;0,39;0,4;4;6;14;22;14;9;1
24/06/2017;0,33;0,34;4;5;15;22;19;11;1
23/06/2017;0,34;0,31;5;11;21;38;43;;1
22/06/2017;0,26;0,27;6;5;12;19;26;15;1
21/06/2017;0,41;0,47;6;7;39;49;56;24;4
20/06/2017;0,5;0,44;5;10;45;60;45;19;4
19/06/2017;0,59;0,63;6;6;29;38;;19;2
18/06/2017;0,68;0,68;5;7;31;41;41;21;2
17/06/2017;0,35;0,29;3;8;25;36;37;16;2
16/06/2017;0,2;0,19;3;9;23;36;21;9;1
15/06/2017;0,2;0,2;3;7;16;26;13;7;1
14/06/2017;0,27;0,28;5;8;19;31;33;13;1
13/06/2017;0,32;0,3;4;15;26;49;36;12;2
12/06/2017;0,17;0,17;4;10;16;31;12;4;1
11/06/2017;0,19;0,2;3;2;10;12;26;14;2
10/06/2017;0,21;0,21;4;8;15;27;26;;4
09/06/2017;0,3;0,35;6;18;24;52;24;11;3
08/06/2017;0,41;0,41;5;15;34;56;35;16;3
07/06/2017;0,23;0,18;3;14;32;53;32;11;5
06/06/2017;0,14;0,19;2;4;9;14;15;6;2
05/06/2017;0,2;0,14;2;9;22;36;13;7;4
04/06/2017;0,21;0,21;2;3;17;21;11;6;2
03/06/2017;0,31;0,33;3;4;22;28;;10;1
02/06/2017;0,24;0,23;4;7;21;31;17;12;1
01/06/2017;0,47;0,48;5;17;24;50;25;13;2
31/05/2017;0,27;0,29;3;14;27;48;15;9;1
30/05/2017;0,21;0,18;3;8;17;28;;5;1
29/05/2017;0,18;0,19;4;7;15;26;9;9;1
28/05/2017;0,24;0,24;4;3;15;19;24;17;1
27/05/2017;0,5;0,54;6;9;38;50;27;17;2
26/05/2017;0,32;0,3;5;9;34;46;25;15;3
25/05/2017;0,35;0,36;6;14;49;70;35;18;4
24/05/2017;0,24;0,22;2;11;37;53;25;12;3
23/05/2017;0,18;0,16;2;6;21;29;20;11;4
22/05/2017;0,48;0,54;5;7;18;29;28;14;3
21/05/2017;0,3;0,26;2;5;26;34;11;7;7
20/05/2017;0,18;0,2;1;5;23;30;9;6;4
19/05/2017;0,25;0,22;2;13;24;43;15;6;6
18/05/2017;0,14;0,17;3;5;18;26;7;5;3
17/05/2017;0,43;0,41;5;21;39;71;20;14;3
16/05/2017;0,38;0,46;5;15;35;57;24;14;7
15/05/2017;0,39;0,32;3;11;38;54;18;10;9
14/05/2017;0,36;0,43;3;5;24;30;9;7;5
13/05/2017;0,3;0,22;2;3;18;23;7;6;3
12/05/2017;;;3;4;17;23;6;3;2
11/05/2017;0,12;0,16;4;4;11;17;4;2;1
10/05/2017;0,44;0,48;7;18;32;59;25;14;3
09/05/2017;0,46;0,38;6;24;38;75;31;17;6
08/05/2017;0,44;0,44;4;22;32;65;23;12;8
07/05/2017;0,29;0,29;4;6;23;33;17;10;8
06/05/2017;0,28;0,28;4;5;15;22;8;6;3
05/05/2017;0,26;0,26;6;11;33;49;21;12;4
04/05/2017;0,58;0,58;5;18;32;59;24;12;4
03/05/2017;0,21;0,2;4;13;23;43;17;11;10
02/05/2017;0,22;0,32;4;17;27;51;17;8;8
01/05/2017;0,3;0,18;2;5;21;28;12;6;6
30/04/2017;0,15;;3;3;10;14;5;4;3
29/04/2017;0,18;0,2;4;6;20;29;11;8;5
28/04/2017;0,31;0,29;4;28;38;79;24;13;6
27/04/2017;0,21;;3;16;31;56;12;10;6
26/04/2017;0,16;0,15;4;10;27;43;7;6;2
25/04/2017;0,3;0,31;8;16;34;58;19;12;3
24/04/2017;0,31;;6;29;40;84;29;15;9
23/04/2017;0,32;0,31;5;8;39;50;23;14;12
22/04/2017;0,17;0,18;5;4;24;29;15;8;6
21/04/2017;0,27;;5;16;45;70;24;13;7
20/04/2017;0,28;0,27;2;15;34;55;15;9;4
19/04/2017;0,26;0,26;3;17;31;57;14;8;3
18/04/2017;0,26;0,25;4;17;33;58;18;9;4
17/04/2017;0,23;0,22;3;5;19;27;14;9;5
16/04/2017;0,21;0,21;3;4;19;25;9;7;4
15/04/2017;0,22;0,22;4;4;19;24;13;10;3
14/04/2017;0,18;0,18;4;3;16;20;17;14;12
13/04/2017;0,26;0,26;4;7;23;33;17;12;6
12/04/2017;0,36;0,37;4;25;33;70;26;15;5
11/04/2017;0,22;0,19;4;8;22;33;20;12;3
10/04/2017;0,21;0,22;3;7;20;31;34;20;8
09/04/2017;0,33;;5;6;24;33;26;18;5
08/04/2017;0,35;;5;9;42;55;28;17;7
07/04/2017;0,3;0,29;4;21;43;75;36;18;6
06/04/2017;0,26;0,21;5;8;28;39;23;13;1
05/04/2017;0,17;0,17;2;3;15;20;10;6;2
04/04/2017;0,18;0,18;2;8;24;35;11;8;6
03/04/2017;0,22;0,22;2;13;30;49;16;8;7
02/04/2017;0,15;0,14;1;2;15;17;13;5;3
01/04/2017;0,17;0,17;4;2;15;17;9;5;6
31/03/2017;0,36;0,35;10;22;38;71;34;14;4
30/03/2017;0,19;0,27;11;8;33;43;15;9;8
29/03/2017;0,67;1,14;7;25;59;96;38;18;9
28/03/2017;0,9;0,49;7;9;35;48;19;11;5
27/03/2017;0,32;0,18;2;4;24;30;11;6;3
26/03/2017;0,17;0,18;1;1;10;12;4;4;3
25/03/2017;0,2;0,22;2;2;22;25;5;3;4
24/03/2017;0,31;0,4;4;20;35;65;11;7;9
23/03/2017;0,32;0,22;2;7;27;38;;6;4
22/03/2017;0,38;0,48;3;6;26;35;11;6;3
21/03/2017;0,46;0,38;3;10;45;60;21;12;2
20/03/2017;0,25;0,21;3;5;26;34;20;15;2
19/03/2017;0,5;0,52;4;6;20;29;14;10;3
18/03/2017;0,25;0,23;4;5;22;29;14;10;2
17/03/2017;0,25;0,27;5;13;25;44;23;16;4
16/03/2017;0,47;0,5;5;16;40;64;22;13;3
15/03/2017;0,43;0,41;7;28;47;90;31;17;3
14/03/2017;0,26;0,21;5;11;29;45;23;12;1
13/03/2017;0,2;0,19;3;3;16;20;17;6;1
12/03/2017;0,17;0,16;4;1;10;11;15;7;4
11/03/2017;0,92;1,01;9;17;37;62;33;20;5
10/03/2017;0,7;0,72;5;66;64;164;62;32;9
09/03/2017;0,35;0,24;5;16;38;61;28;17;4
08/03/2017;0,26;0,25;5;28;28;70;24;12;2
07/03/2017;0,34;0,36;4;19;38;66;39;12;3
06/03/2017;0,17;0,2;3;5;20;27;28;8;3
05/03/2017;0,28;0,31;3;3;16;19;22;7;2
04/03/2017;0,27;0,21;1;4;22;27;13;5;8
03/03/2017;0,21;0,25;5;6;20;29;13;8;3
02/03/2017;0,38;0,43;4;47;48;120;33;15;6
01/03/2017;0,29;0,23;2;13;35;54;13;8;5
28/02/2017;0,29;0,28;3;4;23;28;12;5;3
27/02/2017;0,28;0,28;4;5;24;32;18;11;2
26/02/2017;0,34;0,44;4;12;32;50;28;16;7
25/02/2017;0,52;0,44;2;18;41;69;33;17;6
24/02/2017;0,3;0,25;3;10;31;45;18;9;2
23/02/2017;0,38;0,38;5;10;35;51;44;30;6
22/02/2017;0,54;0,57;6;33;40;90;35;21;7
21/02/2017;0,57;0,54;6;36;44;98;29;16;4
20/02/2017;0,27;0,31;5;21;40;72;23;15;6
19/02/2017;0,27;0,22;4;7;23;33;13;10;2
18/02/2017;0,64;0,7;6;18;32;59;24;15;5
17/02/2017;0,37;0,31;5;33;53;102;31;17;6
16/02/2017;0,2;0,19;4;15;41;64;19;11;3
15/02/2017;0,2;0,18;4;11;35;51;9;7;2
14/02/2017;0,2;0,21;4;12;36;53;11;8;3
13/02/2017;0,18;0,16;5;11;26;42;20;8;1
12/02/2017;0,2;0,21;6;2;16;18;19;11;1
11/02/2017;0,27;0,27;6;17;33;59;27;15;7
10/02/2017;0,21;0,2;3;17;44;70;15;10;7
09/02/2017;0,22;0,22;3;21;45;77;20;11;5
08/02/2017;0,17;0,15;2;6;28;37;12;5;3
07/02/2017;0,17;0,21;4;10;33;47;16;8;1
06/02/2017;0,28;0,25;2;32;45;93;21;10;3
05/02/2017;0,18;0,21;2;1;10;12;11;4;2
04/02/2017;0,4;0,36;4;6;29;37;17;7;1
03/02/2017;0,14;0,16;2;3;12;16;8;3;0
02/02/2017;0,17;0,15;4;3;13;17;6;3;0
01/02/2017;0,22;0,35;7;16;27;51;11;8;2
31/01/2017;0,39;;4;10;28;42;10;6;2
30/01/2017;0,41;0,42;5;8;24;37;6;4;2
29/01/2017;0,16;0,18;4;2;13;17;3;2;2
28/01/2017;0,22;0,2;4;7;33;44;12;6;7
27/01/2017;0,19;0,2;6;5;23;29;10;8;3
26/01/2017;0,19;0,2;4;9;33;45;17;13;6
25/01/2017;0,45;0,58;5;42;54;117;27;19;8
24/01/2017;0,69;0,66;6;54;53;135;35;21;8
23/01/2017;0,38;0,32;6;53;44;125;27;16;6
22/01/2017;0,69;0,96;8;18;30;56;24;17;7
21/01/2017;0,78;0,62;6;37;47;103;33;21;12
20/01/2017;0,56;0,5;8;68;54;157;43;25;7
19/01/2017;0,44;0,39;4;49;52;127;34;18;4
18/01/2017;0,86;0,86;4;18;38;64;25;13;3
17/01/2017;0,18;0,18;2;8;21;32;;4;2
16/01/2017;0,14;0,14;2;4;16;21;9;4;3
15/01/2017;0,15;0,15;2;2;10;12;10;4;4
14/01/2017;0,18;0,17;2;3;20;24;9;4;5
13/01/2017;0,15;0,14;3;4;19;24;12;4;4
12/01/2017;0,2;;;17;29;53;18;12;5
11/01/2017;0,15;0,15;4;6;21;30;7;5;1
10/01/2017;0,26;0,37;4;9;27;40;19;7;4
09/01/2017;0,78;0,73;4;65;58;157;29;17;8
08/01/2017;0,73;0,79;3;26;48;87;27;18;9
07/01/2017;0,63;0,63;2;44;53;119;29;19;10
06/01/2017;0,51;0,52;2;27;40;81;22;15;9
05/01/2017;0,69;0,72;2;58;52;140;29;20;8
04/01/2017;0,7;0,63;3;88;48;183;42;27;10
03/01/2017;0,54;0,49;2;70;50;156;39;23;11
02/01/2017;0,55;0,55;2;16;34;59;12;10;5
01/01/2017;0,29;0,23;1;8;28;38;20;18;5
