Date;CO (mg/m3);CO 8h (mg/m3);NH3 (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2017;0,12;0,12;0;1;6;7;5;3;2
30/12/2017;0,3;0,35;0;14;22;43;5;3;3
29/12/2017;0,31;0,27;1;19;36;64;9;5;3
28/12/2017;0,24;0,24;1;10;25;40;10;4;3
27/12/2017;0,17;0,16;1;6;16;25;8;3;4
26/12/2017;0,17;0,16;0;10;21;36;6;3;3
25/12/2017;0,25;0,34;1;9;15;28;7;6;4
24/12/2017;0,35;0,28;1;24;30;65;11;9;5
23/12/2017;0,36;0,41;1;16;37;61;10;9;3
22/12/2017;0,52;0,51;3;80;53;174;34;19;5
21/12/2017;0,43;0,42;4;75;52;165;32;16;6
20/12/2017;0,3;0,27;7;32;42;90;17;10;5
19/12/2017;0,34;0,31;1;64;46;144;21;11;3
18/12/2017;0,33;0,37;1;29;37;81;13;7;5
17/12/2017;0,41;0,4;0;17;44;70;9;7;6
16/12/2017;0,25;0,22;0;7;30;41;11;6;6
15/12/2017;0,18;0,18;1;7;22;32;8;5;5
14/12/2017;0,24;0,24;1;22;37;71;9;7;6
13/12/2017;0,16;;0;5;19;26;5;4;5
12/12/2017;0,21;0,2;0;13;38;57;6;5;4
11/12/2017;0,16;0,17;1;10;24;38;4;3;4
10/12/2017;0,15;0,16;0;3;11;15;7;4;3
09/12/2017;0,22;0,23;0;7;24;34;5;4;3
08/12/2017;0,22;0,2;2;8;27;38;7;5;4
07/12/2017;0,14;0,16;1;7;24;34;6;6;7
06/12/2017;0,4;0,42;0;21;37;68;14;12;8
05/12/2017;0,43;0,49;1;64;49;146;20;16;6
04/12/2017;0,57;0,56;2;77;55;172;21;15;8
03/12/2017;0,79;0,75;0;18;41;68;11;9;6
02/12/2017;0,33;0,36;0;10;32;47;9;6;5
01/12/2017;0,33;0,28;1;19;43;72;9;7;6
30/11/2017;0,29;0,28;1;16;33;58;4;4;6
29/11/2017;0,23;0,23;1;13;43;63;5;5;6
28/11/2017;0,3;0,34;1;30;35;79;17;12;8
27/11/2017;0,34;0,35;1;56;46;132;20;13;9
26/11/2017;0,33;0,3;0;14;31;52;12;8;8
25/11/2017;0,21;0,2;0;5;24;31;7;3;4
24/11/2017;0,2;0,18;2;12;26;44;16;6;3
23/11/2017;0,13;0,15;2;3;11;16;12;7;2
22/11/2017;0,3;0,39;2;9;30;44;16;9;6
21/11/2017;0,95;1,2;3;82;61;185;38;21;12
20/11/2017;0,75;0,56;2;86;59;189;36;20;12
19/11/2017;0,82;0,9;1;33;40;90;22;16;7
18/11/2017;0,69;0,57;2;48;39;111;41;28;9
17/11/2017;0,58;0,57;3;83;50;177;46;26;12
16/11/2017;0,46;0,45;3;94;55;198;38;21;14
15/11/2017;0,53;0,58;2;79;53;173;34;19;10
14/11/2017;0,44;0,32;1;49;47;121;25;15;8
13/11/2017;0,15;0,14;1;6;20;28;7;5;2
12/11/2017;0,23;0,27;1;5;18;26;2;6;6
11/11/2017;0,18;0,14;1;7;24;34;3;4;5
10/11/2017;0,42;0,46;3;44;38;104;15;9;4
09/11/2017;0,36;;2;26;45;85;16;8;5
08/11/2017;0,25;0,22;2;13;43;63;13;7;4
07/11/2017;0,62;0,67;2;26;36;75;17;10;5
06/11/2017;0,27;0,21;3;19;35;63;14;6;2
05/11/2017;0,15;0,16;3;2;10;12;7;3;4
04/11/2017;0,57;0,68;5;20;36;65;23;11;7
03/11/2017;0,4;0,33;7;36;47;102;26;14;4
02/11/2017;0,27;0,26;6;12;38;56;19;12;3
01/11/2017;0,25;0,39;5;7;25;36;23;9;4
31/10/2017;0,6;0,42;5;48;43;115;29;15;5
30/10/2017;0,19;0,2;6;16;28;53;7;5;2
29/10/2017;0,72;0,74;5;19;32;60;27;15;3
28/10/2017;0,31;0,27;5;14;30;51;16;12;2
27/10/2017;0,47;0,52;7;50;34;110;41;20;6
26/10/2017;0,48;0,67;9;37;48;104;42;22;4
25/10/2017;0,87;0,84;8;88;56;190;62;29;10
24/10/2017;0,53;0,49;5;42;53;117;35;17;7
23/10/2017;0,35;0,29;4;31;41;87;26;14;5
22/10/2017;0,24;0,22;3;7;17;26;13;5;3
21/10/2017;0,2;0,2;5;5;10;18;16;5;5
20/10/2017;0,53;0,56;9;40;38;99;36;18;5
19/10/2017;0,32;0,29;6;20;32;62;11;6;3
18/10/2017;0,45;0,56;9;27;44;85;27;16;2
17/10/2017;0,54;0,53;5;14;37;58;42;20;3
16/10/2017;0,31;0,23;4;6;16;25;33;11;2
15/10/2017;0,22;0,25;5;5;11;19;24;12;2
14/10/2017;0,59;0,58;5;9;29;42;34;21;2
13/10/2017;0,9;0,96;6;35;36;88;41;24;3
12/10/2017;0,42;0,34;4;17;33;58;26;16;3
11/10/2017;0,3;0,35;4;15;33;56;21;14;4
10/10/2017;0,44;0,47;5;42;38;102;26;15;6
09/10/2017;0,37;0,32;4;33;37;86;24;13;6
08/10/2017;0,4;0,49;3;15;28;49;15;10;6
07/10/2017;0,47;0,4;3;17;25;49;11;10;2
06/10/2017;0,25;0,22;4;8;23;35;14;10;1
05/10/2017;0,26;0,26;4;15;25;47;12;8;2
04/10/2017;0,28;0,29;5;30;22;68;25;9;3
03/10/2017;0,32;0,34;6;39;25;84;19;12;2
02/10/2017;0,37;0,36;4;40;37;98;23;16;2
01/10/2017;0,42;0,44;3;26;32;71;20;10;2
30/09/2017;0,32;0,29;3;5;17;25;;5;1
29/09/2017;0,46;0,52;5;33;30;79;39;20;6
28/09/2017;0,57;0,54;4;25;40;78;33;16;4
27/09/2017;0,27;0,25;3;20;41;71;24;12;5
26/09/2017;0,29;0,29;3;21;32;63;20;12;7
25/09/2017;0,27;0,26;4;18;30;57;17;9;5
24/09/2017;0,45;0,49;4;27;31;72;25;;3
23/09/2017;0,39;0,47;5;38;47;104;;12;2
22/09/2017;0,38;0,29;5;28;47;90;19;6;1
21/09/2017;0,78;0,8;6;43;39;103;34;18;4
20/09/2017;0,34;0,3;3;28;47;88;31;15;5
19/09/2017;0,34;0,33;3;28;35;78;21;10;3
18/09/2017;0,26;0,24;3;22;37;71;11;7;2
17/09/2017;0,17;0,18;1;5;17;24;7;4;3
16/09/2017;0,26;0,3;1;5;24;31;7;4;3
15/09/2017;0,34;0,34;2;16;31;56;14;7;4
14/09/2017;0,27;0,3;2;6;22;31;20;;2
13/09/2017;0,38;0,34;2;18;28;54;20;11;4
12/09/2017;0,27;0,24;2;10;28;42;14;5;3
11/09/2017;0,32;0,44;;;;;;6;2
10/09/2017;0,28;0,19;1;2;15;18;12;4;4
09/09/2017;0,19;0,21;1;3;10;13;11;4;3
08/09/2017;0,26;0,25;2;15;25;48;19;10;4
07/09/2017;0,25;0,26;3;20;26;57;16;8;4
06/09/2017;0,25;0,25;4;8;23;35;15;;3
05/09/2017;0,5;0,69;5;24;23;59;19;;3
04/09/2017;0,67;0,48;4;29;26;69;17;7;2
03/09/2017;0,47;0,47;3;6;22;31;16;7;3
02/09/2017;0,31;0,3;2;6;21;30;12;7;4
01/09/2017;0,34;0,4;3;15;21;44;15;7;4
31/08/2017;0,34;0,27;2;13;27;46;13;7;4
30/08/2017;0,28;0,28;3;12;22;40;;9;3
29/08/2017;0,28;0,28;5;16;27;52;19;10;2
28/08/2017;0,46;0,52;6;13;29;48;22;10;1
27/08/2017;0,83;0,82;5;11;25;41;24;11;1
26/08/2017;0,44;0,37;4;9;18;32;18;7;1
25/08/2017;0,58;0,56;3;12;17;34;11;7;2
