Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);SO2 (µg/m3)
31/12/2017;1;7;8;5;6
30/12/2017;4;13;18;3;4
29/12/2017;3;20;25;5;11
28/12/2017;8;24;35;8;7
27/12/2017;2;12;14;6;10
26/12/2017;6;16;25;5;4
25/12/2017;4;12;17;5;4
24/12/2017;12;33;51;9;5
23/12/2017;5;28;35;6;3
22/12/2017;58;53;142;25;6
21/12/2017;23;50;85;19;5
20/12/2017;28;45;87;15;4
19/12/2017;16;40;63;7;3
18/12/2017;10;20;35;4;6
17/12/2017;2;17;19;2;4
16/12/2017;1;8;9;2;4
15/12/2017;2;12;15;3;8
14/12/2017;3;16;20;3;10
13/12/2017;1;8;10;2;3
12/12/2017;2;14;17;2;3
11/12/2017;2;11;13;2;6
10/12/2017;1;9;10;2;2
09/12/2017;4;20;26;3;3
08/12/2017;1;11;12;2;4
07/12/2017;3;21;24;4;7
06/12/2017;25;43;81;16;10
05/12/2017;50;52;128;11;3
04/12/2017;35;50;102;7;7
03/12/2017;18;38;65;9;4
02/12/2017;1;13;14;3;3
01/12/2017;2;16;19;2;5
30/11/2017;4;19;25;2;5
29/11/2017;2;18;21;2;4
28/11/2017;24;26;63;7;5
27/11/2017;33;46;96;10;7
26/11/2017;3;28;32;3;6
25/11/2017;1;12;13;2;4
24/11/2017;2;15;17;5;3
23/11/2017;1;6;7;11;3
22/11/2017;2;15;17;13;3
21/11/2017;63;55;151;35;17
20/11/2017;63;61;156;29;17
19/11/2017;16;39;63;12;5
18/11/2017;23;34;69;13;5
17/11/2017;53;46;127;24;8
16/11/2017;54;53;135;24;9
15/11/2017;56;60;145;24;8
14/11/2017;14;34;54;11;3
13/11/2017;1;7;8;6;2
12/11/2017;1;8;9;4;6
11/11/2017;1;9;10;2;5
10/11/2017;3;18;22;4;3
09/11/2017;1;13;14;4;3
08/11/2017;2;20;23;4;3
07/11/2017;15;26;48;10;3
06/11/2017;1;14;15;5;2
05/11/2017;0;7;7;5;3
04/11/2017;10;30;45;12;5
03/11/2017;7;29;40;13;3
02/11/2017;2;22;24;15;3
01/11/2017;1;16;17;13;3
31/10/2017;34;49;99;21;4
30/10/2017;1;12;13;4;2
29/10/2017;4;23;29;8;2
28/10/2017;1;13;14;6;1
27/10/2017;30;33;77;22;5
26/10/2017;7;43;54;22;8
25/10/2017;44;67;134;31;12
24/10/2017;38;54;112;20;8
23/10/2017;22;44;77;11;6
22/10/2017;1;10;11;5;3
21/10/2017;1;8;8;11;4
20/10/2017;16;28;52;13;3
19/10/2017;10;25;41;6;2
18/10/2017;2;21;23;13;2
17/10/2017;1;17;19;26;1
16/10/2017;1;11;12;23;1
15/10/2017;1;10;11;23;2
14/10/2017;3;22;26;32;2
13/10/2017;10;37;52;36;7
12/10/2017;9;36;49;24;3
11/10/2017;7;32;42;18;4
10/10/2017;24;40;76;21;4
09/10/2017;25;41;79;20;6
08/10/2017;7;28;37;14;4
07/10/2017;7;28;38;14;2
06/10/2017;1;16;18;10;1
05/10/2017;1;14;16;12;1
04/10/2017;20;18;48;17;1
03/10/2017;8;21;32;10;2
02/10/2017;19;33;61;15;4
01/10/2017;2;19;22;11;3
30/09/2017;1;11;12;6;1
29/09/2017;19;31;60;31;7
28/09/2017;7;31;42;19;6
27/09/2017;11;34;51;15;16
26/09/2017;9;28;41;11;5
25/09/2017;3;16;19;8;3
24/09/2017;5;20;28;19;4
23/09/2017;3;17;21;15;5
22/09/2017;3;22;26;9;4
21/09/2017;22;27;61;16;4
20/09/2017;20;35;64;15;7
19/09/2017;5;20;28;5;4
18/09/2017;8;21;34;5;2
17/09/2017;3;9;13;5;3
16/09/2017;2;11;13;3;2
15/09/2017;2;11;13;4;3
14/09/2017;1;11;13;11;2
13/09/2017;18;19;46;15;5
12/09/2017;2;17;20;7;3
11/09/2017;2;11;14;9;6
10/09/2017;2;11;14;9;7
09/09/2017;2;8;10;6;6
08/09/2017;11;17;33;15;4
07/09/2017;3;15;20;8;2
06/09/2017;1;12;14;8;1
05/09/2017;18;22;49;14;9
04/09/2017;11;19;36;8;5
03/09/2017;4;23;28;9;4
02/09/2017;1;11;12;7;3
01/09/2017;2;9;11;6;3
31/08/2017;2;13;16;5;2
30/08/2017;4;17;22;13;1
29/08/2017;8;22;35;14;2
28/08/2017;6;24;34;13;3
27/08/2017;3;15;19;12;2
26/08/2017;2;16;19;10;1
25/08/2017;4;14;19;11;1
24/08/2017;2;12;16;11;1
23/08/2017;3;16;20;19;1
22/08/2017;3;19;22;21;4
21/08/2017;11;38;54;19;3
20/08/2017;2;17;20;9;1
19/08/2017;1;10;11;8;1
18/08/2017;6;18;26;10;1
17/08/2017;8;20;32;11;3
16/08/2017;4;18;24;7;1
15/08/2017;1;9;10;6;1
14/08/2017;5;18;25;15;1
13/08/2017;2;14;17;9;2
12/08/2017;5;17;25;13;3
11/08/2017;2;14;16;10;2
10/08/2017;1;7;9;8;2
09/08/2017;1;7;9;6;3
08/08/2017;1;9;11;6;4
07/08/2017;2;14;17;14;4
06/08/2017;1;4;6;9;2
05/08/2017;1;6;7;4;2
04/08/2017;3;14;19;12;3
03/08/2017;10;26;41;19;6
02/08/2017;7;20;30;16;7
01/08/2017;3;17;22;10;
31/07/2017;1;13;15;8;
30/07/2017;2;16;18;11;
29/07/2017;5;21;28;13;9
28/07/2017;3;16;21;9;
27/07/2017;10;20;35;19;
26/07/2017;9;21;35;15;3
25/07/2017;1;6;8;7;2
24/07/2017;2;8;10;4;2
23/07/2017;1;7;9;10;4
22/07/2017;6;16;25;12;3
21/07/2017;3;17;22;8;2
20/07/2017;2;12;14;7;2
19/07/2017;2;14;16;19;2
18/07/2017;2;14;16;25;2
17/07/2017;12;36;53;26;3
16/07/2017;2;18;21;15;2
15/07/2017;1;8;10;7;2
14/07/2017;2;9;12;5;2
13/07/2017;2;13;16;6;2
12/07/2017;10;21;36;12;3
11/07/2017;9;23;36;10;2
10/07/2017;2;10;13;7;2
09/07/2017;1;8;10;12;2
08/07/2017;1;8;9;11;2
07/07/2017;3;19;24;14;2
06/07/2017;6;25;33;23;2
05/07/2017;1;11;13;18;2
04/07/2017;13;25;44;18;2
03/07/2017;11;18;34;8;3
02/07/2017;2;11;13;5;3
01/07/2017;1;8;10;9;6
30/06/2017;2;11;14;6;10
29/06/2017;3;11;14;9;20
28/06/2017;4;14;20;10;12
27/06/2017;7;21;30;13;2
26/06/2017;6;18;27;;2
25/06/2017;3;15;20;14;2
24/06/2017;1;13;14;15;2
23/06/2017;2;17;20;21;2
22/06/2017;2;12;13;20;2
21/06/2017;6;35;44;34;3
20/06/2017;6;40;48;24;4
19/06/2017;2;17;19;23;2
18/06/2017;3;28;32;26;2
17/06/2017;6;21;30;23;2
16/06/2017;3;19;23;15;2
15/06/2017;2;12;14;11;1
14/06/2017;3;16;20;22;1
13/06/2017;8;23;35;20;1
12/06/2017;3;13;18;11;0
11/06/2017;1;10;12;18;1
10/06/2017;6;16;24;18;1
09/06/2017;11;21;37;16;2
08/06/2017;3;23;27;23;3
07/06/2017;9;25;39;21;3
06/06/2017;2;11;13;11;3
05/06/2017;5;18;26;9;3
04/06/2017;1;13;15;6;1
03/06/2017;2;15;17;9;1
02/06/2017;2;13;15;14;0
01/06/2017;11;21;38;20;1
31/05/2017;4;17;23;9;1
30/05/2017;1;11;12;4;0
29/05/2017;2;16;19;6;0
28/05/2017;1;12;13;17;1
27/05/2017;3;19;23;20;1
26/05/2017;9;30;43;20;1
25/05/2017;10;33;47;30;1
24/05/2017;9;27;39;20;1
23/05/2017;3;13;17;11;2
22/05/2017;3;12;17;20;2
21/05/2017;4;19;25;7;2
20/05/2017;1;13;15;3;1
19/05/2017;2;12;14;5;2
18/05/2017;3;10;14;6;2
17/05/2017;3;28;32;13;2
16/05/2017;10;34;49;18;3
15/05/2017;8;30;43;11;4
14/05/2017;3;19;23;6;5
13/05/2017;1;15;17;2;3
12/05/2017;2;10;12;4;1
11/05/2017;1;5;7;3;1
10/05/2017;9;29;42;12;5
09/05/2017;12;38;55;12;8
08/05/2017;12;26;44;10;5
07/05/2017;3;19;23;3;4
06/05/2017;1;12;13;3;2
05/05/2017;2;24;27;10;4
04/05/2017;15;32;54;9;3
03/05/2017;6;19;28;9;2
02/05/2017;5;18;24;3;4
01/05/2017;2;17;19;3;5
30/04/2017;1;7;8;2;6
29/04/2017;2;17;19;5;3
28/04/2017;13;33;53;8;6
27/04/2017;4;20;24;4;4
26/04/2017;5;17;23;3;3
25/04/2017;6;23;32;9;4
24/04/2017;16;35;58;17;7
23/04/2017;3;29;33;13;10
22/04/2017;1;16;16;11;5
21/04/2017;18;46;73;22;6
20/04/2017;6;26;32;13;2
19/04/2017;4;21;25;11;2
18/04/2017;12;25;42;17;2
17/04/2017;4;17;22;8;2
16/04/2017;2;13;16;5;2
15/04/2017;1;13;14;9;3
14/04/2017;1;15;17;18;16
13/04/2017;5;23;30;12;6
12/04/2017;12;27;45;18;3
11/04/2017;4;17;23;15;4
10/04/2017;12;21;39;17;15
09/04/2017;4;29;35;18;13
08/04/2017;2;33;35;16;9
07/04/2017;14;30;50;21;5
06/04/2017;2;13;16;21;1
05/04/2017;2;8;10;7;1
04/04/2017;2;14;17;5;3
03/04/2017;15;22;44;10;3
02/04/2017;1;9;10;5;4
01/04/2017;1;8;10;3;10
31/03/2017;7;28;38;8;2
30/03/2017;2;19;21;9;1
29/03/2017;13;48;67;14;8
28/03/2017;3;26;31;8;3
27/03/2017;1;13;15;4;2
26/03/2017;1;10;12;3;1
25/03/2017;1;12;14;2;2
24/03/2017;9;33;45;6;2
23/03/2017;2;17;20;3;0
22/03/2017;2;21;24;6;2
21/03/2017;4;33;39;9;3
20/03/2017;2;20;23;15;4
19/03/2017;3;19;23;11;6
18/03/2017;1;14;15;13;1
17/03/2017;4;19;25;23;4
16/03/2017;4;31;36;16;
15/03/2017;6;28;37;27;
14/03/2017;2;12;15;18;
13/03/2017;1;8;10;11;
12/03/2017;1;9;10;9;17
11/03/2017;8;31;43;21;15
10/03/2017;44;62;128;34;12
09/03/2017;6;27;36;19;4
08/03/2017;9;23;37;12;5
07/03/2017;11;22;39;18;15
06/03/2017;2;13;16;16;17
05/03/2017;2;15;17;11;2
04/03/2017;3;23;27;8;38
03/03/2017;3;14;17;7;5
02/03/2017;26;40;79;17;7
01/03/2017;4;21;27;4;3
28/02/2017;1;14;16;7;5
27/02/2017;2;16;18;11;4
26/02/2017;8;32;44;20;10
25/02/2017;8;42;53;18;10
24/02/2017;2;20;23;8;4
23/02/2017;6;31;39;33;16
22/02/2017;18;34;60;22;5
21/02/2017;19;44;72;15;4
20/02/2017;9;27;41;14;3
19/02/2017;1;14;16;11;3
18/02/2017;11;29;44;22;5
17/02/2017;27;56;96;;7
16/02/2017;6;30;39;;3
15/02/2017;2;20;22;;1
14/02/2017;2;11;14;2;1
13/02/2017;6;23;32;2;1
12/02/2017;2;14;17;2;1
11/02/2017;8;37;48;2;6
10/02/2017;7;27;37;2;2
09/02/2017;15;42;65;2;3
08/02/2017;1;13;15;3;2
07/02/2017;3;19;23;3;5
06/02/2017;42;44;107;8;4
05/02/2017;1;12;14;2;5
04/02/2017;4;24;29;5;2
03/02/2017;1;6;7;4;1
02/02/2017;1;9;11;3;1
01/02/2017;1;8;10;3;1
31/01/2017;2;11;14;4;1
30/01/2017;2;13;15;2;2
29/01/2017;1;6;7;2;1
28/01/2017;3;24;28;5;4
27/01/2017;2;10;13;7;2
26/01/2017;4;29;34;12;5
25/01/2017;39;61;119;14;3
24/01/2017;21;43;74;17;4
23/01/2017;2;16;19;8;2
22/01/2017;5;25;32;12;4
