Date;Benceno (µg/m3);CO (mg/m3);CO 8h (mg/m3);Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3);O3 (µg/m3)
08/02/2015;0,89;0,42;0,44;0,25;11;35;51;1,36;24;8;1,9;
07/02/2015;1,19;0,51;0,52;0,46;19;43;72;2,14;24;8;2,69;
06/02/2015;0,85;0,5;;0,4;15;45;68;2,29;13;6;2,69;
05/02/2015;0,36;;;0,08;7;28;39;0,79;11;5;1,27;
04/02/2015;0,53;0,29;0,3;0,29;10;38;54;1,73;10;5;3,02;
03/02/2015;0,35;0,28;0,29;0,26;12;44;62;1,44;9;5;2,15;
02/02/2015;0,48;0,33;0,32;0,36;19;49;79;2,02;11;7;2,3;
01/02/2015;0,25;0,24;0,22;0,01;3;18;23;0,23;12;6;0,61;
31/01/2015;0,22;0,18;0,19;0;3;17;22;0,31;10;5;0,82;
30/01/2015;0,34;0,25;0,25;0,29;9;39;53;1,63;13;4;2,26;
29/01/2015;0,4;0,3;0,31;0,58;28;39;83;2,86;13;6;3,59;
28/01/2015;0,45;0,34;0,34;0,67;23;53;89;3,29;22;6;3,8;22
27/01/2015;0,49;0,3;0,31;0,63;9;52;65;2,92;20;7;4,2;28
26/01/2015;0,71;0,39;0,39;0,88;36;59;115;4,01;33;13;5,51;13
25/01/2015;0,53;0,34;0,33;0,38;14;38;60;2;22;7;2,58;28
24/01/2015;0,73;0,41;0,44;0,64;31;39;87;3,01;32;12;3,16;23
23/01/2015;0,76;0,42;0,41;0,73;31;50;98;3,16;23;8;4,27;26
22/01/2015;0,4;0,3;0,27;0,25;10;38;52;1,5;10;5;2,37;47
21/01/2015;0,24;0,22;0,23;0,07;7;32;42;0,8;8;5;1,41;57
20/01/2015;0,46;0,31;0,32;0,43;19;51;81;2,27;15;9;2,94;20
19/01/2015;0,35;0,28;0,27;0,16;6;28;37;1,04;13;6;1,64;56
18/01/2015;0,3;0,24;0,24;0,06;6;27;37;0,72;9;6;1,3;50
17/01/2015;0,42;0,27;0,26;0,28;11;42;60;1,67;16;9;2,13;37
16/01/2015;0,29;0,24;0,24;0,19;7;37;48;1,29;10;5;1,89;49
15/01/2015;0,26;0,27;0,27;0,51;8;27;40;2,57;10;5;1,95;56
14/01/2015;0,52;0,33;0,34;0,76;30;38;85;3,31;22;9;4,54;36
13/01/2015;0,31;0,24;0,23;0,16;6;25;34;1,06;13;4;1,48;48
12/01/2015;0,52;0,33;0,35;0,5;31;47;95;2,73;;7;3,73;31
11/01/2015;0,43;0,31;0,32;0,2;10;30;45;1,31;23;5;1,76;37
10/01/2015;0,85;0,47;0,54;1,08;47;44;116;4,52;39;14;4,95;11
09/01/2015;1,3;0,62;0,59;2,07;98;64;215;7,81;47;17;10,52;7
08/01/2015;1,11;0,49;0,48;1,81;84;62;191;7,23;40;13;9,75;6
07/01/2015;0,94;0,5;0,53;1,41;83;58;185;5,6;36;11;9,03;7
06/01/2015;0,94;0,51;0,52;0,66;54;51;133;3,35;35;18;4,11;6
05/01/2015;0,94;0,45;0,44;1,23;65;54;155;5,39;30;13;5,83;7
04/01/2015;0,94;0,53;0,55;0,79;61;49;143;3,92;43;17;4,35;6
03/01/2015;1,12;0,54;0,55;1,04;71;56;167;4,92;36;19;5,26;10
02/01/2015;1,3;0,61;0,56;1,52;107;70;234;6,78;35;16;8,32;5
01/01/2015;1;0,46;0,46;0,74;56;55;141;3,76;35;17;4,45;6
