Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);SO2 (µg/m3);Benceno (µg/m3);M-P-XILENO (µg/m3);Tolueno (µg/m3);O3 (µg/m3)
06/09/2015;4;22;28;10;6;0,31;0,23;1,99;
05/09/2015;2;13;17;5;5;0,31;0,25;1,11;
04/09/2015;3;17;21;5;3;0,23;0,08;0,76;
03/09/2015;3;17;22;7;4;0,41;0,1;0,67;
02/09/2015;16;27;52;17;4;0,7;0,51;3,34;
01/09/2015;3;16;21;9;3;0,44;0,16;0,99;
31/08/2015;5;19;26;17;4;0,54;0,11;0,98;
30/08/2015;3;20;25;22;4;0,73;0,16;1,24;
29/08/2015;6;18;27;19;4;0,7;0,19;1,59;
28/08/2015;8;17;29;11;4;0,31;0,18;1,26;
27/08/2015;4;17;24;9;5;0,31;0,13;1,04;
26/08/2015;4;29;36;14;9;0,56;0,21;1,63;
25/08/2015;8;25;38;14;8;0,42;0,29;1,81;
24/08/2015;4;14;20;15;9;0,29;0,09;0,48;
23/08/2015;3;9;13;5;5;0,23;0,03;0,43;
22/08/2015;3;18;22;21;3;0,57;0,15;1,21;
21/08/2015;14;32;53;27;5;0,93;0,4;3,13;
20/08/2015;11;29;47;15;7;;;;
19/08/2015;10;25;41;30;7;;;;
18/08/2015;9;27;40;18;6;0,42;1,06;2,41;
17/08/2015;8;22;34;33;6;0,44;0,6;1,32;
16/08/2015;5;18;25;12;6;0,32;0,43;1,13;
15/08/2015;2;10;14;8;5;0,18;0,13;0,35;
14/08/2015;3;14;20;10;22;0,31;0,09;0,28;
13/08/2015;5;20;27;13;15;0,7;0,89;1,44;
12/08/2015;9;26;40;26;4;0,57;4,21;2,46;
11/08/2015;7;23;33;23;4;0,52;5,39;2,26;
10/08/2015;9;26;40;16;7;0,41;1,86;2,79;
09/08/2015;2;9;13;9;9;0,27;0,17;0,39;
08/08/2015;2;8;12;7;7;0,39;0,14;0,38;
07/08/2015;4;16;21;9;6;0,66;0,51;1,77;
06/08/2015;14;29;51;20;7;0,44;2,58;3,37;
05/08/2015;10;23;38;18;5;0,58;2,56;3,77;
04/08/2015;3;16;20;8;5;0,36;0,84;2,8;
03/08/2015;8;26;38;15;8;0,5;0,88;1,83;
02/08/2015;3;18;23;14;8;0,38;0,43;1,03;
01/08/2015;2;17;21;11;9;0,6;0,45;1,1;
31/07/2015;3;18;23;10;6;0,43;1,04;4,2;
30/07/2015;6;24;33;11;5;0,24;1,2;4,99;
29/07/2015;3;21;26;8;6;0,3;0,72;1,49;
28/07/2015;5;22;31;11;8;0,26;0,66;1,12;
27/07/2015;3;12;17;10;7;0,27;2,25;0,49;
26/07/2015;3;17;22;11;10;0,26;0,62;1,23;
25/07/2015;2;10;14;11;8;0,26;0,28;0,58;
24/07/2015;14;28;50;14;7;0,61;2,49;8,55;
23/07/2015;10;23;38;15;5;0,42;1,83;6,86;
22/07/2015;3;16;21;9;4;0,33;0,53;1,12;
21/07/2015;4;21;28;10;4;0,28;0,74;1,78;
20/07/2015;11;26;43;16;4;0,49;1,22;2,06;
19/07/2015;6;20;29;15;4;0,35;1,12;2,17;
18/07/2015;5;20;27;14;3;0,33;1,37;2,16;
17/07/2015;10;27;43;19;4;0,52;2,16;3,38;
16/07/2015;4;19;25;14;3;0,48;1,05;4,56;
15/07/2015;4;17;24;16;4;0,28;0,75;1,61;
14/07/2015;5;20;28;14;5;0,38;1,52;3,29;
13/07/2015;10;17;33;9;5;0,33;1,12;1,78;
12/07/2015;2;11;15;6;4;0,19;0,3;0,89;
11/07/2015;2;8;12;11;7;0,24;0,18;0,35;
10/07/2015;11;29;46;21;10;0,53;2,35;3,58;
09/07/2015;4;17;23;10;6;1,17;7,18;6,4;
08/07/2015;3;11;15;11;5;0,59;3,5;3,09;
07/07/2015;3;12;17;14;4;0,57;0,97;1,5;
06/07/2015;7;23;35;15;4;0,53;1,07;3,08;
05/07/2015;3;11;15;6;3;0,25;0,26;0,49;
04/07/2015;4;16;23;12;5;0,29;0,88;1,58;
03/07/2015;10;25;40;24;4;0,68;2,78;4,03;
02/07/2015;3;15;20;;3;0,58;5;1,3;
01/07/2015;3;13;18;26;4;0,33;0,31;0,67;
30/06/2015;4;22;27;27;4;0,47;1,49;3,03;
29/06/2015;4;17;23;15;4;0,31;1,08;1,95;
28/06/2015;3;16;21;13;5;0,31;0,64;1,21;
27/06/2015;3;11;15;18;4;0,33;0,37;0,78;
26/06/2015;6;23;32;30;4;0,84;1,83;2,71;
25/06/2015;10;26;42;21;6;0,83;2,66;3,58;
24/06/2015;7;18;29;17;6;0,88;1,52;2,43;
23/06/2015;4;15;21;10;4;0,78;1,65;2,43;
22/06/2015;12;25;44;19;5;0,5;1,36;2,19;
21/06/2015;3;18;23;17;6;0,47;0,9;1,59;
20/06/2015;5;15;23;16;6;0,4;0,82;1,48;
19/06/2015;4;16;22;10;5;0,44;0,5;1,09;
18/06/2015;5;16;23;15;5;0,34;0,64;0,99;
17/06/2015;2;9;13;12;5;0,35;0,2;0,36;
16/06/2015;2;9;12;8;5;0,37;0,12;0,3;
15/06/2015;3;11;15;9;3;0,54;0,18;0,44;
14/06/2015;3;14;19;10;5;0,46;0,36;0,84;
13/06/2015;3;15;19;10;2;0,35;0,3;0,56;
12/06/2015;5;19;27;18;3;0,45;0,78;1,36;
11/06/2015;5;24;32;18;3;0,61;1,43;2,25;
10/06/2015;10;42;57;24;4;0,93;3;4,27;
09/06/2015;3;19;24;24;5;0,61;0,96;1,59;
08/06/2015;5;17;24;25;4;0,47;0,65;1,24;
07/06/2015;3;11;15;15;3;0,23;0,33;0,63;
06/06/2015;2;11;14;10;3;0,16;0,08;0,25;
05/06/2015;5;21;29;22;4;0,42;0,93;2,16;
04/06/2015;9;26;40;27;4;0,65;1,82;3,17;
03/06/2015;3;17;22;20;4;0,38;1,5;1,27;
02/06/2015;5;18;26;16;4;0,36;0,77;1,52;
01/06/2015;4;16;22;11;4;0,29;0,51;1,55;
31/05/2015;4;17;23;13;8;0,38;0,59;1,34;
30/05/2015;4;17;23;10;8;0,36;0,7;1,71;
29/05/2015;3;14;18;9;5;0,16;0,17;0,38;
28/05/2015;9;21;35;18;6;0,67;1,71;3,12;
27/05/2015;3;14;18;15;5;0,27;0,4;0,7;
26/05/2015;3;10;14;13;4;0,32;0,11;0,24;
25/05/2015;3;10;14;9;4;0,34;0,22;0,3;
24/05/2015;2;7;10;7;5;0,36;0,04;0,14;
23/05/2015;2;7;10;9;7;0,43;0,3;0,51;
22/05/2015;2;8;12;11;6;0,32;0,3;0,42;
21/05/2015;3;10;14;9;5;0,23;0,1;0,34;
20/05/2015;3;11;15;9;6;0,35;0,34;0,52;
19/05/2015;3;11;15;9;5;0,37;0,36;0,46;
18/05/2015;13;21;42;17;8;0,81;0,98;1,83;
17/05/2015;2;10;13;8;4;0,42;0,14;0,28;
16/05/2015;2;8;11;10;7;0,5;0,46;0,55;
15/05/2015;3;16;21;7;26;0,59;0,85;1,05;
14/05/2015;4;17;23;15;20;0,53;0,57;0,72;
13/05/2015;4;23;28;24;9;0,78;0,77;1,2;
12/05/2015;5;20;27;24;13;0,57;0,5;0,88;
11/05/2015;3;17;23;26;7;0,87;0,36;0,76;
10/05/2015;6;22;32;21;7;0,73;1,03;2,13;
09/05/2015;2;13;17;10;6;0,29;0,6;0,72;
08/05/2015;6;23;32;12;7;0,57;0,83;1,64;
07/05/2015;13;45;65;24;9;0,74;3,7;5,25;
06/05/2015;5;20;28;11;7;0,32;3,87;8,43;
05/05/2015;3;16;21;11;7;0,2;0,49;0,7;
04/05/2015;4;16;23;14;3;0,19;0,56;1,02;
03/05/2015;2;9;12;8;4;0,16;0,26;0,47;
02/05/2015;3;10;14;8;3;0,19;0,43;0,67;
01/05/2015;2;7;10;6;5;0,12;0,03;0,18;
30/04/2015;5;24;32;14;9;0,33;1,17;2,03;
29/04/2015;8;30;42;15;11;0,59;1,61;2,8;
28/04/2015;4;16;21;10;7;0,23;0,3;0,64;
27/04/2015;3;15;19;7;10;0,33;0,41;0,55;
26/04/2015;2;8;11;6;4;0,16;0,1;0,21;
25/04/2015;3;14;19;13;4;0,36;0,94;1,45;
24/04/2015;23;39;74;25;6;0,56;2,78;4,1;
23/04/2015;6;27;35;11;5;0,51;2,42;2,52;
22/04/2015;3;18;22;11;5;0,34;0,75;1,28;
21/04/2015;22;41;75;26;9;0,76;3,19;4,87;
20/04/2015;14;28;50;19;9;0,49;1,35;1,84;
19/04/2015;2;12;16;6;9;0,4;0,59;0,98;
18/04/2015;4;17;23;13;5;0,38;0,66;0,97;
17/04/2015;;;;18;5;0,48;1,6;1,98;
16/04/2015;;;;26;9;0,65;3,77;3,56;
15/04/2015;;;;19;6;0,22;0,62;1,21;
14/04/2015;;;;27;7;0,27;0,95;1,85;
13/04/2015;3;26;31;29;6;0,34;0,94;1,43;
12/04/2015;6;30;39;21;7;0,55;1;1,72;
11/04/2015;5;28;35;17;7;0,65;1,52;2,05;
10/04/2015;3;19;24;10;8;1,06;0,62;0,52;
09/04/2015;3;14;18;14;7;0,29;0,35;0,63;
08/04/2015;3;12;16;11;5;0,25;0,44;0,66;
07/04/2015;19;40;69;27;12;0,96;2,03;3,01;
06/04/2015;5;23;31;15;7;0,6;0,85;1,45;
05/04/2015;2;13;17;8;5;0,38;0,31;0,57;
04/04/2015;2;7;11;5;5;0,35;0,25;0,31;
03/04/2015;6;24;33;13;12;0,43;0,75;1,41;
02/04/2015;6;26;35;16;8;0,39;0,82;1,5;
01/04/2015;2;13;16;17;5;0,21;0,12;0,22;
31/03/2015;3;17;22;12;21;0,39;0,85;0,39;
30/03/2015;3;20;26;15;29;0,4;0,34;0,62;
29/03/2015;3;22;27;12;21;0,5;0,7;1,02;
28/03/2015;4;20;27;12;9;0,41;0,52;0,75;
27/03/2015;5;22;30;6;16;0,48;1,59;1,73;
26/03/2015;11;23;40;5;11;0,45;1,21;1,01;
25/03/2015;3;10;15;5;4;0,4;0,86;0,81;
24/03/2015;3;21;26;10;4;0,85;1,2;1,49;
23/03/2015;11;43;60;9;5;0,64;1,87;2,63;
22/03/2015;2;14;17;19;4;0,38;0,09;0,32;
21/03/2015;3;25;29;22;5;0,76;0,71;1,28;
20/03/2015;2;21;25;40;5;0,59;0,12;0,44;
19/03/2015;8;31;43;21;7;0,77;1,56;2,46;
18/03/2015;13;50;69;19;10;0,64;2,25;2,75;
17/03/2015;4;35;41;18;6;0,47;1,73;2,94;
16/03/2015;22;52;86;35;7;0,88;5,99;5,16;
15/03/2015;2;21;25;26;5;0,65;0,6;0,83;
14/03/2015;3;19;23;17;9;0,6;0,4;0,59;
13/03/2015;3;13;18;17;9;0,48;0,54;0,54;
12/03/2015;15;36;59;41;7;0,64;2,82;3,5;
11/03/2015;5;35;42;31;14;0,79;1,17;1,6;
10/03/2015;26;45;84;36;15;0,85;3,13;3,45;
09/03/2015;28;49;92;29;14;0,76;2,22;2,92;
08/03/2015;7;36;47;22;18;0,87;1,38;2,4;
07/03/2015;22;55;88;24;19;1,05;3,56;4,65;
06/03/2015;33;54;104;31;10;0,94;4,3;5;
05/03/2015;4;24;30;14;4;0,41;0,76;1,03;
04/03/2015;3;13;18;7;4;0,45;0,34;0,48;
03/03/2015;14;34;56;15;5;0,51;1,87;3,6;
02/03/2015;10;39;55;12;4;0,66;3,45;3,74;
01/03/2015;11;30;47;17;4;0,59;1,54;2,37;
28/02/2015;4;26;33;9;8;0,6;0,86;1,31;
27/02/2015;3;12;16;9;4;0,35;0,33;0,43;
26/02/2015;4;15;21;4;13;0,46;0,67;0,6;
25/02/2015;4;22;28;5;33;0,73;1,02;0,88;
24/02/2015;4;17;23;7;15;0,49;0,39;0,5;
23/02/2015;5;24;32;9;12;0,54;0,74;1;
22/02/2015;2;12;16;8;5;0,48;0,41;0,59;
21/02/2015;2;6;9;6;4;0,39;0,21;0,3;
20/02/2015;4;21;26;9;6;0,47;1,37;1,95;
19/02/2015;30;56;102;17;11;0,67;3,01;4,6;
18/02/2015;7;30;41;12;5;0,51;0,9;1,51;
17/02/2015;2;8;11;12;4;0,26;0,03;0,08;
16/02/2015;3;16;20;8;16;0,44;0,47;0,53;
15/02/2015;2;13;16;4;4;0,38;0,36;0,51;
14/02/2015;2;10;13;3;4;0,29;0,13;0,24;
13/02/2015;3;13;17;9;7;0,4;0,19;0,46;
12/02/2015;4;18;24;15;5;0,43;0,43;0,76;
11/02/2015;20;38;68;28;9;0,73;1,81;2,18;
10/02/2015;22;38;72;23;8;0,71;2,02;2,61;
09/02/2015;14;37;59;22;6;0,55;1,6;1,89;
08/02/2015;3;15;19;18;7;1,09;1,76;1,67;
07/02/2015;11;34;52;21;5;1,08;1,25;1,9;
06/02/2015;5;23;30;8;6;0,9;2,87;1,83;
05/02/2015;3;11;15;7;4;0,36;0,32;0,37;
04/02/2015;3;14;19;7;4;0,45;3,09;0,72;
03/02/2015;6;29;38;7;5;0,51;1,42;1,39;
02/02/2015;5;19;27;3;4;0,35;0,4;0,6;
01/02/2015;2;8;11;15;8;0,43;0,31;0,39;
31/01/2015;2;11;14;8;9;0,47;0,23;0,41;
30/01/2015;3;17;22;9;6;0,55;0,4;0,67;
29/01/2015;7;21;32;9;14;0,45;0,5;0,61;
28/01/2015;4;21;26;7;10;0,44;2,36;0,9;
27/01/2015;4;25;30;8;13;0,66;0,89;0,89;
26/01/2015;37;39;96;23;10;0,79;3,69;6,32;
25/01/2015;5;28;36;17;8;0,6;1,11;2,03;
24/01/2015;17;29;55;19;8;0,78;2,68;4,18;
23/01/2015;11;30;47;13;5;0,65;0,92;1,39;
22/01/2015;3;12;16;7;4;0,42;0,26;0,46;69
21/01/2015;3;13;18;5;6;0,37;0,15;0,3;71
20/01/2015;8;27;39;8;5;0,58;0,94;1,71;41
19/01/2015;3;13;18;8;4;0,38;0,29;0,44;67
18/01/2015;2;8;11;3;4;0,32;0,08;0,32;66
17/01/2015;3;14;18;8;7;0,4;0,14;0,53;61
16/01/2015;3;14;19;3;4;0,33;0,33;0,88;66
15/01/2015;3;12;16;8;4;0,26;0,23;0,42;69
14/01/2015;14;18;39;10;7;0,5;0,91;1,44;54
13/01/2015;3;10;14;11;5;0,33;0,2;0,35;60
12/01/2015;7;24;35;13;6;0,41;0,54;2,39;47
11/01/2015;6;22;31;14;6;0,47;0,99;1,09;50
