Date;CO (mg/m3);CO 8h (mg/m3);NH3 (µg/m3);NO (µg/m3);NO2 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
03/09/2015;0,23;0,23;4;8;32;13;7;6
02/09/2015;0,24;0,22;4;15;24;17;7;5
01/09/2015;0,19;0,19;4;6;22;9;6;5
31/08/2015;0,38;0,39;5;9;23;;10;5
30/08/2015;0,39;0,38;4;6;22;41;13;5
29/08/2015;0,24;0,24;4;8;18;22;12;7
28/08/2015;0,51;0,56;6;16;22;24;7;5
27/08/2015;0,53;0,44;4;12;26;17;6;5
26/08/2015;0,39;0,38;3;17;37;24;10;13
25/08/2015;0,24;0,25;3;10;25;10;5;7
24/08/2015;;;3;7;19;12;3;5
23/08/2015;0,16;0,18;4;4;10;;3;6
22/08/2015;0,32;0,33;4;5;18;23;15;5
21/08/2015;0,33;0,32;4;13;29;31;17;8
20/08/2015;0,27;0,23;3;10;30;23;10;11
19/08/2015;0,4;0,52;4;13;22;14;7;8
18/08/2015;0,4;0,32;3;12;25;17;7;6
17/08/2015;0,26;0,22;2;11;20;17;8;7
16/08/2015;0,21;0,22;2;5;17;13;5;6
15/08/2015;0,22;0,2;2;4;13;9;4;6
14/08/2015;0,16;0,15;3;4;13;15;5;10
13/08/2015;0,21;0,22;3;6;18;14;6;8
12/08/2015;0,44;0,45;3;15;36;;12;6
11/08/2015;0,46;0,5;4;16;26;31;13;6
10/08/2015;0,31;0,28;2;10;29;16;8;6
09/08/2015;0,16;0,13;2;3;12;11;5;7
08/08/2015;0,14;0,15;3;4;13;9;3;6
07/08/2015;0,23;0,21;3;6;22;9;5;5
06/08/2015;0,45;0,49;4;15;25;26;11;6
05/08/2015;0,27;0,23;3;10;22;18;9;7
04/08/2015;0,19;0,18;3;6;25;11;5;6
03/08/2015;0,28;0,28;4;11;26;19;8;7
02/08/2015;0,18;0,18;4;3;18;15;8;7
01/08/2015;0,16;0,16;3;4;17;10;6;8
31/07/2015;0,19;0,21;3;4;21;15;5;7
30/07/2015;0,21;0,22;3;10;30;11;7;7
29/07/2015;0,26;0,27;3;11;27;;8;7
28/07/2015;0,28;0,26;3;12;29;20;8;7
27/07/2015;0,19;0,2;3;7;19;15;;7
26/07/2015;0,22;0,22;3;4;19;18;7;8
25/07/2015;0,16;0,16;3;3;15;11;5;8
24/07/2015;0,31;0,32;3;19;30;28;12;8
23/07/2015;0,27;0,26;3;13;26;15;;7
22/07/2015;0,24;0,24;3;7;25;;6;6
21/07/2015;0,33;0,34;4;13;28;33;;6
20/07/2015;0,31;0,31;3;16;30;29;;12
19/07/2015;0,29;0,29;4;8;21;35;;7
18/07/2015;0,29;0,29;4;7;21;25;12;8
17/07/2015;0,34;0,35;4;16;30;35;22;7
16/07/2015;0,25;0,22;4;6;22;19;12;6
15/07/2015;;;4;11;24;30;12;6
14/07/2015;;;3;10;21;17;9;11
13/07/2015;0,26;0,26;3;19;23;26;15;7
12/07/2015;0,23;0,23;3;3;14;;4;6
11/07/2015;0,18;0,18;3;4;12;18;6;6
10/07/2015;0,23;0,24;3;10;28;28;14;9
09/07/2015;0,21;0,2;3;11;26;16;8;7
08/07/2015;0,17;0,17;4;6;19;;5;6
07/07/2015;0,22;0,22;4;10;21;;12;7
06/07/2015;0,32;0,32;3;10;25;32;;6
05/07/2015;0,22;0,2;3;4;11;;4;5
04/07/2015;0,28;0,34;4;6;17;37;11;9
03/07/2015;0,45;0,38;3;14;27;;17;6
02/07/2015;0,25;0,24;3;6;19;;6;5
01/07/2015;0,26;0,27;3;6;19;32;19;6
30/06/2015;0,45;0,46;3;11;32;;24;6
29/06/2015;0,31;0,28;3;9;29;26;11;6
28/06/2015;0,23;0,23;2;5;14;14;9;7
27/06/2015;0,23;0,22;3;5;17;24;20;8
26/06/2015;0,42;0,43;4;11;30;41;23;9
25/06/2015;0,28;0,27;3;12;37;32;15;9
24/06/2015;0,24;0,25;3;10;24;21;13;10
23/06/2015;0,29;0,26;4;13;23;;;7
22/06/2015;0,38;0,38;4;15;27;27;11;7
21/06/2015;0,35;0,35;3;7;26;24;12;9
20/06/2015;0,4;0,38;3;9;24;22;12;8
19/06/2015;0,21;0,22;3;10;27;23;11;10
18/06/2015;0,23;0,23;3;13;29;20;12;8
17/06/2015;0,17;0,16;2;5;22;19;9;13
16/06/2015;0,16;0,17;3;5;20;10;7;7
15/06/2015;0,17;0,18;3;7;24;15;7;6
14/06/2015;0,29;0,32;3;4;16;9;5;7
13/06/2015;0,28;0,28;4;4;21;11;8;6
12/06/2015;0,37;0,33;5;12;28;24;12;6
11/06/2015;0,33;0,38;6;8;35;19;10;6
10/06/2015;0,47;0,44;4;18;51;29;17;6
09/06/2015;0,24;0,24;3;10;31;25;14;6
08/06/2015;0,25;0,25;3;7;23;22;15;7
07/06/2015;0,25;0,24;3;3;12;16;8;5
06/06/2015;0,18;0,18;3;3;12;18;6;6
05/06/2015;0,29;0,34;4;12;28;30;16;7
04/06/2015;0,49;0,45;3;16;39;39;17;7
03/06/2015;0,25;0,25;2;6;24;15;10;6
02/06/2015;0,23;0,24;2;11;25;18;12;7
01/06/2015;0,31;0,29;3;10;25;15;10;7
31/05/2015;0,23;0,24;3;6;19;23;17;8
30/05/2015;0,22;0,22;3;9;27;19;14;9
29/05/2015;0,18;0,18;3;5;21;8;;6
28/05/2015;0,2;0,2;2;12;26;18;13;7
27/05/2015;0,16;0,16;2;8;27;17;8;7
26/05/2015;0,14;0,14;2;5;17;15;9;6
25/05/2015;0,15;0,16;3;5;15;9;6;5
24/05/2015;0,15;0,15;3;3;12;7;4;6
23/05/2015;0,32;0,33;4;7;19;17;9;6
22/05/2015;0,22;0,22;3;10;25;16;9;7
21/05/2015;0,18;0,18;2;11;28;13;7;7
20/05/2015;0,18;0,18;2;6;24;13;7;6
19/05/2015;0,16;0,16;3;5;21;12;5;6
18/05/2015;0,24;0,24;2;18;23;15;10;7
17/05/2015;0,17;0,16;3;3;14;9;5;5
16/05/2015;0,17;0,16;3;3;14;11;4;6
15/05/2015;0,17;0,17;3;6;21;12;6;7
14/05/2015;0,14;0,15;3;6;20;17;8;7
13/05/2015;0,32;0,34;3;9;23;27;18;7
12/05/2015;0,24;0,23;3;8;25;33;20;11
11/05/2015;0,26;0,27;4;6;19;27;11;6
10/05/2015;0,29;0,31;4;6;23;20;12;8
09/05/2015;0,51;0,47;5;6;26;17;8;6
08/05/2015;0,37;0,36;4;14;31;19;8;8
07/05/2015;0,27;0,26;3;14;47;24;10;10
06/05/2015;0,19;0,18;3;13;28;14;6;7
05/05/2015;0,2;0,19;3;7;22;13;4;6
04/05/2015;0,3;0,32;4;21;26;13;;6
03/05/2015;0,19;0,18;4;4;15;13;5;6
02/05/2015;0,35;0,34;4;8;19;12;4;6
01/05/2015;0,16;0,17;4;3;8;7;3;6
30/04/2015;0,25;0,26;4;9;36;20;12;10
29/04/2015;0,29;0,28;4;28;41;22;12;10
28/04/2015;0,24;0,22;3;18;28;15;8;6
27/04/2015;0,17;0,18;4;6;19;8;5;7
26/04/2015;0,24;0,23;5;4;16;7;4;6
25/04/2015;0,45;0,47;6;7;20;;10;7
24/04/2015;0,5;0,49;7;26;42;37;19;8
23/04/2015;0,27;0,25;5;15;36;16;10;8
22/04/2015;0,24;0,26;7;8;36;18;9;7
21/04/2015;0,45;0,41;5;29;52;35;19;11
20/04/2015;0,25;0,25;5;19;38;24;14;12
19/04/2015;0,33;0,37;5;5;22;11;7;7
18/04/2015;0,24;0,24;7;6;24;15;11;7
17/04/2015;0,46;0,41;8;24;43;31;20;6
16/04/2015;0,26;0,26;8;23;51;33;14;8
15/04/2015;0,19;0,18;5;6;35;24;9;5
14/04/2015;0,21;0,26;6;11;43;32;12;8
