Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);O3 (µg/m3)
09/07/2015;8;16;29;;6;
08/07/2015;4;9;16;10;2;
07/07/2015;6;11;20;18;8;
06/07/2015;;;;20;9;
05/07/2015;5;9;17;20;6;
04/07/2015;4;12;19;18;9;
03/07/2015;6;15;24;28;10;
02/07/2015;4;12;19;14;;
01/07/2015;4;13;19;32;17;
30/06/2015;6;22;31;31;14;
29/06/2015;4;18;25;17;7;
28/06/2015;4;11;18;14;;
27/06/2015;5;13;20;;14;
26/06/2015;7;19;29;;18;
25/06/2015;9;28;43;26;12;
24/06/2015;10;18;33;29;;
23/06/2015;10;16;31;;21;
22/06/2015;10;19;34;20;9;
21/06/2015;5;19;27;20;9;
20/06/2015;7;16;27;17;9;
19/06/2015;8;22;34;20;8;
18/06/2015;11;22;39;21;10;
17/06/2015;3;21;26;20;9;
16/06/2015;4;16;21;16;6;
15/06/2015;5;19;27;17;7;
14/06/2015;3;11;16;13;5;
13/06/2015;2;11;15;14;5;
12/06/2015;6;18;27;21;10;
11/06/2015;4;21;27;18;6;
10/06/2015;10;37;53;26;13;
09/06/2015;12;25;43;28;12;
08/06/2015;4;16;22;30;15;
07/06/2015;3;9;14;18;7;
06/06/2015;2;9;13;13;6;
05/06/2015;7;20;31;25;12;
04/06/2015;8;18;30;28;12;
03/06/2015;3;10;15;23;9;
02/06/2015;6;20;30;31;12;
01/06/2015;7;16;27;24;7;
31/05/2015;3;11;15;23;9;
30/05/2015;5;18;26;24;10;
29/05/2015;3;14;19;19;6;
28/05/2015;8;18;31;27;10;
27/05/2015;5;18;26;27;9;
26/05/2015;4;14;20;25;6;
25/05/2015;3;8;13;18;5;
24/05/2015;2;6;9;18;4;
23/05/2015;4;13;20;21;5;
22/05/2015;5;19;27;23;7;
21/05/2015;10;22;37;21;6;
20/05/2015;4;16;22;19;5;
19/05/2015;3;13;18;21;5;
18/05/2015;12;16;34;23;7;
17/05/2015;2;10;14;17;5;
16/05/2015;2;9;12;20;4;
15/05/2015;3;12;17;16;4;
14/05/2015;3;12;17;26;6;
13/05/2015;6;17;25;34;14;
12/05/2015;4;20;26;36;20;
11/05/2015;3;13;18;33;18;
10/05/2015;3;14;19;25;10;
09/05/2015;4;19;26;19;6;
08/05/2015;7;22;32;22;6;
07/05/2015;9;26;40;23;9;
06/05/2015;9;21;34;18;6;
05/05/2015;5;18;25;20;5;
04/05/2015;9;16;30;22;7;
03/05/2015;3;12;16;15;6;
02/05/2015;4;11;16;14;4;
01/05/2015;2;4;8;11;3;
30/04/2015;9;32;46;25;11;
29/04/2015;15;29;53;23;10;
28/04/2015;9;18;32;18;6;
27/04/2015;4;14;19;15;4;
26/04/2015;2;10;14;12;4;
25/04/2015;5;13;21;22;8;
24/04/2015;14;32;53;32;14;
23/04/2015;6;25;34;19;8;
22/04/2015;3;20;25;17;9;
21/04/2015;15;31;55;26;12;
20/04/2015;12;32;50;28;13;
19/04/2015;3;16;20;14;6;
18/04/2015;4;18;23;20;8;
17/04/2015;13;30;49;25;12;
16/04/2015;10;33;47;31;14;
15/04/2015;2;16;20;22;9;
14/04/2015;8;27;40;34;15;
13/04/2015;3;25;30;32;13;
12/04/2015;4;23;30;23;11;
11/04/2015;4;21;27;16;8;
10/04/2015;3;21;26;15;7;
09/04/2015;3;14;19;15;6;
08/04/2015;3;10;14;15;6;
07/04/2015;17;35;61;20;;
06/04/2015;8;26;37;16;;
05/04/2015;3;16;20;13;;
04/04/2015;2;10;14;9;;
03/04/2015;5;18;27;19;8;
02/04/2015;5;27;35;21;8;
01/04/2015;4;20;27;23;7;
31/03/2015;4;16;22;19;6;
30/03/2015;11;23;40;24;8;
29/03/2015;8;29;41;19;8;
28/03/2015;7;22;32;18;8;
27/03/2015;7;32;43;14;5;
26/03/2015;10;32;48;13;5;
25/03/2015;4;16;22;12;3;
24/03/2015;11;33;50;19;7;
23/03/2015;14;50;71;17;9;
22/03/2015;2;11;15;23;9;
21/03/2015;4;26;32;30;14;
20/03/2015;3;21;26;52;28;
19/03/2015;8;30;41;27;15;
18/03/2015;29;58;102;30;15;
17/03/2015;8;39;51;24;12;
16/03/2015;21;42;75;37;19;
15/03/2015;9;28;42;31;14;
14/03/2015;3;18;22;22;11;
13/03/2015;4;21;28;25;8;
12/03/2015;18;39;67;41;25;
11/03/2015;15;44;67;49;26;
10/03/2015;27;49;91;37;18;
09/03/2015;20;52;83;35;17;
08/03/2015;13;35;55;28;16;
07/03/2015;22;39;73;27;16;
06/03/2015;39;52;112;30;16;
05/03/2015;18;34;61;17;8;
04/03/2015;4;15;21;9;;
03/03/2015;12;32;50;16;8;
02/03/2015;13;29;50;12;6;
01/03/2015;7;21;32;12;7;
28/02/2015;8;37;49;17;10;
27/02/2015;4;20;27;14;5;
26/02/2015;4;17;23;9;3;
25/02/2015;3;15;20;10;4;
24/02/2015;3;17;22;13;;
23/02/2015;6;27;36;11;;
22/02/2015;3;17;21;12;5;
21/02/2015;2;7;10;9;3;
20/02/2015;15;30;53;18;10;
19/02/2015;40;50;112;25;15;
18/02/2015;30;40;86;19;11;
17/02/2015;3;11;16;16;5;
16/02/2015;4;23;30;12;4;
15/02/2015;3;20;24;9;3;
14/02/2015;2;18;21;7;;
13/02/2015;9;25;40;16;9;
12/02/2015;13;41;61;23;13;
11/02/2015;36;55;111;36;20;
10/02/2015;39;59;118;32;20;
09/02/2015;19;34;63;24;11;
08/02/2015;9;28;42;26;17;
07/02/2015;10;36;52;25;17;
06/02/2015;14;37;59;16;9;
05/02/2015;6;19;28;11;4;
04/02/2015;11;33;50;13;7;
03/02/2015;8;34;46;9;;
02/02/2015;10;32;47;10;;
01/02/2015;2;9;13;13;4;
31/01/2015;2;10;14;11;3;
30/01/2015;4;26;32;14;4;
29/01/2015;6;23;32;13;7;
28/01/2015;18;44;71;16;9;27
27/01/2015;9;46;59;16;9;32
26/01/2015;36;60;116;31;17;16
25/01/2015;8;31;42;16;9;29
24/01/2015;26;33;74;22;12;27
23/01/2015;48;50;124;21;14;26
22/01/2015;9;29;43;12;6;51
21/01/2015;3;22;27;14;6;63
20/01/2015;14;42;65;21;10;27
19/01/2015;4;23;30;17;5;56
18/01/2015;3;13;17;14;6;58
