Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
26/09/2015;0,31;0,31;6;18;27;40;42;23;5;
25/09/2015;0,28;0,26;12;19;38;41;42;27;;
24/09/2015;0,23;0,23;6;16;26;41;38;16;9;
23/09/2015;0,15;0,14;3;8;14;56;63;12;2;
22/09/2015;0,12;0,13;3;6;11;70;71;17;4;
21/09/2015;0,3;;13;18;37;54;48;19;13;
20/09/2015;0,21;0,21;4;15;21;48;48;12;7;
19/09/2015;0,23;0,23;5;17;25;48;53;15;8;
18/09/2015;0,2;0,21;7;16;27;55;49;16;7;
17/09/2015;;;4;14;20;55;62;16;5;
16/09/2015;;;3;5;10;64;62;15;4;
15/09/2015;0,21;0,21;7;17;27;45;44;18;8;
14/09/2015;;;3;9;14;66;69;27;7;
13/09/2015;0,19;0,2;3;9;14;49;46;13;7;
12/09/2015;0,17;0,17;3;8;13;56;60;22;11;
11/09/2015;0,22;0,22;6;16;26;60;53;20;13;
10/09/2015;0,24;0,24;7;17;27;52;57;23;12;
09/09/2015;0,21;0,2;7;22;34;56;56;26;18;
08/09/2015;0,21;0,21;8;24;37;48;51;20;12;
07/09/2015;0,24;0,24;8;21;33;47;49;19;10;
06/09/2015;0,24;;5;16;23;52;52;13;8;
05/09/2015;0,2;;4;14;20;52;57;11;5;
04/09/2015;;;4;8;14;66;66;9;4;
03/09/2015;0,16;0,15;4;12;18;59;59;10;5;
02/09/2015;0,31;0,32;9;17;30;47;43;20;10;
01/09/2015;0,13;0,13;3;7;12;66;70;13;5;
31/08/2015;0,21;0,22;3;8;12;60;61;;13;
30/08/2015;0,21;0,2;2;8;11;61;61;;14;
29/08/2015;0,22;0,21;3;10;15;44;40;;18;
28/08/2015;0,21;0,21;3;7;12;40;41;;7;
27/08/2015;0,17;0,17;2;10;13;49;47;;4;
26/08/2015;0,17;0,18;3;13;17;51;50;25;7;
25/08/2015;0,17;0,16;4;14;19;41;43;12;5;
24/08/2015;0,13;0,12;2;6;9;58;60;22;6;
23/08/2015;;;2;6;10;59;59;14;;
22/08/2015;0,23;0,22;2;7;10;58;63;;24;
21/08/2015;0,29;0,28;4;16;22;62;63;27;;
20/08/2015;0,2;0,19;3;14;19;58;59;;13;
19/08/2015;0,2;0,19;3;9;14;49;51;15;7;
18/08/2015;0,27;0,27;4;11;17;52;54;20;11;
17/08/2015;0,34;;5;13;21;51;51;19;9;
16/08/2015;0,17;0,17;3;10;14;39;38;20;7;
15/08/2015;0,18;0,16;2;9;13;42;45;18;7;
14/08/2015;0,13;0,13;2;5;8;64;66;23;7;
13/08/2015;0,21;0,21;2;9;13;60;62;;8;
12/08/2015;0,27;0,27;5;15;23;59;56;;19;
11/08/2015;0,31;0,31;4;14;21;64;63;;20;
10/08/2015;0,18;0,18;3;12;16;66;63;16;12;
09/08/2015;0,14;0,13;2;6;8;68;70;16;6;
08/08/2015;;;2;5;8;65;65;14;4;
07/08/2015;0,13;;2;8;12;54;52;12;;
06/08/2015;0,24;0,25;4;12;18;48;50;37;15;
05/08/2015;0,22;0,2;3;13;18;49;46;30;14;
04/08/2015;0,16;0,15;2;8;12;50;51;;4;
03/08/2015;0,26;0,28;3;12;16;56;66;;12;
02/08/2015;0,17;;1;9;9;87;85;34;11;
01/08/2015;;;1;12;13;72;72;14;8;
31/07/2015;;;1;12;13;70;64;16;7;
30/07/2015;;;1;13;15;50;50;13;6;
29/07/2015;;;1;14;15;45;48;;8;
28/07/2015;0,26;0,25;3;13;18;61;62;23;9;
27/07/2015;0,21;0,21;4;8;14;51;49;19;6;
26/07/2015;0,22;0,21;5;12;20;56;60;17;8;
25/07/2015;0,19;0,19;4;9;15;66;67;21;7;
24/07/2015;0,31;0,32;11;20;37;45;45;21;12;
23/07/2015;0,22;0,21;5;12;21;40;44;16;8;
22/07/2015;0,2;0,2;3;8;13;44;43;13;7;
21/07/2015;0,22;0,22;4;11;17;37;38;17;;
20/07/2015;0,37;;7;14;25;44;46;23;18;
19/07/2015;0,27;0,27;5;12;19;36;36;21;20;
18/07/2015;0,22;0,2;4;8;14;38;40;19;14;
17/07/2015;0,29;0,3;8;16;27;41;40;22;21;
16/07/2015;0,21;0,21;4;8;14;45;46;14;13;
15/07/2015;0,19;0,19;4;9;15;46;47;20;12;
14/07/2015;0,3;;5;12;19;42;41;21;;
13/07/2015;0,3;;7;13;23;37;37;16;9;
12/07/2015;0,17;0,17;3;7;12;50;52;10;5;
11/07/2015;0,14;0,13;3;5;10;59;60;19;7;
10/07/2015;0,19;0,2;5;14;21;60;59;22;13;
09/07/2015;0,17;0,15;4;7;13;60;61;14;5;
08/07/2015;0,12;0,13;3;4;9;60;59;10;3;
07/07/2015;0,2;0,2;4;9;14;60;59;22;15;
06/07/2015;0,2;0,2;4;9;15;60;58;15;11;
05/07/2015;0,2;0,21;3;7;12;51;50;13;4;
04/07/2015;0,29;0,29;4;10;16;49;54;19;11;
03/07/2015;0,29;0,27;5;13;20;69;67;21;;
02/07/2015;0,19;0,2;3;7;12;53;;14;;
01/07/2015;0,22;0,23;3;7;12;62;65;27;;
30/06/2015;0,3;0,31;4;16;23;67;65;31;23;
29/06/2015;0,24;0,22;4;8;13;50;46;17;10;
28/06/2015;0,26;0,27;4;10;17;33;34;14;10;
27/06/2015;0,2;0,19;4;8;15;50;56;25;21;
26/06/2015;0,23;0,24;4;9;14;69;71;29;27;
25/06/2015;0,25;0,24;6;15;25;70;66;23;14;
24/06/2015;0,38;;7;15;26;44;40;29;25;
23/06/2015;;;5;12;20;38;41;28;23;
22/06/2015;0,24;0,24;6;10;19;48;49;17;10;
21/06/2015;0,27;0,27;5;12;20;56;57;17;11;
20/06/2015;0,28;;5;11;19;50;48;;10;
19/06/2015;0,24;0,24;4;10;16;48;51;17;9;
18/06/2015;0,29;0,29;6;13;22;68;71;18;11;
17/06/2015;0,18;0,17;3;6;11;85;83;13;8;
16/06/2015;0,16;0,16;3;5;9;80;81;11;6;
15/06/2015;0,19;0,19;3;5;9;82;82;13;7;
14/06/2015;0,21;0,21;4;8;13;81;80;12;6;
13/06/2015;0,21;0,21;3;7;12;77;78;11;7;
12/06/2015;0,22;0,23;3;10;16;77;77;18;11;
11/06/2015;0,26;0,27;4;14;19;70;63;16;12;
10/06/2015;0,24;0,22;4;20;26;59;67;22;15;
09/06/2015;0,24;0,25;4;15;21;76;81;28;14;
08/06/2015;0,25;0,24;4;10;17;80;78;27;13;
07/06/2015;0,21;0,2;3;5;9;66;63;24;8;
06/06/2015;0,18;0,17;3;5;9;58;58;12;5;
05/06/2015;0,25;0,27;4;12;18;59;57;54;17;
04/06/2015;0,24;0,23;4;12;19;60;59;35;17;
03/06/2015;0,2;0,2;3;6;11;63;65;30;12;
02/06/2015;0,25;0,24;4;11;17;46;42;21;13;
01/06/2015;0,23;;3;11;16;40;;14;8;
31/05/2015;0,27;0,27;4;10;16;53;55;17;14;
30/05/2015;0,27;0,26;5;15;23;55;53;16;12;
29/05/2015;0,21;0,2;3;6;11;76;80;10;7;
28/05/2015;0,22;0,22;8;14;27;59;58;18;13;
27/05/2015;0,21;0,2;3;6;11;74;74;16;8;
26/05/2015;0,17;0,18;3;4;9;72;71;15;6;
25/05/2015;0,19;0,18;3;4;8;61;60;9;5;
24/05/2015;0,19;0,19;3;4;9;55;55;10;5;
23/05/2015;0,16;0,15;3;4;9;75;79;13;6;
22/05/2015;0,16;0,16;3;4;8;84;83;16;7;
21/05/2015;0,17;;3;3;8;83;83;17;5;
20/05/2015;;;3;4;9;82;82;18;7;
19/05/2015;;;2;5;8;81;79;22;6;4
18/05/2015;0,26;0,27;7;12;23;52;49;20;9;5
17/05/2015;0,21;0,2;4;6;12;64;66;13;6;4
16/05/2015;0,2;0,21;4;5;11;76;78;16;5;5
15/05/2015;0,19;0,19;4;4;10;76;77;21;6;4
14/05/2015;0,19;0,19;4;6;12;72;70;18;8;4
13/05/2015;0,27;0,28;4;9;15;65;69;24;20;5
12/05/2015;0,22;0,21;4;13;20;68;70;30;26;13
11/05/2015;0,27;0,3;4;8;14;78;75;24;20;5
10/05/2015;0,28;0,26;5;11;19;67;65;20;14;5
09/05/2015;0,27;0,28;4;8;14;67;70;12;5;4
08/05/2015;0,24;0,25;5;12;19;86;85;16;7;6
07/05/2015;0,32;0,29;7;24;34;67;65;30;12;6
06/05/2015;0,21;0,2;5;10;18;81;83;17;5;4
05/05/2015;0,17;0,18;5;10;17;79;79;19;5;5
04/05/2015;0,23;0,23;4;14;20;48;43;17;;4
03/05/2015;0,18;0,17;0;7;7;59;61;15;6;4
02/05/2015;0,23;0,22;1;10;11;38;38;12;4;4
01/05/2015;0,18;0,19;0;6;7;52;53;12;4;5
30/04/2015;0,27;0,27;2;23;27;52;52;21;13;7
29/04/2015;0,24;0,23;3;15;20;58;62;20;10;5
28/04/2015;0,16;0,16;2;6;9;72;75;13;4;3
27/04/2015;0,19;0,19;2;5;8;80;80;11;4;3
26/04/2015;0,18;0,2;2;7;10;75;73;11;5;3
25/04/2015;0,29;;3;11;16;59;57;15;10;4
24/04/2015;0,3;0,3;7;18;30;45;43;27;16;5
23/04/2015;0,23;0,22;2;12;15;61;66;14;8;3
22/04/2015;0,23;0,25;2;16;19;84;85;17;9;4
21/04/2015;0,32;0,3;7;25;37;58;55;23;14;7
20/04/2015;0,26;0,27;6;21;29;60;61;20;11;5
19/04/2015;0,22;0,2;2;8;12;80;82;11;4;3
18/04/2015;0,22;0,23;2;10;13;69;66;16;8;3
17/04/2015;0,24;0,26;2;14;18;63;60;21;10;3
16/04/2015;0,34;0,32;3;22;28;61;65;36;17;5
15/04/2015;0,24;0,24;2;15;18;91;92;26;12;4
14/04/2015;0,32;;4;21;27;85;84;31;16;5
13/04/2015;0,25;0,25;;;;94;93;33;15;4
12/04/2015;0,26;0,26;;;;67;65;25;14;4
11/04/2015;0,3;0,29;;;;63;63;14;10;3
10/04/2015;0,22;;;;;83;82;18;9;3
09/04/2015;;;5;15;23;85;87;27;13;4
08/04/2015;;;17;12;38;;;13;7;
07/04/2015;;;20;27;57;;;21;12;
06/04/2015;;;13;20;41;;;18;10;
05/04/2015;;;9;10;23;;;11;6;5
04/04/2015;;;9;4;17;;;11;4;5
03/04/2015;;;13;15;36;;;21;10;9
02/04/2015;;;13;18;38;;;33;12;
01/04/2015;;;11;8;25;;;35;11;
31/03/2015;;;8;5;17;69;69;28;9;5
30/03/2015;;;10;8;24;75;;27;11;5
29/03/2015;;;13;15;35;;;24;9;6
28/03/2015;0,31;;10;14;29;;;19;9;6
27/03/2015;0,2;0,2;7;10;21;68;70;13;4;5
26/03/2015;0,21;;5;14;22;60;61;14;4;5
25/03/2015;0,25;;4;3;9;83;83;13;3;4
24/03/2015;0,19;0,19;2;8;11;70;66;14;8;5
23/03/2015;0,25;0,27;3;28;32;39;41;11;7;5
22/03/2015;0,24;0,24;2;9;12;67;67;19;15;4
21/03/2015;0,31;0,3;2;18;22;49;51;26;19;5
20/03/2015;0,26;;4;11;16;69;67;45;38;4
19/03/2015;;;12;22;41;49;46;25;17;6
18/03/2015;;;15;33;55;53;51;25;14;8
17/03/2015;;;16;23;47;67;64;19;12;6
16/03/2015;;;14;36;57;35;34;34;28;6
15/03/2015;0,2;0,21;4;19;25;59;65;32;21;5
14/03/2015;0,2;;1;7;9;75;77;26;13;4
13/03/2015;;;6;6;16;80;76;31;10;5
12/03/2015;;;19;21;51;58;58;41;31;7
11/03/2015;0,32;;9;23;37;58;60;44;27;8
10/03/2015;;;30;31;77;50;52;51;21;10
09/03/2015;;;19;24;53;58;59;38;17;7
08/03/2015;;;26;28;67;49;43;43;20;10
07/03/2015;;;32;37;87;33;32;34;20;12
06/03/2015;;;24;42;79;30;33;37;18;8
05/03/2015;;;13;18;39;68;76;21;8;5
04/03/2015;0,27;;9;5;20;84;83;19;5;4
03/03/2015;0,31;;16;17;41;56;50;24;9;6
02/03/2015;0,29;;11;22;39;47;51;21;8;5
01/03/2015;;;16;20;45;;;18;8;6
28/02/2015;0,22;;10;23;37;44;44;16;7;6
27/02/2015;;;8;10;23;79;83;25;7;5
26/02/2015;0,22;0,23;7;6;16;70;70;8;3;4
25/02/2015;0,23;0,22;5;5;13;79;81;25;6;4
24/02/2015;0,19;0,21;4;6;13;81;81;31;7;4
23/02/2015;0,28;0,26;9;18;32;58;51;23;7;5
22/02/2015;0,25;;5;13;21;68;75;21;5;4
21/02/2015;;;4;5;12;82;80;18;5;4
20/02/2015;0,27;0,31;6;27;37;49;42;19;10;7
19/02/2015;0,33;0,31;15;43;65;30;30;24;12;8
18/02/2015;0,25;;10;25;40;52;61;21;9;5
17/02/2015;0,21;;5;5;13;78;79;26;7;4
16/02/2015;0,17;;4;9;16;71;70;17;5;4
15/02/2015;0,3;0,34;3;9;14;64;60;11;4;4
14/02/2015;0,25;0,22;4;19;25;63;67;18;5;5
13/02/2015;0,24;0,26;5;17;25;66;;17;8;5
12/02/2015;0,27;0,25;7;27;39;56;;24;13;5
11/02/2015;0,26;0,27;9;34;48;49;45;25;18;8
10/02/2015;0,29;0,29;14;46;68;33;32;24;16;7
09/02/2015;0,24;0,23;8;26;37;54;60;27;14;5
08/02/2015;0,31;0,38;6;19;29;49;41;22;16;5
07/02/2015;0,46;0,4;15;38;61;18;24;26;21;5
06/02/2015;0,26;0,26;6;17;26;44;48;12;8;4
05/02/2015;0,21;0,22;5;7;15;74;73;15;5;4
04/02/2015;0,21;0,22;5;12;20;66;63;13;5;4
03/02/2015;0,22;0,22;7;21;31;61;61;10;5;4
02/02/2015;0,26;0,26;8;24;36;49;53;7;4;6
01/02/2015;0,21;0,2;5;5;12;82;83;23;7;4
31/01/2015;0,22;0,22;5;4;13;84;81;18;4;4
30/01/2015;0,22;0,22;7;12;22;75;76;37;8;4
29/01/2015;0,22;0,22;7;14;25;56;56;36;9;5
28/01/2015;0,24;0,24;7;17;29;56;56;21;6;5
27/01/2015;0,21;0,2;5;10;18;68;66;19;4;5
26/01/2015;0,38;0,41;18;33;61;35;29;30;14;8
25/01/2015;0,36;0,32;9;27;41;39;46;29;13;5
24/01/2015;0,39;0,45;15;29;52;30;22;20;14;7
23/01/2015;0,37;0,32;14;25;46;48;58;22;12;4
22/01/2015;0,23;0,23;5;6;14;73;73;23;5;5
21/01/2015;0,22;0,22;5;10;18;76;69;30;7;9
20/01/2015;0,33;0,34;9;38;52;27;29;13;9;10
19/01/2015;0,26;0,25;5;10;19;70;70;18;5;6
18/01/2015;0,23;0,23;6;11;21;62;62;11;5;4
17/01/2015;0,25;0,24;6;16;25;60;64;31;8;7
16/01/2015;0,25;0,24;5;11;19;71;69;22;5;6
15/01/2015;0,21;0,21;4;10;17;71;71;28;7;4
14/01/2015;0,33;0,33;9;21;35;48;46;40;13;5
13/01/2015;0,2;0,19;5;12;19;61;62;31;11;5
12/01/2015;0,23;0,24;6;19;29;55;51;27;7;5
11/01/2015;0,23;0,24;5;17;25;53;53;33;10;6
10/01/2015;0,48;0,54;26;33;74;18;15;45;25;10
09/01/2015;0,42;0,37;25;43;82;16;18;49;21;8
08/01/2015;0,45;0,45;23;43;78;18;15;32;17;9
07/01/2015;0,45;0,51;30;44;89;16;15;33;21;7
06/01/2015;0,66;0,57;26;47;87;6;12;30;24;9
05/01/2015;;;10;29;43;25;20;18;11;5
04/01/2015;;;16;43;67;9;9;31;23;7
03/01/2015;;;27;48;89;16;15;33;21;8
02/01/2015;0,22;;33;56;107;12;13;24;18;8
01/01/2015;;;14;47;68;16;19;25;28;9
