Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2015;0,29;0,27;6;26;35;35;43;20;10;
30/12/2015;0,17;0,16;2;5;8;67;64;14;5;
29/12/2015;0,18;0,19;3;11;15;59;61;10;4;
28/12/2015;0,21;0,2;2;10;13;58;55;19;9;
27/12/2015;0,24;0,24;3;16;20;44;45;9;7;
26/12/2015;0,2;0,19;2;11;15;51;51;9;7;
25/12/2015;0,19;0,18;2;7;10;61;63;8;4;
24/12/2015;0,19;0,21;2;8;11;59;56;15;7;
23/12/2015;0,22;0,2;5;28;36;44;49;15;9;
22/12/2015;0,19;;2;11;15;71;69;11;5;
21/12/2015;0,23;0,25;5;25;32;43;35;14;7;
20/12/2015;0,21;0,19;2;16;20;46;50;31;15;
19/12/2015;0,17;0,17;1;9;10;54;54;36;18;
18/12/2015;0,18;0,19;4;22;28;43;45;30;16;
17/12/2015;0,17;0,18;2;12;15;53;52;46;22;
16/12/2015;0,23;;3;22;27;40;40;44;23;
15/12/2015;;;1;10;13;51;53;34;17;
14/12/2015;0,17;0,16;2;8;11;59;58;20;10;
13/12/2015;0,17;;3;15;19;45;40;12;9;
12/12/2015;0,24;;5;24;31;23;22;14;9;
11/12/2015;0,28;0,28;12;30;49;12;12;17;12;
10/12/2015;0,29;0,26;18;38;67;15;17;24;13;
09/12/2015;0,23;0,25;8;28;40;31;32;17;9;
08/12/2015;0,24;;2;15;19;51;54;20;11;
07/12/2015;;;2;9;12;56;55;21;16;
06/12/2015;0,22;0,26;3;13;17;46;40;21;19;
05/12/2015;0,38;0,38;15;30;52;17;17;26;18;
04/12/2015;0,34;0,29;16;32;57;32;43;30;13;
03/12/2015;0,24;0,27;4;20;26;47;39;18;11;
02/12/2015;0,48;0,55;44;47;115;8;8;48;28;
01/12/2015;0,37;0,34;37;30;86;13;14;45;27;
30/11/2015;0,47;0,46;37;43;99;11;12;42;25;
29/11/2015;0,32;0,34;8;30;42;29;32;48;16;
28/11/2015;0,2;0,15;4;17;22;56;63;28;7;
27/11/2015;0,18;0,19;5;19;27;50;48;15;4;
26/11/2015;0,16;0,16;2;4;8;75;76;34;13;
25/11/2015;0,2;;2;4;7;76;73;31;13;
24/11/2015;;0,42;17;34;61;33;29;19;11;
23/11/2015;0,37;0,37;16;34;59;24;22;19;12;
22/11/2015;0,23;;4;20;26;50;53;15;6;
21/11/2015;;;3;5;9;69;69;26;8;
20/11/2015;0,29;0,31;15;32;54;12;9;43;24;
19/11/2015;0,36;0,43;25;37;75;13;14;38;21;
18/11/2015;0,35;0,28;24;39;76;10;11;34;20;
17/11/2015;0,29;0,3;12;37;55;12;13;21;18;
16/11/2015;0,5;0,53;27;39;80;12;12;33;22;
15/11/2015;0,35;0,29;9;30;44;19;20;23;13;
14/11/2015;0,25;0,24;5;19;27;34;38;11;7;
13/11/2015;0,38;0,42;26;32;72;21;15;38;19;
12/11/2015;0,3;0,26;10;29;44;30;32;27;23;
11/11/2015;0,32;0,31;11;31;47;22;26;28;20;
10/11/2015;0,47;0,48;23;28;64;20;18;36;26;
09/11/2015;0,4;0,38;12;35;53;27;34;32;18;
08/11/2015;0,23;0,24;2;14;18;45;43;;8;
07/11/2015;0,17;0,18;3;16;20;41;39;10;6;
06/11/2015;0,22;0,22;5;22;29;35;39;9;6;
05/11/2015;0,19;0,17;3;17;22;48;51;8;4;
04/11/2015;0,16;0,18;3;12;17;52;45;10;5;
03/11/2015;0,19;0,17;4;15;22;51;56;9;5;
02/11/2015;0,21;0,23;5;17;24;63;;15;11;
01/11/2015;0,21;0,2;4;13;19;65;64;14;11;
31/10/2015;0,18;0,17;4;12;18;56;56;13;9;
30/10/2015;0,2;0,2;4;15;21;50;49;16;6;
29/10/2015;0,19;0,19;4;11;16;56;56;8;3;
28/10/2015;;;4;17;24;56;58;16;5;
27/10/2015;0,17;0,18;4;11;17;60;60;14;7;
26/10/2015;0,22;0,24;4;16;23;49;48;17;14;
25/10/2015;0,27;0,25;4;14;20;52;55;16;11;
24/10/2015;0,32;0,34;6;18;27;42;37;30;14;
23/10/2015;0,33;0,32;13;32;52;26;26;34;16;
22/10/2015;0,32;0,33;11;28;45;34;34;23;14;
21/10/2015;0,32;0,28;9;26;40;34;40;19;16;
20/10/2015;0,25;0,24;3;5;10;64;59;17;9;
19/10/2015;0,36;0,4;9;20;34;19;;22;18;
18/10/2015;0,32;0,3;4;14;20;47;51;22;14;
17/10/2015;0,33;0,35;5;24;32;39;36;18;14;
16/10/2015;0,32;0,31;10;28;44;36;37;17;13;
15/10/2015;0,25;;9;30;44;36;34;17;12;
14/10/2015;;;3;20;25;57;67;17;10;
13/10/2015;0,25;0,25;1;6;8;69;68;20;16;
12/10/2015;0,25;0,25;1;10;13;54;55;18;15;
11/10/2015;0,25;0,26;2;16;18;66;65;30;18;
10/10/2015;0,29;;2;22;25;55;54;17;12;
09/10/2015;0,33;0,34;7;24;36;42;44;18;11;
08/10/2015;0,25;0,24;8;24;35;35;36;22;9;
07/10/2015;0,23;;5;16;23;47;50;23;7;
06/10/2015;;;3;4;8;69;68;13;4;
05/10/2015;0,14;0,15;3;6;11;61;57;15;7;
04/10/2015;0,22;0,24;3;11;16;53;53;14;8;
03/10/2015;0,28;0,26;5;19;27;59;63;17;14;
02/10/2015;0,23;0,23;7;25;35;64;64;18;13;
01/10/2015;0,28;0,34;4;15;21;64;59;24;18;
30/09/2015;0,43;0,39;9;31;45;41;43;24;17;
29/09/2015;0,39;0,37;18;25;52;40;44;29;21;
28/09/2015;0,25;;9;23;37;47;;21;15;
27/09/2015;0,25;0,24;6;17;25;40;40;18;13;
