Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2015;16;37;62;12;8;5
30/12/2015;3;10;15;7;4;3
29/12/2015;3;14;19;5;3;3
28/12/2015;3;15;20;16;10;3
27/12/2015;2;13;16;7;;4
26/12/2015;2;12;15;8;7;3
25/12/2015;2;9;12;3;;3
24/12/2015;2;10;14;7;5;3
23/12/2015;8;30;43;9;7;3
22/12/2015;5;20;28;7;4;3
21/12/2015;15;35;57;20;16;4
20/12/2015;3;23;28;19;14;4
19/12/2015;3;11;15;26;18;3
18/12/2015;6;19;28;17;13;3
17/12/2015;11;10;27;31;19;3
16/12/2015;17;26;52;31;20;4
15/12/2015;4;13;19;23;15;3
14/12/2015;5;15;22;14;9;3
13/12/2015;3;19;25;12;9;4
12/12/2015;7;28;38;12;9;4
11/12/2015;26;37;77;22;21;5
10/12/2015;44;45;113;19;15;5
09/12/2015;24;40;77;17;12;5
08/12/2015;4;19;24;13;10;4
07/12/2015;3;12;17;18;16;4
06/12/2015;4;13;20;20;18;5
05/12/2015;23;39;74;26;21;7
04/12/2015;43;48;114;21;16;5
03/12/2015;9;25;39;13;10;4
02/12/2015;72;64;174;27;20;10
01/12/2015;47;42;113;29;25;8
30/11/2015;44;43;111;33;29;11
29/11/2015;7;19;29;16;13;6
28/11/2015;2;13;16;9;4;4
27/11/2015;13;35;55;7;4;4
26/11/2015;7;23;34;23;11;3
25/11/2015;4;10;16;17;7;3
24/11/2015;15;24;47;11;9;6
23/11/2015;60;43;135;15;10;5
22/11/2015;3;17;22;7;4;4
21/11/2015;2;10;14;39;6;4
20/11/2015;9;17;29;35;28;7
19/11/2015;54;41;124;29;22;7
18/11/2015;55;40;124;30;25;10
17/11/2015;49;43;118;26;24;7
16/11/2015;48;43;117;27;25;11
15/11/2015;22;36;69;12;10;6
14/11/2015;11;27;44;10;10;3
13/11/2015;54;39;122;25;20;8
12/11/2015;16;38;62;28;25;6
11/11/2015;17;45;71;25;20;8
10/11/2015;52;39;118;35;32;9
09/11/2015;43;48;113;27;22;6
08/11/2015;3;17;21;9;8;5
07/11/2015;5;22;30;7;5;6
06/11/2015;17;31;58;7;6;4
05/11/2015;8;20;33;4;2;3
04/11/2015;6;24;33;8;6;4
03/11/2015;9;27;42;6;4;4
02/11/2015;8;33;46;15;12;5
01/11/2015;2;17;20;14;13;5
31/10/2015;2;17;21;11;9;4
30/10/2015;7;22;33;9;7;4
29/10/2015;5;18;27;5;3;4
28/10/2015;10;30;46;8;4;5
27/10/2015;10;28;43;9;7;4
26/10/2015;6;21;30;14;11;3
25/10/2015;4;21;27;13;11;3
24/10/2015;9;26;39;19;11;6
23/10/2015;47;49;122;25;17;6
22/10/2015;13;37;57;18;13;4
21/10/2015;20;32;62;20;14;4
20/10/2015;14;30;52;19;8;4
19/10/2015;53;32;113;23;17;4
18/10/2015;4;21;27;18;13;4
17/10/2015;10;30;45;19;16;7
16/10/2015;26;37;77;18;15;6
15/10/2015;33;43;94;19;15;5
14/10/2015;5;27;35;15;8;4
13/10/2015;9;27;41;21;13;4
12/10/2015;3;17;23;17;12;3
11/10/2015;4;15;21;19;15;6
10/10/2015;8;33;45;18;15;6
09/10/2015;32;38;87;22;17;6
08/10/2015;18;24;51;13;8;4
07/10/2015;11;24;40;11;5;6
06/10/2015;7;17;28;8;3;4
05/10/2015;7;18;29;10;8;4
04/10/2015;3;19;23;14;12;6
03/10/2015;5;24;31;15;14;5
02/10/2015;5;21;29;12;10;5
01/10/2015;11;33;50;24;19;6
30/09/2015;20;42;73;27;22;6
29/09/2015;33;35;86;25;19;5
28/09/2015;18;32;60;18;14;4
27/09/2015;5;16;25;13;9;4
26/09/2015;10;21;36;17;12;4
25/09/2015;29;31;76;23;15;5
24/09/2015;21;31;64;16;10;4
23/09/2015;13;29;49;5;3;4
22/09/2015;6;17;25;8;4;4
21/09/2015;26;33;72;22;14;6
20/09/2015;4;20;26;9;9;5
19/09/2015;5;18;26;15;11;5
18/09/2015;22;28;63;16;10;7
17/09/2015;6;23;31;8;3;5
16/09/2015;7;19;29;8;3;3
15/09/2015;23;27;62;17;14;5
14/09/2015;6;20;29;13;5;4
13/09/2015;3;11;16;9;6;3
12/09/2015;2;11;15;11;8;3
11/09/2015;19;27;56;19;16;5
10/09/2015;8;25;37;13;9;3
09/09/2015;21;35;67;23;21;6
08/09/2015;19;32;62;17;13;6
07/09/2015;19;27;56;15;9;4
06/09/2015;4;18;24;10;8;4
05/09/2015;3;15;20;5;3;5
04/09/2015;10;27;42;7;4;4
03/09/2015;8;21;34;7;4;4
02/09/2015;22;27;62;18;12;4
01/09/2015;8;23;36;10;2;3
31/08/2015;13;29;48;16;15;3
30/08/2015;4;18;25;18;17;3
29/08/2015;6;17;27;14;14;3
28/08/2015;7;13;24;8;8;3
27/08/2015;8;21;34;8;7;4
26/08/2015;9;31;44;14;10;6
25/08/2015;12;26;44;11;8;6
24/08/2015;6;16;25;10;3;6
23/08/2015;3;8;12;5;;7
22/08/2015;3;13;17;16;19;5
21/08/2015;14;31;52;22;20;6
20/08/2015;15;32;56;15;13;7
19/08/2015;13;23;42;10;7;5
18/08/2015;9;24;38;14;9;5
17/08/2015;12;21;39;18;9;5
16/08/2015;4;13;20;11;6;6
15/08/2015;2;8;12;8;5;5
14/08/2015;5;16;23;9;4;5
13/08/2015;9;20;34;12;7;4
12/08/2015;10;30;45;23;17;5
11/08/2015;17;29;55;23;17;5
10/08/2015;12;25;44;13;12;5
09/08/2015;2;8;11;9;5;5
08/08/2015;2;8;11;7;3;4
07/08/2015;6;17;27;10;4;4
06/08/2015;17;27;53;20;14;5
05/08/2015;12;23;42;17;12;4
04/08/2015;9;23;36;8;5;4
03/08/2015;9;26;40;15;10;4
02/08/2015;3;16;20;12;10;6
01/08/2015;3;16;21;10;6;6
31/07/2015;4;17;23;10;6;4
30/07/2015;7;20;30;12;6;4
29/07/2015;22;30;63;10;7;4
28/07/2015;8;24;35;13;9;7
27/07/2015;7;17;27;12;6;4
26/07/2015;4;18;24;10;8;6
25/07/2015;2;8;11;12;5;5
24/07/2015;21;28;60;16;11;6
23/07/2015;12;23;41;12;9;5
22/07/2015;12;22;40;8;6;4
21/07/2015;11;25;42;9;;4
20/07/2015;13;27;46;16;14;5
19/07/2015;6;17;27;14;13;4
18/07/2015;5;18;26;13;12;4
17/07/2015;18;32;59;26;;5
16/07/2015;6;21;30;14;11;4
15/07/2015;9;23;38;16;10;4
14/07/2015;11;24;40;17;11;5
13/07/2015;13;22;42;11;6;5
12/07/2015;2;9;12;7;4;5
11/07/2015;2;8;11;11;6;5
10/07/2015;16;29;54;22;14;7
09/07/2015;5;16;23;11;5;5
08/07/2015;7;18;29;8;4;4
07/07/2015;5;15;22;15;11;4
06/07/2015;7;21;32;16;12;4
05/07/2015;3;9;13;6;4;3
04/07/2015;3;13;18;13;8;4
03/07/2015;9;24;38;22;15;5
02/07/2015;9;27;41;12;6;4
01/07/2015;6;21;30;25;20;5
30/06/2015;8;32;44;29;22;5
29/06/2015;6;23;32;15;10;4
28/06/2015;5;17;24;12;10;5
27/06/2015;3;12;17;18;17;4
26/06/2015;6;27;37;29;22;3
25/06/2015;18;40;67;26;17;5
24/06/2015;12;23;41;20;16;5
23/06/2015;11;18;35;15;9;4
22/06/2015;17;25;51;16;11;5
21/06/2015;3;18;23;16;12;6
20/06/2015;6;15;23;15;13;6
19/06/2015;11;24;40;11;7;5
18/06/2015;18;24;51;16;10;5
17/06/2015;6;20;29;15;8;4
16/06/2015;7;20;30;11;6;3
15/06/2015;10;28;43;12;8;2
14/06/2015;3;13;18;10;6;4
13/06/2015;3;14;19;11;7;3
12/06/2015;10;30;46;21;11;3
11/06/2015;10;33;49;19;12;3
10/06/2015;15;38;62;21;13;4
09/06/2015;13;30;49;28;14;3
08/06/2015;8;23;36;29;15;3
07/06/2015;3;9;13;16;7;2
06/06/2015;3;13;18;12;5;2
05/06/2015;13;36;57;29;17;3
04/06/2015;22;45;80;32;18;4
03/06/2015;7;24;35;22;11;3
02/06/2015;11;24;40;18;11;4
01/06/2015;9;24;39;13;8;3
31/05/2015;5;17;24;13;11;7
30/05/2015;5;16;24;10;8;5
29/05/2015;5;18;25;10;7;3
28/05/2015;14;31;53;20;13;3
27/05/2015;8;25;37;16;8;3
26/05/2015;9;30;44;15;7;3
25/05/2015;11;25;41;11;6;3
24/05/2015;3;10;14;6;4;3
23/05/2015;3;11;15;9;5;3
22/05/2015;8;26;38;12;8;3
21/05/2015;11;31;48;13;5;3
20/05/2015;8;24;37;11;4;3
19/05/2015;10;28;43;13;5;3
18/05/2015;25;28;66;19;12;4
17/05/2015;2;9;13;10;5;4
16/05/2015;3;11;15;11;3;3
15/05/2015;6;16;26;10;5;4
14/05/2015;8;24;36;20;18;4
13/05/2015;16;35;60;30;42;6
12/05/2015;10;34;49;29;24;13
11/05/2015;8;32;45;29;21;4
10/05/2015;7;31;42;20;16;5
09/05/2015;4;17;22;15;6;3
08/05/2015;8;30;42;17;8;7
07/05/2015;29;66;111;33;20;6
06/05/2015;7;25;36;14;6;4
05/05/2015;8;24;35;14;4;4
04/05/2015;22;28;62;18;12;4
03/05/2015;3;12;16;8;5;3
02/05/2015;6;18;27;10;5;3
01/05/2015;3;12;17;8;3;3
30/04/2015;17;48;73;21;13;6
29/04/2015;17;41;68;20;12;6
28/04/2015;10;25;41;15;5;4
27/04/2015;8;22;35;12;;4
26/04/2015;3;10;14;7;;4
25/04/2015;6;21;30;17;;5
