Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);SH2 (µg/m3);SO2 (µg/m3)
18/08/2015;4;12;17;57;59;10;3;5
17/08/2015;4;11;17;52;50;11;3;5
16/08/2015;4;12;18;36;35;11;4;5
15/08/2015;3;8;12;42;44;7;4;5
14/08/2015;3;9;13;64;67;9;4;4
13/08/2015;3;9;15;60;59;6;4;4
12/08/2015;5;17;24;;;19;5;6
11/08/2015;4;16;22;61;60;21;5;5
10/08/2015;7;23;33;53;53;16;4;5
09/08/2015;3;8;12;65;67;10;4;3
08/08/2015;3;7;11;60;61;7;4;3
07/08/2015;3;10;15;50;48;8;4;3
06/08/2015;6;17;27;48;47;16;4;4
05/08/2015;6;12;21;51;47;16;4;4
04/08/2015;4;13;19;44;45;7;4;5
03/08/2015;5;15;24;50;55;14;4;5
02/08/2015;3;14;20;75;79;14;3;5
01/08/2015;3;10;15;71;76;10;3;6
31/07/2015;3;13;18;61;60;10;3;4
30/07/2015;4;11;17;44;43;9;3;6
29/07/2015;4;15;22;45;48;8;4;10
28/07/2015;4;13;19;61;62;10;4;11
27/07/2015;3;9;14;48;47;11;3;5
26/07/2015;3;11;16;57;59;12;4;4
25/07/2015;3;9;15;61;63;13;3;6
24/07/2015;4;14;21;48;45;12;3;
23/07/2015;5;13;21;38;39;12;4;
22/07/2015;3;9;14;36;34;9;4;4
21/07/2015;3;11;17;28;29;11;4;4
20/07/2015;5;14;21;46;47;14;4;6
19/07/2015;4;10;16;36;34;15;4;4
18/07/2015;4;11;18;32;34;15;4;4
17/07/2015;4;13;19;43;43;14;4;6
16/07/2015;4;13;18;37;39;13;4;4
15/07/2015;3;12;17;39;39;16;4;4
14/07/2015;4;10;16;45;44;13;3;5
13/07/2015;4;11;18;36;38;8;3;5
12/07/2015;3;8;12;47;48;6;4;6
11/07/2015;3;8;13;55;58;13;3;7
10/07/2015;7;16;28;66;60;24;3;6
09/07/2015;4;11;17;48;50;10;4;10
08/07/2015;3;9;15;55;54;8;3;6
07/07/2015;4;11;17;48;49;15;3;6
06/07/2015;6;16;25;50;48;17;3;5
05/07/2015;3;7;12;38;39;6;4;4
04/07/2015;3;10;15;55;60;13;4;8
03/07/2015;6;16;25;67;61;24;4;5
02/07/2015;4;12;18;36;39;11;4;5
01/07/2015;3;11;16;55;57;26;4;6
30/06/2015;3;14;19;72;68;29;4;5
29/06/2015;4;16;22;38;38;15;5;6
28/06/2015;4;10;15;32;33;11;4;8
27/06/2015;3;10;15;43;47;18;4;8
26/06/2015;5;16;23;58;59;27;3;6
25/06/2015;5;16;24;60;58;17;3;6
24/06/2015;4;12;18;42;40;11;3;7
23/06/2015;5;12;20;34;34;10;3;7
22/06/2015;7;14;25;37;38;13;4;7
21/06/2015;4;11;17;55;56;11;3;8
20/06/2015;3;9;14;47;46;10;3;8
19/06/2015;3;8;14;44;47;6;3;4
18/06/2015;3;9;13;69;70;9;3;4
17/06/2015;3;9;14;71;71;11;3;4
16/06/2015;3;7;11;68;71;6;3;4
15/06/2015;3;10;15;64;63;7;3;5
14/06/2015;3;8;12;70;72;8;4;5
13/06/2015;3;10;15;59;60;8;3;6
12/06/2015;4;17;23;59;58;12;4;7
11/06/2015;3;17;22;54;50;14;4;5
10/06/2015;6;25;35;27;30;14;3;5
09/06/2015;3;11;16;61;64;16;4;4
08/06/2015;3;10;15;59;56;16;4;6
07/06/2015;3;9;14;49;46;14;4;5
06/06/2015;3;10;15;41;44;9;4;5
05/06/2015;4;15;21;53;52;21;4;6
04/06/2015;7;20;30;48;47;29;5;6
03/06/2015;3;14;19;40;41;17;3;6
02/06/2015;4;13;20;36;34;15;4;8
01/06/2015;4;11;17;31;34;8;5;6
31/05/2015;4;11;17;45;44;12;5;11
30/05/2015;3;11;16;51;51;9;4;7
29/05/2015;3;12;17;65;70;8;4;7
28/05/2015;4;13;20;56;53;13;5;7
27/05/2015;4;11;16;52;53;12;4;6
26/05/2015;4;10;16;58;57;13;5;6
25/05/2015;4;11;16;49;48;7;5;6
24/05/2015;3;9;13;42;42;7;5;6
23/05/2015;3;9;14;57;59;9;5;7
22/05/2015;3;10;15;64;65;11;4;7
21/05/2015;3;10;15;64;67;10;5;6
20/05/2015;3;10;16;68;68;8;5;6
19/05/2015;3;10;16;68;67;9;5;6
18/05/2015;9;16;30;44;40;13;6;7
17/05/2015;4;12;18;42;46;6;5;7
16/05/2015;3;8;12;67;69;11;6;6
15/05/2015;3;9;14;71;72;8;4;5
14/05/2015;3;10;14;63;58;15;4;6
13/05/2015;5;20;27;45;48;25;5;11
12/05/2015;5;18;26;58;60;23;4;14
11/05/2015;3;16;22;69;67;26;4;10
10/05/2015;4;17;24;54;51;20;5;8
09/05/2015;3;12;17;56;59;8;4;6
08/05/2015;4;15;21;81;83;12;4;7
07/05/2015;6;26;36;66;65;22;5;9
06/05/2015;3;13;19;68;68;10;4;7
05/05/2015;3;11;16;75;77;13;4;8
04/05/2015;3;9;14;52;44;13;4;6
03/05/2015;3;9;13;56;59;10;4;8
02/05/2015;3;11;16;35;37;8;5;7
01/05/2015;3;7;10;51;52;6;4;6
30/04/2015;3;14;20;62;60;13;4;11
29/04/2015;3;13;18;50;51;11;4;8
28/04/2015;3;12;17;64;70;11;4;8
27/04/2015;4;12;17;78;78;8;4;7
26/04/2015;2;7;11;75;76;6;4;6
25/04/2015;3;9;14;60;54;7;4;6
24/04/2015;12;29;48;34;34;23;6;8
23/04/2015;4;11;17;58;63;8;4;6
22/04/2015;3;10;14;84;83;11;4;6
21/04/2015;10;26;42;50;50;20;5;9
20/04/2015;7;17;27;67;70;15;4;9
19/04/2015;2;8;12;75;77;6;4;6
18/04/2015;4;13;18;62;56;12;4;7
17/04/2015;5;17;25;49;52;13;4;6
