Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);SO2 (µg/m3)
05/08/2015;4;13;20;48;47;18;5
04/08/2015;4;16;22;33;37;12;5
03/08/2015;4;17;23;49;56;20;5
02/08/2015;3;13;17;73;81;15;5
01/08/2015;3;9;13;65;73;16;5
31/07/2015;3;11;16;53;51;12;5
30/07/2015;4;12;19;40;40;14;5
29/07/2015;4;16;22;35;36;13;5
28/07/2015;4;12;18;59;62;13;6
27/07/2015;3;10;15;44;43;17;5
26/07/2015;3;9;14;56;57;12;6
25/07/2015;3;6;11;67;71;15;5
24/07/2015;5;13;20;43;39;13;5
23/07/2015;5;15;22;36;37;15;5
22/07/2015;4;12;18;26;25;17;5
21/07/2015;5;15;23;23;25;19;5
20/07/2015;4;14;21;49;49;17;5
19/07/2015;4;11;16;39;37;18;5
18/07/2015;4;13;19;35;38;20;5
17/07/2015;5;20;27;42;39;24;6
16/07/2015;5;19;26;37;40;20;5
15/07/2015;4;12;18;46;47;21;5
14/07/2015;4;13;20;46;43;17;5
13/07/2015;5;11;19;39;40;12;5
12/07/2015;3;8;12;43;46;10;4
11/07/2015;2;8;12;58;63;19;5
10/07/2015;4;13;19;73;72;21;6
09/07/2015;4;14;20;46;50;13;5
08/07/2015;3;10;15;50;51;11;5
07/07/2015;4;14;20;45;44;20;8
06/07/2015;4;23;29;47;44;24;7
05/07/2015;2;11;15;38;39;12;4
04/07/2015;2;7;10;56;58;18;5
03/07/2015;3;15;19;64;60;29;6
02/07/2015;3;18;23;38;42;15;6
01/07/2015;4;14;20;63;65;38;6
30/06/2015;4;20;26;71;64;29;6
29/06/2015;4;22;29;40;42;22;6
28/06/2015;3;10;15;35;34;16;6
27/06/2015;4;13;19;44;48;28;7
26/06/2015;4;18;25;54;54;32;6
25/06/2015;4;21;28;58;56;21;8
24/06/2015;4;13;20;41;40;18;5
23/06/2015;5;13;20;36;37;17;5
22/06/2015;5;17;25;37;39;21;6
21/06/2015;3;11;16;54;55;16;5
20/06/2015;3;10;14;50;47;16;4
19/06/2015;4;15;22;34;37;14;4
18/06/2015;3;15;21;62;67;19;5
17/06/2015;3;12;17;65;65;17;5
16/06/2015;3;10;16;60;59;11;5
15/06/2015;4;13;18;54;53;14;5
14/06/2015;3;10;15;68;67;14;7
13/06/2015;3;11;16;59;58;15;5
12/06/2015;3;16;22;56;55;19;5
11/06/2015;3;14;18;65;59;25;5
10/06/2015;5;23;31;29;32;25;5
09/06/2015;2;13;17;58;62;26;5
08/06/2015;3;15;20;57;52;29;5
07/06/2015;2;8;11;51;48;18;5
06/06/2015;2;10;12;41;46;13;5
05/06/2015;3;16;21;53;49;25;5
04/06/2015;2;16;19;63;65;25;5
03/06/2015;3;17;21;48;48;19;5
02/06/2015;4;16;22;39;37;17;5
01/06/2015;5;16;25;33;37;16;5
31/05/2015;2;9;12;50;50;15;6
30/05/2015;2;10;13;56;54;12;6
29/05/2015;2;13;16;68;76;13;5
28/05/2015;2;11;15;65;59;15;5
27/05/2015;3;14;18;53;52;16;5
26/05/2015;2;12;16;49;51;13;5
25/05/2015;2;13;16;48;47;11;5
24/05/2015;2;9;11;46;47;9;5
23/05/2015;2;9;12;61;63;13;5
22/05/2015;2;14;17;60;57;14;5
21/05/2015;2;11;15;60;64;11;5
20/05/2015;2;11;13;69;70;8;5
19/05/2015;2;10;13;73;72;12;6
