Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);SO2 (µg/m3)
25/06/2015;12;40;58;24;8
24/06/2015;14;22;43;26;8
23/06/2015;7;19;30;22;5
22/06/2015;12;26;44;23;6
21/06/2015;5;22;30;19;8
20/06/2015;4;18;25;19;6
19/06/2015;8;31;42;22;7
18/06/2015;11;30;48;22;7
17/06/2015;10;32;47;28;6
16/06/2015;6;25;34;15;6
15/06/2015;9;30;43;16;6
14/06/2015;4;17;23;10;7
13/06/2015;3;17;21;11;5
12/06/2015;4;24;31;19;6
11/06/2015;6;30;40;17;6
10/06/2015;8;38;51;23;6
09/06/2015;7;32;42;32;7
08/06/2015;5;25;33;29;6
07/06/2015;3;11;15;15;5
06/06/2015;3;13;17;11;5
05/06/2015;12;26;44;26;7
04/06/2015;9;21;35;21;6
03/06/2015;2;11;15;15;5
02/06/2015;6;22;31;18;5
01/06/2015;8;23;35;17;5
31/05/2015;4;14;20;14;8
30/05/2015;5;21;29;16;7
29/05/2015;3;19;24;12;5
28/05/2015;8;27;39;21;6
27/05/2015;6;26;36;18;5
26/05/2015;4;22;29;16;5
25/05/2015;4;17;23;10;5
24/05/2015;3;11;15;9;5
23/05/2015;5;19;26;14;6
22/05/2015;5;28;36;18;6
21/05/2015;9;29;43;14;6
20/05/2015;5;26;34;11;5
19/05/2015;4;23;29;14;6
18/05/2015;14;22;43;19;7
17/05/2015;3;16;20;12;5
16/05/2015;3;17;22;12;5
15/05/2015;3;19;23;10;5
14/05/2015;4;21;27;21;6
13/05/2015;9;31;44;30;6
12/05/2015;8;35;46;37;6
11/05/2015;6;23;32;33;5
10/05/2015;7;20;32;18;8
09/05/2015;5;23;30;16;5
08/05/2015;4;23;30;18;6
07/05/2015;16;34;59;24;7
06/05/2015;8;23;36;18;6
05/05/2015;4;19;25;12;5
04/05/2015;11;21;37;15;5
03/05/2015;3;19;23;15;5
02/05/2015;5;17;24;10;4
01/05/2015;3;10;15;7;5
30/04/2015;11;25;42;16;7
29/04/2015;17;32;58;21;7
28/04/2015;10;22;37;15;4
27/04/2015;4;22;27;10;1
26/04/2015;2;18;21;9;2
25/04/2015;6;19;28;13;2
24/04/2015;21;39;71;27;4
23/04/2015;9;33;48;19;2
22/04/2015;4;26;33;16;2
21/04/2015;18;33;60;29;4
20/04/2015;15;35;59;28;4
19/04/2015;4;21;27;12;2
18/04/2015;8;27;38;18;1
17/04/2015;;;;20;1
16/04/2015;;;;33;3
15/04/2015;;;;20;3
14/04/2015;;;;41;19
13/04/2015;10;43;59;46;13
12/04/2015;6;25;35;24;7
11/04/2015;5;23;31;14;4
10/04/2015;4;26;32;15;4
09/04/2015;3;18;23;14;4
08/04/2015;3;15;20;15;5
07/04/2015;17;36;63;20;9
06/04/2015;8;24;36;15;6
05/04/2015;3;15;20;8;3
04/04/2015;3;15;20;8;3
03/04/2015;10;22;36;18;8
02/04/2015;8;27;39;17;5
01/04/2015;3;19;24;25;3
31/03/2015;5;21;28;18;4
30/03/2015;14;28;49;21;5
29/03/2015;10;30;46;21;5
28/03/2015;5;24;32;17;3
27/03/2015;7;33;44;12;3
26/03/2015;15;43;66;13;3
25/03/2015;4;27;33;10;3
24/03/2015;16;43;68;16;3
23/03/2015;22;56;91;14;3
22/03/2015;4;16;21;12;3
21/03/2015;4;29;36;20;3
20/03/2015;4;22;28;33;3
19/03/2015;9;33;47;21;4
18/03/2015;33;58;109;41;13
17/03/2015;17;48;73;31;9
16/03/2015;20;42;73;32;5
15/03/2015;6;35;44;22;3
14/03/2015;3;25;30;14;2
