Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);PM10 (µg/m3);SH2 (µg/m3);SO2 (µg/m3)
31/12/2013;4;10;16;57;11;5;5
30/12/2013;4;7;13;62;6;5;4
29/12/2013;4;10;16;56;8;5;4
28/12/2013;4;11;18;58;11;5;5
27/12/2013;4;7;13;46;4;5;4
26/12/2013;4;11;17;58;8;5;4
25/12/2013;4;8;14;58;5;5;4
24/12/2013;4;10;16;54;6;5;4
23/12/2013;4;8;14;56;4;5;4
22/12/2013;4;9;15;51;7;5;4
21/12/2013;4;17;24;42;7;5;5
20/12/2013;7;18;28;42;12;5;6
19/12/2013;5;10;17;59;7;5;4
18/12/2013;4;9;15;53;7;5;4
17/12/2013;4;12;18;45;12;5;4
16/12/2013;4;12;19;49;7;5;5
15/12/2013;4;11;16;60;7;5;4
14/12/2013;5;14;21;40;13;5;5
13/12/2013;8;21;34;34;20;5;6
12/12/2013;4;12;19;50;9;5;5
11/12/2013;4;12;18;47;11;5;4
10/12/2013;7;16;27;47;11;5;4
09/12/2013;5;15;23;40;13;5;6
08/12/2013;10;24;40;16;20;5;10
07/12/2013;6;20;29;30;15;5;5
06/12/2013;5;14;21;37;10;4;5
05/12/2013;6;18;27;22;14;5;6
04/12/2013;31;32;80;10;24;5;8
03/12/2013;25;38;76;9;23;5;8
02/12/2013;6;19;28;38;18;5;10
01/12/2013;5;14;22;48;13;5;90
30/11/2013;4;12;19;58;11;5;11
29/11/2013;;;;19;;4;5
28/11/2013;;;;19;;4;6
27/11/2013;6;23;33;30;;4;11
26/11/2013;6;25;34;52;;4;16
25/11/2013;6;24;33;53;;5;18
24/11/2013;5;17;25;53;;5;9
23/11/2013;5;16;24;50;;5;9
22/11/2013;6;20;30;45;;5;10
21/11/2013;5;11;19;64;;4;7
20/11/2013;5;14;22;63;;4;8
19/11/2013;7;20;31;53;;5;13
18/11/2013;6;15;25;43;;4;6
17/11/2013;5;14;22;32;;5;4
16/11/2013;5;13;21;43;;4;6
15/11/2013;6;17;26;61;;5;7
14/11/2013;5;15;23;63;;5;12
13/11/2013;5;15;24;38;;5;4
12/11/2013;5;17;24;43;;4;4
11/11/2013;4;12;19;54;;4;4
10/11/2013;4;7;13;64;;4;4
09/11/2013;4;7;13;54;;4;4
08/11/2013;4;11;18;55;;4;4
07/11/2013;4;9;16;36;;4;4
06/11/2013;5;11;20;22;;5;4
05/11/2013;4;8;15;49;;5;4
04/11/2013;4;9;15;54;;5;4
03/11/2013;4;9;15;55;;5;4
02/11/2013;4;9;15;39;;5;4
01/11/2013;4;8;14;49;;5;4
31/10/2013;9;21;36;34;;5;4
30/10/2013;5;16;24;42;;5;5
29/10/2013;4;11;17;55;;5;4
28/10/2013;4;9;15;56;;4;4
27/10/2013;3;6;11;67;;4;4
26/10/2013;3;6;12;64;;4;4
25/10/2013;4;8;15;54;;4;4
24/10/2013;4;12;18;55;;4;4
23/10/2013;4;14;20;61;;4;4
22/10/2013;4;19;25;66;;4;4
21/10/2013;4;19;26;60;;4;4
20/10/2013;4;17;23;65;;4;4
19/10/2013;3;12;17;60;;4;4
18/10/2013;5;18;25;51;;4;5
17/10/2013;11;27;44;25;;4;5
16/10/2013;7;14;25;34;;5;5
15/10/2013;8;24;37;29;;4;4
14/10/2013;5;18;26;34;;4;6
13/10/2013;5;16;23;36;;4;6
12/10/2013;4;9;16;46;;4;4
11/10/2013;6;15;25;40;;4;6
10/10/2013;5;15;23;45;;4;6
09/10/2013;6;18;26;39;;4;7
08/10/2013;6;18;28;39;;4;6
07/10/2013;7;17;28;32;;4;8
06/10/2013;4;11;18;34;;4;4
05/10/2013;5;11;18;38;;4;4
04/10/2013;6;14;23;40;;4;6
03/10/2013;5;12;19;50;;4;5
02/10/2013;5;13;20;33;;4;5
01/10/2013;4;9;16;35;;4;4
30/09/2013;5;17;25;40;;4;6
29/09/2013;4;11;17;46;;4;7
28/09/2013;4;8;14;61;;4;4
27/09/2013;6;23;32;47;;4;7
26/09/2013;6;24;34;43;;4;8
25/09/2013;5;19;26;45;;4;5
24/09/2013;6;19;28;50;;4;7
23/09/2013;5;18;25;56;;4;7
22/09/2013;7;18;30;28;;4;8
21/09/2013;8;14;26;27;;4;9
20/09/2013;6;14;23;24;;3;4
19/09/2013;3;14;19;47;;3;4
18/09/2013;4;12;18;36;;3;4
17/09/2013;3;12;17;46;;3;4
16/09/2013;4;13;18;40;;3;4
15/09/2013;3;11;17;50;;3;7
14/09/2013;6;13;22;32;;4;5
13/09/2013;6;15;24;31;;3;6
12/09/2013;4;12;17;39;;3;5
11/09/2013;4;15;21;40;;3;5
10/09/2013;4;14;20;35;;3;4
09/09/2013;5;14;21;34;;3;5
08/09/2013;4;12;19;39;;3;5
07/09/2013;4;14;20;49;;3;4
06/09/2013;4;15;21;44;;3;4
05/09/2013;6;18;27;60;;3;6
04/09/2013;5;20;27;65;;3;5
03/09/2013;9;22;36;50;;3;6
02/09/2013;5;16;25;44;;3;7
01/09/2013;4;12;18;44;;3;5
31/08/2013;3;12;17;62;;3;4
30/08/2013;3;13;18;68;;3;4
29/08/2013;3;13;18;65;;3;6
28/08/2013;4;14;20;63;;3;4
