Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2013;4;15;21;7;4;5
30/12/2013;6;19;28;9;5;5
29/12/2013;4;21;28;15;7;11
28/12/2013;3;12;17;16;3;7
27/12/2013;6;15;24;3;2;5
26/12/2013;8;23;35;13;7;9
25/12/2013;3;9;14;9;2;8
24/12/2013;4;12;17;7;3;5
23/12/2013;6;15;24;7;4;5
22/12/2013;4;12;17;9;6;5
21/12/2013;8;32;44;17;12;6
20/12/2013;16;35;59;21;8;5
19/12/2013;11;23;39;11;5;6
18/12/2013;8;21;33;16;10;5
17/12/2013;5;22;30;19;13;5
16/12/2013;7;27;37;14;8;6
15/12/2013;5;31;38;17;13;7
14/12/2013;15;38;61;31;16;7
13/12/2013;56;55;141;38;24;10
12/12/2013;29;53;96;23;14;7
11/12/2013;4;17;23;18;11;5
10/12/2013;26;40;78;25;16;6
09/12/2013;24;46;82;32;25;7
08/12/2013;23;37;72;50;42;10
07/12/2013;13;34;54;27;18;6
06/12/2013;10;36;51;25;19;7
05/12/2013;25;46;83;30;15;6
04/12/2013;88;50;185;64;49;12
03/12/2013;44;52;119;42;32;9
02/12/2013;21;37;69;24;13;6
01/12/2013;4;15;20;14;7;5
30/11/2013;4;12;19;15;7;5
29/11/2013;81;57;181;53;44;8
28/11/2013;44;45;112;44;35;7
27/11/2013;10;30;44;19;11;7
26/11/2013;5;22;30;16;6;5
25/11/2013;7;24;35;14;6;5
24/11/2013;3;12;17;14;6;5
23/11/2013;5;16;22;12;4;5
22/11/2013;13;28;47;13;4;5
21/11/2013;9;25;38;16;5;5
20/11/2013;9;25;39;11;4;7
19/11/2013;13;28;48;16;5;5
18/11/2013;11;27;43;13;6;5
17/11/2013;4;13;19;17;10;5
16/11/2013;9;26;39;20;12;6
15/11/2013;12;30;49;18;6;5
14/11/2013;12;28;45;21;7;5
13/11/2013;18;26;54;12;3;4
12/11/2013;13;30;49;19;5;5
11/11/2013;8;21;33;13;4;4
10/11/2013;3;8;12;17;5;4
09/11/2013;3;9;14;9;3;5
08/11/2013;6;18;27;10;4;5
07/11/2013;35;28;82;23;15;5
06/11/2013;26;29;68;18;8;5
05/11/2013;6;15;24;13;1;4
04/11/2013;6;18;26;13;6;4
03/11/2013;3;15;20;19;6;5
02/11/2013;4;10;16;8;4;4
01/11/2013;4;16;22;13;8;6
31/10/2013;36;50;105;33;21;7
30/10/2013;23;44;79;25;12;7
29/10/2013;5;18;26;10;3;7
28/10/2013;6;17;27;19;7;5
27/10/2013;3;8;12;14;7;4
26/10/2013;4;14;19;8;4;4
25/10/2013;4;15;21;7;3;4
24/10/2013;6;22;31;18;10;6
23/10/2013;7;26;36;15;7;5
22/10/2013;6;19;29;12;6;4
21/10/2013;5;17;24;13;9;5
20/10/2013;3;13;18;10;5;4
19/10/2013;3;11;16;9;6;4
18/10/2013;14;39;60;24;14;6
17/10/2013;26;41;80;23;12;5
16/10/2013;19;26;55;16;9;5
15/10/2013;17;36;61;16;11;5
14/10/2013;47;45;117;39;29;8
13/10/2013;10;32;47;33;23;8
12/10/2013;5;19;26;15;10;7
11/10/2013;19;30;58;19;10;6
10/10/2013;40;37;99;29;19;6
09/10/2013;27;32;74;25;14;5
08/10/2013;41;40;102;34;19;5
07/10/2013;23;27;63;17;10;5
06/10/2013;6;19;28;12;7;5
05/10/2013;8;21;34;19;13;6
04/10/2013;14;36;57;23;14;5
03/10/2013;17;30;55;19;8;6
02/10/2013;17;29;55;13;7;4
01/10/2013;11;21;37;10;5;5
30/09/2013;10;29;44;13;7;
29/09/2013;4;18;25;16;6;5
28/09/2013;3;12;17;8;4;4
27/09/2013;28;51;94;45;28;7
26/09/2013;28;55;97;59;38;6
25/09/2013;14;38;59;41;28;4
24/09/2013;13;37;58;39;23;5
23/09/2013;14;44;65;35;21;7
22/09/2013;8;28;39;26;14;6
21/09/2013;9;24;37;21;9;5
20/09/2013;24;30;66;19;9;4
19/09/2013;10;28;42;18;5;4
18/09/2013;11;20;37;16;7;6
17/09/2013;6;18;27;17;6;5
16/09/2013;37;30;87;31;19;6
15/09/2013;3;12;17;14;5;5
