Date;Benceno (µg/m3);CO (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
24/09/2013;0,27;;10;35;50;43;2,59;31;5;3,67
23/09/2013;0,23;;;;;23;2,94;38;7;3,67
22/09/2013;0,11;;17;40;66;22;1,32;25;6;1,73
21/09/2013;0,06;;14;30;51;21;1,3;19;5;1,66
20/09/2013;0,14;;23;35;70;18;1,9;21;4;2,32
19/09/2013;0,12;;8;32;44;43;0,92;16;3;1,63
18/09/2013;0,11;;31;34;81;22;1,84;27;8;2,17
17/09/2013;0,07;;17;46;73;26;1,6;19;6;2,51
16/09/2013;0,09;;28;43;86;23;1,68;32;8;2,24
15/09/2013;0,03;;6;25;35;43;0,51;;3;0,76
14/09/2013;0,08;;16;23;47;30;1,18;;7;1,34
13/09/2013;0,07;;22;39;73;20;2,12;24;6;2,29
12/09/2013;0,1;;19;35;64;36;2,09;19;6;2,06
11/09/2013;0,07;;16;36;61;44;1,89;19;5;1,98
10/09/2013;0,13;;21;32;64;37;1,55;23;5;2,18
09/09/2013;0,12;;18;28;56;;1,32;24;8;1,56
08/09/2013;0,03;;7;19;30;;0,59;13;3;0,86
07/09/2013;0,09;;4;15;22;;0,38;9;3;0,75
06/09/2013;0,18;;11;18;35;;1,63;18;5;2,44
05/09/2013;0,21;;9;23;37;;1,53;23;2;2,1
04/09/2013;0,21;;16;30;55;;2,36;38;5;3,8
03/09/2013;0,15;;17;29;55;48;2,08;33;12;3,18
02/09/2013;0,08;;20;19;48;36;1,7;20;4;1,9
01/09/2013;0,11;;18;17;46;32;1,34;23;4;1,56
31/08/2013;0,07;;18;22;50;46;1,44;26;5;1,32
30/08/2013;0,17;;20;22;53;53;2,19;30;5;1,53
29/08/2013;0,09;;16;27;52;52;1,41;23;4;1,65
28/08/2013;0,2;;21;21;54;56;1,47;27;4;1,91
27/08/2013;0,06;;21;22;54;63;0,96;17;5;1,33
26/08/2013;0,13;0,23;14;22;44;45;0,66;14;6;1,06
25/08/2013;0,04;0,16;8;21;34;50;0,51;16;6;0,81
24/08/2013;0,12;0,24;11;20;37;56;0,58;19;5;0,93
23/08/2013;0,2;0,32;22;22;56;69;1,16;39;6;2,4
22/08/2013;0,19;0,33;11;40;56;58;1,55;37;5;2,6
21/08/2013;0,21;0,3;15;49;72;38;2,21;33;6;2,59
20/08/2013;0,07;0,21;16;28;52;31;1,3;22;6;1,83
19/08/2013;0,12;0,23;7;27;38;26;0,73;15;6;1,18
18/08/2013;0,28;0,33;8;24;37;38;0,87;26;6;1,52
17/08/2013;0,04;0,2;7;24;35;42;0,76;19;6;1,18
16/08/2013;0,05;0,22;10;28;43;41;1,04;19;6;1,41
15/08/2013;0,14;0,22;8;30;41;45;0,92;20;6;1,39
14/08/2013;0,13;0,23;12;28;45;36;1,26;;5;2,57
13/08/2013;0,03;0,17;6;21;30;37;0,79;;5;1,14
12/08/2013;0,1;0,22;8;23;35;31;0,95;16;6;1,42
11/08/2013;0,05;0,2;7;17;28;39;0,83;15;6;1,4
10/08/2013;0,05;;9;23;36;31;1,23;12;5;1,61
09/08/2013;0,12;;14;26;48;37;1,65;16;5;1,92
08/08/2013;0,04;0,19;12;28;47;31;1,67;14;4;1,78
