Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);PM10 (µg/m3)
29/06/2013;8;17;30;36;20
28/06/2013;11;27;44;43;23
27/06/2013;10;27;43;52;27
26/06/2013;11;25;42;44;25
25/06/2013;13;21;40;34;21
24/06/2013;13;24;44;35;31
23/06/2013;4;13;19;53;30
22/06/2013;6;17;27;42;15
21/06/2013;10;23;38;43;18
20/06/2013;11;30;46;37;17
19/06/2013;6;29;39;36;13
18/06/2013;13;26;47;40;14
17/06/2013;11;25;43;47;19
16/06/2013;4;15;21;52;19
15/06/2013;7;20;31;38;17
14/06/2013;11;27;44;40;22
13/06/2013;7;17;28;37;11
12/06/2013;11;27;44;45;21
11/06/2013;9;26;40;37;20
10/06/2013;9;29;43;67;18
09/06/2013;3;13;18;85;17
08/06/2013;4;21;28;59;13
07/06/2013;6;27;35;52;28
06/06/2013;10;32;48;47;32
05/06/2013;12;35;54;50;28
04/06/2013;12;31;50;44;24
03/06/2013;12;27;45;45;21
02/06/2013;3;11;17;63;15
01/06/2013;3;9;14;64;14
31/05/2013;4;18;24;73;23
30/05/2013;4;18;24;77;21
29/05/2013;5;21;29;60;11
28/05/2013;5;19;27;59;13
27/05/2013;4;21;28;74;18
26/05/2013;4;15;21;57;15
25/05/2013;3;14;19;67;17
24/05/2013;4;10;16;82;20
23/05/2013;4;10;16;75;18
22/05/2013;4;17;23;66;13
21/05/2013;9;28;43;47;16
20/05/2013;9;25;39;53;16
19/05/2013;3;12;17;86;12
18/05/2013;3;18;23;68;8
17/05/2013;11;29;47;41;12
16/05/2013;5;22;30;59;9
15/05/2013;5;22;30;66;15
14/05/2013;9;27;41;44;21
13/05/2013;11;27;44;44;17
12/05/2013;3;16;21;63;14
11/05/2013;5;18;25;58;15
10/05/2013;9;23;37;53;16
09/05/2013;6;22;30;46;13
08/05/2013;6;23;33;46;14
07/05/2013;8;32;45;38;26
06/05/2013;10;37;51;48;36
05/05/2013;5;21;27;58;20
04/05/2013;9;22;35;54;20
03/05/2013;13;38;57;52;26
02/05/2013;5;28;34;62;16
01/05/2013;5;20;26;49;12
30/04/2013;5;28;34;59;10
29/04/2013;4;15;19;86;20
28/04/2013;4;12;16;80;12
27/04/2013;3;12;16;81;9
26/04/2013;4;17;21;75;22
25/04/2013;5;29;37;85;29
24/04/2013;12;34;52;60;24
23/04/2013;17;32;57;46;20
22/04/2013;18;33;60;52;19
21/04/2013;4;21;27;62;17
20/04/2013;7;26;37;48;15
19/04/2013;6;21;28;68;18
18/04/2013;5;24;31;63;22
17/04/2013;12;34;52;50;32
16/04/2013;16;38;63;42;26
15/04/2013;10;31;46;51;22
14/04/2013;3;12;17;92;17
13/04/2013;4;19;26;69;13
12/04/2013;5;28;36;53;13
11/04/2013;7;26;37;55;10
10/04/2013;7;23;34;57;19
09/04/2013;5;34;41;69;17
08/04/2013;8;25;35;63;11
07/04/2013;4;18;23;65;16
06/04/2013;4;21;25;60;24
05/04/2013;5;27;34;79;19
04/04/2013;4;25;32;64;29
03/04/2013;9;32;46;46;17
02/04/2013;5;26;33;62;13
01/04/2013;3;13;18;84;14
31/03/2013;4;18;24;60;
30/03/2013;4;18;23;74;
29/03/2013;4;12;18;63;7
28/03/2013;3;14;19;65;30
27/03/2013;8;26;39;45;19
26/03/2013;8;32;44;46;11
25/03/2013;13;38;58;37;13
24/03/2013;3;22;27;64;11
23/03/2013;6;32;41;52;13
22/03/2013;4;20;26;77;11
21/03/2013;4;19;26;74;14
20/03/2013;8;34;46;62;17
19/03/2013;17;38;64;42;20
18/03/2013;5;24;32;66;15
17/03/2013;4;22;28;65;9
16/03/2013;3;21;27;66;9
15/03/2013;10;36;51;49;14
