Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);SO2 (µg/m3)
31/12/2013;3;23;28;10;6
30/12/2013;4;31;37;9;6
29/12/2013;10;42;57;12;6
28/12/2013;7;33;44;12;5
27/12/2013;4;22;29;6;6
26/12/2013;8;36;49;9;6
25/12/2013;4;20;25;6;5
24/12/2013;4;18;24;11;5
23/12/2013;5;26;33;10;6
22/12/2013;5;32;40;10;7
21/12/2013;8;41;53;14;6
20/12/2013;41;71;134;21;6
19/12/2013;14;49;71;14;6
18/12/2013;21;40;72;19;7
17/12/2013;10;41;56;18;7
16/12/2013;22;53;88;14;8
15/12/2013;7;40;50;13;7
14/12/2013;17;50;75;22;6
13/12/2013;41;62;125;28;9
12/12/2013;21;52;85;16;8
11/12/2013;9;35;49;19;9
10/12/2013;23;51;86;30;10
09/12/2013;35;51;105;29;9
08/12/2013;48;44;118;38;10
07/12/2013;38;48;107;47;9
06/12/2013;22;44;77;36;7
05/12/2013;80;62;184;40;7
04/12/2013;136;58;268;54;8
03/12/2013;80;52;175;40;8
02/12/2013;29;47;91;24;6
01/12/2013;10;34;50;18;5
30/11/2013;14;24;46;17;6
29/11/2013;137;59;270;60;9
28/11/2013;59;50;141;33;9
27/11/2013;64;58;156;28;6
26/11/2013;13;36;56;21;5
25/11/2013;21;44;76;13;3
24/11/2013;4;27;33;9;1
23/11/2013;5;30;37;8;1
22/11/2013;15;48;71;13;2
21/11/2013;6;36;44;15;2
20/11/2013;9;42;55;12;1
19/11/2013;21;39;71;18;2
18/11/2013;8;39;50;12;1
17/11/2013;8;29;42;15;2
16/11/2013;13;46;66;16;2
15/11/2013;8;39;51;13;1
14/11/2013;9;37;51;20;2
13/11/2013;9;31;45;9;2
12/11/2013;14;61;83;20;2
11/11/2013;8;46;59;14;3
10/11/2013;2;16;20;15;3
09/11/2013;6;26;35;15;4
28/10/2013;7;28;40;;4
27/10/2013;3;14;18;9;5
26/10/2013;11;31;48;16;5
25/10/2013;4;21;28;12;5
24/10/2013;4;22;27;14;5
23/10/2013;6;28;36;12;5
22/10/2013;3;18;22;13;5
21/10/2013;3;26;31;17;6
20/10/2013;4;26;32;15;6
19/10/2013;7;31;42;17;6
18/10/2013;22;46;80;33;7
17/10/2013;13;35;55;19;4
16/10/2013;23;27;62;16;6
15/10/2013;12;35;54;20;5
14/10/2013;28;39;82;26;6
13/10/2013;12;31;49;20;6
12/10/2013;10;34;50;19;6
11/10/2013;18;43;71;19;4
10/10/2013;22;39;73;25;7
09/10/2013;20;37;67;30;7
08/10/2013;28;43;86;33;8
07/10/2013;18;30;57;20;5
06/10/2013;8;26;38;14;3
05/10/2013;10;25;41;20;6
04/10/2013;9;34;48;20;3
03/10/2013;4;18;23;13;4
02/10/2013;16;33;57;;6
01/10/2013;5;22;30;10;6
30/09/2013;6;31;40;16;6
29/09/2013;4;21;27;11;6
28/09/2013;5;26;34;15;7
27/09/2013;31;52;100;;8
26/09/2013;22;46;80;48;6
25/09/2013;9;39;52;37;5
24/09/2013;15;38;61;40;6
23/09/2013;12;39;58;31;6
22/09/2013;7;23;35;24;6
21/09/2013;7;21;32;17;5
20/09/2013;17;29;56;20;5
19/09/2013;5;28;36;16;5
18/09/2013;21;28;61;24;6
17/09/2013;7;35;46;15;5
16/09/2013;20;32;63;25;6
15/09/2013;3;18;23;13;5
14/09/2013;10;18;33;18;6
13/09/2013;16;33;57;23;5
12/09/2013;14;29;50;20;5
11/09/2013;15;33;56;23;5
10/09/2013;21;32;64;25;4
09/09/2013;16;28;53;20;6
08/09/2013;4;18;25;10;4
07/09/2013;3;18;23;5;4
06/09/2013;10;34;49;20;5
05/09/2013;9;29;42;28;5
04/09/2013;9;35;48;34;6
03/09/2013;11;40;57;32;7
02/09/2013;13;28;47;21;4
01/09/2013;6;26;35;29;4
31/08/2013;6;26;36;30;4
30/08/2013;9;34;49;35;5
29/08/2013;11;31;48;29;5
28/08/2013;14;34;55;36;4
27/08/2013;10;28;43;26;4
26/08/2013;6;27;36;15;4
25/08/2013;3;17;22;19;4
24/08/2013;3;17;22;;4
23/08/2013;5;27;33;37;5
22/08/2013;11;28;44;31;5
21/08/2013;10;35;50;27;5
20/08/2013;14;20;41;19;5
19/08/2013;6;25;34;;4
18/08/2013;6;17;27;27;5
17/08/2013;5;22;29;23;4
16/08/2013;8;25;38;22;5
15/08/2013;6;26;36;22;5
14/08/2013;12;22;41;;4
13/08/2013;6;23;33;;4
12/08/2013;6;23;32;20;4
11/08/2013;5;12;19;15;4
10/08/2013;6;16;25;12;4
09/08/2013;9;19;33;15;5
08/08/2013;10;23;37;16;4
07/08/2013;6;24;32;13;4
06/08/2013;4;20;26;;4
05/08/2013;9;20;34;19;4
04/08/2013;3;13;18;14;4
03/08/2013;3;10;15;;4
02/08/2013;4;15;22;;4
01/08/2013;7;20;31;27;4
31/07/2013;5;17;24;42;4
30/07/2013;8;24;36;20;4
29/07/2013;8;18;29;;4
28/07/2013;3;13;18;;4
27/07/2013;4;13;19;;4
26/07/2013;6;20;29;;4
25/07/2013;4;14;20;;4
24/07/2013;7;17;27;32;4
23/07/2013;5;20;27;;4
22/07/2013;5;18;25;;4
21/07/2013;6;18;26;;4
20/07/2013;5;25;33;37;4
19/07/2013;8;26;37;37;5
18/07/2013;10;29;44;34;5
17/07/2013;10;23;37;37;4
16/07/2013;12;34;52;45;4
15/07/2013;7;27;38;33;4
14/07/2013;4;15;21;27;4
13/07/2013;5;20;27;38;4
12/07/2013;9;29;42;49;4
11/07/2013;10;28;43;45;5
10/07/2013;10;29;44;46;4
09/07/2013;10;34;50;41;4
08/07/2013;9;34;48;33;4
07/07/2013;5;22;30;24;4
06/07/2013;8;20;33;23;4
05/07/2013;7;20;30;21;3
04/07/2013;6;14;24;;3
03/07/2013;15;19;42;;4
02/07/2013;7;25;36;29;3
01/07/2013;4;18;24;31;3
30/06/2013;3;10;15;12;3
29/06/2013;5;15;23;18;4
28/06/2013;10;25;41;21;5
27/06/2013;8;27;38;25;5
26/06/2013;13;21;40;26;6
25/06/2013;11;19;35;21;4
24/06/2013;10;18;33;27;3
23/06/2013;3;13;17;22;3
22/06/2013;5;15;22;16;3
21/06/2013;8;25;37;31;3
20/06/2013;7;31;41;27;3
19/06/2013;9;36;49;10;2
18/06/2013;4;23;29;;1
17/06/2013;7;22;33;;3
16/06/2013;4;16;22;;1
15/06/2013;5;20;27;;2
14/06/2013;9;24;37;;1
13/06/2013;5;20;28;;1
10/06/2013;18;31;58;;2
09/06/2013;13;19;39;;2
08/06/2013;17;28;55;;2
07/06/2013;21;31;63;;2
06/06/2013;32;36;85;;3
05/06/2013;30;40;85;;5
04/06/2013;28;32;74;;5
03/06/2013;18;33;60;;3
02/06/2013;9;14;27;;2
01/06/2013;7;12;23;;2
31/05/2013;9;23;36;;2
30/05/2013;8;21;33;;2
29/05/2013;11;20;36;;2
28/05/2013;14;21;43;;3
27/05/2013;20;37;67;;3
26/05/2013;12;16;35;;2
25/05/2013;9;16;30;;2
24/05/2013;9;19;32;;2
23/05/2013;8;19;32;;2
22/05/2013;9;26;40;;2
21/05/2013;24;35;72;;2
20/05/2013;19;31;60;;3
19/05/2013;7;17;28;;2
18/05/2013;9;24;37;;2
17/05/2013;20;31;61;;2
16/05/2013;16;32;57;;2
15/05/2013;16;32;55;;2
14/05/2013;26;29;69;;2
13/05/2013;22;25;57;;2
12/05/2013;14;21;42;;2
11/05/2013;13;19;40;;2
10/05/2013;13;24;44;;2
09/05/2013;17;29;55;;1
08/05/2013;20;29;60;;2
07/05/2013;27;40;81;;4
06/05/2013;27;39;80;;3
05/05/2013;15;22;44;;3
04/05/2013;12;22;41;;3
03/05/2013;14;40;62;;4
02/05/2013;10;42;57;;2
01/05/2013;8;20;32;;4
30/04/2013;7;29;39;;2
29/04/2013;5;17;24;;3
28/04/2013;5;19;27;;3
27/04/2013;8;19;32;;2
26/04/2013;16;26;51;;2
25/04/2013;21;41;72;;6
24/04/2013;22;29;61;;6
23/04/2013;23;26;62;;5
22/04/2013;18;32;60;;5
21/04/2013;8;22;34;;5
20/04/2013;12;25;43;;3
19/04/2013;13;22;40;;2
18/04/2013;16;26;51;;2
17/04/2013;25;29;68;;4
16/04/2013;25;38;77;;4
15/04/2013;22;32;65;;4
14/04/2013;16;19;43;;4
13/04/2013;12;28;46;;4
12/04/2013;11;33;50;;4
11/04/2013;13;27;47;;3
10/04/2013;16;22;46;;4
09/04/2013;7;33;43;;3
08/04/2013;9;26;40;;3
07/04/2013;5;25;32;;3
06/04/2013;4;27;33;;2
05/04/2013;6;31;39;;2
04/04/2013;7;34;45;;2
03/04/2013;15;26;49;;3
02/04/2013;14;35;56;;4
01/04/2013;7;20;30;;3
31/03/2013;5;17;25;;3
30/03/2013;4;18;24;;2
29/03/2013;5;16;23;;2
28/03/2013;4;16;21;;2
27/03/2013;9;32;46;;2
26/03/2013;9;32;46;;2
25/03/2013;16;40;65;;3
24/03/2013;9;26;39;;4
23/03/2013;13;29;48;;4
22/03/2013;10;28;43;;4
21/03/2013;6;33;42;;5
20/03/2013;6;30;39;;5
19/03/2013;16;35;60;;5
18/03/2013;13;33;52;;5
17/03/2013;4;26;31;;4
16/03/2013;4;28;35;;5
15/03/2013;10;40;56;;4
14/03/2013;5;35;43;;3
13/03/2013;4;19;25;;3
12/03/2013;7;24;33;;3
11/03/2013;8;19;31;;4
10/03/2013;9;13;26;;4
09/03/2013;9;19;33;;4
08/03/2013;15;30;53;;4
07/03/2013;11;20;36;;4
06/03/2013;12;32;51;;5
05/03/2013;5;15;23;;4
04/03/2013;4;19;25;;6
03/03/2013;10;28;43;;5
02/03/2013;15;30;53;;4
01/03/2013;31;35;82;;4
28/02/2013;23;47;81;;6
27/02/2013;15;40;64;;5
26/02/2013;16;46;70;;3
25/02/2013;8;34;46;;3
24/02/2013;8;44;57;;3
23/02/2013;3;15;20;;3
22/02/2013;5;18;25;;4
21/02/2013;35;42;96;;6
20/02/2013;27;44;86;;6
19/02/2013;21;29;60;;5
18/02/2013;22;37;70;;5
17/02/2013;9;26;40;;4
16/02/2013;12;27;45;;3
15/02/2013;27;42;83;;4
14/02/2013;56;41;127;;4
13/02/2013;12;43;62;;2
12/02/2013;6;34;42;;2
11/02/2013;4;19;24;;2
10/02/2013;5;21;29;;3
09/02/2013;7;41;52;;2
08/02/2013;4;29;35;;2
07/02/2013;5;28;36;;2
06/02/2013;3;18;23;;2
05/02/2013;5;27;34;;5
