Date;NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2022;1;6;5;26;10;3
30/12/2022;1;7;5;6;3;2
29/12/2022;2;22;20;8;5;3
28/12/2022;2;15;12;15;8;3
27/12/2022;14;52;31;22;10;3
26/12/2022;2;18;15;7;4;2
25/12/2022;1;7;5;4;4;3
24/12/2022;1;8;6;6;5;3
23/12/2022;1;7;5;5;3;3
22/12/2022;3;24;19;9;5;3
21/12/2022;4;25;19;9;5;3
20/12/2022;2;19;17;10;6;3
19/12/2022;1;16;14;15;7;4
18/12/2022;1;14;12;15;7;4
17/12/2022;6;33;24;14;10;3
16/12/2022;3;29;24;14;9;2
15/12/2022;14;59;38;12;6;2
14/12/2022;9;45;31;13;7;3
13/12/2022;53;118;36;21;12;3
12/12/2022;20;63;33;17;10;3
11/12/2022;20;60;29;19;14;3
10/12/2022;7;34;23;15;9;3
09/12/2022;14;44;22;9;6;3
08/12/2022;9;37;22;22;12;3
07/12/2022;20;59;28;21;14;3
06/12/2022;8;36;24;11;8;4
05/12/2022;10;46;31;19;13;4
04/12/2022;6;30;21;13;9;3
03/12/2022;7;41;31;13;9;3
02/12/2022;21;61;30;22;13;3
01/12/2022;28;70;27;21;12;3
30/11/2022;18;56;28;20;11;3
29/11/2022;6;38;30;9;6;2
28/11/2022;6;33;24;11;6;3
27/11/2022;5;34;27;12;6;11
26/11/2022;10;43;28;16;9;7
25/11/2022;10;43;28;15;9;2
24/11/2022;17;63;38;18;10;3
23/11/2022;4;28;22;17;9;3
22/11/2022;2;23;20;8;5;2
21/11/2022;;;;6;4;
20/11/2022;;;;2;2;
19/11/2022;;;;3;2;
18/11/2022;7;33;21;11;6;3
17/11/2022;6;32;24;24;13;3
16/11/2022;4;21;16;12;6;3
15/11/2022;2;22;19;9;5;3
14/11/2022;4;29;23;11;6;3
13/11/2022;4;29;23;25;10;6
12/11/2022;1;6;4;9;5;2
11/11/2022;10;36;21;14;7;4
10/11/2022;19;55;27;16;7;3
09/11/2022;7;32;22;9;5;2
08/11/2022;1;11;9;8;4;3
07/11/2022;13;41;22;16;7;3
06/11/2022;9;40;26;15;7;4
05/11/2022;11;38;21;14;8;2
04/11/2022;6;32;23;16;8;3
03/11/2022;3;26;21;12;7;2
02/11/2022;13;49;29;19;9;3
01/11/2022;3;19;15;14;8;2
31/10/2022;2;18;15;18;9;2
30/10/2022;2;18;15;18;9;4
29/10/2022;3;26;22;35;14;5
28/10/2022;7;42;32;57;18;6
27/10/2022;2;15;13;43;13;2
26/10/2022;4;32;27;21;7;3
25/10/2022;7;31;20;26;8;3
24/10/2022;2;23;20;10;4;3
23/10/2022;1;8;6;10;3;2
22/10/2022;1;11;9;7;3;3
21/10/2022;2;20;18;10;4;3
20/10/2022;2;19;15;15;5;2
19/10/2022;10;38;23;54;19;5
18/10/2022;5;31;24;59;21;4
17/10/2022;8;40;28;40;15;3
16/10/2022;11;45;29;31;13;4
15/10/2022;16;50;26;21;12;3
14/10/2022;17;46;20;20;10;2
13/10/2022;13;48;29;29;14;2
12/10/2022;6;28;19;33;16;2
11/10/2022;10;41;27;40;22;2
10/10/2022;8;37;26;52;24;2
09/10/2022;6;25;16;42;17;2
08/10/2022;3;23;18;22;12;1
07/10/2022;19;49;21;35;20;2
06/10/2022;8;34;22;29;15;2
05/10/2022;15;47;24;41;24;2
04/10/2022;15;51;29;31;20;3
03/10/2022;16;50;26;25;13;2
02/10/2022;6;24;16;14;8;2
01/10/2022;6;26;17;13;6;3
30/09/2022;4;28;23;11;6;2
29/09/2022;4;29;23;7;4;2
28/09/2022;1;12;10;5;3;2
27/09/2022;2;17;15;16;8;2
26/09/2022;14;50;29;18;9;3
25/09/2022;5;27;20;12;6;3
24/09/2022;2;22;19;10;6;2
23/09/2022;11;46;30;24;12;3
22/09/2022;10;43;28;24;9;4
21/09/2022;9;38;25;20;9;4
20/09/2022;12;45;27;21;10;5
19/09/2022;11;45;29;21;10;4
18/09/2022;3;27;22;15;8;4
17/09/2022;2;22;20;17;7;2
16/09/2022;2;18;15;14;8;2
15/09/2022;9;38;25;14;6;3
14/09/2022;1;20;18;10;5;3
13/09/2022;3;24;21;22;7;3
12/09/2022;4;30;24;46;20;4
11/09/2022;6;36;27;19;9;5
10/09/2022;6;33;25;12;7;4
09/09/2022;4;25;19;13;7;2
08/09/2022;7;33;23;15;7;4
07/09/2022;6;35;25;15;7;3
06/09/2022;3;19;14;13;7;2
05/09/2022;4;27;21;17;8;3
04/09/2022;3;23;20;16;9;3
03/09/2022;1;15;13;16;9;2
02/09/2022;6;28;20;17;9;2
01/09/2022;4;25;19;19;12;2
31/08/2022;2;24;22;19;12;2
30/08/2022;5;28;21;28;17;3
29/08/2022;3;30;26;22;11;3
28/08/2022;4;24;19;16;10;3
27/08/2022;2;17;15;11;6;3
26/08/2022;2;15;13;11;6;3
25/08/2022;4;21;15;15;8;3
24/08/2022;4;23;18;16;9;3
23/08/2022;;;;8;5;2
22/08/2022;;;;8;5;3
21/08/2022;3;7;3;12;8;3
20/08/2022;1;4;1;13;8;3
19/08/2022;2;7;4;12;7;3
18/08/2022;1;10;8;15;8;3
17/08/2022;3;19;15;11;6;3
16/08/2022;2;14;12;17;10;3
15/08/2022;1;11;9;21;14;3
14/08/2022;1;8;7;14;10;3
13/08/2022;2;14;11;25;18;3
12/08/2022;3;20;15;35;23;3
11/08/2022;5;29;21;32;17;3
10/08/2022;4;33;27;37;18;4
09/08/2022;2;27;23;26;13;4
08/08/2022;5;30;23;23;11;5
07/08/2022;4;23;17;23;12;4
06/08/2022;2;15;12;18;9;3
05/08/2022;2;14;11;17;7;3
04/08/2022;2;12;10;16;7;2
03/08/2022;3;19;14;23;12;2
02/08/2022;5;24;16;20;12;2
01/08/2022;2;12;9;13;8;2
31/07/2022;1;6;4;8;5;2
30/07/2022;2;10;7;8;5;2
29/07/2022;7;27;16;14;7;4
28/07/2022;7;27;16;11;6;3
27/07/2022;7;28;17;14;6;3
26/07/2022;3;16;13;10;6;2
25/07/2022;1;9;7;13;8;2
24/07/2022;5;18;11;18;11;3
23/07/2022;3;18;13;20;10;3
22/07/2022;2;16;13;15;9;2
21/07/2022;1;10;8;18;11;3
20/07/2022;2;10;8;15;9;3
19/07/2022;5;20;13;22;13;5
18/07/2022;5;31;24;50;25;6
17/07/2022;2;25;22;58;41;5
16/07/2022;3;28;23;81;64;7
15/07/2022;6;36;27;82;62;6
14/07/2022;6;40;32;46;29;5
