Date;NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2022;1;7;5;16;12;5
30/12/2022;2;11;7;5;3;5
29/12/2022;5;32;25;7;5;5
28/12/2022;3;17;12;10;8;5
27/12/2022;14;55;33;15;12;6
26/12/2022;2;20;16;6;2;5
25/12/2022;1;7;4;4;4;5
24/12/2022;1;7;5;6;4;5
23/12/2022;2;12;9;5;3;5
22/12/2022;3;16;12;6;3;5
21/12/2022;3;17;13;6;4;5
20/12/2022;4;21;15;6;4;5
19/12/2022;2;12;9;8;5;5
18/12/2022;1;9;7;6;5;5
17/12/2022;7;32;22;15;14;6
16/12/2022;12;45;27;12;5;5
15/12/2022;7;34;22;11;5;7
14/12/2022;5;29;21;10;8;5
13/12/2022;47;107;35;25;16;7
12/12/2022;12;46;27;16;10;7
11/12/2022;11;43;25;26;22;10
10/12/2022;8;36;24;13;16;6
09/12/2022;14;44;22;9;7;7
08/12/2022;6;31;22;12;13;5
07/12/2022;24;62;26;17;16;7
06/12/2022;4;25;18;8;8;5
05/12/2022;6;30;20;9;8;5
04/12/2022;3;22;16;7;8;5
03/12/2022;4;24;18;6;7;6
02/12/2022;23;62;27;15;12;6
01/12/2022;9;38;23;;10;5
30/11/2022;14;51;29;14;9;5
29/11/2022;3;20;14;6;3;5
28/11/2022;3;13;8;8;3;5
27/11/2022;1;12;9;7;7;6
26/11/2022;8;48;36;13;15;7
25/11/2022;4;25;18;10;7;6
24/11/2022;7;34;23;14;13;5
23/11/2022;4;22;16;14;9;5
22/11/2022;3;17;13;5;4;7
21/11/2022;4;18;12;7;6;6
20/11/2022;2;17;14;8;6;6
19/11/2022;1;9;6;4;2;7
18/11/2022;3;16;12;5;2;6
17/11/2022;9;34;19;21;12;5
16/11/2022;3;18;13;8;6;5
15/11/2022;5;26;19;9;6;4
14/11/2022;4;26;20;9;5;5
13/11/2022;1;13;10;11;9;5
12/11/2022;2;15;12;10;8;5
11/11/2022;4;31;24;13;10;6
10/11/2022;21;69;37;27;17;6
09/11/2022;9;43;29;10;6;4
08/11/2022;3;15;10;5;3;3
07/11/2022;2;18;14;7;6;5
06/11/2022;3;27;22;9;6;6
05/11/2022;5;30;21;10;5;5
04/11/2022;3;16;11;11;5;6
03/11/2022;3;15;10;10;4;5
02/11/2022;14;51;30;12;8;5
01/11/2022;2;17;13;11;6;6
31/10/2022;2;17;13;12;8;4
30/10/2022;2;15;13;10;7;3
29/10/2022;2;20;16;21;13;5
28/10/2022;6;41;31;35;23;6
27/10/2022;9;44;29;31;20;5
26/10/2022;3;24;19;12;7;4
25/10/2022;6;32;22;16;12;6
24/10/2022;3;22;18;12;12;4
23/10/2022;1;8;6;24;21;4
22/10/2022;1;12;9;7;4;4
21/10/2022;3;18;13;7;3;3
20/10/2022;5;25;17;11;6;4
19/10/2022;11;40;24;29;19;4
18/10/2022;7;39;29;33;25;5
17/10/2022;5;32;24;19;16;4
16/10/2022;4;25;19;18;;5
15/10/2022;9;36;23;14;11;4
14/10/2022;17;48;22;17;15;5
13/10/2022;24;63;26;23;16;5
12/10/2022;2;14;10;19;13;3
11/10/2022;8;37;25;30;21;3
10/10/2022;10;41;27;38;22;3
09/10/2022;2;15;12;29;18;3
08/10/2022;2;17;14;21;9;3
07/10/2022;16;46;21;26;19;4
06/10/2022;7;31;20;20;13;4
05/10/2022;11;44;28;30;27;4
04/10/2022;28;76;33;30;30;7
03/10/2022;14;48;27;17;14;5
02/10/2022;5;23;16;14;15;6
01/10/2022;9;34;20;11;8;4
30/09/2022;4;19;13;9;3;4
29/09/2022;3;17;13;5;2;5
28/09/2022;3;18;13;7;3;3
27/09/2022;3;15;11;12;7;3
26/09/2022;6;30;21;10;6;6
25/09/2022;2;14;11;6;4;5
24/09/2022;1;11;9;6;3;5
23/09/2022;17;55;29;20;15;5
22/09/2022;12;43;25;19;13;5
21/09/2022;12;41;23;21;18;7
20/09/2022;13;44;25;19;15;7
19/09/2022;13;46;26;19;;6
18/09/2022;3;21;17;15;;6
17/09/2022;1;11;9;14;;3
16/09/2022;3;18;14;13;;3
15/09/2022;4;22;16;9;6;3
14/09/2022;3;16;12;10;4;3
13/09/2022;4;22;16;16;9;3
12/09/2022;7;38;27;27;19;3
11/09/2022;3;30;25;13;12;4
10/09/2022;4;26;20;14;9;4
09/09/2022;3;15;12;10;5;3
08/09/2022;11;39;23;15;9;5
07/09/2022;8;30;18;11;6;4
06/09/2022;1;14;11;11;5;4
05/09/2022;4;24;18;12;8;5
04/09/2022;2;17;13;13;10;4
03/09/2022;1;13;10;14;7;4
02/09/2022;3;17;13;9;6;3
01/09/2022;4;22;15;13;9;3
31/08/2022;3;25;21;14;9;3
30/08/2022;6;29;20;23;18;3
29/08/2022;3;23;18;16;13;3
28/08/2022;3;23;17;15;14;3
27/08/2022;2;13;10;9;7;3
26/08/2022;2;12;9;11;4;3
25/08/2022;3;17;13;11;5;3
24/08/2022;7;30;20;13;11;3
23/08/2022;6;19;11;6;5;3
22/08/2022;5;20;13;4;3;3
21/08/2022;2;10;8;7;5;3
20/08/2022;4;21;15;14;9;4
19/08/2022;5;23;15;11;13;5
18/08/2022;2;11;8;12;5;3
17/08/2022;2;14;11;8;3;5
16/08/2022;2;14;11;15;7;3
15/08/2022;1;10;8;16;13;4
14/08/2022;1;7;5;11;9;3
13/08/2022;2;12;10;17;15;3
12/08/2022;2;21;18;24;20;3
11/08/2022;6;43;34;24;20;3
10/08/2022;6;43;34;25;21;3
09/08/2022;5;31;23;22;14;4
08/08/2022;7;34;24;19;11;5
07/08/2022;2;15;12;15;10;3
06/08/2022;2;14;10;17;6;3
05/08/2022;3;17;13;12;4;3
04/08/2022;4;18;12;12;5;3
03/08/2022;6;26;18;19;10;3
02/08/2022;7;26;15;14;10;3
01/08/2022;2;16;13;9;6;3
31/07/2022;1;10;8;8;4;3
30/07/2022;2;10;7;4;3;3
29/07/2022;7;27;16;11;5;4
28/07/2022;7;27;16;9;5;5
27/07/2022;4;19;13;9;4;5
26/07/2022;2;16;13;8;3;4
25/07/2022;1;9;7;10;5;4
24/07/2022;2;17;14;15;9;5
23/07/2022;2;13;10;10;5;4
22/07/2022;3;21;17;10;4;4
21/07/2022;2;14;11;14;8;4
20/07/2022;2;17;13;12;6;4
19/07/2022;5;25;17;20;10;5
18/07/2022;4;33;27;;21;5
17/07/2022;2;29;26;;37;5
16/07/2022;2;29;26;;56;5
15/07/2022;4;33;26;39;33;5
14/07/2022;7;45;34;38;31;10
13/07/2022;8;45;33;31;21;6
12/07/2022;6;38;28;32;21;5
11/07/2022;7;37;27;28;21;5
10/07/2022;2;20;16;22;19;5
09/07/2022;2;16;13;18;15;6
08/07/2022;3;15;11;12;6;4
07/07/2022;5;22;14;16;7;4
06/07/2022;2;17;13;16;6;4
