Date;Benceno (µg/m3);CO (mg/m3);CO 8h (mg/m3);Etilbenceno (µg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
31/12/2022;0,02;0,13;0,14;0,02;2;9;7;0,28;26;11;4;0,5
30/12/2022;0,09;0,21;0,22;0,09;3;12;8;0,56;5;2;4;0,74
29/12/2022;0,2;0,3;0,28;0,08;4;28;22;0,46;7;4;4;0,76
28/12/2022;0,23;0,22;0,26;0,12;4;21;15;0,62;12;6;5;1,05
27/12/2022;0,4;0,39;0,35;0,26;13;50;31;1,04;17;9;7;1,69
26/12/2022;0,12;0,23;0,21;0,01;2;14;11;0,2;6;2;3;0,51
25/12/2022;0,05;0,19;0,19;0,01;2;11;8;0,31;6;3;3;0,69
24/12/2022;0,08;0,2;0,21;0,01;2;9;7;0,25;7;4;3;0,54
23/12/2022;0,1;0,21;0,21;0,07;2;12;8;0,49;6;2;3;0,72
22/12/2022;0,24;0,25;0,24;0,19;7;29;19;0,89;8;3;4;1,18
21/12/2022;0,23;0,24;0,26;0,08;3;23;18;0,46;7;3;4;0,78
20/12/2022;0,21;0,26;0,25;0,11;4;24;18;0,65;7;4;4;0,95
19/12/2022;0,23;0,22;0,21;0,08;4;20;14;0,51;9;5;4;0,84
18/12/2022;0,27;0,21;0,22;0,03;3;16;12;0,37;8;5;4;0,68
17/12/2022;0,51;0,27;0,27;0,19;12;50;32;0,78;14;10;5;1,21
16/12/2022;0,49;0,36;0,36;0,06;3;27;22;0,41;15;9;4;0,83
15/12/2022;0,38;0,33;0,32;0,26;12;52;34;1,11;10;4;4;1,72
14/12/2022;0,42;0,3;0,33;0,38;13;53;33;1,56;10;5;5;2,15
13/12/2022;1,1;0,62;0,61;1,08;83;172;45;4,56;23;13;5;6,12
12/12/2022;0,54;0,41;0,4;0,25;22;73;39;0,96;13;8;8;1,35
11/12/2022;0,68;0,37;0,35;0,15;22;68;34;0,66;18;12;13;1,17
10/12/2022;0,43;0,3;0,28;0,11;10;44;29;0,51;14;9;7;1,01
09/12/2022;0,4;0,29;0,3;0,19;11;37;20;0,79;10;5;6;1,27
08/12/2022;0,45;0,3;0,3;0,19;11;44;28;0,75;17;12;6;1,17
07/12/2022;0,61;0,4;0,43;0,38;24;64;28;1,39;20;14;10;2,14
06/12/2022;0,46;0,35;0,31;0,22;12;46;29;0,9;12;8;9;1,38
05/12/2022;0,47;0,29;0,29;0,29;12;52;34;1,13;14;10;7;1,32
04/12/2022;0,62;0,33;0,33;0,1;12;49;31;0,48;11;8;10;0,85
03/12/2022;0,52;0,32;0,3;0,14;10;46;31;0,6;11;8;8;1
02/12/2022;0,51;0,29;0,29;0,3;13;51;31;1,16;16;11;9;1,41
01/12/2022;0,52;0,31;0,32;0,41;20;60;31;1,64;17;10;5;2,57
30/11/2022;0,38;0,27;0,25;0,29;16;58;33;1,11;15;10;7;1,61
