Date;CO (mg/m3);CO 8h (mg/m3);NH3 (µg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2022;0,28;0,28;1;1;8;7;26;11;2
30/12/2022;0,3;0,38;2;1;6;5;3;1;1
29/12/2022;0,45;0,37;3;6;36;27;10;5;2
28/12/2022;0,49;0,54;3;2;14;11;10;5;2
27/12/2022;0,54;0,51;2;21;66;34;16;9;3
26/12/2022;0,37;0,33;2;5;24;17;7;3;1
25/12/2022;0,29;0,29;1;0;3;3;4;2;1
24/12/2022;0,31;0,31;2;0;5;5;6;4;1
23/12/2022;0,33;0,41;3;0;7;7;4;2;1
22/12/2022;0,53;0,47;3;13;46;27;16;8;3
21/12/2022;0,36;0,34;3;3;22;19;6;3;2
20/12/2022;0,37;0,4;4;4;26;20;9;5;2
19/12/2022;0,37;0,34;2;3;16;13;8;4;3
18/12/2022;0,35;0,41;3;0;6;6;5;3;2
17/12/2022;0,48;0,44;2;5;31;24;13;9;3
16/12/2022;0,41;0,4;3;12;50;32;16;9;3
15/12/2022;0,51;0,51;5;7;39;29;12;6;4
14/12/2022;0,6;0,65;6;12;45;27;12;6;3
13/12/2022;0,85;0,8;6;90;182;44;28;14;7
12/12/2022;0,71;0,66;4;21;69;38;13;7;4
11/12/2022;0,5;0,47;2;16;59;34;15;11;8
10/12/2022;0,38;0,35;2;8;42;30;12;8;3
09/12/2022;0,4;0,41;4;17;46;20;10;6;2
08/12/2022;0,42;0,43;4;6;34;25;15;11;2
07/12/2022;0,46;0,46;3;21;59;27;19;13;9
06/12/2022;0,4;0,39;4;9;38;24;11;7;5
05/12/2022;0,39;0,38;3;15;55;33;14;10;2
04/12/2022;0,41;0,42;3;4;28;21;8;6;3
03/12/2022;0,4;0,39;4;6;39;31;9;7;6
02/12/2022;0,47;0,47;4;34;95;43;24;14;10
01/12/2022;0,51;0,53;4;54;128;46;44;28;6
30/11/2022;0,51;0,48;1;28;84;43;19;11;2
29/11/2022;0,34;0,35;2;5;35;28;10;5;3
28/11/2022;0,34;0,34;2;5;28;21;10;5;4
27/11/2022;0,33;0,32;1;2;20;18;6;3;3
26/11/2022;0,39;0,42;1;5;40;32;9;5;5
25/11/2022;0,38;0,36;2;11;50;35;13;7;6
24/11/2022;;;3;9;52;39;14;8;3
23/11/2022;0,15;0,15;2;;;;16;8;5
22/11/2022;;;1;2;16;14;5;3;1
21/11/2022;0,15;0,16;2;7;32;22;10;6;2
20/11/2022;0,19;0,17;1;3;24;20;9;5;2
19/11/2022;0,13;0,13;1;1;14;13;4;2;3
18/11/2022;0,14;0,15;3;4;28;22;8;4;5
17/11/2022;0,18;0,18;4;13;46;27;27;13;6
16/11/2022;0,11;0,13;3;3;21;17;10;5;1
15/11/2022;0,18;0,16;2;9;39;26;9;5;1
14/11/2022;0,17;0,16;3;8;38;26;10;5;1
13/11/2022;0,15;0,15;3;1;18;17;10;5;4
12/11/2022;0,13;0,13;4;1;11;10;8;4;1
11/11/2022;0,2;0,22;4;15;52;29;12;6;4
10/11/2022;0,18;;3;16;67;43;12;6;2
09/11/2022;0,21;0,19;2;10;50;36;;;0
08/11/2022;0,13;0,12;3;1;12;10;8;3;0
07/11/2022;0,14;0,17;2;5;29;22;10;5;0
06/11/2022;0,17;0,18;2;4;31;26;14;6;1
05/11/2022;0,2;0,19;1;9;43;30;16;6;0
04/11/2022;0,18;0,17;2;5;31;24;28;8;1
03/11/2022;0,13;0,15;3;2;18;16;15;5;1
02/11/2022;0,21;0,21;2;18;65;38;23;9;1
01/11/2022;0,19;0,18;3;2;22;19;19;6;1
31/10/2022;0,14;0,14;4;3;21;17;17;7;0
30/10/2022;0,2;0,21;5;0;13;13;15;4;2
29/10/2022;0,17;0,18;6;2;26;24;35;11;1
28/10/2022;0,25;0,23;5;22;75;41;56;20;3
27/10/2022;0,18;0,16;2;10;48;34;48;19;1
26/10/2022;0,17;0,16;3;5;32;24;17;6;0
25/10/2022;0,17;0,19;3;9;36;23;19;7;1
24/10/2022;0,16;0,14;1;3;27;22;;6;1
23/10/2022;0,16;0,16;1;0;4;4;;8;0
22/10/2022;0,15;0,15;1;1;11;10;10;3;0
21/10/2022;0,14;0,14;2;1;13;11;7;2;0
20/10/2022;0,15;0,15;4;5;25;17;12;4;1
19/10/2022;0,17;0,18;7;6;28;19;45;13;1
18/10/2022;0,29;0,3;5;7;42;33;53;15;2
17/10/2022;0,19;0,18;5;9;45;32;32;10;2
16/10/2022;0,24;0,25;4;10;49;34;28;11;2
15/10/2022;0,23;0,22;3;11;41;25;25;9;3
14/10/2022;0,22;0,23;4;18;57;30;28;10;3
13/10/2022;0,24;0,23;3;22;68;35;35;13;2
12/10/2022;0,21;0,21;3;3;24;20;30;12;3
11/10/2022;0,27;0,27;5;16;61;37;56;19;2
10/10/2022;0,25;0,24;4;14;57;36;68;18;1
09/10/2022;0,18;0,18;3;1;13;12;44;12;2
08/10/2022;0,21;0,2;4;4;25;20;26;9;1
07/10/2022;0,31;0,32;4;24;58;22;42;17;3
06/10/2022;;;3;17;53;27;32;13;4
05/10/2022;0,28;0,28;3;19;51;23;42;22;5
04/10/2022;0,27;0,27;2;23;62;28;40;20;7
03/10/2022;0,24;0,23;1;19;53;23;29;13;8
02/10/2022;0,2;0,2;1;10;31;16;17;6;6
01/10/2022;0,19;0,18;1;7;28;19;14;5;6
30/09/2022;0,21;0,21;2;7;30;20;18;6;4
29/09/2022;0,19;0,19;2;8;31;19;16;5;4
28/09/2022;0,17;;4;7;23;12;13;4;6
27/09/2022;0,19;;4;4;17;12;23;6;5
26/09/2022;0,23;0,23;2;13;41;21;17;7;6
25/09/2022;0,2;0,19;2;3;19;15;12;4;4
24/09/2022;0,21;0,22;4;2;15;13;10;4;4
23/09/2022;0,29;0,29;4;16;51;28;29;11;8
22/09/2022;0,27;0,26;3;11;47;31;26;9;7
21/09/2022;0,26;0,26;3;17;54;28;31;11;8
20/09/2022;0,25;0,25;3;16;52;27;27;10;10
19/09/2022;0,31;0,3;4;23;64;30;29;11;8
18/09/2022;0,25;0,25;3;5;30;22;20;9;5
17/09/2022;0,23;0,22;3;2;18;16;15;6;3
16/09/2022;0,23;0,23;5;4;15;9;17;5;2
15/09/2022;0,27;0,27;5;11;33;16;24;7;2
14/09/2022;0,22;0,24;7;2;11;9;10;3;3
13/09/2022;0,28;0,25;6;3;22;17;27;10;3
12/09/2022;0,29;0,3;4;5;28;21;28;12;2
11/09/2022;0,28;0,28;1;5;29;22;36;11;4
10/09/2022;0,26;0,25;2;5;29;22;21;7;6
09/09/2022;0,26;0,25;2;8;30;19;21;8;3
08/09/2022;0,24;0,24;2;9;33;20;25;6;5
07/09/2022;0,21;0,21;3;10;39;24;22;7;3
06/09/2022;0,24;0,24;2;2;13;11;22;6;2
05/09/2022;0,24;0,24;3;4;22;16;22;8;3
04/09/2022;0,24;0,24;2;2;16;14;25;8;2
03/09/2022;0,23;0,23;3;1;11;9;21;5;2
