Date;Benceno (µg/m3);M-P-XILENO (µg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);SH2 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
31/12/2022;0,11;0,03;1;2;0;77;77;16;3;2;0,25
30/12/2022;0,12;0,05;1;3;0;73;68;4;4;2;0,31
29/12/2022;0,26;0,31;4;27;21;54;60;8;4;3;1,64
28/12/2022;0,16;0,11;1;6;4;68;59;9;3;2;0,59
27/12/2022;0,4;0,52;10;47;32;24;32;17;3;4;2,3
26/12/2022;0,18;0,11;1;10;8;76;80;4;2;2;0,48
25/12/2022;0,12;0,03;1;2;0;75;74;3;3;2;0,24
24/12/2022;0,11;0,05;1;3;1;73;72;5;3;2;0,3
23/12/2022;0,14;0,05;1;5;3;69;67;4;3;2;0,32
22/12/2022;0,2;0,16;2;12;9;59;59;5;3;4;0,79
21/12/2022;0,22;0,13;2;10;8;62;63;5;3;3;0,68
20/12/2022;0,2;0,13;2;11;9;60;61;6;4;2;0,61
19/12/2022;0,21;0,07;1;7;6;63;64;6;3;2;0,44
18/12/2022;0,18;0,05;1;5;3;66;65;4;3;2;0,28
17/12/2022;0,61;0,24;6;30;21;32;31;14;3;4;1,38
16/12/2022;0,34;0,11;2;21;18;46;50;9;3;3;0,74
15/12/2022;0,2;0,15;4;21;15;61;58;6;5;6;0,98
14/12/2022;0,21;0,19;3;19;16;55;51;7;5;3;0,99
13/12/2022;0,81;1,09;49;116;43;12;15;30;5;7;4,76
12/12/2022;0,71;0,28;13;48;28;26;23;15;5;10;2,11
11/12/2022;1,26;0,24;12;50;32;16;14;29;4;9;1,53
10/12/2022;0,54;0,21;9;42;29;36;44;15;3;3;1,24
09/12/2022;0,35;0,19;3;18;14;44;39;5;4;3;0,95
08/12/2022;0,42;0,36;9;38;25;17;16;13;4;2;1,96
07/12/2022;0,54;0,63;16;53;28;21;23;15;4;4;3,51
06/12/2022;0,3;0,17;2;18;15;45;47;7;4;3;0,86
05/12/2022;0,32;0,11;3;16;13;49;45;8;4;2;0,78
04/12/2022;0,63;0,18;3;22;18;33;32;7;4;3;1,11
