Date;Benceno (µg/m3);M-P-XILENO (µg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SH2 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
31/12/2022;0,12;0,36;1;3;1;74;72;23;8;2;4;0,2
30/12/2022;0,15;0,61;1;3;1;66;61;4;1;2;4;0,34
29/12/2022;0,3;1,49;2;13;10;56;61;7;4;2;4;0,96
28/12/2022;0,19;0,8;1;4;2;64;57;9;4;2;4;0,57
27/12/2022;0,42;2,05;4;20;14;31;35;11;6;2;5;1,61
26/12/2022;0,28;1,05;1;8;6;69;74;5;2;2;4;0,78
25/12/2022;0,15;0,72;1;3;1;70;69;4;2;2;4;0,39
24/12/2022;0,15;0,62;1;3;1;68;68;5;3;2;4;0,33
23/12/2022;0,16;0,73;1;3;1;65;61;4;2;2;4;0,42
22/12/2022;0,27;1,34;1;7;5;54;52;5;3;2;4;1,12
21/12/2022;0,26;0,96;1;6;4;52;;4;2;2;4;0,82
20/12/2022;0,26;0,8;1;6;4;59;60;5;3;2;4;0,7
19/12/2022;0,24;0,65;1;4;2;60;61;5;;2;4;0,64
18/12/2022;0,25;0,35;1;3;1;61;59;6;;2;3;0,37
17/12/2022;0,41;0,98;2;10;6;35;34;9;;2;5;0,99
16/12/2022;0,52;1,31;2;13;10;43;48;12;;2;4;1,31
15/12/2022;0,27;1,1;2;9;7;61;59;7;;2;4;0,85
14/12/2022;0,18;0,99;1;6;4;57;49;7;;2;4;0,79
13/12/2022;0,48;2,53;11;35;18;20;23;17;;2;4;2,62
12/12/2022;0,49;1,23;3;17;12;32;30;11;;2;5;1,34
11/12/2022;0,97;1,15;2;19;15;23;20;16;;2;5;1,32
10/12/2022;0,56;1,32;2;15;12;39;47;11;;2;6;1,32
09/12/2022;0,64;1,89;2;13;9;40;36;7;;2;6;1,85
08/12/2022;0,43;1,53;3;16;11;24;22;10;;2;4;1,4
