Date;NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3)
31/12/2022;1;4;2;19;8
30/12/2022;1;4;3;3;1
29/12/2022;1;15;13;7;4
28/12/2022;1;7;6;10;4
27/12/2022;5;31;23;14;7
26/12/2022;1;11;10;7;2
25/12/2022;1;4;2;5;3
24/12/2022;1;4;3;5;3
23/12/2022;1;5;4;3;2
22/12/2022;1;8;6;4;1
21/12/2022;1;8;6;4;2
20/12/2022;1;8;7;7;3
19/12/2022;1;5;4;6;3
18/12/2022;1;4;3;5;2
17/12/2022;2;10;8;7;4
16/12/2022;2;17;15;12;7
15/12/2022;2;17;14;10;5
14/12/2022;2;11;9;6;2
13/12/2022;22;51;17;16;9
12/12/2022;4;19;13;8;4
11/12/2022;4;18;12;13;8
10/12/2022;2;12;9;9;6
09/12/2022;3;15;11;7;3
08/12/2022;4;16;10;12;9
07/12/2022;6;26;17;17;11
06/12/2022;5;20;13;11;7
05/12/2022;2;8;6;9;7
04/12/2022;3;12;7;7;6
03/12/2022;1;10;8;8;6
02/12/2022;3;17;13;11;6
01/12/2022;5;21;15;15;9
30/11/2022;7;26;16;13;7
29/11/2022;1;12;10;7;3
28/11/2022;1;8;6;6;2
27/11/2022;1;10;8;6;3
26/11/2022;2;9;7;6;3
25/11/2022;2;14;11;10;4
24/11/2022;2;13;10;14;6
23/11/2022;1;10;8;14;6
22/11/2022;1;5;3;3;1
21/11/2022;1;7;6;5;2
20/11/2022;2;8;6;7;3
19/11/2022;1;5;3;3;1
18/11/2022;2;9;6;6;2
17/11/2022;2;14;11;23;10
16/11/2022;1;7;5;6;2
15/11/2022;1;7;6;6;1
14/11/2022;2;17;14;13;5
13/11/2022;1;7;5;12;5
12/11/2022;1;6;5;9;4
11/11/2022;2;16;14;7;3
10/11/2022;3;18;14;8;4
09/11/2022;2;15;12;9;4
08/11/2022;1;4;3;4;1
07/11/2022;1;8;6;4;2
06/11/2022;2;12;10;9;4
05/11/2022;2;10;7;7;3
04/11/2022;1;8;6;11;3
03/11/2022;1;7;6;8;2
02/11/2022;3;17;13;14;5
01/11/2022;1;9;6;11;4
31/10/2022;1;7;5;12;6
30/10/2022;1;10;8;15;7
29/10/2022;1;15;13;25;12
28/10/2022;4;24;18;41;17
27/10/2022;1;11;9;31;12
26/10/2022;1;12;10;7;3
25/10/2022;3;14;10;13;5
24/10/2022;1;8;6;7;3
23/10/2022;1;2;1;5;1
22/10/2022;1;4;3;6;2
21/10/2022;1;5;3;4;2
20/10/2022;1;6;5;21;2
19/10/2022;4;17;11;35;14
18/10/2022;4;19;14;32;15
17/10/2022;2;12;10;31;9
16/10/2022;2;20;16;20;10
15/10/2022;3;21;17;14;7
14/10/2022;3;16;12;11;6
13/10/2022;3;20;14;19;14
12/10/2022;2;11;9;22;9
11/10/2022;3;21;16;35;18
10/10/2022;2;17;15;45;19
09/10/2022;1;9;7;31;12
08/10/2022;2;11;9;18;6
07/10/2022;4;19;13;24;12
06/10/2022;3;18;13;20;10
05/10/2022;4;23;18;32;24
04/10/2022;4;28;22;23;17
03/10/2022;4;21;15;16;11
02/10/2022;2;13;10;11;5
01/10/2022;2;10;8;9;4
30/09/2022;1;12;10;8;3
29/09/2022;1;8;6;5;1
28/09/2022;1;4;3;3;1
27/09/2022;1;5;4;13;3
26/09/2022;2;12;9;7;3
25/09/2022;1;8;6;5;1
24/09/2022;1;8;7;6;4
23/09/2022;2;19;16;15;8
22/09/2022;2;12;10;12;5
21/09/2022;2;13;10;17;10
20/09/2022;2;13;10;12;6
19/09/2022;2;14;12;13;8
18/09/2022;1;11;9;11;7
17/09/2022;1;9;7;10;5
16/09/2022;1;8;6;11;4
15/09/2022;2;15;11;11;4
14/09/2022;2;7;5;6;3
13/09/2022;1;6;5;11;4
12/09/2022;1;9;8;25;11
11/09/2022;1;14;12;16;8
10/09/2022;2;13;11;12;5
09/09/2022;1;10;8;12;4
08/09/2022;1;10;7;11;4
07/09/2022;1;10;8;11;4
06/09/2022;1;6;5;11;5
05/09/2022;1;9;7;11;7
04/09/2022;1;9;8;13;8
03/09/2022;1;9;7;13;6
02/09/2022;2;10;8;11;6
01/09/2022;2;11;8;13;8
31/08/2022;1;10;8;15;10
30/08/2022;2;13;10;21;13
29/08/2022;1;10;8;14;9
28/08/2022;1;11;9;15;9
27/08/2022;1;10;8;11;5
26/08/2022;1;7;5;8;3
25/08/2022;2;12;9;13;5
24/08/2022;1;11;10;13;10
23/08/2022;2;10;7;6;3
22/08/2022;2;12;10;8;4
21/08/2022;1;9;7;13;8
20/08/2022;1;12;10;14;8
19/08/2022;2;12;10;13;5
18/08/2022;1;6;4;11;4
17/08/2022;1;6;5;6;3
16/08/2022;1;7;6;16;7
15/08/2022;1;6;4;19;12
14/08/2022;1;5;4;12;8
13/08/2022;1;9;7;22;18
12/08/2022;2;14;12;30;23
11/08/2022;1;15;14;23;16
10/08/2022;1;15;13;23;16
09/08/2022;1;15;13;22;14
08/08/2022;1;14;13;17;10
07/08/2022;1;8;6;15;9
06/08/2022;1;9;7;19;6
05/08/2022;2;8;6;14;4
04/08/2022;1;9;7;17;7
03/08/2022;3;17;13;21;13
02/08/2022;3;16;12;18;10
01/08/2022;1;8;6;11;5
31/07/2022;1;5;4;8;3
30/07/2022;1;6;4;7;3
29/07/2022;2;9;7;6;4
28/07/2022;2;9;7;7;4
27/07/2022;2;9;7;6;2
26/07/2022;1;9;7;8;2
25/07/2022;1;7;5;12;6
24/07/2022;1;10;8;18;10
23/07/2022;1;7;6;11;5
22/07/2022;1;9;7;10;6
21/07/2022;1;9;8;16;9
20/07/2022;1;9;7;14;7
19/07/2022;2;11;8;18;9
18/07/2022;2;16;14;30;19
17/07/2022;1;12;10;42;34
16/07/2022;1;14;12;59;53
15/07/2022;1;14;12;46;40
14/07/2022;1;17;16;30;22
13/07/2022;1;12;11;19;14
12/07/2022;2;18;16;23;17
11/07/2022;1;16;14;19;15
10/07/2022;1;10;8;17;11
09/07/2022;2;11;9;15;10
08/07/2022;2;10;8;15;6
07/07/2022;2;10;8;16;8
06/07/2022;1;11;9;20;9
05/07/2022;1;10;8;13;6
04/07/2022;1;9;7;7;2
03/07/2022;1;7;6;9;4
02/07/2022;2;11;8;12;7
01/07/2022;2;9;7;8;3
30/06/2022;1;8;6;7;2
29/06/2022;2;10;7;9;5
28/06/2022;2;12;9;10;4
27/06/2022;2;9;7;9;2
26/06/2022;1;7;5;9;3
25/06/2022;1;7;5;11;6
24/06/2022;2;10;8;14;9
23/06/2022;2;10;8;13;8
22/06/2022;2;11;9;7;3
21/06/2022;2;11;8;8;3
20/06/2022;2;11;9;12;4
19/06/2022;2;8;6;18;7
18/06/2022;1;13;11;44;21
17/06/2022;1;15;14;43;25
16/06/2022;3;26;22;38;25
15/06/2022;3;23;19;34;22
14/06/2022;6;29;20;38;25
13/06/2022;1;13;11;26;13
12/06/2022;1;7;6;16;7
11/06/2022;1;10;8;17;9
10/06/2022;3;15;10;13;6
09/06/2022;2;12;9;10;4
08/06/2022;3;15;11;9;5
07/06/2022;3;14;10;17;8
06/06/2022;2;12;9;14;7
05/06/2022;2;10;7;14;11
04/06/2022;1;8;6;14;10
03/06/2022;2;14;11;17;11
02/06/2022;2;12;10;24;15
01/06/2022;2;16;13;23;14
31/05/2022;2;18;15;18;10
30/05/2022;2;12;10;14;6
29/05/2022;1;7;5;13;6
28/05/2022;1;8;6;10;5
27/05/2022;2;11;8;7;3
26/05/2022;1;10;8;9;2
25/05/2022;1;7;5;9;3
24/05/2022;1;8;6;7;1
23/05/2022;2;12;9;13;3
22/05/2022;1;9;8;26;15
21/05/2022;2;18;15;22;11
20/05/2022;1;14;12;21;11
19/05/2022;2;17;14;17;7
18/05/2022;2;11;8;15;6
17/05/2022;2;11;8;10;6
