Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2022;0,12;0,12;1;6;5;22;13;6
30/12/2022;0,13;0,15;1;3;2;4;2;5
29/12/2022;0,2;0,18;2;21;19;10;5;6
28/12/2022;0,15;0,17;1;8;7;13;7;6
27/12/2022;0,27;0,27;11;44;27;21;11;8
26/12/2022;0,19;0,16;1;11;10;9;4;4
25/12/2022;0,12;0,12;1;4;2;5;4;4
24/12/2022;0,14;0,14;1;4;3;7;4;5
23/12/2022;0,16;0,25;1;5;4;7;4;5
22/12/2022;0,36;0,28;7;26;16;13;7;6
21/12/2022;0,2;0,19;1;13;12;8;5;6
20/12/2022;0,22;0,21;2;19;16;10;7;7
19/12/2022;0,17;0,16;1;11;10;8;5;8
18/12/2022;0,15;0,17;1;5;4;7;4;7
17/12/2022;0,22;0,22;5;30;23;13;10;9
16/12/2022;0,23;0,23;2;24;21;19;11;9
15/12/2022;0,31;0,31;5;34;27;12;7;9
14/12/2022;0,27;0,31;6;34;26;12;7;9
13/12/2022;0,52;0,51;71;151;43;33;22;13
12/12/2022;0,28;0,27;13;51;32;;;12
11/12/2022;0,27;0,27;13;50;31;;;17
10/12/2022;0,19;0,18;7;35;25;;;8
09/12/2022;0,21;0,21;11;35;19;;;9
08/12/2022;0,22;0,24;5;30;22;17;13;10
07/12/2022;0,29;0,3;13;43;23;22;16;10
06/12/2022;0,23;0,21;6;29;21;12;9;11
05/12/2022;0,22;0,22;8;37;26;15;12;8
04/12/2022;0,23;0,24;4;21;16;10;8;9
03/12/2022;0,24;0,23;3;26;21;9;8;8
02/12/2022;0,25;0,25;17;55;30;21;15;8
01/12/2022;0,29;0,3;26;71;31;30;21;8
30/11/2022;0,25;0,23;19;60;32;20;12;7
29/11/2022;0,18;0,18;1;20;18;11;6;6
28/11/2022;0,16;0,16;2;18;16;10;5;8
27/11/2022;0,16;0,15;2;17;15;9;6;9
26/11/2022;0,22;0,24;9;45;31;14;10;17
25/11/2022;0,21;0,2;6;33;25;16;9;10
24/11/2022;0,19;0,19;6;36;28;17;10;11
23/11/2022;0,19;0,18;2;20;17;17;8;10
22/11/2022;0,14;0,14;1;12;10;5;3;5
21/11/2022;0,18;0,19;4;22;18;11;6;9
20/11/2022;0,19;0,17;3;21;17;11;6;9
19/11/2022;0,14;0,13;1;13;11;5;3;6
18/11/2022;0,16;0,17;1;16;14;11;5;10
17/11/2022;0,21;0,21;6;29;20;28;12;9
16/11/2022;0,16;0,17;1;12;10;10;5;7
15/11/2022;0,19;0,17;4;24;18;10;5;8
14/11/2022;0,18;0,17;2;21;18;12;5;8
13/11/2022;0,16;0,16;1;14;12;14;8;8
12/11/2022;0,14;0,14;1;10;9;11;6;6
