Date;Benceno (µg/m3);CO (mg/m3);CO 8h (mg/m3);Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
31/12/2018;0,26;0,45;0,42;0,29;48;37;111;0,33;31;14;1,92
30/12/2018;0,22;0,34;0,32;0,24;23;34;69;0,27;20;8;1,55
29/12/2018;0,45;0,35;0,4;0,22;10;21;35;0,34;19;8;1,47
28/12/2018;0,12;0,54;0,5;0,58;76;48;164;0,38;29;16;4,38
27/12/2018;0,16;0,34;0,3;0,44;55;42;127;0,45;18;12;3,29
26/12/2018;0,19;0,26;0,26;0,41;27;39;79;0,46;10;10;2,51
25/12/2018;0,39;0,31;0,32;0,26;21;29;62;0,2;19;12;1,78
24/12/2018;0,14;0,3;0,29;0,31;37;41;97;0,29;15;15;2,47
23/12/2018;0,11;0,25;0,25;0,27;19;36;65;0,49;10;11;2,33
22/12/2018;0,08;0,26;0,26;0,3;10;35;50;0,79;7;9;4,79
21/12/2018;0,1;0,24;0,23;0,29;5;25;33;0,95;6;7;3,08
20/12/2018;0,16;0,24;0,26;0,29;8;38;51;0,59;9;10;2,02
19/12/2018;0,24;0,26;0,26;0,33;16;36;60;0,74;12;10;2,01
18/12/2018;0,18;0,24;0,2;0,28;9;35;49;0,79;9;8;1,58
17/12/2018;0,17;0,26;0,24;0,35;26;47;86;0,41;16;14;2,27
16/12/2018;0,34;0,2;0,23;0,11;2;21;24;0,24;9;9;0,75
15/12/2018;0,16;0,26;0,27;0,23;6;29;37;0,45;9;10;1,43
14/12/2018;0,16;0,24;0,22;0,2;11;34;51;0,28;16;10;1,62
13/12/2018;0,19;0,22;0,22;0,2;2;23;25;0,42;11;8;1,2
12/12/2018;0,16;0,38;0,44;0,84;46;52;121;2,2;34;17;4,48
11/12/2018;;0,5;0,44;;88;57;192;;38;21;
10/12/2018;;0,3;0,3;;27;48;88;;40;13;
09/12/2018;;0,3;0,32;;13;29;48;;33;14;
08/12/2018;;0,28;0,24;;20;43;73;;24;10;
07/12/2018;;0,22;0,24;;14;35;55;;16;11;
06/12/2018;;0,26;0,27;;19;39;68;;19;14;
05/12/2018;;0,37;0,35;;28;45;87;;21;12;
