Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);SH2 (µg/m3);SO2 (µg/m3)
31/12/2018;15;27;49;9;10;19;2;11
30/12/2018;3;15;20;23;27;8;1;3
29/12/2018;1;11;14;49;46;12;1;6
28/12/2018;3;16;20;26;23;16;1;4
27/12/2018;4;15;21;21;24;11;1;3
26/12/2018;1;6;8;37;35;4;1;2
25/12/2018;9;22;35;10;8;8;1;4
24/12/2018;6;18;27;21;26;9;2;5
23/12/2018;1;7;9;41;45;4;1;2
22/12/2018;1;2;4;56;58;2;1;2
21/12/2018;1;2;4;67;68;3;1;2
20/12/2018;1;5;6;59;52;3;1;2
19/12/2018;2;12;15;55;58;6;1;2
18/12/2018;1;7;8;62;67;6;1;2
17/12/2018;1;3;5;64;64;4;1;2
16/12/2018;1;5;7;71;68;7;1;3
15/12/2018;1;3;5;58;54;5;1;2
14/12/2018;1;9;11;65;71;8;1;2
13/12/2018;1;5;7;77;72;8;1;2
12/12/2018;1;10;13;48;44;9;1;3
11/12/2018;25;33;71;12;14;18;2;7
10/12/2018;1;12;14;49;58;17;1;3
09/12/2018;1;5;6;71;63;17;1;2
08/12/2018;1;5;6;56;62;10;1;2
07/12/2018;1;4;5;61;55;6;1;2
06/12/2018;1;6;8;47;46;6;1;2
05/12/2018;7;14;26;37;37;10;1;6
04/12/2018;14;14;36;28;23;8;1;3
03/12/2018;1;4;6;48;55;4;1;2
02/12/2018;1;2;3;62;62;6;1;2
01/12/2018;1;3;4;57;55;5;1;2
30/11/2018;2;7;9;54;55;7;1;2
29/11/2018;1;3;5;71;74;4;1;1
28/11/2018;1;3;4;70;68;5;1;2
27/11/2018;1;4;6;55;57;3;1;2
26/11/2018;1;8;10;58;51;6;1;2
25/11/2018;1;6;8;58;66;5;1;2
24/11/2018;1;3;4;66;64;3;1;1
23/11/2018;2;9;11;60;59;6;1;2
22/11/2018;1;7;9;67;70;5;1;2
21/11/2018;1;10;12;46;38;5;1;2
20/11/2018;2;16;19;40;46;13;2;5
19/11/2018;5;17;25;45;42;14;2;3
18/11/2018;1;7;9;44;43;8;2;2
17/11/2018;1;6;7;47;49;14;2;1
16/11/2018;1;5;7;56;54;;2;2
15/11/2018;2;11;14;49;53;;2;2
14/11/2018;1;4;6;57;52;13;2;2
13/11/2018;3;13;17;32;34;8;2;2
12/11/2018;3;18;22;45;50;6;2;4
11/11/2018;1;6;8;67;67;7;2;2
10/11/2018;1;8;10;64;66;6;2;3
09/11/2018;1;3;5;64;64;3;2;1
08/11/2018;1;10;13;55;49;6;2;2
07/11/2018;1;8;10;59;65;8;2;2
06/11/2018;1;3;4;66;66;3;2;1
05/11/2018;1;8;10;56;56;4;2;1
04/11/2018;3;11;16;45;36;5;2;2
03/11/2018;3;12;16;32;35;5;2;2
02/11/2018;1;9;11;45;46;5;2;3
01/11/2018;1;6;9;51;55;6;2;2
31/10/2018;4;13;19;36;34;6;2;3
30/10/2018;1;6;7;51;53;4;2;1
29/10/2018;2;8;10;62;63;6;2;7
28/10/2018;1;7;8;58;58;3;2;3
27/10/2018;1;6;8;63;64;3;2;2
26/10/2018;1;9;11;46;43;9;2;3
25/10/2018;;;;;;13;2;8
24/10/2018;2;10;12;43;44;10;2;2
23/10/2018;3;13;18;38;43;12;2;4
22/10/2018;;;;;;14;2;3
21/10/2018;;;;;;19;2;6
20/10/2018;1;11;13;49;54;21;2;2
19/10/2018;2;9;12;68;66;21;1;2
18/10/2018;;;;;;11;1;2
17/10/2018;4;13;19;40;39;10;1;2
16/10/2018;2;13;16;39;40;10;1;4
15/10/2018;;;;;;8;1;2
14/10/2018;;;;;;6;1;2
13/10/2018;;;;;;7;1;1
12/10/2018;;;;;;6;1;1
11/10/2018;1;12;14;53;60;14;1;2
10/10/2018;1;7;9;67;62;7;1;1
09/10/2018;6;13;22;35;34;9;1;3
08/10/2018;1;9;12;44;;5;1;
07/10/2018;1;4;5;65;67;6;1;
06/10/2018;1;8;9;58;54;12;1;
05/10/2018;1;12;14;68;63;15;1;4
04/10/2018;6;18;27;35;38;13;1;3
03/10/2018;3;14;18;46;46;13;1;2
02/10/2018;3;12;16;52;57;10;1;12
01/10/2018;2;14;16;77;78;9;1;24
30/09/2018;1;6;7;78;76;10;1;3
29/09/2018;1;8;10;72;71;12;1;4
28/09/2018;2;13;16;59;57;16;1;4
27/09/2018;1;10;12;77;83;17;1;3
26/09/2018;2;10;14;64;54;15;1;3
25/09/2018;2;11;15;47;47;7;1;4
24/09/2018;2;12;15;52;51;4;1;11
23/09/2018;2;8;11;38;36;11;1;2
22/09/2018;2;10;13;40;41;8;1;2
21/09/2018;2;8;11;42;41;11;1;2
20/09/2018;4;12;18;42;40;16;1;2
19/09/2018;2;10;13;33;36;14;1;2
18/09/2018;2;10;14;45;49;14;1;3
17/09/2018;1;11;13;62;64;14;1;3
16/09/2018;2;9;13;54;51;12;1;2
15/09/2018;1;9;11;58;59;9;1;3
14/09/2018;4;12;17;39;38;7;1;4
13/09/2018;1;7;9;46;49;7;1;2
12/09/2018;3;14;18;49;48;15;1;3
11/09/2018;4;15;21;44;45;14;1;2
10/09/2018;2;9;12;56;61;10;1;3
09/09/2018;1;6;7;70;69;10;1;2
08/09/2018;2;9;12;59;61;12;1;2
07/09/2018;1;10;12;66;71;8;1;4
06/09/2018;1;7;9;75;78;7;1;1
05/09/2018;1;7;9;71;;11;1;2
04/09/2018;1;7;9;77;76;10;1;3
03/09/2018;2;11;14;74;80;12;1;4
02/09/2018;2;9;12;64;68;11;1;3
01/09/2018;1;6;9;49;52;8;1;3
31/08/2018;2;8;11;49;53;9;1;5
30/08/2018;2;8;11;46;48;9;1;4
29/08/2018;2;7;10;45;47;10;1;3
28/08/2018;2;10;14;44;46;14;1;3
27/08/2018;3;10;15;51;49;10;1;4
26/08/2018;1;6;8;49;52;8;1;3
25/08/2018;1;4;6;45;42;9;1;2
24/08/2018;1;6;8;46;47;8;1;3
