Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);SO2 (µg/m3)
31/12/2018;0,41;0,4;37;37;93;24;8
30/12/2018;0,33;0,34;19;34;62;18;3
29/12/2018;0,28;0,28;6;22;31;20;3
28/12/2018;0,4;0,39;55;48;131;33;10
27/12/2018;0,3;0,27;41;42;104;18;11
26/12/2018;0,21;0,21;16;34;58;10;9
25/12/2018;0,28;0,29;20;30;60;16;8
24/12/2018;0,26;0,26;26;39;79;15;12
23/12/2018;0,28;0,26;15;37;60;14;9
22/12/2018;0,18;0,18;2;17;19;4;3
21/12/2018;0,18;0,18;1;10;11;3;2
20/12/2018;0,18;0,2;3;21;24;5;4
19/12/2018;0,25;0,28;8;31;43;12;4
18/12/2018;0,21;0,16;4;26;31;9;2
17/12/2018;0,16;0,16;6;30;39;9;5
16/12/2018;0,19;0,2;2;20;23;12;6
15/12/2018;0,17;0,19;2;13;15;6;5
14/12/2018;0,3;0,29;10;34;49;24;8
13/12/2018;0,19;0,17;1;17;19;13;5
12/12/2018;0,29;0,36;26;47;87;30;9
11/12/2018;0,41;0,35;81;60;184;38;19
10/12/2018;0,26;0,25;20;43;73;41;7
09/12/2018;0,19;0,22;2;20;22;32;8
08/12/2018;0,26;0,23;10;32;47;24;7
07/12/2018;0,18;0,2;3;24;28;13;7
06/12/2018;0,23;0,23;10;32;47;17;10
05/12/2018;0,31;0,29;17;33;58;19;9
04/12/2018;0,31;0,36;36;36;90;19;8
03/12/2018;0,26;0,21;12;24;42;8;3
02/12/2018;0,16;0,17;1;8;10;5;2
01/12/2018;0,17;0,18;2;16;19;6;4
30/11/2018;0,24;0,22;12;36;55;14;8
29/11/2018;0,15;0,14;2;17;19;5;2
28/11/2018;0,13;0,14;2;18;20;5;1
27/11/2018;0,21;0,23;8;34;46;13;5
26/11/2018;0,22;0,21;4;31;36;8;4
25/11/2018;0,19;0,17;6;25;34;8;5
24/11/2018;0,14;0,14;2;10;12;2;1
23/11/2018;0,17;0,19;4;24;30;9;3
22/11/2018;0,19;0,17;4;27;32;6;3
21/11/2018;0,26;0,28;14;31;52;8;4
20/11/2018;0,23;0,23;11;30;47;17;3
19/11/2018;0,31;0,3;29;41;85;22;7
18/11/2018;0,19;0,19;3;21;26;10;6
17/11/2018;0,19;0,2;6;32;40;21;6
16/11/2018;0,21;0,3;10;42;56;24;6
15/11/2018;0,39;0,3;16;40;63;33;5
14/11/2018;0,22;0,23;8;31;42;25;5
13/11/2018;0,26;0,24;24;37;74;17;5
12/11/2018;0,2;0,2;4;37;43;10;4
11/11/2018;0,15;0,17;1;10;12;12;2
10/11/2018;0,25;0,22;3;19;24;12;5
09/11/2018;0,17;0,18;5;21;28;9;4
08/11/2018;0,21;0,22;6;34;42;12;6
07/11/2018;0,18;0,17;6;30;39;;3
06/11/2018;0,13;0,15;3;14;18;;2
05/11/2018;0,23;0,22;10;37;52;10;4
04/11/2018;0,19;0,21;9;30;43;9;6
03/11/2018;0,24;0,25;13;33;52;15;5
02/11/2018;0,26;0,26;23;35;69;15;3
01/11/2018;0,22;0,2;8;26;37;12;5
31/10/2018;0,27;0,29;28;44;86;19;7
30/10/2018;0,24;0,21;8;35;47;9;3
29/10/2018;0,14;0,14;3;20;23;8;2
28/10/2018;0,14;0,14;2;20;23;4;2
27/10/2018;0,13;0,13;2;20;22;7;4
26/10/2018;0,22;0,22;10;29;44;26;6
25/10/2018;0,22;0,23;18;34;61;33;6
24/10/2018;0,21;0,22;13;35;54;27;5
23/10/2018;0,33;0,35;34;39;90;44;4
22/10/2018;0,25;0,23;2;23;26;35;3
21/10/2018;0,32;0,36;10;25;40;50;5
20/10/2018;0,36;0,31;6;35;43;46;4
19/10/2018;0,27;0,26;4;31;36;45;3
18/10/2018;0,27;0,27;9;37;50;40;3
17/10/2018;0,21;0,21;14;29;50;26;4
16/10/2018;0,25;0,26;12;30;48;23;4
15/10/2018;0,24;0,23;11;29;45;21;5
14/10/2018;0,21;0,23;2;19;21;17;3
13/10/2018;0,21;0,19;2;16;19;11;2
12/10/2018;0,15;0,17;2;12;15;8;2
11/10/2018;0,24;0,21;5;34;41;27;1
10/10/2018;0,28;0,31;4;29;35;16;2
09/10/2018;0,29;0,27;10;27;43;17;3
08/10/2018;0,23;0,23;4;22;26;15;3
07/10/2018;0,19;0,18;1;11;12;15;5
06/10/2018;0,38;0,41;8;25;36;30;8
05/10/2018;0,3;0,3;8;39;50;38;7
04/10/2018;0,25;0,23;17;37;63;36;9
03/10/2018;0,19;0,19;12;33;51;32;7
02/10/2018;0,21;0,2;9;25;38;24;4
01/10/2018;0,13;0,14;1;9;11;21;1
30/09/2018;0,16;0,18;1;11;12;18;3
29/09/2018;0,24;0,24;3;18;21;29;2
28/09/2018;0,26;0,27;11;24;40;42;3
27/09/2018;0,2;0,19;3;29;33;35;3
26/09/2018;0,27;0,26;20;29;59;36;5
25/09/2018;0,18;0,17;10;22;36;20;3
24/09/2018;0,15;0,17;2;13;15;10;1
23/09/2018;0,24;0,24;6;20;28;48;5
22/09/2018;0,25;0,23;5;23;30;19;4
21/09/2018;0,22;0,22;10;23;38;31;3
20/09/2018;0,31;0,31;7;25;34;40;1
19/09/2018;0,24;0,25;9;23;37;42;2
18/09/2018;0,29;0,31;12;23;41;38;2
17/09/2018;0,34;0,32;4;27;33;37;1
16/09/2018;0,29;0,32;4;19;24;28;3
15/09/2018;0,3;0,29;2;18;21;20;1
14/09/2018;0,23;0,21;6;16;24;14;1
13/09/2018;0,2;0,2;3;19;23;20;1
12/09/2018;0,33;0,36;5;22;30;35;3
11/09/2018;0,28;0,27;11;30;45;40;2
10/09/2018;0,38;0,43;7;22;32;22;1
09/09/2018;0,34;0,29;2;18;20;31;3
08/09/2018;0,24;0,23;4;19;25;36;3
07/09/2018;0,26;0,27;9;21;34;21;1
06/09/2018;0,26;0,25;4;20;27;24;2
05/09/2018;0,28;0,27;6;25;33;31;2
04/09/2018;0,25;0,26;5;24;31;24;2
03/09/2018;0,24;0,24;6;23;32;29;3
02/09/2018;0,21;0,21;3;17;21;21;3
01/09/2018;0,24;0,24;4;14;20;16;1
31/08/2018;0,26;0,25;5;16;23;19;3
30/08/2018;0,26;0,26;12;17;34;24;3
29/08/2018;0,24;0,26;7;22;33;20;2
28/08/2018;0,3;0,29;6;20;28;32;3
27/08/2018;0,29;0,28;7;21;32;25;5
26/08/2018;0,19;0,19;2;11;14;13;2
25/08/2018;0,21;0,21;2;12;15;18;2
24/08/2018;0,2;0,19;1;11;13;19;1
23/08/2018;0,28;0,29;4;13;19;14;1
22/08/2018;0,25;0,25;4;18;24;32;2
21/08/2018;0,21;0,2;7;17;27;24;3
20/08/2018;0,18;0,19;4;14;19;15;1
19/08/2018;0,21;0,21;3;12;16;20;1
18/08/2018;0,2;0,21;6;13;21;19;2
17/08/2018;0,22;0,22;2;13;15;14;2
16/08/2018;0,24;0,26;5;17;24;28;2
