Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);SO2 (µg/m3)
31/12/2018;23;34;70;11;9
30/12/2018;11;29;45;10;4
29/12/2018;;;14;9;4
28/12/2018;50;42;113;17;8
27/12/2018;30;40;85;11;7
26/12/2018;37;43;99;8;6
25/12/2018;20;31;61;8;6
24/12/2018;30;39;74;8;7
23/12/2018;7;29;38;5;6
22/12/2018;;;5;2;3
21/12/2018;;;4;3;3
20/12/2018;;;11;3;3
19/12/2018;18;33;48;6;5
18/12/2018;1;14;12;4;4
17/12/2018;;;14;2;4
16/12/2018;;;12;4;12
15/12/2018;;;13;4;4
14/12/2018;9;32;44;5;21
13/12/2018;1;15;13;4;13
12/12/2018;;;40;8;6
11/12/2018;34;46;98;15;11
10/12/2018;37;54;83;18;5
09/12/2018;;;10;10;15
08/12/2018;;;13;7;6
07/12/2018;;;9;4;4
06/12/2018;;;20;4;5
05/12/2018;;;57;;9
04/12/2018;35;32;75;;5
03/12/2018;3;16;18;3;4
02/12/2018;0;2;2;4;3
01/12/2018;0;4;4;4;3
30/11/2018;3;19;23;6;9
29/11/2018;1;5;5;5;3
28/11/2018;1;7;7;6;3
27/11/2018;7;22;32;5;4
26/11/2018;1;14;15;3;7
25/11/2018;5;21;28;5;6
24/11/2018;0;3;4;3;2
23/11/2018;1;10;12;5;3
22/11/2018;2;15;16;4;3
21/11/2018;13;20;37;7;5
20/11/2018;8;27;39;14;4
19/11/2018;13;26;46;11;5
18/11/2018;3;16;20;8;4
17/11/2018;5;22;30;13;3
16/11/2018;2;19;22;;4
15/11/2018;12;25;42;;4
14/11/2018;1;7;8;14;3
13/11/2018;26;34;73;12;4
12/11/2018;3;26;30;5;4
11/11/2018;0;7;8;5;2
10/11/2018;2;14;17;6;3
09/11/2018;1;7;8;4;2
08/11/2018;5;30;37;10;4
07/11/2018;5;25;33;9;4
06/11/2018;1;5;7;;2
05/11/2018;5;16;23;;3
04/11/2018;11;20;36;5;7
03/11/2018;10;31;45;5;4
02/11/2018;2;20;23;2;3
01/11/2018;7;20;30;5;4
31/10/2018;18;31;58;5;4
30/10/2018;1;9;11;2;2
29/10/2018;1;7;8;2;3
28/10/2018;0;9;10;2;3
27/10/2018;0;8;8;2;3
26/10/2018;2;16;18;12;4
25/10/2018;29;36;79;22;6
24/10/2018;4;23;29;12;5
23/10/2018;4;19;24;12;3
22/10/2018;1;11;12;18;3
21/10/2018;8;22;33;25;4
20/10/2018;2;25;27;27;3
19/10/2018;1;15;16;21;3
18/10/2018;2;19;22;12;3
17/10/2018;17;29;54;13;3
16/10/2018;20;29;60;12;3
15/10/2018;10;25;40;7;3
14/10/2018;1;9;9;4;3
13/10/2018;0;5;5;5;2
12/10/2018;0;3;3;4;2
11/10/2018;5;33;40;12;2
10/10/2018;2;16;18;6;3
09/10/2018;15;30;52;8;3
08/10/2018;3;18;22;4;4
07/10/2018;1;8;10;4;6
06/10/2018;2;25;27;14;19
05/10/2018;2;27;30;14;7
04/10/2018;23;39;74;21;6
03/10/2018;17;32;58;20;5
02/10/2018;13;28;48;13;5
01/10/2018;1;9;10;8;3
30/09/2018;1;9;10;13;5
29/09/2018;2;16;19;17;2
28/09/2018;9;30;44;25;6
27/09/2018;2;26;29;17;5
26/09/2018;12;28;46;21;4
25/09/2018;15;26;48;12;5
24/09/2018;2;11;13;5;2
23/09/2018;3;17;22;13;7
22/09/2018;4;23;29;10;5
21/09/2018;15;23;45;20;3
20/09/2018;8;25;36;24;2
19/09/2018;6;21;30;21;3
18/09/2018;8;29;41;19;3
17/09/2018;5;24;31;19;2
16/09/2018;3;20;25;17;3
15/09/2018;2;17;19;11;2
14/09/2018;9;20;34;11;2
13/09/2018;2;21;24;10;2
12/09/2018;3;23;27;20;3
11/09/2018;11;34;51;24;3
10/09/2018;3;25;28;15;1
09/09/2018;1;13;15;14;3
08/09/2018;5;22;30;16;3
07/09/2018;1;13;15;11;1
06/09/2018;1;11;12;8;2
05/09/2018;1;19;21;12;2
04/09/2018;7;22;32;11;2
03/09/2018;12;26;44;13;2
