Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3)
31/12/2018;14;24;46;30
30/12/2018;8;17;29;16
29/12/2018;4;16;22;21
28/12/2018;23;25;60;27
27/12/2018;9;17;31;15
26/12/2018;4;14;20;7
25/12/2018;10;18;33;12
24/12/2018;10;19;35;13
23/12/2018;3;11;16;6
22/12/2018;1;6;8;4
21/12/2018;1;5;7;4
20/12/2018;2;13;16;6
19/12/2018;3;14;19;10
18/12/2018;1;8;10;7
17/12/2018;2;10;13;7
16/12/2018;2;11;13;11
15/12/2018;2;6;8;3
14/12/2018;3;14;19;13
13/12/2018;2;7;9;7
12/12/2018;6;23;33;17
11/12/2018;13;25;44;16
10/12/2018;7;27;37;28
09/12/2018;2;13;16;18
08/12/2018;3;15;19;14
07/12/2018;2;8;11;7
06/12/2018;3;15;19;11
05/12/2018;14;25;46;
04/12/2018;7;13;24;
03/12/2018;2;6;9;6
02/12/2018;2;4;7;7
01/12/2018;2;7;10;9
30/11/2018;5;19;26;10
29/11/2018;2;8;10;4
28/11/2018;2;6;9;7
27/11/2018;3;12;16;8
26/11/2018;2;15;18;6
25/11/2018;4;17;23;8
24/11/2018;2;5;8;5
23/11/2018;3;11;14;5
22/11/2018;3;12;16;9
21/11/2018;3;13;17;6
20/11/2018;3;20;24;15
19/11/2018;11;30;47;14
18/11/2018;3;13;18;9
17/11/2018;4;13;19;17
16/11/2018;3;17;22;17
15/11/2018;8;17;29;20
14/11/2018;2;10;13;18
13/11/2018;8;20;32;13
12/11/2018;5;39;47;12
11/11/2018;1;8;10;10
10/11/2018;2;10;13;6
09/11/2018;2;7;10;7
08/11/2018;2;12;15;7
07/11/2018;3;13;17;13
06/11/2018;1;6;8;3
05/11/2018;5;13;20;6
04/11/2018;2;9;13;5
03/11/2018;4;14;19;9
02/11/2018;4;16;21;10
01/11/2018;4;12;17;9
31/10/2018;5;18;25;11
30/10/2018;3;10;13;8
29/10/2018;1;8;10;6
28/10/2018;2;8;10;4
27/10/2018;1;7;10;5
26/10/2018;2;17;21;16
25/10/2018;5;26;34;19
24/10/2018;4;22;29;17
23/10/2018;5;18;26;19
22/10/2018;3;17;21;22
21/10/2018;3;19;24;27
20/10/2018;3;20;24;32
19/10/2018;4;20;25;26
18/10/2018;7;19;30;16
17/10/2018;4;18;24;12
16/10/2018;4;15;20;12
15/10/2018;4;15;20;11
14/10/2018;2;8;11;10
13/10/2018;2;4;7;6
12/10/2018;2;5;7;7
11/10/2018;2;15;19;16
10/10/2018;2;6;8;8
09/10/2018;3;7;12;9
08/10/2018;3;7;11;8
07/10/2018;2;4;7;6
06/10/2018;4;11;16;16
05/10/2018;3;20;24;20
04/10/2018;5;22;29;17
03/10/2018;3;16;22;15
02/10/2018;2;11;14;14
01/10/2018;1;8;10;14
30/09/2018;1;7;9;17
29/09/2018;2;12;15;24
28/09/2018;6;21;30;25
27/09/2018;2;15;18;20
26/09/2018;4;13;19;16
25/09/2018;3;12;16;11
24/09/2018;2;10;12;9
23/09/2018;3;14;19;16
22/09/2018;3;14;18;12
21/09/2018;2;11;15;13
20/09/2018;3;16;20;23
19/09/2018;5;17;25;23
18/09/2018;4;13;18;17
17/09/2018;1;10;12;15
16/09/2018;2;12;15;16
15/09/2018;1;10;12;13
14/09/2018;3;10;15;9
13/09/2018;2;10;13;13
12/09/2018;3;13;18;17
11/09/2018;3;21;26;19
10/09/2018;2;11;15;17
09/09/2018;1;9;11;15
08/09/2018;2;14;16;16
07/09/2018;2;10;14;14
06/09/2018;2;10;12;11
05/09/2018;2;14;18;17
04/09/2018;2;9;11;15
03/09/2018;2;8;10;16
02/09/2018;1;6;8;12
01/09/2018;2;5;8;12
31/08/2018;1;6;8;12
30/08/2018;2;6;8;12
29/08/2018;2;9;11;16
28/08/2018;3;10;14;17
27/08/2018;2;9;12;11
26/08/2018;1;4;6;9
25/08/2018;1;5;7;12
24/08/2018;1;5;6;11
23/08/2018;2;8;11;14
22/08/2018;2;9;12;16
21/08/2018;2;8;11;12
20/08/2018;2;8;11;12
19/08/2018;1;6;8;13
18/08/2018;2;5;8;12
17/08/2018;2;8;11;10
16/08/2018;2;9;12;12
15/08/2018;2;6;8;8
14/08/2018;2;7;9;7
13/08/2018;2;7;9;5
12/08/2018;2;9;11;13
11/08/2018;2;11;14;13
10/08/2018;2;8;11;9
09/08/2018;1;6;8;9
08/08/2018;2;8;11;9
07/08/2018;1;7;8;20
06/08/2018;1;14;16;20
05/08/2018;2;11;13;19
04/08/2018;2;11;14;19
03/08/2018;2;15;18;22
02/08/2018;4;14;20;20
01/08/2018;2;9;12;9
31/07/2018;2;8;10;7
30/07/2018;2;9;13;14
29/07/2018;1;6;8;14
28/07/2018;1;6;8;12
27/07/2018;2;10;13;14
26/07/2018;2;8;12;12
25/07/2018;2;8;10;13
24/07/2018;3;8;12;14
23/07/2018;3;15;21;14
22/07/2018;2;8;11;9
21/07/2018;2;9;12;12
20/07/2018;2;10;13;11
19/07/2018;2;11;15;14
18/07/2018;3;12;17;15
17/07/2018;3;10;14;9
16/07/2018;9;8;22;14
15/07/2018;2;9;12;18
14/07/2018;2;11;14;18
13/07/2018;3;14;18;17
12/07/2018;2;13;16;14
11/07/2018;2;13;17;17
10/07/2018;3;16;20;22
09/07/2018;3;15;19;20
08/07/2018;2;13;16;18
07/07/2018;2;10;13;13
06/07/2018;2;12;15;17
05/07/2018;2;10;13;15
04/07/2018;1;12;14;11
03/07/2018;2;11;14;14
02/07/2018;2;13;17;14
01/07/2018;2;12;15;22
30/06/2018;3;17;20;19
29/06/2018;4;18;23;20
28/06/2018;2;12;15;14
27/06/2018;2;16;19;17
26/06/2018;3;17;22;21
25/06/2018;3;16;21;18
24/06/2018;2;13;16;18
23/06/2018;2;12;15;21
22/06/2018;2;13;16;23
21/06/2018;3;17;21;23
20/06/2018;7;18;30;23
19/06/2018;3;13;16;9
18/06/2018;3;14;18;12
17/06/2018;2;11;14;13
16/06/2018;2;9;12;10
15/06/2018;4;17;23;12
14/06/2018;4;15;20;12
13/06/2018;2;9;11;13
12/06/2018;1;7;9;
11/06/2018;3;14;19;
10/06/2018;2;10;13;
09/06/2018;3;10;14;
08/06/2018;4;19;25;
07/06/2018;5;20;27;
06/06/2018;4;15;22;
05/06/2018;4;16;22;
04/06/2018;4;16;22;
03/06/2018;5;12;19;
02/06/2018;5;15;22;
01/06/2018;6;22;30;
31/05/2018;9;15;29;
30/05/2018;7;19;30;
29/05/2018;4;15;20;
28/05/2018;4;15;21;
27/05/2018;5;15;22;
26/05/2018;7;15;26;
25/05/2018;11;29;45;
24/05/2018;5;27;34;25
23/05/2018;2;23;26;19
22/05/2018;3;19;23;18
21/05/2018;3;18;22;20
20/05/2018;2;14;17;19
19/05/2018;2;15;18;25
18/05/2018;3;20;24;24
17/05/2018;3;15;20;15
16/05/2018;2;15;18;
15/05/2018;2;11;14;
14/05/2018;2;9;11;10
13/05/2018;1;6;8;11
12/05/2018;1;8;10;15
11/05/2018;2;12;14;18
10/05/2018;1;10;12;21
09/05/2018;2;12;15;
08/05/2018;2;18;21;
07/05/2018;4;23;28;32
06/05/2018;1;12;13;21
05/05/2018;2;12;14;19
04/05/2018;1;11;13;18
03/05/2018;1;9;11;16
02/05/2018;3;19;24;12
01/05/2018;1;8;10;8
30/04/2018;2;9;11;4
29/04/2018;1;8;10;9
28/04/2018;2;11;14;14
27/04/2018;2;14;17;16
26/04/2018;3;12;16;15
25/04/2018;2;13;15;13
24/04/2018;4;15;21;27
23/04/2018;2;19;23;22
22/04/2018;3;13;17;34
21/04/2018;2;7;10;39
20/04/2018;11;27;44;39
19/04/2018;10;30;45;30
18/04/2018;3;24;29;18
17/04/2018;3;21;26;14
16/04/2018;2;15;18;12
15/04/2018;1;9;10;12
14/04/2018;2;11;14;8
