Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);SO2 (µg/m3)
31/12/2018;36;30;85;32;3
30/12/2018;13;25;45;25;3
29/12/2018;11;24;41;30;3
28/12/2018;53;38;119;39;4
27/12/2018;25;;;25;4
26/12/2018;8;24;36;11;3
25/12/2018;16;22;46;22;4
24/12/2018;32;33;82;19;4
23/12/2018;9;26;39;11;3
22/12/2018;3;22;26;9;4
21/12/2018;2;18;20;11;4
20/12/2018;8;29;41;18;5
19/12/2018;9;31;44;19;4
18/12/2018;3;23;27;17;5
17/12/2018;23;40;75;22;7
16/12/2018;2;20;23;15;3
15/12/2018;3;18;21;12;4
14/12/2018;11;30;46;22;3
13/12/2018;3;23;27;17;3
12/12/2018;44;33;106;45;5
11/12/2018;73;44;156;48;6
10/12/2018;31;39;85;53;4
09/12/2018;7;23;34;42;5
08/12/2018;11;33;50;28;3
07/12/2018;6;27;35;17;4
06/12/2018;14;34;55;29;7
05/12/2018;39;40;99;33;4
04/12/2018;40;35;96;26;4
03/12/2018;7;33;44;17;6
02/12/2018;1;19;21;18;6
01/12/2018;5;30;36;20;4
30/11/2018;23;39;74;29;5
29/11/2018;2;24;27;14;3
28/11/2018;3;28;33;14;6
27/11/2018;20;40;70;22;4
26/11/2018;11;41;58;15;3
25/11/2018;4;20;26;11;3
24/11/2018;1;13;14;9;3
23/11/2018;5;27;34;14;3
22/11/2018;3;25;29;16;3
21/11/2018;15;29;51;16;3
20/11/2018;5;27;35;19;2
19/11/2018;27;39;80;28;3
18/11/2018;3;17;22;13;3
17/11/2018;11;28;44;43;10
16/11/2018;23;37;72;45;4
15/11/2018;18;37;65;49;3
14/11/2018;13;34;54;38;2
13/11/2018;25;31;69;29;2
12/11/2018;6;37;46;13;2
11/11/2018;1;16;17;17;2
10/11/2018;2;14;17;8;2
09/11/2018;11;25;41;15;3
08/11/2018;12;30;49;22;2
07/11/2018;6;27;37;17;2
06/11/2018;3;19;24;;3
05/11/2018;11;35;51;;2
04/11/2018;9;21;34;16;3
03/11/2018;11;26;42;20;2
02/11/2018;19;32;61;20;2
01/11/2018;6;27;35;12;2
31/10/2018;27;45;85;31;3
30/10/2018;8;33;45;20;2
29/10/2018;3;23;26;12;2
28/10/2018;4;26;32;9;2
27/10/2018;2;20;23;12;2
26/10/2018;16;35;59;;3
25/10/2018;19;36;65;35;2
24/10/2018;20;36;65;35;2
23/10/2018;30;32;78;45;2
22/10/2018;3;28;33;32;2
21/10/2018;11;20;36;33;2
20/10/2018;3;31;35;45;2
19/10/2018;2;25;28;34;1
18/10/2018;8;36;48;30;2
17/10/2018
16/10/2018;17;28;53;29;3
15/10/2018;11;27;45;20;2
14/10/2018;3;20;24;14;1
13/10/2018;3;19;23;16;3
12/10/2018;3;23;26;16;2
11/10/2018;6;27;35;25;2
10/10/2018;5;30;36;23;2
09/10/2018;7;23;33;17;2
08/10/2018;6;27;36;13;2
07/10/2018;2;16;18;12;2
06/10/2018;11;27;44;28;3
05/10/2018;10;41;57;34;3
04/10/2018;24;43;80;38;3
03/10/2018;16;34;57;30;4
02/10/2018;10;30;45;38;3
01/10/2018;2;18;20;19;1
30/09/2018;2;21;24;28;2
29/09/2018;4;23;28;34;2
28/09/2018;15;33;57;50;2
27/09/2018;4;37;42;36;2
26/09/2018;19;27;57;40;3
25/09/2018;15;28;51;25;3
24/09/2018;4;23;28;12;2
23/09/2018;9;21;34;29;2
22/09/2018;4;21;28;15;2
21/09/2018;10;27;43;31;2
20/09/2018;4;24;29;30;2
19/09/2018;10;25;40;32;2
18/09/2018;13;28;48;40;2
17/09/2018;3;24;28;26;2
16/09/2018;5;18;26;29;2
15/09/2018;2;18;21;16;2
14/09/2018;8;19;32;19;2
13/09/2018;4;24;29;20;2
12/09/2018;9;27;41;30;2
11/09/2018;11;40;56;32;2
10/09/2018;4;31;36;17;1
09/09/2018;2;25;28;20;1
08/09/2018;5;29;36;;2
07/09/2018;12;36;53;27;2
06/09/2018;6;35;44;23;3
05/09/2018;8;43;55;33;3
04/09/2018;9;36;49;28;3
03/09/2018;8;33;45;26;3
02/09/2018;2;23;26;17;3
01/09/2018;5;24;31;16;3
31/08/2018;7;25;36;18;3
30/08/2018;5;22;30;19;3
29/08/2018;8;24;37;21;3
28/08/2018;8;21;32;28;3
27/08/2018;8;20;32;17;3
26/08/2018;2;12;14;12;3
25/08/2018;4;15;21;18;3
24/08/2018;2;16;19;16;3
23/08/2018;5;15;23;18;3
22/08/2018;9;19;32;26;3
21/08/2018;6;19;29;18;3
20/08/2018;7;19;29;17;3
19/08/2018;3;14;19;18;3
18/08/2018;9;13;27;18;3
17/08/2018;3;15;19;12;2
16/08/2018;7;18;29;19;3
15/08/2018;3;10;14;13;3
14/08/2018;5;16;24;11;3
13/08/2018;2;12;15;13;3
12/08/2018;3;14;19;23;3
11/08/2018;6;17;25;24;5
