Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2018;0,57;0,51;21;25;56;10;13;25;21;5
30/12/2018;0,5;0,49;12;22;40;16;18;20;16;4
29/12/2018;0,24;0,22;6;8;17;49;51;21;12;4
28/12/2018;0,54;0,59;32;28;77;18;13;28;20;5
27/12/2018;0,31;0,26;18;23;50;15;14;15;12;5
26/12/2018;0,26;0,26;11;21;37;19;21;11;8;5
25/12/2018;0,35;0,37;11;17;33;12;10;16;13;4
24/12/2018;0,41;0,39;14;23;45;14;15;21;12;4
23/12/2018;0,23;0,24;10;15;31;31;33;12;6;4
22/12/2018;0,25;0,21;7;14;24;42;47;8;4;4
21/12/2018;0,18;0,18;6;7;15;62;64;16;3;4
20/12/2018;0,21;0,27;7;14;24;48;39;28;6;5
19/12/2018;0,29;0,24;13;20;40;48;54;26;9;4
18/12/2018;0,32;0,32;7;8;19;49;52;15;6;4
17/12/2018;0,25;0,24;8;17;30;46;50;16;6;4
16/12/2018;0,19;0,19;7;8;18;66;63;26;7;4
15/12/2018;0,16;0,19;6;8;18;51;45;12;3;4
14/12/2018;0,23;0,22;8;13;25;56;62;31;10;4
13/12/2018;0,25;0,24;6;7;15;62;57;20;7;4
12/12/2018;0,22;0,23;10;25;40;42;37;24;10;5
11/12/2018;0,36;0,37;30;44;90;17;16;38;18;6
10/12/2018;0,34;0,3;14;32;54;35;45;60;18;4
09/12/2018;0,17;0,21;6;5;14;69;58;71;20;4
08/12/2018;0,18;0,14;7;18;29;55;66;47;11;5
07/12/2018;0,23;0,27;8;16;28;48;38;18;7;5
06/12/2018;0,27;0,25;10;25;41;30;28;23;10;5
05/12/2018;0,26;0,26;11;23;39;24;27;16;10;5
04/12/2018;0,37;0,38;22;28;61;15;12;16;9;5
03/12/2018;0,22;0,18;10;21;37;34;43;13;6;5
02/12/2018;0,16;0,17;7;8;19;56;55;15;7;5
01/12/2018;0,21;0,23;8;15;26;46;40;12;6;5
30/11/2018;0,31;0,28;13;26;46;41;44;21;8;5
29/11/2018;0,41;0,4;8;12;24;48;52;14;5;4
28/11/2018;0,15;0,17;8;16;29;54;48;25;8;5
27/11/2018;0,28;0,26;13;33;53;30;36;14;7;5
26/11/2018;0,18;0,21;7;13;24;55;48;13;4;5
25/11/2018;0,23;0,2;8;16;28;56;63;12;4;4
24/11/2018;0,17;0,18;8;6;18;61;60;6;2;4
23/11/2018;0,17;0,19;8;12;25;60;58;11;4;4
22/11/2018;0,19;0,16;8;14;26;63;67;10;4;4
21/11/2018;0,22;0,24;11;20;37;39;31;10;6;5
20/11/2018;0,22;0,22;9;20;35;39;47;16;11;4
19/11/2018;0,26;0,25;16;19;43;46;46;19;8;4
18/11/2018;0,2;0,21;8;12;25;46;40;11;7;4
17/11/2018;0,24;0,23;8;18;30;38;40;20;13;4
16/11/2018;0,19;0,2;8;20;33;43;40;21;12;4
15/11/2018;0,23;0,22;10;21;36;43;47;25;15;4
14/11/2018;0,22;0,21;7;15;26;48;43;24;15;4
13/11/2018;0,2;0,18;13;25;44;31;36;15;7;4
12/11/2018;0,11;0,13;7;11;22;60;;14;3;4
11/11/2018;0,29;0,33;6;6;15;63;59;20;5;4
10/11/2018;0,35;0,4;7;11;22;56;56;18;6;4
09/11/2018;0,34;0,25;9;11;24;54;58;39;6;4
08/11/2018;0,21;0,22;8;19;30;52;45;18;7;4
07/11/2018;0,17;0,17;8;18;31;59;65;25;8;4
06/11/2018;0,24;0,24;7;9;21;57;55;14;3;4
05/11/2018;0,21;0,21;9;24;38;43;47;16;6;4
04/11/2018;0,33;0,34;10;20;36;42;33;18;9;4
03/11/2018;0,34;0,36;11;27;45;26;26;14;8;4
02/11/2018;0,25;0,22;9;20;34;40;40;13;5;4
01/11/2018;0,19;0,18;8;17;30;48;51;27;6;4
31/10/2018;0,33;0,34;22;36;70;22;21;23;10;4
30/10/2018;0,21;0,2;7;19;29;43;46;9;5;4
29/10/2018;0,14;0,14;6;7;16;57;59;12;3;4
28/10/2018;0,17;0,17;6;10;20;55;54;13;3;4
27/10/2018;0,11;0,11;5;6;15;67;70;14;4;4
26/10/2018;0,2;0,2;9;21;34;38;32;25;15;4
25/10/2018;0,4;0,45;16;32;57;30;27;30;17;4
24/10/2018;0,42;0,38;16;31;55;29;31;31;16;4
23/10/2018;0,31;0,3;18;19;46;39;45;35;16;4
22/10/2018;0,22;0,23;8;8;19;73;75;25;14;4
21/10/2018;0,3;0,29;9;11;25;49;44;30;21;4
20/10/2018;0,26;0,26;7;16;28;59;61;40;22;4
19/10/2018;0,22;0,21;8;12;24;65;62;28;17;4
18/10/2018;0,21;0,21;7;17;28;41;39;24;10;4
17/10/2018;0,24;0,25;10;21;36;40;39;22;9;4
16/10/2018;0,43;0,42;20;27;57;31;35;28;13;4
15/10/2018;0,23;0,2;10;19;34;45;49;19;6;4
14/10/2018;0,15;0,16;6;6;16;70;68;15;5;4
