Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3)
31/12/2018;37;30;87;32;25
30/12/2018;28;28;70;27;19
29/12/2018;18;25;52;24;15
28/12/2018;76;43;158;41;29
27/12/2018;65;41;141;30;17
26/12/2018;21;32;64;14;10
25/12/2018;14;23;44;20;15
24/12/2018;39;33;92;25;17
23/12/2018;14;26;48;13;8
22/12/2018;7;20;31;8;4
21/12/2018;1;12;12;7;3
20/12/2018;4;22;27;10;6
19/12/2018;31;34;81;19;7
18/12/2018;2;19;21;12;4
17/12/2018;13;30;50;15;8
16/12/2018;1;13;13;14;6
15/12/2018;0;10;10;7;5
14/12/2018;11;27;43;19;10
13/12/2018;1;15;17;15;6
12/12/2018;26;41;80;32;19
11/12/2018;81;53;177;44;25
10/12/2018;36;39;94;32;14
09/12/2018;1;15;16;29;10
08/12/2018;5;27;35;19;9
07/12/2018;7;23;34;17;7
06/12/2018;11;29;46;20;11
05/12/2018;30;39;85;29;15
04/12/2018;41;35;97;24;13
03/12/2018;9;25;39;12;5
02/12/2018;0;8;8;10;6
01/12/2018;1;19;21;13;6
30/11/2018;19;35;63;21;10
29/11/2018;0;12;12;8;4
28/11/2018;4;21;26;14;5
27/11/2018;25;36;73;22;9
26/11/2018;9;33;46;15;6
25/11/2018;4;18;25;11;4
24/11/2018;0;6;6;8;3
23/11/2018;2;14;17;11;4
22/11/2018;2;16;19;9;4
21/11/2018;15;22;46;16;9
20/11/2018;4;25;31;20;12
19/11/2018;34;30;82;23;11
18/11/2018;1;15;17;13;7
17/11/2018;3;21;25;21;12
16/11/2018;10;30;45;27;14
15/11/2018;15;27;50;31;15
14/11/2018;6;26;36;31;16
13/11/2018;25;30;68;19;9
12/11/2018;2;27;30;8;4
11/11/2018;0;7;7;14;5
10/11/2018;1;13;13;13;5
09/11/2018;5;14;22;12;5
08/11/2018;1;17;19;14;6
07/11/2018;9;26;39;15;
06/11/2018;1;11;11;9;
05/11/2018;6;29;37;12;6
04/11/2018;7;15;26;13;7
03/11/2018;16;26;50;16;9
02/11/2018;18;27;54;14;7
01/11/2018;4;23;29;14;6
31/10/2018;25;40;78;19;11
30/10/2018;3;27;32;11;6
29/10/2018;1;13;14;9;2
28/10/2018;1;13;14;8;3
27/10/2018;1;14;16;9;2
26/10/2018;7;27;37;31;20
25/10/2018;25;32;70;33;19
24/10/2018;32;36;84;28;15
23/10/2018;41;36;99;27;13
22/10/2018;4;24;29;30;18
21/10/2018;5;19;27;33;22
20/10/2018;5;27;34;40;24
19/10/2018;2;23;25;36;19
18/10/2018;9;29;43;27;15
17/10/2018;18;28;55;21;12
16/10/2018;22;30;63;20;11
15/10/2018;9;29;43;16;6
14/10/2018;1;16;17;10;5
13/10/2018;0;9;10;12;5
12/10/2018;0;12;13;13;6
11/10/2018;2;24;27;20;9
10/10/2018;2;22;25;14;7
09/10/2018;10;27;42;17;8
08/10/2018;5;23;30;13;5
07/10/2018;0;10;11;12;3
06/10/2018;9;21;34;23;13
05/10/2018;25;38;76;27;16
04/10/2018;23;40;74;26;14
03/10/2018;20;35;64;23;11
02/10/2018;13;29;49;18;7
01/10/2018;0;11;11;18;5
30/09/2018;0;12;12;24;14
29/09/2018;3;19;23;27;15
28/09/2018;17;25;51;;24
27/09/2018;7;37;47;;14
26/09/2018;18;21;48;27;13
25/09/2018;18;24;51;18;7
24/09/2018;4;18;24;13;4
23/09/2018;6;19;28;22;16
22/09/2018;3;20;24;16;8
21/09/2018;13;19;39;24;13
20/09/2018;5;22;30;29;16
19/09/2018;8;23;34;27;15
18/09/2018;11;25;41;28;14
17/09/2018;4;23;28;28;16
16/09/2018;4;14;20;22;12
15/09/2018;1;19;21;15;8
14/09/2018;9;20;34;13;6
13/09/2018;5;23;31;16;8
12/09/2018;7;18;30;30;17
11/09/2018;10;32;48;27;17
10/09/2018;6;20;30;17;10
09/09/2018;0;12;13;19;12
08/09/2018;3;16;20;21;13
07/09/2018;8;20;32;18;9
06/09/2018;4;22;28;17;10
05/09/2018;9;27;41;25;15
04/09/2018;8;24;36;26;15
03/09/2018;6;22;31;24;14
02/09/2018;1;14;15;17;10
01/09/2018;4;12;18;15;8
31/08/2018;5;15;23;18;10
30/08/2018;8;15;26;18;10
29/08/2018;9;20;32;21;11
28/08/2018;5;16;24;21;12
27/08/2018;7;20;31;17;10
26/08/2018;1;13;14;13;7
25/08/2018;3;10;15;15;7
24/08/2018;0;12;12;14;7
23/08/2018;3;11;15;17;10
22/08/2018;7;14;25;20;12
21/08/2018;9;17;31;21;13
20/08/2018;8;15;28;18;9
19/08/2018;4;13;18;18;9
18/08/2018;7;12;22;14;5
17/08/2018;2;12;15;10;4
16/08/2018;7;15;26;17;9
15/08/2018;2;9;11;11;6
14/08/2018;4;13;19;11;3
13/08/2018;1;8;9;11;4
12/08/2018;2;12;14;18;12
11/08/2018;3;14;18;18;10
10/08/2018;7;15;25;13;7
09/08/2018;1;14;15;11;4
08/08/2018;4;11;17;15;7
07/08/2018;0;9;10;26;13
06/08/2018;3;23;27;34;22
05/08/2018;2;17;19;26;16
04/08/2018;4;15;21;24;16
03/08/2018;7;21;32;31;19
02/08/2018;7;18;28;23;10
01/08/2018;2;15;19;12;4
31/07/2018;2;11;14;10;6
30/07/2018;5;14;22;18;10
29/07/2018;1;9;11;16;7
28/07/2018;1;8;9;15;7
27/07/2018;3;16;21;20;12
26/07/2018;5;12;20;17;9
25/07/2018;0;8;8;16;6
24/07/2018;1;11;13;19;10
23/07/2018;13;22;41;19;12
22/07/2018;2;13;17;17;6
21/07/2018;1;10;11;18;7
20/07/2018;1;15;17;15;7
19/07/2018;1;10;12;17;7
18/07/2018;3;12;17;22;10
17/07/2018;7;11;22;16;8
16/07/2018;1;12;13;18;9
15/07/2018;0;8;9;23;16
14/07/2018;1;10;12;25;18
13/07/2018;5;18;26;24;15
12/07/2018;0;13;14;20;11
11/07/2018;3;14;18;33;18
10/07/2018;3;20;25;38;21
09/07/2018;6;18;27;32;20
08/07/2018;1;12;13;25;15
07/07/2018;1;13;14;23;12
06/07/2018;4;18;25;26;13
05/07/2018;5;17;24;24;11
04/07/2018;1;15;16;19;7
03/07/2018;2;12;16;20;11
02/07/2018;3;16;21;23;10
01/07/2018;0;7;8;27;16
30/06/2018;1;15;16;29;19
29/06/2018;2;20;23;26;15
28/06/2018;2;16;19;20;10
27/06/2018;1;11;12;22;11
26/06/2018;6;21;30;31;20
25/06/2018;5;22;30;25;16
24/06/2018;2;20;22;40;35
23/06/2018;4;20;26;34;20
22/06/2018;0;11;12;26;11
21/06/2018;1;12;15;26;22
20/06/2018;9;15;29;28;23
19/06/2018;2;13;16;13;8
18/06/2018;7;15;25;18;11
17/06/2018;1;12;13;16;8
16/06/2018;0;7;7;12;4
15/06/2018;8;15;27;19;12
14/06/2018;6;15;24;19;12
13/06/2018;0;8;9;18;8
12/06/2018;0;12;12;24;19
11/06/2018;3;19;24;15;14
10/06/2018;1;15;17;13;11
09/06/2018;1;12;14;15;13
08/06/2018;8;25;37;22;24
07/06/2018;5;25;33;23;23
06/06/2018;7;16;27;16;14
05/06/2018;1;18;19;13;9
04/06/2018;2;17;19;13;9
03/06/2018;0;8;9;19;18
02/06/2018;0;8;8;13;8
01/06/2018;5;25;32;25;21
31/05/2018;1;19;21;20;15
30/05/2018;6;23;33;26;23
29/05/2018;5;21;29;19;15
28/05/2018;0;16;16;15;11
27/05/2018;0;10;11;17;12
26/05/2018;1;13;14;19;17
25/05/2018;4;26;31;23;20
24/05/2018;5;18;26;32;38
23/05/2018;6;26;35;34;
22/05/2018;6;21;31;31;
