Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2018;24;30;67;30;18;5
30/12/2018;11;27;43;14;15;4
29/12/2018;4;20;27;15;11;3
28/12/2018;62;42;137;27;22;7
27/12/2018;25;31;70;14;12;6
26/12/2018;34;35;88;12;10;6
25/12/2018;17;27;53;13;15;6
24/12/2018;25;32;70;12;11;6
23/12/2018;10;30;46;9;9;7
22/12/2018;3;9;13;3;3;3
21/12/2018;3;8;12;6;3;3
20/12/2018;6;18;27;6;5;3
19/12/2018;16;29;53;10;7;5
18/12/2018;4;17;23;11;8;4
17/12/2018;12;22;42;9;6;5
16/12/2018;3;13;18;9;5;5
15/12/2018;4;13;19;6;5;4
14/12/2018;12;28;45;12;7;4
13/12/2018;7;18;29;14;6;3
12/12/2018;11;28;45;17;12;5
11/12/2018;40;45;103;34;31;14
10/12/2018;14;32;52;27;18;4
09/12/2018;2;9;12;20;11;4
08/12/2018;4;16;22;16;9;8
07/12/2018;7;19;30;12;8;4
06/12/2018;5;17;25;12;8;7
05/12/2018;35;32;86;16;12;5
04/12/2018;28;28;71;12;11;5
03/12/2018;8;20;31;7;4;3
02/12/2018;2;7;11;5;5;3
01/12/2018;3;12;16;8;7;4
30/11/2018;7;22;33;9;5;8
29/11/2018;3;11;16;7;4;4
28/11/2018;6;22;31;11;8;4
27/11/2018;16;28;52;13;9;4
26/11/2018;10;25;41;12;4;5
25/11/2018;5;17;24;7;5;5
24/11/2018;2;8;12;4;3;3
23/11/2018;7;23;33;9;6;5
22/11/2018;6;23;32;10;7;3
21/11/2018;15;27;50;17;15;5
20/11/2018;8;26;39;16;15;4
19/11/2018;21;29;61;15;12;5
18/11/2018;4;18;23;12;14;5
17/11/2018;5;20;26;16;17;3
16/11/2018;11;29;46;16;16;4
15/11/2018;18;28;56;23;18;4
14/11/2018;6;18;27;20;17;3
13/11/2018;19;29;58;13;12;4
12/11/2018;10;30;46;6;3;3
