Date;CO (mg/m3);CO 8h (mg/m3);NH3 (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2018;0,72;0,58;5;46;35;104;28;22;6
30/12/2018;0,49;0,54;4;25;31;69;17;14;4
29/12/2018;0,34;0,31;6;10;22;38;17;11;2
28/12/2018;0,44;0,41;;67;48;150;38;25;18
27/12/2018;0,33;0,34;3;43;46;111;17;12;6
26/12/2018;0,25;0,37;3;17;35;61;7;6;3
25/12/2018;0,71;0,54;3;20;31;61;14;12;5
24/12/2018;0,55;0,6;2;44;45;112;16;12;6
23/12/2018;0,39;0,29;1;16;35;59;9;6;3
22/12/2018;0,19;0,18;2;2;17;20;2;3;2
21/12/2018;0,18;0,18;2;2;13;16;2;3;1
20/12/2018;0,22;0,27;2;6;28;36;6;5;3
19/12/2018;0,3;0,3;2;15;38;60;14;7;4
18/12/2018;0,23;0,18;1;7;31;41;11;6;2
17/12/2018;0,2;0,2;1;11;40;55;9;6;6
16/12/2018;0,23;0,23;1;3;24;28;9;7;5
15/12/2018;0,18;0,22;1;1;13;15;5;2;3
14/12/2018;0,26;0,22;1;15;40;62;15;7;9
13/12/2018;0,19;0,19;3;2;17;20;10;5;4
12/12/2018;0,31;0,5;4;33;46;95;32;16;8
11/12/2018;0,58;0,41;2;85;65;195;56;25;14
10/12/2018;0,37;0,34;2;52;57;135;49;16;6
09/12/2018;0,22;0,3;4;2;22;26;33;12;10
08/12/2018;0,4;0,33;2;10;36;50;24;10;4
07/12/2018;0,28;0,37;5;4;24;29;13;7;3
06/12/2018;0,36;0,28;3;15;36;58;19;10;6
05/12/2018;0,38;0,35;6;24;40;76;17;10;5
04/12/2018;0,5;0,54;4;53;42;123;25;10;3
03/12/2018;0,23;0,19;1;13;27;46;7;5;2
02/12/2018;0,17;0,17;1;1;8;8;5;5;3
01/12/2018;0,18;0,21;1;1;14;15;5;4;3
30/11/2018;0,27;0,24;1;23;42;76;15;7;4
29/11/2018;0,18;0,18;1;2;19;23;5;4;2
28/11/2018;0,15;0,17;1;4;18;23;6;5;4
27/11/2018;0,22;0,2;1;12;39;57;7;6;3
26/11/2018;0,21;0,26;1;4;31;37;7;4;5
25/11/2018;0,28;0,21;1;8;26;38;9;6;4
24/11/2018;0,18;0,17;1;1;9;10;2;2;1
23/11/2018;0,19;0,22;3;7;27;37;8;4;2
22/11/2018;0,21;0,18;2;5;28;35;6;4;2
21/11/2018;0,37;0,42;3;22;36;69;11;7;3
20/11/2018;0,32;0,3;2;15;39;61;17;11;2
19/11/2018;0,39;0,42;3;43;48;113;26;12;5
18/11/2018;0,46;0,37;2;3;19;23;12;6;2
17/11/2018;0,2;0,23;3;5;27;35;18;11;3
16/11/2018;0,26;0,34;4;11;39;55;23;13;3
15/11/2018;0,42;0,34;3;21;40;71;36;16;3
14/11/2018;0,37;0,38;2;11;35;51;26;14;3
13/11/2018;0,39;0,32;1;31;43;90;19;10;4
