Date;Benceno (µg/m3);M-P-XILENO (µg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SH2 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
31/12/2025;0,31;0,16;1;8;7;56;57;11;9;4;5;0,74
30/12/2025;0,32;0,14;1;11;10;37;33;9;7;3;7;0,85
29/12/2025;0,24;0,23;1;11;10;45;46;7;4;4;6;0,6
28/12/2025;0,27;0,2;1;10;9;43;41;6;4;3;3;0,52
27/12/2025;0,42;0,27;2;13;11;21;19;8;6;2;4;0,62
26/12/2025;0,33;0,28;3;20;16;21;22;8;6;2;10;0,68
25/12/2025;0,42;0,33;1;11;10;49;50;8;6;2;11;0,92
24/12/2025;0,62;0,2;1;10;9;44;45;10;7;2;11;1,91
23/12/2025;0,21;0,11;1;6;6;50;51;4;2;2;4;0,4
22/12/2025;0,18;0,13;1;5;4;59;61;3;2;2;5;0,32
21/12/2025;0,16;0,08;0;2;2;73;73;2;1;2;5;0,26
20/12/2025;0,17;0,08;1;5;4;57;55;4;2;2;5;0,28
19/12/2025;0,25;0,17;0;8;7;63;63;6;3;2;7;0,96
18/12/2025;0,2;0,21;0;3;2;65;63;5;2;2;5;0,26
17/12/2025;0,17;0,17;1;7;6;48;46;7;3;2;5;0,51
16/12/2025;0,23;0,16;1;8;7;45;47;6;4;2;5;0,49
15/12/2025;0,18;0,11;0;4;4;54;53;8;5;2;4;0,38
14/12/2025;0,15;0,11;0;5;5;48;45;9;7;2;5;0,31
13/12/2025;0,23;0,22;2;15;12;27;30;22;15;2;5;0,8
12/12/2025;0,18;1,18;1;6;5;48;48;13;9;2;4;0,54
11/12/2025;0,14;0,4;0;6;6;43;41;9;4;2;5;0,51
10/12/2025;0,18;0,39;1;9;8;48;52;8;4;2;5;0,51
09/12/2025;0,12;0,07;0;2;2;69;71;18;6;2;4;0,19
08/12/2025;0,09;0,05;0;1;1;72;72;2;1;2;4;0,14
07/12/2025;0,09;0,06;0;1;1;68;66;2;1;2;4;0,21
06/12/2025;0,48;0,29;0;7;7;48;48;13;7;2;7;1,61
05/12/2025;0,14;0,17;0;3;2;63;65;3;2;2;4;0,26
04/12/2025;0,13;0,12;0;3;2;73;71;3;1;2;4;0,26
03/12/2025;0,21;0,17;0;4;4;61;57;5;3;2;4;0,26
02/12/2025;0,23;0,22;1;7;6;41;44;5;3;2;4;0,4
01/12/2025;0,15;0,24;0;4;3;58;54;8;6;2;4;0,32
30/11/2025;0,25;0,18;0;4;4;60;61;7;3;2;5;1,55
29/11/2025;0,17;0,13;0;3;3;44;41;4;3;2;4;0,27
28/11/2025;0,24;0,27;1;11;10;29;30;7;4;2;6;0,58
27/11/2025;0,2;0,23;1;5;4;40;41;4;2;2;4;0,37
26/11/2025;0,3;0,45;1;8;7;58;63;8;4;2;5;1,3
25/11/2025;0,13;0,12;1;7;6;69;69;9;4;2;9;0,37
