Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);SO2 (µg/m3)
31/12/2016;15;26;48;11;2
30/12/2016;28;42;85;21;6
29/12/2016;43;38;103;21;9
28/12/2016;17;38;64;14;5
27/12/2016;22;36;70;10;1
26/12/2016;60;49;139;19;1
25/12/2016;9;27;41;8;0
24/12/2016;16;40;63;14;1
23/12/2016;32;39;88;17;2
22/12/2016;20;35;64;11;1
21/12/2016;38;48;105;12;1
20/12/2016;15;36;59;8;0
19/12/2016;33;28;79;15;3
18/12/2016;20;39;68;18;1
17/12/2016;22;41;74;17;4
16/12/2016;26;37;76;12;2
15/12/2016;24;30;66;11;1
14/12/2016
13/12/2016
12/12/2016;51;68;144;23;10
11/12/2016;30;61;105;23;19
10/12/2016;8;42;52;9;12
09/12/2016;6;26;35;4;5
08/12/2016;1;7;8;2;3
07/12/2016;34;43;95;14;10
06/12/2016;14;40;61;13;7
05/12/2016;3;21;25;4;3
04/12/2016;1;6;7;2;3
03/12/2016;23;26;62;8;5
02/12/2016;50;56;131;16;9
01/12/2016;4;24;30;4;3
30/11/2016;6;26;34;8;5
29/11/2016;33;43;92;14;4
28/11/2016;21;33;65;8;11
27/11/2016;2;19;23;4;4
26/11/2016;7;36;46;5;6
25/11/2016;11;27;44;6;5
24/11/2016;5;18;26;;3
23/11/2016;2;19;22;2;7
22/11/2016;20;30;60;7;6
21/11/2016;1;9;11;3;2
20/11/2016;1;5;6;3;2
19/11/2016;2;10;12;5;6
18/11/2016;32;26;74;20;12
17/11/2016;45;48;116;21;20
16/11/2016;29;40;84;15;15
15/11/2016;21;44;75;12;8
14/11/2016;3;16;20;6;6
13/11/2016;1;7;8;4;8
12/11/2016;6;25;34;7;9
11/11/2016;8;33;44;8;18
10/11/2016;2;12;15;4;21
09/11/2016;2;12;14;6;26
08/11/2016;2;13;15;2;9
07/11/2016;2;12;15;2;8
06/11/2016;1;7;7;2;8
05/11/2016;1;14;16;7;11
04/11/2016;29;31;75;21;22
03/11/2016;36;48;102;28;23
02/11/2016
01/11/2016
31/10/2016;34;49;101;21;8
30/10/2016;23;42;77;19;18
29/10/2016;23;42;77;21;14
28/10/2016;35;42;95;25;14
27/10/2016;15;34;57;16;5
26/10/2016;12;27;44;16;9
25/10/2016;25;38;76;18;8
24/10/2016;3;21;25;5;5
23/10/2016;1;6;7;4;4
22/10/2016;4;22;28;12;7
21/10/2016;31;45;92;14;7
20/10/2016;22;44;77;15;6
19/10/2016;21;35;67;16;5
18/10/2016;9;32;46;12;5
17/10/2016;19;26;55;;9
16/10/2016;2;18;19;;5
15/10/2016;1;11;13;;6
14/10/2016;4;28;33;;15
13/10/2016;16;24;48;;6
12/10/2016;2;23;26;5;7
11/10/2016;17;41;67;8;8
10/10/2016;19;41;70;8;7
09/10/2016;1;14;16;3;4
08/10/2016;3;15;19;4;6
07/10/2016;6;22;32;9;7
06/10/2016;2;24;27;6;5
05/10/2016;3;23;27;7;5
04/10/2016;9;24;38;19;8
03/10/2016;17;32;57;15;5
02/10/2016;2;17;19;5;6
01/10/2016;1;11;11;4;6
30/09/2016;7;21;32;20;4
29/09/2016;1;11;12;13;4
28/09/2016;12;28;45;13;4
27/09/2016;18;25;51;10;7
26/09/2016;16;27;51;14;6
