Date;Benceno (µg/m3);CO (mg/m3);CO 8h (mg/m3);Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
31/12/2016;0,26;0,23;0,27;;15;42;65;0,6;19;7;1,22
30/12/2016;0,47;0,38;0,38;0,35;49;44;119;1,43;25;9;2,74
29/12/2016;0,51;0,43;0,42;0,38;52;46;126;1,55;26;13;3,17
28/12/2016;0,31;0,29;0,27;0,39;33;47;97;1,46;19;7;2,7
27/12/2016;;0,26;0,24;;29;38;83;0,83;14;4;1,91
26/12/2016;0,22;0,24;0,25;;26;40;79;0,88;16;4;2,19
25/12/2016;0,84;0,23;0,25;;14;28;49;2,25;16;6;1,74
24/12/2016;0,5;0,37;0,39;0,31;39;38;97;1,32;19;5;2,43
23/12/2016;0,53;0,45;0,42;0,46;54;43;125;1,65;22;5;3,39
22/12/2016;0,33;0,31;0,31;0,34;45;47;115;1,37;16;4;4,18
21/12/2016;1,08;0,4;0,41;1,25;44;58;125;3,26;18;4;3,88
20/12/2016;0,34;0,36;0,35;;21;42;75;0,77;13;2;2,06
19/12/2016;1,29;0,37;0,36;1,97;50;42;118;4,64;29;11;3,96
18/12/2016;0,4;0,35;0,37;;29;41;85;0,84;27;6;1,6
17/12/2016;0,52;0,47;0,46;0,43;50;43;119;1,69;29;9;2,83
16/12/2016;0,43;0,37;0,32;0,4;54;51;134;2;21;6;3,36
15/12/2016;0,19;0,25;0,27;0,23;30;44;90;1;17;3;2,02
14/12/2016;0,13;0,23;0,22;0,18;17;40;66;0,89;13;2;1,82
13/12/2016;0,36;0,32;0,36;0,37;38;49;107;1,68;21;9;3,25
12/12/2016;0,6;0,43;0,42;0,47;70;64;172;1,98;36;12;4,33
11/12/2016;0,54;0,41;0,42;0,28;48;58;130;1,23;27;18;2,22
10/12/2016;0,38;0,33;0,31;0,23;30;56;102;1,12;18;7;1,9
09/12/2016;0,26;0,26;0,23;0,2;24;46;82;0,91;15;5;1,74
08/12/2016;0,1;0,2;0,23;0,12;7;29;40;0,68;13;3;1,2
07/12/2016;0,35;0,31;0,32;0,34;44;54;121;1,49;22;12;2,77
06/12/2016;0,29;0,31;0,3;0,33;26;52;92;1,43;22;8;2,63
05/12/2016;0,2;0,26;0,25;0,25;16;50;75;1,18;15;3;2,34
04/12/2016;0,07;0,23;0,23;0,02;6;27;35;0,32;10;2;0,73
03/12/2016;0,28;0,3;0,33;0,26;25;43;81;1,14;20;8;1,89
02/12/2016;0,48;0,36;0,34;0,6;56;57;142;2,61;25;8;5,33
01/12/2016;0,3;0,29;0,29;0,28;29;51;95;1,42;18;4;3,12
30/11/2016;0,34;0,32;0,33;0,35;30;51;97;1,51;22;4;2,84
29/11/2016;0,42;0,36;0,35;0,28;31;44;92;1,19;20;3;2,77
28/11/2016;0,42;0,39;0,39;0,28;43;53;118;1,35;31;8;2,64
27/11/2016;0,32;0,31;0,3;0,13;19;44;72;0,72;14;2;1,46
26/11/2016;0,26;0,31;0,3;0,19;27;54;95;1;14;3;1,83
25/11/2016;0,27;0,3;0,3;0,36;40;53;114;1,56;19;9;2,39
24/11/2016;0,18;0,23;0,21;0,21;24;47;84;0,95;9;3;1,64
23/11/2016;0,07;0,23;0,25;0,08;5;39;46;0,47;8;1;1,03
22/11/2016;0,23;0,34;0,32;0,29;28;56;99;1,3;23;7;2,48
21/11/2016;0,03;0,16;0,16;0,06;5;29;36;0,37;6;1;0,73
20/11/2016;0,07;0,19;0,18;0,08;5;20;28;0,34;7;0;0,5
19/11/2016;0,07;0,16;0,18;0,06;8;28;41;0,4;14;3;0,81
18/11/2016;0,45;0,4;0,51;0,52;65;43;143;2,44;37;10;4,01
17/11/2016;0,78;0,59;0,53;1,06;95;52;197;4,63;38;9;6,64
16/11/2016;0,61;0,45;0,42;0,82;63;52;149;3,53;32;10;4,54
15/11/2016;0,52;0,4;0,41;0,36;38;46;103;1,66;21;4;3
14/11/2016;0,49;0,42;0,4;0,19;17;33;58;0,93;16;2;1,49
13/11/2016;0,07;0,21;0,2;0;3;20;26;0,41;9;1;0,47
12/11/2016;0,24;0,31;0,31;0,04;30;45;91;1,23;21;5;1,14
11/11/2016;0,15;0,31;0,28;0;14;45;66;1,25;16;2;1
10/11/2016;;0,23;0,23;;17;47;73;;13;2;
09/11/2016;;0,22;0,25;;7;32;43;;11;2;
08/11/2016;;0,31;0,3;;21;46;77;;13;3;
07/11/2016;;0,23;0,2;;10;38;54;;5;2;
06/11/2016;;0,14;;;3;18;22;;4;1;
05/11/2016;;0,23;0,25;;4;31;38;;13;2;
04/11/2016;;0,44;0,48;;71;57;165;;42;6;
03/11/2016;;0,43;;;53;63;145;;42;12;
02/11/2016
01/11/2016
31/10/2016;;0,41;0,41;;51;58;136;;31;8;
30/10/2016;;0,44;0,45;;39;44;103;;42;8;
29/10/2016;0,05;0,46;0,44;0,81;45;56;124;3,58;33;8;4,28
28/10/2016;0,13;0,37;0,35;0,65;47;50;122;2,77;35;10;5,55
27/10/2016;;0,29;0,31;;17;41;66;;19;1;
26/10/2016;;0,44;0,43;;30;37;82;;28;2;
25/10/2016;0,06;0,37;0,37;0,47;44;49;116;2,1;32;7;4,05
24/10/2016;0,03;0,24;0,23;0,21;18;44;72;1,04;12;2;2,42
23/10/2016;0,02;0,25;0,25;0,08;9;35;49;0,59;9;1;1,16
22/10/2016;0,1;0,32;0,33;0,22;17;41;67;0,98;22;6;1,82
21/10/2016;0,06;0,29;0,28;0,31;36;49;105;1,48;26;8;2,62
20/10/2016;0,03;0,26;0,25;0,47;27;47;88;2,36;21;4;3,25
19/10/2016;0,04;0,25;0,25;0,45;34;38;89;2,2;27;2;2,86
18/10/2016;0,08;0,28;0,3;0,3;22;36;69;1,38;17;1;2,7
17/10/2016;0,17;0,37;0,37;0,28;29;37;82;1,34;27;4;2,55
16/10/2016;0,13;0,28;0,27;0,15;10;43;58;0,8;15;1;1,65
15/10/2016;0,07;0,26;0,26;0,18;13;47;67;0,88;14;2;1,76
14/10/2016;0,06;0,25;0,23;0,14;10;39;54;0,68;16;1;1,31
13/10/2016;0,06;0,26;0,28;0,42;25;39;77;1,57;14;1;2,4
12/10/2016;0,06;0,28;0,27;0,3;7;38;49;1,26;21;3;1,98
11/10/2016;0,04;0,26;0,26;0,47;27;51;92;1,99;26;6;2,92
10/10/2016;0,07;0,26;0,26;0,32;25;47;84;1,58;22;5;2,12
09/10/2016;0,14;0,19;0,17;0,08;3;21;26;0,44;11;1;0,95
08/10/2016;0,05;0,21;0,23;0,09;12;27;45;0,6;19;2;1,05
07/10/2016;0,08;0,24;0,26;0,18;12;29;48;0,86;17;1;1,5
06/10/2016;0,04;0,29;0,28;0,27;14;38;58;1,18;17;1;2,36
05/10/2016;0,02;0,23;0,25;0,47;11;37;54;1,9;19;1;2,41
04/10/2016;;0,4;;;35;36;89;;33;3;
03/10/2016;0,13;0,41;0,32;0,39;21;41;73;1,61;26;2;3,05
02/10/2016;0,01;0,21;0,21;0,16;8;20;32;0,68;16;3;0,7
01/10/2016;0,04;0,21;0,22;0,27;4;23;29;1,05;13;2;0,86
30/09/2016;0,07;0,3;0,31;0,8;12;32;50;3,1;26;1;2,11
29/09/2016;;0,26;0,25;;10;32;47;;20;1;
28/09/2016;0;0,25;0,25;0,19;16;32;56;0,87;12;1;1,9
27/09/2016;0,02;0,33;0,34;0,41;29;36;80;1,69;25;6;3,36
26/09/2016;0,03;0,27;0,25;0,18;19;35;64;0,83;25;4;1,74
25/09/2016;0,01;0,22;0,28;0,02;2;16;20;0,23;17;2;0,46
24/09/2016;0,1;0,35;0,29;0,56;11;36;52;1,67;26;3;1,79
23/09/2016;0,01;0,22;0,21;0,24;19;35;64;1,17;20;2;2,78
22/09/2016;0,01;0,24;0,25;0,16;13;28;47;0,83;18;1;1,74
21/09/2016;0,05;0,24;0,24;0,39;18;31;59;1,34;21;2;1,98
20/09/2016;0,06;0,32;0,29;0,35;22;42;75;1,49;19;2;3,53
19/09/2016;0,03;0,25;0,24;0,15;22;25;59;0,72;21;3;1,32
18/09/2016;0,01;0,19;0,2;0,06;4;21;27;0,36;11;1;0,87
17/09/2016;0,02;0,2;0,19;0,04;4;20;27;0,38;14;2;1,04
16/09/2016;0,01;0,2;0,2;0,13;8;30;42;0,64;12;1;1,31
15/09/2016;0;0,16;;0,06;7;21;32;0,46;7;2;0,96
14/09/2016;0,01;0,21;0,21;0,14;17;33;59;0,75;15;4;1,41
13/09/2016;0,09;0,44;0,44;0,15;11;30;46;0,77;20;1;2,03
12/09/2016;;;;;27;49;91;;36;3;
11/09/2016;;0,22;0,24;;7;27;38;;27;4;
10/09/2016;;0,26;0,25;;11;31;48;;27;6;
09/09/2016;0,05;0,31;0,31;0,12;7;28;38;0,6;25;2;1,46
08/09/2016;0,03;0,28;0,28;0,1;5;27;35;0,5;16;1;1,28
07/09/2016;0,02;0,37;0,37;0,28;20;39;70;1,32;41;5;2,63
06/09/2016;0,01;0,33;;0,33;23;43;78;1,46;32;5;2,75
05/09/2016;0,03;0,33;0,35;0,23;18;33;60;1,07;34;3;1,86
04/09/2016;0,07;0,39;0,4;0,17;6;31;41;0,81;28;2;1,42
03/09/2016;0,04;0,31;0,3;0,23;7;30;40;1,06;23;3;1,46
02/09/2016;0,01;0,29;0,27;0,23;14;27;48;1,09;23;2;1,82
01/09/2016;0;0,24;0,24;0,27;13;30;49;1,18;22;1;1,94
31/08/2016;0,01;0,28;0,28;0,16;12;25;42;0,81;21;2;1,37
30/08/2016;0,01;0,21;0,21;0,04;5;16;23;0,35;13;1;0,7
29/08/2016;0;0,21;0,21;0,04;6;17;27;0,34;14;1;0,93
28/08/2016;0,19;0,38;0,42;0,02;4;16;21;0,27;18;1;0,65
27/08/2016;0,07;0,35;0,33;0,16;7;27;37;0,76;29;2;1,26
26/08/2016;0,01;0,34;0,32;0,18;5;27;34;0,88;25;1;1,55
25/08/2016;0,05;0,3;;0,69;18;46;73;2,92;31;3;8,12
24/08/2016;0,06;0,3;0,31;0,29;7;24;34;1,39;35;2;2,33
23/08/2016;0,12;0,34;0,34;0,51;19;34;63;2,36;37;6;3,13
22/08/2016;0,03;0,23;;0,45;16;40;64;1,88;34;8;1,91
21/08/2016;0,09;0,2;0,2;0,06;10;24;39;0,42;22;4;0,86
20/08/2016;0,04;0,18;0,19;0,04;3;16;22;0,3;16;3;0,55
19/08/2016;0,19;0,26;0,26;0,26;13;25;45;1,21;21;5;1,21
18/08/2016;0,01;0,21;0,21;0,07;4;18;24;0,38;15;5;0,58
17/08/2016;0,07;0,37;0,38;0,03;3;18;22;0,3;30;2;0,67
16/08/2016;0,11;0,32;0,3;0,09;5;21;28;0,59;27;2;1,13
15/08/2016;0,09;0,33;0,36;0,1;6;28;36;0,66;17;2;1,33
14/08/2016;0,09;0,34;0,31;0,23;6;25;34;1,09;25;3;1,38
13/08/2016;0,03;0,24;0,23;0,56;7;29;39;2,29;24;5;1,54
12/08/2016;0,03;0,14;0,14;0,16;12;33;51;0,8;19;5;1,33
11/08/2016;0,13;0,23;0,26;0,22;10;22;38;0,97;17;3;1,38
10/08/2016;0,05;0,21;0,21;0,12;10;19;34;0,69;19;3;1,43
09/08/2016;0,11;0,35;0,36;0,04;3;11;16;0,34;13;2;0,53
08/08/2016;0,03;0,3;0,26;0,13;11;22;39;0,73;16;4;1,31
07/08/2016;0;0,19;0,19;0,05;8;16;28;0,36;12;4;0,69
06/08/2016;0;0,18;0,19;0,11;11;15;32;0,64;11;4;1,03
05/08/2016;0,07;0,32;0,32;0,15;13;18;37;0,76;13;2;1,45
04/08/2016;0,02;0,25;0,26;0,15;12;20;39;0,83;16;2;1,41
03/08/2016;0,09;0,23;0,21;0,16;11;21;37;0,78;18;3;1,54
02/08/2016;0,05;0,19;;0,13;12;22;40;0,77;15;3;1,34
01/08/2016;0,06;0,23;0,22;0,08;10;21;36;0,57;13;3;0,93
31/07/2016;0,01;0,21;0,23;0,03;2;10;14;0,28;6;1;0,55
30/07/2016;0,02;0,29;0,3;0,03;3;13;18;0,32;9;1;0,67
29/07/2016;0,03;0,27;0,25;0,37;16;22;45;1,71;19;3;2,3
28/07/2016;0,02;0,22;0,23;0,19;9;22;36;0,94;14;3;1,45
27/07/2016;0,07;0,31;0,34;0,03;3;12;17;0,24;13;1;0,47
26/07/2016;0,15;0,32;0,28;0,07;7;17;27;0,41;12;0;1,02
25/07/2016;0;0,21;0,21;0,07;10;19;34;0,45;12;3;0,82
24/07/2016;0;0,22;0,22;0,07;4;14;21;0,48;9;1;0,76
23/07/2016;0,02;0,21;0,21;0,01;3;11;15;0,2;8;1;0,52
22/07/2016;0,02;0,22;0,25;0,22;6;19;29;1,16;14;1;1,3
21/07/2016;0,12;0,29;0,27;0,14;8;24;36;0,79;21;2;1,26
20/07/2016;0,06;0,31;0,33;0,04;3;19;24;0,4;27;1;0,8
19/07/2016;0,12;0,28;0,24;0,31;5;33;41;1,31;24;3;1,74
18/07/2016;0,17;0,28;;0,43;17;69;95;1,98;35;5;2,99
17/07/2016;0,11;0,21;0,2;0,08;6;31;40;0,54;22;8;0,98
16/07/2016;0,06;0,18;0,18;0,13;8;25;37;0,69;17;4;1,13
15/07/2016;0,17;0,2;0,2;0,15;15;25;47;0,8;20;7;1,17
14/07/2016;0,08;0,18;0,2;0,19;13;24;44;0,94;17;4;1,44
13/07/2016;0,06;0,18;0,16;0,02;4;17;23;0,23;12;3;0,71
12/07/2016;0,02;0,18;0,18;0,06;7;18;28;0,45;13;1;1,04
11/07/2016;0,02;0,21;0,22;0,08;5;22;29;0,44;15;0;0,71
10/07/2016;0,06;0,26;0,26;0,08;6;18;28;0,48;24;2;0,69
09/07/2016;0,05;0,25;0,24;0,14;6;20;29;0,77;21;0;0,97
08/07/2016;0,1;0,26;0,26;0,09;3;18;23;0,65;15;0;0,73
07/07/2016;0,03;0,24;0,23;0,17;9;22;35;0,79;21;0;1,21
06/07/2016;0;0,16;0,16;0,03;8;16;28;0,34;12;0;0,56
05/07/2016;0,02;0,22;0,22;0,04;5;15;23;0,29;9;0;0,88
04/07/2016;0;0,23;0,21;0,01;2;11;14;0,15;13;0;0,44
03/07/2016;0,02;0,18;0,21;0,04;6;14;22;0,29;12;2;0,55
02/07/2016;0,02;0,22;0,21;0,02;3;15;20;0,29;10;0;0,54
01/07/2016;0,04;0,26;0,27;0,18;14;25;46;0,88;23;3;1,22
30/06/2016;0,01;0,22;0,22;0,16;12;21;38;0,88;20;2;1,13
29/06/2016;0,07;0,27;0,26;0,22;10;24;39;0,7;17;1;1,14
28/06/2016;0,01;0,2;0,2;0,16;16;20;44;0,8;20;3;1,1
27/06/2016;0,11;0,19;0,21;0,07;14;22;43;0,5;18;5;0,81
26/06/2016;0,1;0,24;0,22;0,01;2;12;16;0,16;10;0;0,35
25/06/2016;0,04;0,22;0,24;0;2;9;12;0,12;9;0;0,25
24/06/2016;0,06;0,27;0,29;0,06;3;13;17;0,34;12;0;0,46
23/06/2016;0,13;0,34;0,32;0,2;12;20;38;0,96;23;0;1,45
22/06/2016;0,08;0,29;0,32;0,38;22;34;67;1,73;27;1;2,79
21/06/2016;0,16;0,26;0,24;0,5;21;37;70;2,05;27;8;2,78
20/06/2016;0,07;0,21;;0,12;16;29;53;0,72;16;7;1,42
19/06/2016;0,02;0,17;0,19;0,01;4;16;22;0,22;9;0;0,43
18/06/2016;0,01;0,17;0,15;0,02;3;15;19;0,23;11;0;0,49
17/06/2016;0,06;0,2;0,19;0,14;14;32;53;0,8;17;5;1,14
16/06/2016;0,02;0,12;0,14;0,07;7;23;34;0,47;13;5;0,89
15/06/2016;0,1;0,21;0,21;0,11;11;30;46;0,64;13;7;1,02
14/06/2016;0,05;0,16;0,16;0,04;5;21;29;0,29;15;6;0,71
13/06/2016;0,05;0,22;0,24;0,07;9;19;32;0,48;18;6;0,99
12/06/2016;;0,24;0,24;;9;26;39;0,45;16;11;0,77
11/06/2016;;0,18;0,16;;6;21;30;0,34;16;7;0,73
10/06/2016;;0,2;0,21;;4;21;28;0,3;15;6;0,62
09/06/2016;;0,29;0,29;;9;30;44;1,27;28;6;1,83
08/06/2016;;0,29;0,3;0,32;14;35;57;1,22;30;7;1,81
07/06/2016;;0,31;0,3;0,32;15;33;56;1,27;29;9;2,14
06/06/2016;;0,3;0,3;;9;25;39;0,53;23;5;1,24
05/06/2016;;0,24;0,23;;4;19;25;0,32;16;5;0,87
04/06/2016;;0,24;0,23;;4;20;25;0,63;14;5;0,64
03/06/2016;;0,23;0,22;;7;27;37;0,5;21;6;1,01
02/06/2016;;0,22;0,21;;8;27;39;0,67;19;7;1,09
01/06/2016;;0,19;0,19;;6;20;30;0,48;19;7;0,83
31/05/2016;0,02;0,16;0,16;0;2;15;19;0,18;19;6;0,37
30/05/2016;0,09;0,19;0,19;0,05;8;23;36;0,42;14;7;0,62
29/05/2016;0,11;0,16;0,19;0,02;2;14;18;0,26;8;5;0,47
28/05/2016;0,13;0,26;0,24;0,07;3;14;19;0,39;15;4;0,81
27/05/2016;0,13;0,26;0,28;0,12;10;25;41;0,62;21;5;1,43
26/05/2016;0,2;0,3;0,31;0,09;8;23;36;0,56;18;5;1,15
25/05/2016;0,11;0,3;0,28;0,19;16;26;50;0,94;21;6;2,02
24/05/2016;0,18;0,28;0,26;0,21;18;41;68;1,08;20;10;2,35
23/05/2016;0,07;0,22;;0,06;12;24;43;0,41;18;14;0,85
22/05/2016;0;;;0,01;2;13;17;0,2;14;4;0,38
21/05/2016;0,09;0,23;0,25;0,14;6;28;37;0,74;21;6;1,14
20/05/2016;0,06;0,28;0,26;0,19;16;39;63;0,95;17;7;1,81
19/05/2016;0,05;0,22;0,2;0,05;4;25;31;0,44;12;3;1,03
18/05/2016;0,21;0,23;0,25;0,12;10;28;42;0,76;21;7;1,12
17/05/2016;0,05;0,23;0,22;0,06;8;24;37;0,53;20;4;1,08
16/05/2016;0,16;0,19;0,2;0,02;3;18;22;0,21;18;3;0,49
15/05/2016;0,09;0,21;0,2;0;2;11;13;0,1;14;4;0,27
14/05/2016;0,04;0,19;0,19;0,08;2;13;16;0,47;9;4;0,5
13/05/2016;0,11;0,24;0,25;0,12;11;31;47;0,8;15;9;1,26
12/05/2016;0,11;0,27;0,27;0,28;20;46;76;1,48;19;11;2,05
11/05/2016;0,16;0,21;0,21;0,03;4;20;25;0,33;9;5;0,56
10/05/2016;0,14;0,2;0,21;0,23;12;32;51;1,15;9;5;1,98
09/05/2016;0,1;0,24;0,23;0,13;11;38;56;0,8;10;5;1,55
08/05/2016;0,01;0,16;0,17;0;3;19;24;0,19;8;3;0,71
07/05/2016;0,09;0,21;0,22;0,06;5;25;34;0,52;11;4;0,82
06/05/2016;0,19;0,24;0,24;0,19;8;40;52;1,03;19;8;1,53
05/05/2016;0,14;0,28;0,29;0,45;16;48;72;2,12;25;11;2,37
04/05/2016;0,13;0,26;0,23;0,21;18;43;70;1,13;20;12;1,64
03/05/2016;0,12;0,27;0,27;0,21;16;29;53;1,11;18;14;1,1
02/05/2016;0,2;0,25;0,25;0,07;15;30;53;0,52;14;11;0,9
01/05/2016;0,23;0,27;0,26;0,03;5;19;27;0,29;11;7;0,51
30/04/2016;0,1;0,2;0,19;0;2;10;13;0,09;9;7;0,24
29/04/2016;0,19;0,24;0,24;0,09;14;29;50;0,64;16;12;0,91
28/04/2016;0,24;0,28;0,25;0,09;13;29;49;0,54;12;6;1,02
27/04/2016;0,04;0,19;0,2;0,03;4;22;29;0,28;13;7;0,47
26/04/2016;0,19;0,27;0,28;0,14;11;30;47;0,79;16;11;0,99
25/04/2016;0,13;0,25;0,22;0,05;13;27;46;0,42;16;8;0,64
24/04/2016;0,2;0,2;0,22;0;1;9;11;0,1;9;2;0,23
23/04/2016;0,22;0,23;0,23;0,06;6;23;32;0,44;14;7;0,98
22/04/2016;0,12;0,26;0,28;0,37;23;35;69;1,94;22;13;2,42
21/04/2016;0,14;0,24;0,23;0,08;6;30;39;0,57;10;4;0,81
20/04/2016;0,28;0,24;0,26;0,32;11;50;67;1,69;12;5;2,04
19/04/2016;0,28;0,34;0,32;0,49;31;56;104;2,48;24;13;2,76
18/04/2016;0,12;0,2;0,19;0,01;5;26;33;0,23;10;5;0,61
