Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2016;12;20;38;17;16;9
30/12/2016;24;25;62;27;23;9
29/12/2016;35;24;77;25;21;14
28/12/2016;21;27;59;20;14;7
27/12/2016;12;20;39;13;10;5
26/12/2016;32;25;74;20;15;5
25/12/2016;8;17;29;10;;5
24/12/2016;14;22;43;15;11;6
23/12/2016;45;25;94;23;17;7
22/12/2016;38;24;81;20;17;7
21/12/2016;42;33;98;21;17;6
20/12/2016;17;20;46;14;8;5
19/12/2016;52;23;104;27;22;8
18/12/2016;16;22;45;25;22;7
17/12/2016;33;24;75;28;18;7
16/12/2016;30;25;71;20;15;7
15/12/2016;21;22;53;19;16;5
14/12/2016;5;16;24;13;10;5
13/12/2016;26;25;64;20;17;7
12/12/2016;57;38;125;37;30;13
11/12/2016;21;35;68;28;30;18
10/12/2016;7;25;35;17;16;9
09/12/2016;10;22;38;14;11;6
08/12/2016;2;10;14;8;5;5
07/12/2016;37;31;87;29;23;10
06/12/2016;11;25;42;18;16;7
05/12/2016;6;19;29;11;;5
04/12/2016;1;9;11;10;9;5
03/12/2016;11;19;37;16;16;7
02/12/2016;36;28;83;20;17;10
01/12/2016;9;20;34;12;10;5
30/11/2016;11;22;39;16;15;6
29/11/2016;28;22;64;20;14;5
28/11/2016;54;26;109;24;18;14
27/11/2016;3;13;18;10;9;5
26/11/2016;3;18;23;9;8;6
25/11/2016;19;21;49;13;11;6
24/11/2016;10;19;35;7;6;5
23/11/2016;9;17;31;6;3;5
22/11/2016;24;20;57;12;6;8
21/11/2016;5;12;20;7;2;4
20/11/2016;2;7;11;5;3;5
19/11/2016;4;8;13;11;6;6
18/11/2016;41;20;83;29;22;9
17/11/2016;56;28;114;26;20;13
16/11/2016;27;21;63;18;15;7
15/11/2016;16;22;46;15;11;5
14/11/2016;13;22;42;13;6;4
13/11/2016;2;8;11;7;2;3
12/11/2016;12;19;37;13;10;6
11/11/2016;11;21;38;12;7;5
10/11/2016;6;12;22;9;3;8
09/11/2016;6;10;20;9;5;6
08/11/2016;5;11;19;6;4;16
07/11/2016;5;8;15;3;;15
06/11/2016;3;5;10;3;1;13
05/11/2016;4;12;17;9;8;8
04/11/2016;41;29;91;29;22;15
03/11/2016;38;31;91;34;29;15
02/11/2016;23;22;58;27;23;11
01/11/2016;6;15;23;17;14;6
31/10/2016;27;18;60;28;20;6
30/10/2016;15;15;38;24;19;9
29/10/2016;16;19;44;27;21;9
28/10/2016;28;17;60;31;25;8
27/10/2016;9;16;29;17;13;4
26/10/2016;26;17;56;29;16;5
25/10/2016;28;21;63;24;21;7
24/10/2016;5;14;23;10;8;5
23/10/2016;2;7;11;6;4;4
22/10/2016;4;12;19;16;14;7
21/10/2016;18;18;45;15;12;6
20/10/2016;17;16;43;18;13;5
19/10/2016;23;16;52;22;17;5
18/10/2016;11;13;31;15;11;4
17/10/2016;22;18;52;22;16;7
16/10/2016;3;10;14;11;8;4
15/10/2016;3;10;15;10;8;5
14/10/2016;6;13;22;12;8;4
13/10/2016;18;16;44;12;9;5
12/10/2016;3;12;17;17;15;6
11/10/2016;16;17;42;18;16;7
10/10/2016;16;17;42;20;;5
09/10/2016;2;6;11;13;;4
08/10/2016;5;9;17;16;;5
07/10/2016;7;11;22;19;11;5
06/10/2016;6;13;23;17;8;4
05/10/2016;4;9;16;17;5;4
04/10/2016;23;15;51;33;21;6
03/10/2016;14;15;37;;13;4
02/10/2016;3;6;11;;6;5
01/10/2016;2;5;9;;5;4
30/09/2016;10;13;30;;21;4
29/09/2016;6;12;21;;12;4
28/09/2016;16;15;40;;9;3
27/09/2016;33;17;69;;14;5
26/09/2016;15;13;36;;11;5
25/09/2016;2;6;10;;7;3
24/09/2016;3;13;18;;21;4
23/09/2016;12;15;34;;10;4
22/09/2016;9;15;29;23;8;3
21/09/2016;18;16;44;24;12;4
20/09/2016;11;19;37;17;8;4
19/09/2016;24;14;51;18;7;7
18/09/2016;2;5;8;14;4;3
17/09/2016;2;5;8;13;4;3
16/09/2016;4;9;14;13;2;3
15/09/2016;3;8;13;9;2;3
14/09/2016;9;16;31;16;5;8
13/09/2016;10;17;33;27;17;4
12/09/2016;11;25;42;29;21;4
11/09/2016;2;13;17;23;15;5
10/09/2016;4;13;19;21;13;7
09/09/2016;5;13;21;23;8;3
08/09/2016;5;14;22;17;4;3
07/09/2016;12;27;45;39;28;5
06/09/2016;14;26;47;35;27;4
05/09/2016;15;17;40;25;19;5
04/09/2016;3;13;17;22;17;4
03/09/2016;3;13;19;19;12;4
02/09/2016;10;15;31;22;15;4
01/09/2016;11;16;33;22;12;3
31/08/2016;12;14;33;23;14;3
30/08/2016;3;8;13;14;6;3
29/08/2016;4;8;16;15;5;3
28/08/2016;1;5;8;14;9;3
27/08/2016;2;12;17;23;19;4
26/08/2016;2;10;14;21;14;3
25/08/2016;16;25;51;39;25;5
24/08/2016;3;13;18;29;23;3
23/08/2016;9;18;32;28;20;6
22/08/2016;10;18;35;18;11;5
21/08/2016;2;6;10;14;6;4
20/08/2016;1;5;8;14;5;3
19/08/2016;10;15;31;17;10;4
18/08/2016;4;9;16;13;7;3
17/08/2016;2;12;16;25;25;3
16/08/2016;3;17;22;22;21;3
15/08/2016;2;13;17;16;13;4
14/08/2016;3;13;18;18;;4
13/08/2016;3;15;21;18;17;5
12/08/2016;9;19;33;18;13;5
11/08/2016;9;11;26;19;11;4
10/08/2016;4;10;17;16;8;3
09/08/2016;4;9;17;10;6;3
08/08/2016;10;12;28;11;8;4
07/08/2016;2;7;10;9;7;4
06/08/2016;4;6;13;7;5;3
05/08/2016;10;8;23;9;6;3
04/08/2016;10;12;27;10;10;5
03/08/2016;13;13;32;12;;6
02/08/2016;13;11;31;11;6;4
01/08/2016;6;9;19;13;5;21
31/07/2016;2;5;8;10;2;12
30/07/2016;2;7;10;12;4;3
29/07/2016;14;14;35;17;7;4
28/07/2016;6;11;21;15;7;4
27/07/2016;5;11;18;14;5;4
26/07/2016;9;13;27;14;5;3
25/07/2016;3;9;15;12;5;4
24/07/2016;2;6;9;10;3;4
23/07/2016;2;5;8;10;3;3
22/07/2016;6;11;20;13;5;3
21/07/2016;10;18;33;24;14;5
20/07/2016;3;17;22;29;15;4
19/07/2016;;;;28;16;6
18/07/2016;;;;27;16;5
17/07/2016;2;14;17;19;14;5
16/07/2016;3;13;18;17;10;5
15/07/2016;8;11;23;19;;5
14/07/2016;11;12;30;16;6;5
13/07/2016;5;8;17;13;3;4
12/07/2016;5;10;19;15;4;4
11/07/2016;7;16;27;18;7;3
10/07/2016;3;9;14;21;16;5
09/07/2016;2;8;12;17;13;3
08/07/2016;4;13;20;16;;3
07/07/2016;6;15;25;19;11;3
06/07/2016;5;11;18;13;5;3
05/07/2016;7;10;21;13;3;3
04/07/2016;2;8;12;15;5;3
03/07/2016;2;7;11;13;5;5
02/07/2016;1;6;9;10;3;4
01/07/2016;10;16;31;24;14;5
30/06/2016;10;15;30;23;16;5
29/06/2016;9;15;29;17;9;5
28/06/2016;10;12;27;20;14;6
27/06/2016;10;10;25;15;9;4
26/06/2016;2;4;7;11;4;3
25/06/2016;2;5;8;11;5;3
24/06/2016;5;13;22;15;6;3
23/06/2016;9;15;30;25;15;3
22/06/2016;9;18;32;21;12;4
21/06/2016;15;23;45;24;17;7
20/06/2016;14;14;34;14;8;6
19/06/2016;1;3;4;8;4;3
18/06/2016;1;4;6;9;4;5
17/06/2016;3;11;16;9;4;8
16/06/2016;4;9;16;10;4;6
15/06/2016;10;14;29;11;6;4
14/06/2016;4;8;16;16;7;4
13/06/2016;7;10;20;12;6;3
12/06/2016;3;11;16;12;9;4
11/06/2016;1;4;6;10;5;3
10/06/2016;4;13;19;11;8;3
09/06/2016;;;;29;23;3
08/06/2016;;;;25;19;3
07/06/2016;2;14;12;27;18;4
06/06/2016;1;14;8;20;15;3
05/06/2016;0;10;3;13;10;3
04/06/2016;0;9;2;14;10;3
03/06/2016;7;22;32;16;12;4
02/06/2016;8;19;32;12;9;5
01/06/2016;9;18;31;15;9;4
31/05/2016;;;;19;12;3
30/05/2016;;;;10;5;4
29/05/2016;;;;4;3;4
28/05/2016;;;;11;8;3
27/05/2016;8;26;38;18;11;4
26/05/2016;7;23;33;14;8;4
25/05/2016;20;33;63;18;12;6
24/05/2016;11;28;46;14;8;5
23/05/2016;;;;12;5;4
22/05/2016;;;;11;5;3
21/05/2016;5;3;12;14;11;4
20/05/2016;20;27;58;15;12;5
19/05/2016;6;25;34;9;5;3
18/05/2016;9;26;40;19;13;5
17/05/2016;9;28;43;19;17;4
16/05/2016;5;23;30;18;13;3
15/05/2016;2;8;11;15;10;3
14/05/2016;2;11;15;8;5;3
13/05/2016;6;23;33;8;5;4
12/05/2016;20;36;67;15;11;5
11/05/2016;6;22;31;8;4;5
10/05/2016;3;14;20;6;4;3
09/05/2016;5;24;32;7;4;4
08/05/2016;2;10;13;8;4;3
07/05/2016;3;17;21;7;6;3
06/05/2016;7;30;40;21;12;5
05/05/2016;31;61;108;34;22;7
04/05/2016;25;38;76;25;18;7
03/05/2016;15;29;52;19;15;5
02/05/2016;13;29;50;11;6;4
01/05/2016;2;11;14;7;3;4
30/04/2016;3;11;15;9;3;4
29/04/2016;13;31;50;12;10;5
28/04/2016;11;26;44;9;4;4
27/04/2016;4;19;25;10;5;4
26/04/2016;14;27;49;12;8;5
25/04/2016;18;27;54;12;7;6
24/04/2016;2;11;14;9;4;3
23/04/2016;8;25;38;15;11;5
22/04/2016;26;38;78;26;18;6
21/04/2016;11;36;54;9;5;5
20/04/2016;7;35;46;10;7;5
19/04/2016;16;39;64;18;14;6
18/04/2016;4;18;25;10;5;3
17/04/2016;2;12;16;5;2;4
16/04/2016;4;18;24;6;4;4
15/04/2016;15;32;55;13;7;4
14/04/2016;5;20;27;5;2;4
13/04/2016;5;18;26;4;2;3
12/04/2016;7;24;36;8;4;4
11/04/2016;12;19;37;5;2;3
