Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
02/07/2016;1;5;8;;;2
01/07/2016;2;10;13;;;3
30/06/2016;3;10;15;;;3
29/06/2016;2;14;17;;;2
28/06/2016;3;8;13;;;5
27/06/2016;2;8;12;;;2
26/06/2016;1;3;6;;;3
25/06/2016;1;3;6;;;2
24/06/2016;1;11;14;;;2
23/06/2016;;;;;;3
22/06/2016;;;;;;2
21/06/2016;4;18;24;;;2
20/06/2016;4;14;20;;;2
19/06/2016;1;7;9;7;5;4
18/06/2016;1;7;10;8;6;3
17/06/2016;2;17;20;10;7;3
16/06/2016;4;16;22;8;5;2
15/06/2016;4;15;21;6;4;2
14/06/2016;2;11;15;10;7;2
13/06/2016;2;9;13;11;8;2
12/06/2016;2;10;13;9;7;3
11/06/2016;1;9;11;10;8;2
10/06/2016;2;7;10;14;12;3
09/06/2016;3;16;21;21;18;3
08/06/2016;3;15;19;22;20;3
07/06/2016;2;12;16;18;15;2
06/06/2016;1;8;11;17;15;2
05/06/2016;1;4;7;13;11;2
04/06/2016;1;4;7;16;14;2
03/06/2016;2;9;12;18;16;2
02/06/2016;2;10;13;16;13;3
01/06/2016;2;9;11;14;11;2
31/05/2016;1;5;8;20;16;2
30/05/2016;3;11;15;11;8;2
29/05/2016;1;5;7;8;6;3
28/05/2016;1;6;8;14;12;3
27/05/2016;2;12;15;19;16;2
26/05/2016;3;15;19;14;11;3
25/05/2016;5;16;25;13;11;3
24/05/2016;5;22;30;12;6;2
23/05/2016;3;13;18;7;4;2
22/05/2016;1;5;8;9;6;2
21/05/2016;3;13;18;14;9;3
20/05/2016;3;19;23;10;5;2
19/05/2016;2;11;14;10;7;3
18/05/2016;2;11;14;18;14;2
17/05/2016;2;14;18;20;16;3
16/05/2016;1;10;13;23;18;3
15/05/2016;1;3;5;20;16;3
14/05/2016;1;4;6;11;8;2
13/05/2016;4;16;22;15;9;3
