Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);SO2 (µg/m3)
31/12/2016;9;26;39;19;3
30/12/2016;40;38;100;27;5
29/12/2016;51;43;120;29;4
28/12/2016;25;42;80;21;4
27/12/2016;19;38;67;18;4
26/12/2016;17;33;58;18;3
25/12/2016;6;16;25;15;3
24/12/2016;25;30;67;21;3
23/12/2016;37;35;92;25;4
22/12/2016;29;38;83;18;3
21/12/2016;34;51;102;22;3
20/12/2016;13;41;61;14;3
19/12/2016;41;37;100;33;5
18/12/2016;14;29;49;31;4
17/12/2016;32;36;85;33;4
16/12/2016;45;48;117;32;4
15/12/2016;14;33;54;23;3
14/12/2016;4;29;35;15;4
13/12/2016;21;36;68;22;4
12/12/2016;57;53;140;34;5
11/12/2016;32;47;96;29;6
10/12/2016;13;39;59;20;5
09/12/2016;9;30;43;20;4
08/12/2016;2;16;19;13;3
07/12/2016;23;36;70;23;4
06/12/2016;11;36;53;27;5
05/12/2016;9;39;52;19;3
04/12/2016;;;;11;4
03/12/2016;14;30;52;23;4
02/12/2016;32;45;94;36;6
01/12/2016;15;43;66;25;5
30/11/2016;10;30;45;27;4
29/11/2016;32;37;85;25;3
28/11/2016;34;47;99;40;5
27/11/2016;10;33;48;18;3
26/11/2016;9;35;49;32;7
25/11/2016;31;43;89;33;6
24/11/2016;15;38;60;25;3
23/11/2016;5;39;46;8;2
22/11/2016;31;51;98;27;5
21/11/2016;1;19;21;9;3
20/11/2016;0;11;12;9;4
19/11/2016;2;18;21;16;4
18/11/2016;60;39;131;40;4
17/11/2016;90;42;180;44;4
16/11/2016;60;42;134;38;3
15/11/2016;41;34;95;27;3
14/11/2016;14;27;48;17;4
13/11/2016;2;26;29;11;4
12/11/2016;10;33;48;20;5
11/11/2016;19;47;76;26;5
10/11/2016;35;51;104;27;5
09/11/2016;4;33;39;14;4
08/11/2016;19;46;75;22;5
07/11/2016;6;36;45;9;4
06/11/2016;1;21;22;9;4
05/11/2016;2;30;33;15;4
04/11/2016;34;39;91;38;5
03/11/2016;56;56;141;48;8
02/11/2016;41;58;120;41;10
01/11/2016;9;32;47;24;6
31/10/2016;26;40;80;31;6
30/10/2016;35;38;92;46;7
29/10/2016;30;48;93;40;7
28/10/2016;41;46;109;42;8
27/10/2016;11;34;50;23;4
26/10/2016;37;33;89;38;5
25/10/2016;39;46;105;35;7
24/10/2016;9;32;46;21;6
23/10/2016;2;20;23;11;5
22/10/2016;8;26;38;24;5
21/10/2016;31;37;84;30;6
20/10/2016;25;36;75;24;5
19/10/2016;28;30;73;26;4
18/10/2016;23;30;65;27;4
17/10/2016;28;38;81;32;5
16/10/2016;7;34;44;20;5
15/10/2016;4;26;32;16;4
14/10/2016;7;37;47;17;4
13/10/2016;23;36;71;15;4
12/10/2016;4;31;37;28;6
11/10/2016;22;36;70;28;7
10/10/2016;20;36;66;28;6
09/10/2016;6;26;35;17;4
08/10/2016;11;28;45;19;4
07/10/2016;10;24;39;16;4
06/10/2016;16;33;57;20;4
05/10/2016;10;33;48;27;4
04/10/2016
03/10/2016
02/10/2016;4;15;21;17;4
01/10/2016;2;17;19;12;3
30/09/2016;6;22;31;26;4
29/09/2016;5;26;34;23;4
28/09/2016;10;21;36;14;5
27/09/2016;28;32;74;26;6
26/09/2016;11;30;46;27;6
25/09/2016;1;13;14;23;5
24/09/2016;4;27;32;29;5
23/09/2016;14;27;48;22;5
22/09/2016;9;26;40;25;5
21/09/2016;11;26;43;20;5
20/09/2016;18;39;66;25;5
19/09/2016;16;25;49;22;5
18/09/2016;3;20;24;14;4
17/09/2016;3;23;26;17;4
16/09/2016;9;30;44;15;4
15/09/2016;2;14;17;8;5
14/09/2016;12;24;43;18;5
13/09/2016;6;26;35;28;4
12/09/2016;10;28;42;35;5
11/09/2016;3;18;22;25;5
10/09/2016;7;26;36;29;7
09/09/2016;7;24;34;28;4
