Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3)
29/06/2016;9;23;36;13;7
28/06/2016;8;13;25;13;10
27/06/2016;9;16;29;13;
26/06/2016;2;11;13;10;5
25/06/2016;1;5;5;10;5
24/06/2016;1;4;5;13;6
23/06/2016;4;12;19;25;18
22/06/2016;7;16;27;19;11
21/06/2016;11;24;40;21;11
20/06/2016;10;22;38;12;7
19/06/2016;0;8;9;7;5
18/06/2016;0;9;9;11;4
17/06/2016;3;22;27;14;7
16/06/2016;2;12;14;13;5
15/06/2016;4;15;20;11;6
14/06/2016;4;11;16;15;8
13/06/2016;3;11;15;17;6
12/06/2016;2;16;20;13;8
11/06/2016;2;14;17;14;7
10/06/2016;1;11;12;14;8
09/06/2016;7;20;30;29;19
08/06/2016;7;21;31;25;16
07/06/2016;9;22;35;24;15
06/06/2016;7;19;29;21;14
05/06/2016;2;9;11;14;8
04/06/2016;0;9;9;18;9
03/06/2016;4;18;23;17;9
02/06/2016;4;21;27;19;11
01/06/2016;1;12;12;17;8
31/05/2016;0;7;8;24;11
30/05/2016;2;12;15;17;6
29/05/2016;1;8;9;14;5
28/05/2016;0;6;7;20;8
27/05/2016;5;16;24;25;10
26/05/2016;;;;19;8
25/05/2016;8;14;27;19;9
24/05/2016;3;19;24;17;6
23/05/2016;7;17;28;;5
22/05/2016;0;7;7;;5
21/05/2016;2;15;18;;11
20/05/2016;13;41;61;;13
19/05/2016;1;16;17;15;4
18/05/2016;3;18;24;23;11
17/05/2016;5;18;26;23;11
16/05/2016;3;14;19;23;10
15/05/2016;0;6;6;21;8
14/05/2016;0;4;4;13;5
13/05/2016;4;22;28;18;7
12/05/2016;9;32;45;20;9
11/05/2016;2;17;21;15;5
10/05/2016;1;9;10;10;3
09/05/2016;2;20;23;13;4
08/05/2016;0;4;4;12;4
07/05/2016;0;5;5;12;5
06/05/2016;0;10;10;21;8
05/05/2016;11;35;51;28;14
04/05/2016;10;34;49;22;10
03/05/2016;10;22;37;18;7
02/05/2016;10;23;39;15;7
01/05/2016;2;18;20;12;5
30/04/2016;0;7;7;16;4
29/04/2016;9;23;37;14;7
28/04/2016;15;30;53;15;6
27/04/2016;1;15;17;16;5
26/04/2016;8;23;35;17;8
25/04/2016;8;20;32;16;7
24/04/2016;0;7;7;13;4
23/04/2016;5;17;25;15;7
22/04/2016;17;27;52;20;9
21/04/2016;5;21;29;12;5
20/04/2016;0;13;13;12;5
19/04/2016;13;33;54;20;11
18/04/2016;1;18;19;13;5
17/04/2016;0;9;9;8;3
16/04/2016;1;13;14;9;4
15/04/2016;8;28;39;12;5
14/04/2016;0;12;13;11;4
13/04/2016;0;12;12;9;3
12/04/2016;2;16;20;11;4
11/04/2016;4;13;19;8;2
10/04/2016;0;10;11;11;4
09/04/2016;1;21;22;12;6
08/04/2016;3;21;26;11;4
07/04/2016;2;18;21;13;5
06/04/2016;;;;16;8
05/04/2016;;;;12;4
04/04/2016;;;;10;5
03/04/2016;0;5;5;10;4
02/04/2016;1;18;19;12;5
01/04/2016;12;28;46;15;6
31/03/2016;1;6;6;14;3
30/03/2016;6;15;24;13;7
29/03/2016;7;26;37;16;8
28/03/2016;0;8;8;16;6
27/03/2016;0;6;6;9;2
26/03/2016;2;11;14;11;6
25/03/2016;5;31;38;26;12
24/03/2016;6;29;37;29;13
23/03/2016;;;;25;9
22/03/2016;;;;23;8
21/03/2016;;;;24;13
20/03/2016;5;29;37;14;7
19/03/2016;1;27;28;17;10
18/03/2016;13;39;58;25;13
17/03/2016;19;41;70;25;12
16/03/2016;18;38;65;32;16
15/03/2016;5;37;44;17;8
14/03/2016;26;43;83;33;18
13/03/2016;3;21;25;32;18
12/03/2016;7;32;42;19;10
11/03/2016;8;29;41;13;5
10/03/2016;1;8;10;13;3
09/03/2016;1;11;11;15;4
08/03/2016;10;35;50;13;5
07/03/2016;2;20;23;10;4
06/03/2016;0;12;13;10;5
05/03/2016;0;11;11;8;3
04/03/2016;;;;10;6
03/03/2016;;;;24;9
02/03/2016;;;;20;9
01/03/2016;;;;21;10
29/02/2016;;;;22;7
28/02/2016;;;;25;7
27/02/2016;;;;11;3
26/02/2016;;;;12;6
25/02/2016;;;;10;5
24/02/2016;;;;20;12
23/02/2016;;;;20;10
22/02/2016;33;39;90;37;14
21/02/2016;9;35;48;17;10
20/02/2016;14;39;60;17;11
19/02/2016;24;42;79;17;10
18/02/2016;3;35;39;13;6
17/02/2016;12;29;47;15;7
16/02/2016;;;;13;8
15/02/2016;1;11;12;10;2
14/02/2016;0;12;12;8;3
13/02/2016;3;24;29;18;7
12/02/2016;3;28;32;9;4
11/02/2016;5;30;37;12;5
10/02/2016;4;38;44;11;6
09/02/2016;0;12;12;;4
08/02/2016;;;;9;
07/02/2016;1;17;18;12;5
06/02/2016;0;8;8;13;8
05/02/2016;22;43;76;18;10
04/02/2016;33;45;96;19;12
03/02/2016;6;33;41;13;6
02/02/2016;21;39;71;31;14
01/02/2016;36;45;99;26;10
31/01/2016;1;14;16;15;6
30/01/2016;14;30;51;16;8
29/01/2016;25;40;78;21;8
28/01/2016;2;25;28;9;6
27/01/2016;1;16;17;13;7
26/01/2016;9;27;40;19;9
25/01/2016;5;28;36;20;11
24/01/2016;2;18;21;11;6
23/01/2016;30;33;79;18;11
22/01/2016;41;43;105;16;
21/01/2016;25;45;82;17;
20/01/2016;41;56;119;24;15
19/01/2016;14;34;55;14;9
18/01/2016;1;22;23;11;4
17/01/2016;1;21;22;11;
16/01/2016;6;26;34;12;6
15/01/2016;3;25;30;12;4
14/01/2016;2;27;30;9;5
13/01/2016;15;29;51;13;6
12/01/2016;6;29;38;11;4
11/01/2016;14;31;52;13;5
10/01/2016;1;9;12;5;
09/01/2016;5;20;28;10;4
08/01/2016;4;34;40;10;
07/01/2016;3;23;27;7;2
06/01/2016;2;7;10;7;2
05/01/2016;5;24;31;11;4
04/01/2016;11;31;47;10;5
03/01/2016;2;8;11;7;2
02/01/2016;4;21;27;12;6
01/01/2016;3;12;16;10;5
