Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);SO2 (µg/m3)
31/12/2016;1;10;13;40;36;10;5
30/12/2016;14;25;47;8;9;15;7
29/12/2016;19;27;55;8;9;17;7
28/12/2016;11;21;37;22;;14;6
27/12/2016;9;23;36;16;17;12;5
26/12/2016;9;22;36;10;9;28;5
25/12/2016;4;13;19;13;14;9;5
24/12/2016;6;16;25;9;9;12;5
23/12/2016;11;23;41;8;9;17;5
22/12/2016;3;14;18;26;26;8;5
21/12/2016;6;26;34;22;22;10;5
20/12/2016;5;27;34;22;26;12;5
19/12/2016;8;20;32;19;15;17;5
18/12/2016;4;15;21;21;21;15;5
17/12/2016;7;20;32;15;15;16;5
16/12/2016;7;24;35;24;27;23;4
15/12/2016;6;17;27;33;31;11;4
14/12/2016;2;14;17;42;45;9;4
13/12/2016;5;17;24;31;30;8;4
12/12/2016;11;29;46;16;17;17;5
11/12/2016;3;20;25;26;26;13;4
10/12/2016;4;18;24;40;45;9;4
09/12/2016;4;16;23;43;48;10;4
08/12/2016;1;7;9;51;51;6;4
07/12/2016;3;16;20;31;;11;4
06/12/2016;3;14;19;35;40;11;4
05/12/2016;1;12;15;67;73;9;4
04/12/2016;1;7;8;65;62;8;4
03/12/2016;2;12;16;34;28;9;4
02/12/2016;9;23;37;25;28;13;4
01/12/2016;4;18;24;42;48;12;4
30/11/2016;10;18;33;32;24;14;4
29/11/2016;17;24;49;9;8;18;4
28/11/2016;24;20;58;14;15;25;4
27/11/2016;5;21;29;23;25;12;4
26/11/2016;5;23;31;26;31;9;4
25/11/2016;3;16;20;31;30;9;4
24/11/2016;3;15;20;50;58;8;4
23/11/2016;2;19;22;51;44;5;4
22/11/2016;5;26;33;25;24;18;4
21/11/2016;1;11;12;66;71;5;4
20/11/2016;1;6;7;62;62;5;4
19/11/2016;1;8;10;52;46;10;4
18/11/2016;12;20;38;7;6;23;4
17/11/2016;27;28;69;7;7;24;6
16/11/2016;16;24;48;12;13;17;4
15/11/2016;8;21;33;19;22;16;4
14/11/2016;3;19;24;33;39;13;4
13/11/2016;2;10;13;49;50;8;4
12/11/2016;2;11;13;28;28;9;4
11/11/2016;6;26;35;35;39;13;4
10/11/2016;4;19;24;36;36;9;4
09/11/2016
08/11/2016
07/11/2016;;;;59;;8;
06/11/2016;2;7;10;60;57;3;3
05/11/2016;3;15;19;42;41;11;3
04/11/2016;6;23;32;22;;24;4
03/11/2016;25;37;76;9;9;30;6
02/11/2016;9;35;49;19;20;25;9
01/11/2016;3;17;22;48;51;17;4
31/10/2016;13;29;48;23;22;20;4
30/10/2016;8;27;39;16;16;21;5
29/10/2016;18;39;66;12;13;25;5
28/10/2016;18;33;60;15;16;20;8
27/10/2016;7;26;36;20;21;21;4
26/10/2016;10;26;41;20;;21;4
25/10/2016;8;25;38;22;25;15;4
24/10/2016;2;12;15;53;58;14;3
23/10/2016;2;7;10;59;59;6;3
22/10/2016;2;10;13;47;42;12;3
21/10/2016;4;17;23;34;36;12;3
20/10/2016;5;19;27;30;30;17;3
19/10/2016;4;18;23;28;29;13;3
18/10/2016;4;15;21;26;28;13;4
17/10/2016;7;18;28;30;29;17;6
16/10/2016;3;16;21;48;56;11;5
15/10/2016;3;13;17;56;50;12;5
14/10/2016;3;13;18;51;50;12;5
13/10/2016;7;20;30;21;22;12;
12/10/2016;3;14;19;47;46;18;
11/10/2016;6;24;33;33;33;15;4
10/10/2016;5;18;25;40;41;12;4
09/10/2016;3;13;18;43;42;11;4
08/10/2016;3;11;16;40;41;12;4
07/10/2016;5;15;22;35;34;13;4
06/10/2016;5;19;28;32;36;18;4
05/10/2016;6;19;28;31;38;20;4
04/10/2016;12;19;37;39;;26;4
03/10/2016;7;24;34;24;29;22;4
02/10/2016;2;12;14;41;42;12;4
01/10/2016;1;10;12;40;42;11;3
30/09/2016;2;15;18;52;51;22;4
29/09/2016;2;14;17;55;49;18;4
28/09/2016;6;16;24;23;24;15;3
27/09/2016;4;17;22;19;20;14;4
26/09/2016;4;16;22;27;32;17;6
25/09/2016;1;8;10;54;58;16;4
24/09/2016;2;17;19;50;54;21;3
23/09/2016;4;16;23;32;34;15;3
22/09/2016;3;17;21;41;43;17;3
21/09/2016;3;13;18;42;35;13;4
20/09/2016;4;15;21;26;;11;3
19/09/2016;3;13;18;30;30;12;4
18/09/2016;2;9;12;34;35;12;4
17/09/2016;2;9;11;36;37;10;4
16/09/2016;2;12;15;41;45;8;4
15/09/2016;1;7;9;53;49;5;4
14/09/2016;4;13;19;33;35;8;4
13/09/2016;5;19;26;36;39;18;4
12/09/2016;2;21;24;60;60;23;5
11/09/2016;2;15;19;55;55;17;5
10/09/2016;3;16;20;48;48;16;5
09/09/2016;4;17;23;35;36;19;5
08/09/2016;3;12;16;38;42;12;4
07/09/2016;3;25;30;56;56;42;5
06/09/2016;4;27;33;46;;21;5
05/09/2016;3;20;25;41;;23;4
04/09/2016;3;18;22;47;52;21;5
03/09/2016;3;22;27;50;49;19;4
02/09/2016;4;17;24;43;43;15;4
01/09/2016;2;13;17;51;56;15;4
31/08/2016;2;13;17;51;50;14;4
30/08/2016;3;11;16;43;42;11;4
29/08/2016;3;11;14;35;35;10;4
28/08/2016;1;11;14;44;48;17;4
27/08/2016;1;12;14;64;59;22;4
26/08/2016;2;17;20;53;58;24;4
25/08/2016;2;15;18;62;63;21;4
24/08/2016;3;19;24;48;49;31;4
23/08/2016;2;18;22;63;62;;4
22/08/2016;4;20;26;46;48;16;5
21/08/2016;1;8;10;44;45;13;5
20/08/2016;1;8;10;47;49;14;5
19/08/2016;2;10;12;49;46;14;5
18/08/2016;2;9;12;49;55;17;5
17/08/2016;2;13;16;79;82;26;5
16/08/2016;3;15;20;65;64;22;5
15/08/2016;2;13;16;61;61;16;5
14/08/2016;2;16;19;66;70;23;5
13/08/2016;2;19;22;70;72;20;5
12/08/2016;2;14;18;60;63;16;5
11/08/2016;2;12;15;48;54;14;5
10/08/2016;2;10;13;54;54;15;5
09/08/2016;2;9;12;45;41;11;5
08/08/2016;2;11;14;45;47;12;5
07/08/2016;2;9;12;49;53;10;5
06/08/2016;2;8;12;30;31;9;5
05/08/2016;3;10;15;29;31;14;5
04/08/2016;3;13;17;36;34;11;5
03/08/2016;3;15;21;46;45;14;5
02/08/2016;4;15;20;41;41;11;5
