Date;CO (mg/m3);CO 8h (mg/m3);NH3 (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
26/09/2016;0,3;0,31;1;24;34;70;24;11;3
25/09/2016;0,2;0,19;2;2;12;14;;8;3
24/09/2016;0,3;0,38;4;5;22;29;35;14;2
23/09/2016;0,74;0,7;4;30;35;81;;19;2
22/09/2016;0,3;0,23;1;17;30;55;22;10;3
21/09/2016;0,22;0,23;1;15;28;51;;11;3
20/09/2016;0,26;0,25;1;20;36;66;17;9;3
19/09/2016;0,25;0,25;1;26;26;65;18;8;3
18/09/2016;0,17;0,16;1;4;16;22;11;5;2
17/09/2016;0,13;0,13;1;2;14;16;13;5;2
16/09/2016;0,17;0,17;1;10;25;40;16;5;2
15/09/2016;0,13;0,15;1;3;12;17;10;2;2
14/09/2016;0,4;0,38;1;20;29;60;18;8;5
13/09/2016;0,53;0,56;2;16;27;51;;13;2
12/09/2016;0,44;0,47;3;11;26;43;;16;3
11/09/2016;0,4;0,37;1;5;24;31;31;12;4
10/09/2016;0,23;0,22;1;8;26;38;25;11;7
09/09/2016;0,3;0,29;1;13;24;44;22;9;5
08/09/2016;0,19;0,19;1;4;21;27;29;6;2
07/09/2016;0,31;0,34;2;13;32;51;47;20;5
06/09/2016;0,3;0,27;1;18;41;67;38;20;7
05/09/2016;0,37;0,42;2;17;27;52;29;17;4
04/09/2016;0,69;0,76;2;7;24;35;34;14;3
03/09/2016;0,44;0,32;2;6;27;34;22;13;5
02/09/2016;0,45;0,47;2;19;26;55;30;13;4
01/09/2016;0,27;0,26;2;15;27;49;23;12;4
31/08/2016;0,46;0,47;2;17;24;49;25;10;2
30/08/2016;0,21;0,19;1;11;19;35;;7;2
29/08/2016;0,22;0,21;1;12;19;37;16;5;3
28/08/2016;0,24;0,26;2;3;12;16;;10;1
27/08/2016;0,45;0,52;3;6;20;29;;17;2
26/08/2016;0,46;0,38;3;8;27;39;44;13;2
25/08/2016;0,58;0,71;3;20;38;67;54;19;2
24/08/2016;0,5;0,36;2;10;21;35;35;20;1
23/08/2016;0,69;0,74;3;11;24;40;43;17;3
22/08/2016;0,33;0,29;1;12;35;54;29;12;5
21/08/2016;0,31;0,29;1;5;17;25;16;6;3
20/08/2016;0,28;0,27;1;4;14;20;16;5;2
19/08/2016;0,33;0,34;1;11;24;41;30;9;3
18/08/2016;0,19;0,18;1;8;16;28;20;6;2
17/08/2016;0,31;0,33;2;8;20;32;;21;2
16/08/2016;0,31;0,35;2;8;21;34;;17;2
15/08/2016;0,38;0,34;2;4;22;27;;13;2
14/08/2016;0,41;0,41;2;6;23;31;;18;3
13/08/2016;0,56;0,59;3;6;26;35;49;14;4
12/08/2016;0,35;0,32;2;16;37;61;20;10;3
11/08/2016;0,35;0,34;2;19;28;57;18;8;3
10/08/2016;0,21;0,2;1;12;21;39;19;7;3
09/08/2016;0,18;0,22;1;4;10;16;;5;1
08/08/2016;0,28;0,25;1;15;22;45;25;9;3
07/08/2016;0,28;0,28;1;7;18;27;15;8;3
06/08/2016;0,24;0,24;1;10;15;30;16;5;2
05/08/2016;0,4;0,38;1;17;19;45;15;6;2
04/08/2016;0,21;0,23;1;13;21;41;;9;2
03/08/2016;0,21;0,19;1;13;21;41;20;9;4
02/08/2016;0,23;0,23;1;16;23;47;;9;2
01/08/2016;0,15;0,14;1;9;19;33;8;5;2
31/07/2016;0,14;0,16;1;3;8;13;;3;1
30/07/2016;0,2;0,2;1;4;12;18;;5;1
29/07/2016;0,23;0,23;1;16;19;43;22;10;4
28/07/2016;0,28;0,3;1;20;26;55;17;8;2
27/07/2016;0,27;0,23;1;7;14;25;11;6;1
26/07/2016;0,21;0,2;1;10;17;31;;5;1
25/07/2016;0,27;0,27;1;7;14;25;14;7;4
24/07/2016;0,17;0,18;1;5;13;20;;6;3
23/07/2016;0,16;0,15;1;3;10;15;;3;1
22/07/2016;0,16;0,17;1;5;13;20;;7;2
21/07/2016;0,24;0,24;1;12;23;41;26;14;3
20/07/2016;0,22;0,24;2;4;18;24;;15;2
19/07/2016;0,27;0,29;3;5;27;34;36;15;4
18/07/2016;0,81;0,82;4;15;43;65;35;20;3
17/07/2016;0,54;0,48;2;5;26;33;27;13;4
16/07/2016;0,27;0,29;2;10;25;40;22;12;3
15/07/2016;0,3;0,28;1;19;26;54;20;8;3
14/07/2016;0,25;0,27;1;17;22;48;16;7;4
13/07/2016;0,17;0,13;1;6;14;23;16;;4
12/07/2016;0,13;0,16;1;8;18;30;;6;3
11/07/2016;0,19;0,16;1;8;20;32;;8;1
10/07/2016;0,26;0,31;1;5;15;22;63;17;2
09/07/2016;0,26;0,21;1;7;18;28;;14;1
08/07/2016;0,18;0,18;1;7;15;26;;9;1
07/07/2016;0,32;0,31;1;11;19;35;26;12;1
06/07/2016;0,19;0,2;1;7;15;25;12;7;1
05/07/2016;0,17;0,16;1;9;12;26;;3;1
04/07/2016;0,22;0,23;1;4;13;18;18;6;1
03/07/2016;0,18;0,17;1;5;15;23;;6;2
02/07/2016;0,15;0,15;1;3;11;15;;5;2
01/07/2016;0,2;0,2;1;14;22;43;28;11;2
30/06/2016;0,23;0,22;1;18;23;50;19;13;3
29/06/2016;0,36;0,37;1;15;25;48;20;9;2
28/06/2016;0,2;0,2;1;13;18;38;14;8;3
27/06/2016;0,22;0,22;2;15;20;42;14;8;3
26/06/2016;0,31;0,31;1;3;13;18;8;5;2
25/06/2016;0,13;0,13;1;3;10;14;7;4;1
24/06/2016;0,17;0,17;2;7;11;21;;6;1
23/06/2016;0,31;0,31;1;8;12;24;26;12;1
22/06/2016;0,47;0,48;2;13;17;36;32;14;2
21/06/2016;0,28;0,31;1;17;28;53;29;14;7
20/06/2016;0,22;0,18;1;12;19;37;12;8;5
19/06/2016;0,17;0,17;0;1;10;11;7;4;2
18/06/2016;0,15;0,14;0;1;9;10;8;4;2
17/06/2016;0,14;0,14;1;4;16;22;15;8;4
16/06/2016;0,12;;1;5;12;19;10;4;4
15/06/2016;0,16;0,16;1;6;17;26;;7;2
14/06/2016;0,15;0,15;1;5;12;19;20;8;4
13/06/2016;0,17;0,18;1;6;14;22;;9;2
12/06/2016;0,24;0,24;1;4;17;23;17;10;6
11/06/2016;0,14;0,12;1;2;13;16;12;7;5
10/06/2016;0,16;0,18;1;4;13;18;;10;2
09/06/2016;0,37;0,38;2;13;24;44;45;24;2
08/06/2016;0,43;0,43;2;13;28;48;42;24;4
07/06/2016;0,3;0,29;1;13;25;44;33;;7
06/06/2016;0,37;0,36;1;13;24;44;23;10;1
05/06/2016;0,31;0,32;2;2;13;16;15;9;1
04/06/2016;0,2;0,19;1;2;16;19;;10;1
03/06/2016;0,5;0,53;2;10;29;44;19;12;3
02/06/2016;0,24;0,21;1;8;29;41;19;12;9
01/06/2016;0,15;0,15;2;4;17;23;16;10;5
31/05/2016;0,17;0,16;;;;;18;13;2
30/05/2016;0,15;0,15;;;;;11;7;2
29/05/2016;0,15;0,17;1;2;11;13;;5;3
28/05/2016;0,18;0,17;1;2;10;12;;8;1
27/05/2016;0,27;0,26;2;12;23;42;20;12;3
26/05/2016;0,21;0,22;2;11;22;38;15;9;3
25/05/2016;0,4;0,41;2;20;26;56;20;12;4
24/05/2016;0,23;0,2;1;10;27;42;18;8;4
23/05/2016;0,17;0,16;1;11;19;35;14;6;4
22/05/2016;0,17;0,18;1;2;10;14;11;6;2
21/05/2016;0,22;0,23;1;3;18;23;20;12;4
20/05/2016;0,23;0,21;1;17;35;60;18;10;6
19/05/2016;0,18;0,17;1;6;19;29;13;5;2
18/05/2016;0,24;0,25;1;8;22;35;21;13;6
17/05/2016;0,2;0,2;1;7;22;32;22;15;3
16/05/2016;0,31;0,31;2;8;21;33;23;14;2
15/05/2016;0,2;0,18;2;1;9;10;14;9;1
14/05/2016;0,19;0,19;2;2;9;11;;6;2
13/05/2016;0,2;0,2;3;7;23;34;11;7;4
12/05/2016;0,27;0,27;3;12;35;53;22;11;10
11/05/2016;0,18;0,17;3;7;21;31;11;4;3
10/05/2016;0,17;0,22;4;4;17;23;5;3;2
09/05/2016;0,33;0,31;4;9;30;43;9;4;2
08/05/2016;0,24;0,22;4;1;9;11;5;4;1
07/05/2016;0,23;0,22;5;3;17;21;18;6;2
06/05/2016;0,25;0,28;5;4;22;27;19;9;3
05/05/2016;0,58;0,66;7;17;37;62;36;18;5
04/05/2016;0,43;0,34;4;16;34;57;28;14;7
03/05/2016;0,34;0,32;3;12;23;40;15;9;5
02/05/2016;0,41;0,42;2;16;23;47;15;8;4
01/05/2016;0,19;0,18;1;1;11;13;8;4;4
30/04/2016;0,16;0,16;1;1;7;8;6;4;2
29/04/2016;0,25;0,26;3;12;25;41;15;9;5
28/04/2016;0,24;0,22;2;13;33;53;13;6;2
27/04/2016;0,2;0,2;2;3;19;24;10;5;4
26/04/2016;0,28;0,3;2;15;26;48;15;8;3
25/04/2016;0,31;0,31;2;10;25;39;14;8;4
24/04/2016;0,19;0,17;2;0;8;8;5;4;1
23/04/2016;0,23;0,29;4;8;27;39;13;8;4
22/04/2016;0,5;0,49;4;31;40;87;27;13;6
21/04/2016;0,29;0,25;4;9;32;46;13;7;3
20/04/2016;0,21;0,2;4;5;33;39;;6;3
19/04/2016;0,27;0,27;3;23;45;79;24;13;7
18/04/2016;0,24;0,23;2;6;32;38;8;6;2
17/04/2016;0,2;0,2;2;;;11;5;3;2
16/04/2016;0,19;0,18;3;3;20;24;;5;2
15/04/2016;0,55;0,56;4;20;39;69;18;9;2
14/04/2016;0,17;0,17;2;2;18;21;7;3;2
13/04/2016;0,16;0,14;1;2;18;21;;3;2
12/04/2016;0,22;0,22;1;10;24;39;13;6;2
11/04/2016;0,21;0,21;1;8;21;33;6;3;2
10/04/2016;0,26;0,29;1;3;14;19;;6;3
09/04/2016;0,23;0,21;1;4;27;33;11;6;3
08/04/2016;0,22;0,22;1;5;21;27;10;5;4
07/04/2016;0,19;0,18;1;4;18;23;13;6;2
06/04/2016;0,23;0,23;1;13;22;41;13;9;9
05/04/2016;0,19;0,19;1;3;16;19;10;6;2
04/04/2016;0,21;0,2;2;6;22;30;8;5;2
03/04/2016;0,19;0,2;2;1;9;11;;4;2
02/04/2016;0,22;0,22;2;3;27;31;;7;6
01/04/2016;0,21;0,2;2;11;33;48;12;7;6
31/03/2016;0,16;0,16;4;3;13;17;7;4;1
30/03/2016;0,35;0,37;3;15;30;52;17;10;4
29/03/2016;0,39;0,38;3;15;35;57;19;7;3
28/03/2016;0,18;0,16;3;1;13;14;17;5;2
27/03/2016;0,27;0,27;3;1;11;13;3;3;2
26/03/2016;0,18;0,21;5;2;11;14;8;5;3
25/03/2016;0,41;0,4;5;6;37;46;17;12;5
24/03/2016;0,63;0,66;5;8;32;43;24;13;4
23/03/2016;0,24;0,2;4;7;24;34;14;9;1
22/03/2016;0,19;0,2;5;3;15;20;10;7;1
21/03/2016;0,39;0,43;6;24;28;64;32;17;4
20/03/2016;0,26;0,25;9;5;25;32;;6;3
19/03/2016;0,29;0,28;6;5;37;44;15;10;7
18/03/2016;0,45;0,46;6;26;48;87;26;16;5
17/03/2016;0,31;0,28;4;19;43;72;19;13;6
16/03/2016;0,28;0,31;6;15;37;60;26;15;4
15/03/2016;0,27;0,28;5;15;46;68;19;11;4
14/03/2016;0,34;0,3;5;30;48;92;33;19;5
13/03/2016;0,26;0,28;5;3;23;28;25;18;4
12/03/2016;0,24;0,22;2;7;36;46;18;12;8
11/03/2016;0,23;0,23;2;19;34;58;10;7;3
10/03/2016;0,19;0,18;1;;;22;10;5;3
09/03/2016;0,17;0,17;2;3;19;22;12;6;4
08/03/2016;0,23;0,23;2;17;41;64;14;8;6
07/03/2016;0,2;0,19;1;7;29;34;7;3;3
06/03/2016;0,19;0,19;0;1;16;14;4;2;7
05/03/2016;0,18;0,18;;;;11;3;2;5
04/03/2016;0,18;0,2;1;3;23;27;9;5;3
03/03/2016;0,22;0,19;1;4;33;36;18;8;7
02/03/2016;0,19;0,21;1;8;27;39;15;8;4
01/03/2016;0,28;0,26;2;25;44;81;27;13;5
29/02/2016;0,18;0,19;1;2;16;19;12;8;3
28/02/2016;0,24;0,24;1;0;9;9;11;8;2
27/02/2016;0,22;0,21;1;0;8;8;6;2;3
26/02/2016;0,25;0,26;1;12;34;52;11;7;3
25/02/2016;0,2;0,19;;;;;7;6;3
24/02/2016;0,23;0,25;;;;;16;11;5
23/02/2016;0,22;0,21;;;;;20;10;6
22/02/2016;0,31;0,42;9;36;40;;42;16;7
21/02/2016;0,38;0,35;4;15;37;;21;11;6
20/02/2016;0,44;0,41;3;18;40;;17;10;9
19/02/2016;0,27;0,25;2;28;45;;14;9;7
18/02/2016;0,19;0,2;2;8;29;;17;9;8
17/02/2016;0,33;0,33;3;20;39;;13;9;7
16/02/2016;0,3;0,28;2;19;41;;11;7;7
15/02/2016;0,19;0,19;1;6;18;;4;3;3
14/02/2016;0,18;0,19;1;4;14;;7;4;6
13/02/2016;0,31;0,32;3;11;32;;17;8;2
12/02/2016;0,31;0,31;3;13;35;;11;6;2
11/02/2016;0,23;0,22;2;12;34;;10;6;4
10/02/2016;0,24;0,23;3;11;38;;10;6;3
09/02/2016;0,17;0,17;3;4;15;;9;3;1
08/02/2016;0,19;0,22;3;4;14;;9;3;1
07/02/2016;0,29;0,25;3;4;18;;8;5;5
06/02/2016;0,22;0,33;4;4;13;;10;8;2
05/02/2016;0,38;0,31;2;27;46;;20;11;7
04/02/2016;0,43;0,43;2;46;56;;25;14;5
03/02/2016;0,25;0,2;4;8;29;;14;6;2
02/02/2016;0,4;0,41;5;40;48;;36;17;4
01/02/2016;0,47;0,46;4;53;49;;38;14;4
31/01/2016;0,27;0,27;4;7;23;;10;6;3
30/01/2016;0,71;0,75;4;23;36;;17;12;5
29/01/2016;0,31;0,27;2;29;50;;21;9;4
28/01/2016;0,22;0,2;3;10;36;;6;4;1
27/01/2016;0,44;0,46;5;6;19;;9;7;2
26/01/2016;0,28;0,3;4;19;36;;20;11;4
25/01/2016;0,25;0,22;4;10;31;;15;10;1
24/01/2016;0,2;0,26;5;6;22;;;7;3
23/01/2016;0,42;0,44;4;42;41;;23;14;6
22/01/2016;0,35;0,26;3;41;44;;18;8;2
21/01/2016;0,21;0,41;4;9;30;;8;6;3
20/01/2016;0,55;0,37;2;38;60;;22;12;6
19/01/2016;0,24;0,22;2;16;42;;11;8;4
18/01/2016;0,19;0,18;2;7;27;;7;4;3
17/01/2016;0,21;0,23;1;6;28;;6;7;7
16/01/2016;0,21;0,2;1;7;28;;10;5;3
15/01/2016;0,2;0,2;2;7;26;;10;6;3
14/01/2016;0,21;0,19;3;5;26;;8;5;
13/01/2016;0,24;0,25;1;14;32;;14;9;
12/01/2016;0,21;0,19;2;8;33;;10;4;5
11/01/2016;0,28;0,29;2;13;35;;;4;4
10/01/2016;0,24;0,23;3;2;14;;7;3;3
09/01/2016;0,19;0,21;3;4;22;;8;4;3
08/01/2016;0,24;0,25;2;10;43;;;5;4
07/01/2016;0,25;0,22;3;7;32;;7;3;3
06/01/2016;0,19;0,18;2;2;9;;6;2;4
05/01/2016;0,18;0,19;2;10;28;;8;5;7
04/01/2016;0,33;0,32;3;17;43;;8;5;6
03/01/2016;0,17;0,19;3;2;8;;5;2;4
02/01/2016;0,22;0,2;3;8;25;;9;5;5
01/01/2016;0,22;0,24;4;4;20;;14;10;4
