Date;CO (mg/m3);CO 8h (mg/m3);NH3 (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2016;0,35;0,47;1;9;25;37;14;13;4
30/12/2016;0,44;0,36;1;44;41;108;22;16;7
29/12/2016;0,51;0,51;2;56;43;128;25;16;10
28/12/2016;0,35;0,35;2;34;42;92;20;12;4
27/12/2016;0,43;0,44;3;27;41;81;12;8;2
26/12/2016;0,53;0,59;2;49;43;117;23;12;3
25/12/2016;0,44;0,4;2;16;27;51;13;11;3
24/12/2016;0,42;0,4;3;33;35;86;16;11;4
23/12/2016;0,32;0,29;3;47;38;110;21;12;6
22/12/2016;0,27;0,28;3;30;40;86;11;7;2
21/12/2016;0,96;1,02;4;61;58;153;22;13;4
20/12/2016;0,44;0,35;2;39;45;103;14;10;2
19/12/2016;0,58;0,68;3;49;34;109;25;15;9
18/12/2016;0,71;0,86;3;22;34;66;23;16;3
17/12/2016;0,62;0,44;4;43;39;104;29;17;5
16/12/2016;0,43;0,34;2;64;53;150;26;16;3
15/12/2016;0,21;0,26;2;21;37;68;15;10;2
14/12/2016;0,27;0,22;2;10;30;44;11;7;1
13/12/2016;0,32;0,48;4;21;39;70;17;11;4
12/12/2016;1,02;0,99;5;105;76;234;54;24;10
11/12/2016;0,52;0,65;2;37;58;114;23;15;13
10/12/2016;0,59;0,39;2;22;43;75;19;10;4
09/12/2016;0,26;0,22;1;19;40;69;10;8;3
08/12/2016;0,14;0,14;1;3;12;16;3;;1
07/12/2016;0,25;0,29;1;27;43;83;19;12;6
06/12/2016;0,26;0,23;1;12;38;57;16;11;4
05/12/2016;0,21;0,2;1;14;47;67;15;9;2
04/12/2016;0,18;0,22;2;1;13;15;7;6;1
03/12/2016;0,33;0,37;1;13;40;59;15;11;5
02/12/2016;0,35;0,32;2;57;54;140;26;14;6
01/12/2016;0,29;0,35;2;20;41;71;14;9;3
30/11/2016;0,38;0,31;2;17;41;67;16;12;4
29/11/2016;0,39;0,38;2;57;48;135;31;18;5
28/11/2016;0,28;0,27;2;41;44;105;24;16;13
27/11/2016;0,7;0,8;3;13;33;52;22;14;4
26/11/2016;0,38;0,29;2;8;36;49;11;9;6
25/11/2016;0,38;0,4;1;29;47;91;16;14;6
24/11/2016;0,26;0,19;1;15;34;58;9;6;2
23/11/2016;0,18;0,19;2;8;30;41;11;8;1
22/11/2016;0,23;0,21;4;30;40;86;22;12;8
21/11/2016;0,13;0,16;1;3;19;24;5;3;2
20/11/2016;0,19;0,15;1;2;11;13;5;3;1
19/11/2016;0,14;0,15;1;3;15;20;11;6;3
18/11/2016;0,48;0,66;4;57;33;120;42;23;7
17/11/2016;0,77;0,82;4;102;49;205;54;34;7
16/11/2016;0,73;0,59;3;64;48;146;42;25;8
15/11/2016;0,65;0,76;3;63;46;142;39;20;5
14/11/2016;0,37;0,2;1;21;34;66;18;;3
13/11/2016;0,12;0,13;1;1;10;11;7;;2
12/11/2016;0,19;0,22;1;6;29;38;10;9;4
11/11/2016;0,22;0,19;2;13;37;57;17;9;6
10/11/2016;0,16;0,15;2;6;27;35;10;6;10
09/11/2016;0,14;0,14;1;2;18;21;10;4;8
08/11/2016;0,28;0,3;1;15;36;58;11;6;7
07/11/2016;0,21;0,18;1;7;32;43;;3;5
06/11/2016;0,15;0,16;1;1;12;14;3;2;4
05/11/2016;0,29;0,31;3;4;24;29;16;9;5
04/11/2016;0,84;0,88;3;51;44;122;52;24;8
03/11/2016;0,42;0,41;3;49;52;126;43;26;15
02/11/2016;0,75;1,06;4;51;53;131;43;26;15
01/11/2016;0,6;0,32;3;13;25;44;18;13;3
31/10/2016;0,85;0,84;4;50;43;118;40;24;5
30/10/2016;0,74;0,71;3;21;29;61;28;18;3
29/10/2016;0,78;0,81;4;27;40;81;29;18;5
28/10/2016;0,93;0,95;4;45;42;110;37;20;6
27/10/2016;0,71;0,59;3;26;40;79;24;13;2
26/10/2016;0,32;0,34;4;41;38;101;35;16;4
25/10/2016;0,3;0,29;3;40;44;105;;15;7
24/10/2016;0,2;0,35;2;12;34;52;12;6;5
23/10/2016;0,33;0,21;3;1;14;16;;4;2
22/10/2016;0,29;0,32;4;6;27;35;20;11;5
21/10/2016;0,44;0,49;3;51;53;130;34;16;7
20/10/2016;0,54;0,71;4;43;53;118;30;14;5
19/10/2016;0,66;0,47;3;44;44;111;31;15;4
18/10/2016;0,46;0,38;3;39;43;102;;12;4
17/10/2016;0,28;0,36;4;32;35;83;27;14;5
16/10/2016;0,36;0,27;6;7;34;43;;8;3
15/10/2016;0,36;0,46;4;2;26;29;11;8;4
14/10/2016;0,29;0,2;2;11;36;53;21;10;6
13/10/2016;0,23;0,26;4;28;36;78;18;9;2
12/10/2016;0,5;0,49;4;3;28;31;28;13;4
11/10/2016;0,39;0,39;4;30;51;98;31;17;6
10/10/2016;0,44;0,43;2;40;50;111;29;15;4
09/10/2016;0,31;0,49;3;3;25;29;14;8;5
08/10/2016;0,54;0,42;3;9;28;41;17;11;3
07/10/2016;0,32;0,29;2;10;32;47;;10;3
06/10/2016;0,47;0,46;3;23;37;72;26;10;2
05/10/2016;0,26;0,26;3;22;39;72;21;9;3
04/10/2016;0,49;0,55;3;30;31;77;39;19;3
03/10/2016;0,48;0,42;2;33;45;96;;15;2
02/10/2016;0,24;0,25;1;6;21;30;;7;2
01/10/2016;0,19;0,17;1;3;20;24;;6;2
30/09/2016;0,24;0,25;2;11;30;47;34;19;2
29/09/2016;0,27;0,3;3;5;22;30;;11;1
28/09/2016;0,28;0,22;3;24;32;67;;;1
27/09/2016;0,58;0,62;2;38;34;92;36;12;4
