Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);SO2 (µg/m3)
31/12/2016;0,28;0,31;11;27;43;15;7
30/12/2016;0,37;0,36;79;39;158;26;8
29/12/2016;0,33;0,36;124;40;229;26;13
28/12/2016;0,33;0,31;120;43;227;23;10
27/12/2016;0,38;0,4;111;39;208;13;6
26/12/2016;0,42;0,4;78;40;158;19;5
25/12/2016;0,3;0,31;33;26;76;18;7
24/12/2016;0,36;0,37;44;33;100;21;8
23/12/2016;0,34;0,32;54;35;117;27;7
22/12/2016;0,31;0,3;42;36;99;15;6
21/12/2016;0,41;0,43;61;51;144;22;8
20/12/2016;0,38;0,35;34;38;90;17;5
19/12/2016;0,29;0,31;40;33;94;28;10
18/12/2016;0,32;0,36;30;30;75;26;5
17/12/2016;0,35;0,32;43;34;99;26;6
16/12/2016;0,34;0,31;57;45;132;26;7
15/12/2016;0,25;0,27;43;35;100;19;8
14/12/2016;0,24;0,22;41;27;90;15;4
13/12/2016;0,29;0,33;39;33;93;18;10
12/12/2016;0,42;0,42;92;56;196;42;16
11/12/2016;0,38;0,38;101;47;202;26;19
10/12/2016;0,33;0,3;83;42;169;34;10
09/12/2016;0,29;0,26;70;38;145;11;6
08/12/2016;0,18;0,18;55;18;102;5;3
07/12/2016;0,29;0,31;57;35;122;;15
06/12/2016;0,25;0,23;26;32;72;;10
05/12/2016;0,2;0,2;27;37;78;16;7
04/12/2016;0,19;0,19;22;19;52;8;4
03/12/2016;0,27;0,3;24;31;67;19;11
02/12/2016;0,32;0,3;42;40;104;25;12
01/12/2016;0,23;0,24;19;30;58;15;6
30/11/2016;0,31;0,3;23;36;71;19;7
29/11/2016;0,36;0,35;67;39;142;26;7
28/11/2016;0,27;0,27;89;35;170;22;10
27/11/2016;0,47;0,57;80;36;158;19;9
26/11/2016;0,37;0,29;66;38;139;11;10
25/11/2016;0,32;0,35;69;41;146;17;10
24/11/2016;0,26;0,2;35;32;85;10;5
23/11/2016;0,2;0,21;26;28;67;8;5
22/11/2016;0,25;0,24;19;35;63;21;8
21/11/2016;0,18;0,18;19;19;48;8;5
20/11/2016;0,16;0,16;18;14;40;8;5
19/11/2016;0,2;0,21;13;17;37;10;8
18/11/2016;0,37;0,42;50;31;107;39;14
17/11/2016;0,47;0,46;67;42;144;47;16
16/11/2016;0,43;0,41;48;44;116;36;13
15/11/2016;0,5;0,5;39;38;98;28;8
14/11/2016;0,24;0,21;14;28;49;19;5
13/11/2016;0,17;0,19;10;16;31;11;6
12/11/2016;0,27;0,27;13;32;52;20;13
11/11/2016;0,27;0,25;11;33;49;23;9
10/11/2016;0,2;0,21;8;27;39;14;10
09/11/2016;0,24;;11;23;40;17;10
08/11/2016;0,19;0,21;15;35;58;11;8
07/11/2016;0,22;0,2;16;32;56;9;6
06/11/2016;0,16;0,16;11;16;33;4;7
05/11/2016;0,23;0,23;13;29;49;21;9
04/11/2016;0,46;0,49;49;41;115;54;13
03/11/2016;0,43;0,42;43;50;115;55;17
02/11/2016;0,32;0,34;36;52;107;42;17
01/11/2016;0,25;0,25;17;27;52;22;7
31/10/2016;0,47;0,46;43;43;108;42;10
30/10/2016;0,43;;23;30;64;42;9
29/10/2016;0,45;0,47;30;41;87;43;14
28/10/2016;0,43;0,39;40;41;101;42;13
27/10/2016;0,36;0,34;21;36;67;27;6
26/10/2016;0,27;0,29;28;37;78;35;8
25/10/2016;0,29;0,28;30;43;88;34;15
24/10/2016;0,18;0,26;6;29;38;14;5
23/10/2016;0,28;0,19;2;17;19;9;5
22/10/2016;0,24;0,26;6;28;37;22;11
21/10/2016;0,29;0,28;21;37;69;26;9
20/10/2016;0,32;0,34;22;38;71;26;9
19/10/2016;0,25;0,23;22;33;67;23;8
18/10/2016;0,23;0,22;15;31;53;16;4
17/10/2016;0,28;0,3;21;31;63;24;8
16/10/2016;0,23;0,22;4;27;32;15;5
15/10/2016;0,26;0,29;5;28;35;8;6
14/10/2016;0,23;0,2;5;29;36;14;8
13/10/2016;0,22;0,23;14;31;52;14;6
12/10/2016;0,27;0,27;3;31;35;20;7
11/10/2016;0,29;0,28;20;41;70;20;10
10/10/2016;0,24;0,25;12;32;50;17;7
09/10/2016;0,27;0,36;2;16;19;10;4
08/10/2016;0,34;0,26;4;18;24;13;5
07/10/2016;0,26;0,25;8;23;35;16;8
06/10/2016;0,38;0,39;9;26;38;19;4
05/10/2016;0,27;0,28;8;26;38;20;6
04/10/2016;0,38;0,39;16;24;48;34;7
03/10/2016;0,33;0,32;13;30;49;30;6
02/10/2016;0,24;0,22;3;12;16;15;5
01/10/2016;0,19;0,19;2;16;19;9;5
30/09/2016;0,25;0,25;6;22;31;33;5
29/09/2016;0,21;0,22;3;16;20;21;4
28/09/2016;0,27;0,26;14;23;45;19;3
27/09/2016;0,29;0,28;21;25;57;26;8
26/09/2016;0,24;0,23;11;22;38;23;7
25/09/2016;0,16;0,18;2;10;12;13;5
24/09/2016;0,25;0,26;3;19;23;36;6
23/09/2016;0,49;0,46;17;28;53;25;5
22/09/2016;0,23;0,22;9;22;36;20;4
21/09/2016;0,23;0,23;10;23;38;19;5
20/09/2016;0,29;0,28;13;29;48;14;4
19/09/2016;0,19;0,18;9;17;30;14;5
18/09/2016;0,17;0,17;2;14;16;13;4
17/09/2016;0,15;0,16;2;11;13;14;5
16/09/2016;0,22;0,22;4;19;25;16;4
15/09/2016;0,17;0,16;2;8;11;10;3
14/09/2016;0,2;0,2;9;21;33;14;6
13/09/2016;0,36;0,37;11;23;40;27;4
12/09/2016;0,24;0,24;7;26;36;39;6
11/09/2016;0,26;0,26;4;21;26;28;8
10/09/2016;0,24;0,23;5;19;26;27;9
09/09/2016;0,33;0,33;8;20;32;20;7
08/09/2016;0,21;0,21;3;17;20;15;5
07/09/2016;0,27;0,28;9;28;43;44;9
06/09/2016;0,27;0,26;9;32;45;28;6
05/09/2016;0,29;0,3;9;21;35;25;6
04/09/2016;0,34;0,37;4;22;29;26;6
03/09/2016;0,33;0,27;4;21;27;19;7
02/09/2016;0,22;0,22;9;17;30;17;5
01/09/2016;0,25;0,25;4;19;25;19;4
31/08/2016;0,25;0,25;6;19;28;18;4
30/08/2016;0,2;0,22;3;14;19;12;4
29/08/2016;0,22;0,2;4;15;22;18;6
28/08/2016;0,22;0,23;1;11;12;18;4
27/08/2016;0,28;0,35;2;18;21;31;5
26/08/2016;0,41;0,34;2;17;19;30;4
25/08/2016;0,3;0,31;8;26;38;33;5
24/08/2016;0,38;0,36;2;14;17;39;3
23/08/2016;0,28;0,29;5;23;31;39;7
22/08/2016;0,26;0,24;7;27;36;21;6
21/08/2016;0,2;0,2;2;12;14;16;5
20/08/2016;0,3;0,3;1;11;12;17;4
19/08/2016;0,24;0,23;5;18;25;21;6
18/08/2016;0,2;0,2;1;11;13;12;5
17/08/2016;0,33;0,34;1;14;16;31;3
16/08/2016;0,28;0,27;3;20;23;;3
15/08/2016;0,27;0,27;2;18;20;;3
14/08/2016;0,3;0,3;3;19;23;;5
13/08/2016;0,28;0,31;3;21;25;32;7
12/08/2016;0,29;0,24;6;21;29;17;5
11/08/2016;0,18;0,17;6;16;26;16;4
10/08/2016;0,17;0,17;4;12;18;20;3
09/08/2016;0,17;0,2;1;7;8;14;2
08/08/2016;0,25;0,24;5;14;21;13;4
07/08/2016;0,24;0,24;3;11;14;12;4
06/08/2016;0,2;0,19;4;10;15;8;3
05/08/2016;0,24;0,24;8;12;24;11;3
04/08/2016;0,21;0,22;5;15;22;;4
03/08/2016;0,2;0,2;6;16;24;22;6
02/08/2016;0,21;0,2;7;16;26;11;5
01/08/2016;0,23;0,23;3;12;17;9;4
31/07/2016;0,18;0,19;1;10;11;;3
30/07/2016;0,21;0,21;2;10;12;16;2
29/07/2016;0,22;0,22;6;14;24;15;3
28/07/2016;0,24;0,23;6;17;26;13;3
27/07/2016;0,21;0,21;3;10;13;10;2
26/07/2016;0,23;0,23;6;14;23;;2
25/07/2016;0,19;0,19;3;11;15;11;3
24/07/2016;0,18;0,18;1;10;12;9;3
23/07/2016;0,19;0,19;1;8;10;8;2
22/07/2016;0,19;0,19;2;11;14;9;3
21/07/2016;0,23;0,23;5;18;24;18;4
20/07/2016;0,22;0,24;2;15;17;28;3
19/07/2016;0,24;0,23;2;20;22;27;5
18/07/2016;0,29;0,31;6;39;47;27;6
17/07/2016;0,27;0,25;3;24;28;22;8
16/07/2016;0,22;0,21;4;19;24;16;6
15/07/2016;0,2;0,19;9;18;31;14;6
14/07/2016;0,2;0,2;7;15;25;11;6
13/07/2016;0,14;0,16;2;13;17;15;7
12/07/2016;0,2;0,21;4;16;21;12;6
11/07/2016;0,24;0,22;2;15;18;23;3
10/07/2016;0,22;0,23;2;13;16;21;4
09/07/2016;0,25;0,24;2;12;15;20;3
08/07/2016;0,22;0,22;1;13;14;18;3
07/07/2016;0,27;0,26;6;18;26;25;3
06/07/2016;0,22;0,23;3;10;14;16;3
05/07/2016;0,2;0,19;2;8;12;;3
04/07/2016;0,21;0,21;2;11;13;17;3
03/07/2016;0,2;0,19;3;9;12;10;5
02/07/2016;0,2;0,2;1;10;12;8;4
01/07/2016;0,25;0,24;5;15;22;21;4
30/06/2016;0,27;0,27;7;15;25;18;5
29/06/2016;0,22;0,21;5;18;25;17;5
28/06/2016;0,21;0,21;7;13;23;11;6
27/06/2016;0,21;0,2;6;13;21;13;5
26/06/2016;0,22;0,21;2;9;12;8;4
25/06/2016;0,18;0,18;1;6;7;9;3
24/06/2016;0,19;0,19;1;8;10;11;3
23/06/2016;0,31;0,32;8;15;26;32;2
22/06/2016;0,4;0,4;11;21;37;32;2
21/06/2016;0,27;0,26;14;28;49;29;10
20/06/2016;0,2;0,2;9;20;33;10;7
19/06/2016;0,16;0,16;2;10;12;7;2
18/06/2016;0,17;0,16;2;11;13;7;3
17/06/2016;0,18;0,19;4;18;24;14;5
16/06/2016;0,13;0,13;3;12;16;11;6
15/06/2016;0,2;0,19;6;17;26;;3
14/06/2016;0,19;0,2;3;13;17;18;4
13/06/2016;0,2;0,2;4;12;17;15;3
12/06/2016;0,19;0,18;4;20;26;13;9
11/06/2016;0,17;0,17;2;13;15;12;4
10/06/2016;0,2;0,21;2;14;17;14;3
09/06/2016;0,31;0,31;8;26;37;33;3
08/06/2016;0,34;0,34;9;27;40;29;5
07/06/2016;0,28;0,27;10;26;41;25;8
06/06/2016;0,3;0,3;12;27;45;24;5
05/06/2016;0,25;0,26;2;15;17;14;4
04/06/2016;0,27;0,26;1;14;16;14;4
03/06/2016;0,27;0,27;6;24;32;17;6
02/06/2016;0,27;0,26;4;22;27;15;7
01/06/2016;0,24;0,24;2;14;16;18;7
31/05/2016;0,2;0,2;2;10;12;22;5
30/05/2016;0,2;0,19;3;15;19;8;5
29/05/2016;0,18;0,19;1;12;13;6;6
28/05/2016;0,22;0,21;2;12;13;13;4
27/05/2016;0,29;0,29;7;22;33;18;6
26/05/2016;0,24;0,24;5;20;27;12;5
25/05/2016;0,31;0,34;13;25;45;17;7
24/05/2016;0,29;0,25;8;29;41;16;10
23/05/2016;0,19;0,19;6;17;25;12;7
22/05/2016;0,19;0,2;1;10;11;12;6
21/05/2016;0,24;0,25;3;20;24;16;8
20/05/2016;0,25;0,23;9;32;45;15;7
19/05/2016;0,2;0,2;2;17;19;16;6
18/05/2016;0,21;0,21;4;21;27;18;8
17/05/2016;0,2;0,2;5;20;26;15;7
16/05/2016;0,31;0,31;2;17;21;16;4
15/05/2016;0,19;0,18;1;8;9;13;4
14/05/2016;0,2;0,19;1;10;12;7;5
13/05/2016;0,19;0,19;5;20;27;9;7
12/05/2016;0,21;0,21;8;29;41;12;7
11/05/2016;0,19;0,18;2;16;19;9;5
10/05/2016;0,18;0,19;3;16;19;6;5
09/05/2016;0,22;0,23;5;28;35;7;5
08/05/2016;0,21;0,2;1;10;12;5;4
07/05/2016;0,19;0,19;2;19;22;13;5
06/05/2016;0,2;0,21;3;28;32;15;7
05/05/2016;0,4;0,41;11;46;62;30;11
04/05/2016;0,29;0,3;13;38;57;20;10
03/05/2016;0,28;0,25;9;22;35;11;8
02/05/2016;0,23;0,23;8;23;36;9;7
01/05/2016;0,18;0,18;2;12;15;8;5
30/04/2016;0,18;0,18;2;10;12;9;6
29/04/2016;0,22;0,22;6;22;30;8;7
28/04/2016;0,23;0,22;7;24;35;8;5
27/04/2016;0,26;0,28;3;17;21;12;6
26/04/2016;0,23;0,23;7;19;27;11;7
25/04/2016;0,22;0,21;;;20;9;6
24/04/2016;0,17;0,17;;;5;6;4
23/04/2016;0,25;0,25;;;21;11;7
22/04/2016;0,31;0,32;;;45;17;10
21/04/2016;0,25;0,24;;;26;11;6
20/04/2016;0,25;0,26;;;24;9;6
19/04/2016;0,27;0,26;;;47;17;10
18/04/2016;0,23;0,23;;;15;7;4
17/04/2016;0,2;0,2;;;;5;5
16/04/2016;0,22;0,21;;;;8;5
15/04/2016;0,48;0,49;;;;14;5
14/04/2016;0,21;0,21;;;;7;5
13/04/2016;0,2;0,19;;;;4;4
12/04/2016;0,23;0,24;;;;8;5
11/04/2016;0,26;0,25;;;;5;5
10/04/2016;0,23;0,25;;;;9;6
09/04/2016;0,26;0,25;;;;9;7
08/04/2016;0,22;0,23;;;;12;7
07/04/2016;0,23;0,21;;;;13;5
06/04/2016;0,26;0,27;;;;11;7
05/04/2016;0,26;0,27;;;;15;5
04/04/2016;0,28;0,27;;;;7;5
03/04/2016;0,23;0,23;;;;4;4
02/04/2016;0,24;0,25;;;;9;7
01/04/2016;0,25;0,23;;;;12;5
31/03/2016;0,18;0,19;;;;9;4
30/03/2016;0,27;0,29;7;32;42;14;8
