Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);SH2 (µg/m3);SO2 (µg/m3)
31/12/2016;3;10;16;39;32;9;1;5
30/12/2016;10;25;41;10;11;17;2;11
29/12/2016;11;20;37;15;15;20;2;14
28/12/2016;4;13;19;32;35;13;1;5
27/12/2016;5;19;27;31;37;10;1;4
26/12/2016;13;21;41;16;12;15;2;4
25/12/2016;4;13;20;16;17;7;1;3
24/12/2016;4;12;17;26;30;12;1;4
23/12/2016;4;11;16;26;27;13;1;4
22/12/2016;3;8;12;31;32;8;1;4
21/12/2016;3;14;18;47;46;8;1;4
20/12/2016;4;17;23;36;36;8;1;4
19/12/2016;6;15;24;33;29;13;1;4
18/12/2016;4;14;19;23;24;12;1;4
17/12/2016;3;11;15;26;27;14;1;4
16/12/2016;5;14;22;32;37;14;1;4
15/12/2016;3;9;13;41;39;8;1;3
14/12/2016;3;10;14;46;48;10;1;3
13/12/2016;6;17;25;33;29;13;1;6
12/12/2016;13;32;51;25;27;21;1;7
11/12/2016;3;25;30;30;30;19;1;8
10/12/2016;2;13;15;56;58;9;1;6
09/12/2016;2;8;10;57;56;9;1;5
08/12/2016;1;4;6;49;49;7;1;3
07/12/2016;8;18;30;30;25;13;1;7
06/12/2016;3;14;19;43;51;11;1;4
05/12/2016;1;5;8;72;74;10;1;3
04/12/2016;1;3;5;64;60;8;1;3
03/12/2016;7;15;26;33;26;9;1;4
02/12/2016;8;18;30;34;42;12;1;4
01/12/2016;1;6;9;56;57;9;1;3
30/11/2016;2;7;10;54;50;11;1;3
29/11/2016;7;16;26;26;28;15;1;4
28/11/2016;6;13;23;36;40;12;1;4
27/11/2016;4;9;16;54;49;10;1;4
26/11/2016;5;12;19;47;49;7;1;4
25/11/2016;3;8;12;47;46;6;1;3
24/11/2016;3;9;14;57;63;6;1;3
23/11/2016;6;13;22;61;57;4;1;5
22/11/2016;7;13;23;43;42;10;1;3
21/11/2016;3;6;11;70;72;8;1;3
20/11/2016;3;4;7;61;65;4;1;2
19/11/2016;1;3;6;71;69;8;1;3
18/11/2016;10;16;31;37;;19;1;7
17/11/2016;15;25;48;10;13;17;2;14
16/11/2016;11;23;39;17;19;14;1;7
15/11/2016;4;17;23;33;36;12;1;5
14/11/2016;4;15;20;57;63;12;1;9
13/11/2016;2;9;13;73;65;7;1;3
12/11/2016;4;9;14;34;37;8;1;3
11/11/2016;3;14;18;62;67;11;1;4
10/11/2016;2;11;13;66;65;7;1;3
09/11/2016;2;9;12;67;68;9;1;3
08/11/2016;2;9;12;60;60;4;1;2
07/11/2016;2;8;11;64;67;3;1;2
06/11/2016;1;5;7;70;69;3;1;2
05/11/2016;2;11;13;60;62;5;1;3
04/11/2016;16;22;47;31;31;22;2;10
03/11/2016;18;33;60;17;21;27;2;14
02/11/2016;10;28;43;34;34;21;1;13
01/11/2016;3;12;17;53;53;15;1;5
31/10/2016;21;28;61;16;14;20;3;8
30/10/2016;18;28;55;14;14;20;2;14
29/10/2016;18;31;58;12;13;22;3;9
28/10/2016;27;29;69;16;18;22;2;16
27/10/2016;8;19;31;32;37;15;1;4
26/10/2016;7;19;30;30;26;15;1;5
25/10/2016;9;22;35;30;34;14;1;4
24/10/2016;2;11;13;61;63;6;1;2
23/10/2016;1;10;12;58;57;5;1;2
22/10/2016;1;12;14;51;48;12;1;3
21/10/2016;7;19;30;40;35;10;1;4
20/10/2016;10;20;36;37;36;13;1;3
19/10/2016;5;16;23;35;35;10;1;4
18/10/2016;4;14;21;38;41;9;1;4
17/10/2016;5;17;25;46;45;13;1;7
16/10/2016;1;11;13;62;66;9;1;3
15/10/2016;1;9;11;67;64;9;1;2
14/10/2016;2;13;16;70;73;11;1;3
13/10/2016;4;17;22;50;48;9;1;2
12/10/2016;2;16;18;56;59;17;1;3
11/10/2016;6;24;32;43;45;14;1;3
10/10/2016;3;15;19;51;55;11;1;4
09/10/2016;1;10;13;57;58;9;1;8
08/10/2016;2;11;14;52;52;10;1;6
07/10/2016;4;14;21;47;46;14;1;5
06/10/2016;2;14;18;47;47;10;1;4
05/10/2016;2;15;18;48;52;11;1;3
04/10/2016;6;14;24;50;44;21;1;4
03/10/2016;12;24;42;32;35;21;1;4
02/10/2016;2;11;13;51;51;9;1;3
01/10/2016;1;10;12;56;57;8;1;2
30/09/2016;5;18;25;51;48;23;1;4
29/09/2016;1;11;13;62;62;20;1;3
28/09/2016;7;14;24;32;30;9;1;4
27/09/2016;8;16;29;27;26;14;1;4
26/09/2016;5;15;23;39;40;16;1;4
25/09/2016;1;9;10;61;65;11;1;3
24/09/2016;2;13;16;63;66;22;1;3
23/09/2016;5;17;25;41;45;15;1;3
22/09/2016;3;16;21;52;51;15;1;3
21/09/2016;9;18;32;38;35;15;1;3
20/09/2016;5;15;22;39;43;9;1;2
19/09/2016;3;12;17;45;48;10;1;3
18/09/2016;1;9;11;50;53;9;1;2
17/09/2016;1;9;11;51;52;9;1;3
16/09/2016;2;13;16;52;54;9;2;3
15/09/2016;1;6;6;56;52;8;2;2
14/09/2016;1;11;12;50;57;7;2;2
13/09/2016;5;20;28;49;47;17;3;4
12/09/2016;1;17;18;72;73;25;3;4
11/09/2016;2;15;18;57;57;18;3;4
10/09/2016;2;17;20;51;50;17;3;8
09/09/2016;3;16;22;41;40;16;3;5
08/09/2016;2;13;16;41;47;11;3;3
07/09/2016;8;27;39;55;49;35;4;7
06/09/2016;6;25;35;42;42;24;3;7
05/09/2016;5;17;24;32;;18;3;7
04/09/2016;2;14;17;45;47;16;3;6
03/09/2016;2;15;18;55;56;16;3;8
02/09/2016;2;13;16;49;50;11;3;4
01/09/2016;1;9;11;57;61;11;3;3
31/08/2016;1;9;10;59;62;10;3;3
30/08/2016;1;10;11;48;46;8;3;3
29/08/2016;1;7;9;41;41;7;3;3
28/08/2016;0;6;6;53;59;11;4;3
27/08/2016;1;8;9;74;77;19;4;3
26/08/2016;1;9;11;61;68;18;4;3
25/08/2016;4;18;24;64;67;32;8;5
24/08/2016;2;12;16;52;54;29;4;6
23/08/2016;1;15;17;66;71;27;4;8
22/08/2016;5;20;28;54;51;19;4;6
21/08/2016;0;7;7;53;55;12;3;6
20/08/2016;0;7;7;58;58;14;3;4
19/08/2016;1;11;12;53;52;14;4;5
18/08/2016;1;8;9;56;60;11;3;5
17/08/2016;0;9;10;88;91;27;3;4
16/08/2016;1;13;14;76;73;23;4;5
15/08/2016;1;13;15;66;64;16;4;7
14/08/2016;2;16;19;71;74;22;4;8
13/08/2016;3;19;23;69;67;22;4;9
12/08/2016;2;16;19;55;56;15;3;7
11/08/2016;0;7;8;62;64;13;2;7
10/08/2016;0;6;7;62;63;16;3;6
09/08/2016;1;8;10;54;53;11;3;9
08/08/2016;2;10;12;48;53;10;3;5
07/08/2016;1;7;9;57;53;10;3;6
06/08/2016;2;7;10;33;32;7;3;12
05/08/2016;2;6;10;36;41;8;2;4
04/08/2016;1;8;10;49;48;9;3;4
03/08/2016;3;13;17;53;57;13;3;10
02/08/2016;3;13;18;48;52;11;2;8
01/08/2016;1;6;7;48;51;7;2;5
31/07/2016;0;5;5;49;47;4;3;4
30/07/2016;0;7;8;40;43;7;3;4
29/07/2016;1;9;12;44;42;9;3;5
28/07/2016;1;9;10;41;42;8;2;5
27/07/2016;1;6;7;50;49;9;3;3
26/07/2016;1;9;11;37;;8;3;3
25/07/2016;1;8;9;45;45;7;3;4
24/07/2016;1;7;8;43;43;6;3;4
23/07/2016;0;5;6;49;51;9;2;3
22/07/2016;1;7;8;46;47;8;3;4
21/07/2016;1;11;12;55;57;14;3;4
20/07/2016;0;10;11;67;70;26;3;5
19/07/2016;1;10;11;105;108;26;3;7
18/07/2016;0;14;15;96;95;25;3;6
