Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);SH2 (µg/m3);SO2 (µg/m3)
31/12/2020;1;3;6;64;61;3;1;3
30/12/2020;1;3;5;71;75;3;1;3
29/12/2020;1;2;4;75;75;3;1;3
28/12/2020;1;2;4;78;78;5;1;3
27/12/2020;1;1;3;65;61;3;1;3
26/12/2020;1;5;7;62;66;4;1;4
25/12/2020;1;6;8;73;72;9;1;8
24/12/2020;1;3;5;71;72;8;1;3
23/12/2020;1;5;8;63;60;5;1;3
22/12/2020;1;1;3;54;54;2;1;3
21/12/2020;1;1;4;54;56;3;1;3
20/12/2020;1;2;4;51;49;4;1;3
19/12/2020;2;4;7;54;57;4;1;3
18/12/2020;1;2;4;66;65;3;1;3
17/12/2020;1;3;5;61;60;2;1;3
16/12/2020;1;4;7;69;71;5;1;3
15/12/2020;1;3;6;67;67;2;1;3
14/12/2020;1;5;7;55;53;4;1;3
13/12/2020;1;2;4;53;52;3;1;3
12/12/2020;1;3;6;67;72;8;1;3
11/12/2020;1;4;6;70;67;9;1;3
10/12/2020;1;4;6;70;69;10;1;3
09/12/2020;1;4;6;59;62;4;1;3
08/12/2020;1;2;4;69;72;4;1;3
07/12/2020;1;2;4;77;73;5;1;2
06/12/2020;1;2;4;69;71;2;1;2
05/12/2020;1;2;3;68;66;3;1;2
04/12/2020;1;3;6;70;71;3;1;2
03/12/2020;1;3;6;63;61;5;1;
02/12/2020;2;7;10;57;;14;1;
01/12/2020;1;5;7;44;37;9;1;4
30/11/2020;8;14;27;20;20;18;1;5
29/11/2020;1;4;5;50;53;5;1;2
28/11/2020;2;10;13;36;35;11;1;3
27/11/2020;1;5;7;58;63;9;1;2
26/11/2020;1;4;6;67;69;11;1;2
25/11/2020;1;4;5;66;65;14;1;2
24/11/2020;1;7;8;52;44;16;1;3
23/11/2020;6;14;23;23;24;14;1;3
22/11/2020;1;7;9;41;41;14;1;4
21/11/2020;2;8;12;29;31;11;1;3
20/11/2020;1;6;9;43;47;11;1;3
19/11/2020;1;8;10;56;50;11;2;3
18/11/2020;2;11;14;47;55;15;2;3
17/11/2020;11;18;36;34;27;12;2;4
16/11/2020;2;9;11;53;63;17;2;3
15/11/2020;1;2;4;66;63;6;2;3
14/11/2020;1;3;5;65;62;10;2;3
13/11/2020;1;7;9;48;49;9;2;3
12/11/2020;2;8;11;54;55;10;2;4
11/11/2020;1;3;5;61;53;4;2;3
10/11/2020;3;12;16;37;40;10;2;4
09/11/2020;1;7;9;62;66;9;2;5
08/11/2020;1;2;4;65;66;5;2;3
07/11/2020;1;4;6;59;58;14;2;3
06/11/2020;1;4;6;61;56;47;2;3
05/11/2020;4;13;19;37;39;17;2;5
04/11/2020;2;9;12;49;48;11;2;6
03/11/2020;1;5;8;64;68;8;2;4
02/11/2020;1;3;6;58;52;9;2;3
01/11/2020;1;0;2;48;49;3;2;3
31/10/2020;1;4;6;55;48;6;2;3
30/10/2020;3;15;20;30;30;18;2;5
29/10/2020;2;11;15;37;40;17;2;4
28/10/2020;1;6;8;45;48;9;2;3
27/10/2020;1;2;4;53;53;5;1;2
26/10/2020;1;4;6;60;59;8;1;3
25/10/2020;1;3;5;58;60;5;1;3
24/10/2020;1;2;4;55;51;3;2;2
23/10/2020;1;6;8;45;46;7;2;3
22/10/2020;1;4;7;51;49;5;1;2
21/10/2020;1;4;6;61;65;5;1;2
20/10/2020;1;3;5;63;64;14;1;3
19/10/2020;1;6;8;67;56;17;1;3
18/10/2020;4;19;25;26;26;16;2;9
17/10/2020;4;14;20;26;26;13;2;5
16/10/2020;3;10;15;34;41;7;2;3
15/10/2020;1;5;8;49;49;5;2;3
