Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3)
04/06/2020;1;5;7;10
03/06/2020;2;9;12;24
02/06/2020;2;11;14;27
01/06/2020;2;13;17;22
31/05/2020;1;11;13;21
30/05/2020;1;10;12;17
29/05/2020;2;14;18;20
28/05/2020;1;10;12;14
27/05/2020;2;14;18;16
26/05/2020;2;12;16;15
25/05/2020;2;10;13;14
24/05/2020;1;6;8;10
23/05/2020;1;5;7;7
22/05/2020;2;10;14;14
21/05/2020;2;15;19;22
20/05/2020;2;12;14;13
19/05/2020;2;10;13;13
18/05/2020;2;8;10;14
17/05/2020;1;6;8;14
16/05/2020;1;6;7;18
15/05/2020;1;8;10;16
14/05/2020;2;8;10;8
13/05/2020;2;8;11;9
12/05/2020;2;8;11;14
11/05/2020;1;6;8;9
10/05/2020;1;4;6;7
09/05/2020;1;5;7;13
08/05/2020;2;10;13;15
07/05/2020;3;19;23;23
06/05/2020;3;13;17;17
05/05/2020;1;7;10;11
04/05/2020;1;6;8;15
03/05/2020;2;4;7;8
02/05/2020;2;5;7;7
01/05/2020;1;4;7;6
30/04/2020;1;5;7;7
29/04/2020;1;4;7;6
28/04/2020;2;7;10;8
27/04/2020;2;8;11;12
26/04/2020;1;4;6;16
25/04/2020;2;8;10;22
24/04/2020;6;19;27;19
23/04/2020;2;9;12;13
22/04/2020;1;7;9;11
21/04/2020;1;7;10;10
20/04/2020;2;6;9;8
19/04/2020;1;4;6;8
18/04/2020;1;5;7;6
17/04/2020;1;4;6;5
16/04/2020;2;5;8;5
15/04/2020;2;8;12;8
14/04/2020;2;7;10;14
13/04/2020;1;5;7;12
12/04/2020;1;5;7;11
11/04/2020;2;7;10;10
10/04/2020;1;6;8;10
09/04/2020;1;4;5;10
08/04/2020;3;10;13;11
07/04/2020;1;6;8;8
06/04/2020;1;9;11;8
05/04/2020;1;3;4;7
04/04/2020;1;5;7;9
03/04/2020;1;8;10;14
02/04/2020;2;8;11;12
01/04/2020;2;9;13;5
31/03/2020;2;11;13;7
30/03/2020;1;7;8;8
29/03/2020;1;5;7;19
28/03/2020;1;7;8;17
27/03/2020;1;9;11;19
26/03/2020;1;7;8;18
25/03/2020;2;8;11;19
24/03/2020;2;10;13;18
23/03/2020;2;11;14;20
22/03/2020;2;8;10;26
21/03/2020;1;4;6;24
20/03/2020;1;4;6;16
19/03/2020;3;18;22;26
18/03/2020;6;22;30;21
17/03/2020;4;21;27;13
16/03/2020;1;8;10;6
15/03/2020;1;6;8;11
14/03/2020;2;9;12;14
13/03/2020;2;10;13;14
12/03/2020;3;19;23;17
11/03/2020;5;21;29;20
10/03/2020;5;17;23;23
09/03/2020;2;9;11;15
08/03/2020;2;6;9;11
07/03/2020;2;8;11;15
06/03/2020;1;4;5;10
05/03/2020;1;5;6;6
04/03/2020;4;16;22;13
03/03/2020;1;6;7;10
02/03/2020;1;3;5;6
01/03/2020;1;7;9;12
29/02/2020;2;8;10;55
28/02/2020;4;12;17;52
27/02/2020;2;11;13;25
26/02/2020;1;8;10;7
25/02/2020;2;12;15;22
24/02/2020;6;23;32;52
23/02/2020;3;17;21;26
22/02/2020;3;17;21;19
21/02/2020;3;16;21;16
20/02/2020;4;18;25;14
19/02/2020;3;15;20;11
18/02/2020;2;11;14;12
17/02/2020;1;9;11;8
16/02/2020;1;2;4;7
15/02/2020;1;4;6;7
14/02/2020;4;13;20;19
13/02/2020;2;12;15;13
12/02/2020;4;17;23;11
11/02/2020;2;16;19;27
10/02/2020;9;21;34;17
09/02/2020;1;4;5;5
08/02/2020;3;17;22;16
07/02/2020;3;16;20;16
06/02/2020;2;14;17;12
05/02/2020;4;17;23;
04/02/2020;2;16;18;19
03/02/2020;3;17;22;37
02/02/2020;1;3;4;5
01/02/2020;6;17;25;9
31/01/2020;2;5;8;2
30/01/2020;1;4;6;4
29/01/2020;3;13;17;11
28/01/2020;2;16;20;15
27/01/2020;1;5;7;5
26/01/2020;1;6;8;9
25/01/2020;2;14;17;20
24/01/2020;2;9;11;27
23/01/2020;4;17;22;
22/01/2020;23;36;72;21
21/01/2020;15;29;53;15
20/01/2020;2;15;18;16
19/01/2020;1;5;7;12
18/01/2020;1;11;13;7
17/01/2020;2;14;17;9
16/01/2020;1;5;7;9
15/01/2020;2;14;17;12
14/01/2020;1;4;6;6
13/01/2020;2;8;10;5
12/01/2020;5;14;21;10
11/01/2020;4;13;18;10
10/01/2020;3;19;23;15
09/01/2020;2;9;12;8
08/01/2020;16;26;50;14
07/01/2020;15;19;42;14
06/01/2020;6;18;28;12
05/01/2020;5;16;24;11
04/01/2020;5;19;26;9
03/01/2020;5;19;26;15
02/01/2020;20;26;56;20
01/01/2020;6;15;23;29
