Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2020;0;7;8;2;2;7
30/12/2020;1;8;9;4;2;8
29/12/2020;1;8;10;4;2;9
28/12/2020;1;8;9;6;3;10
27/12/2020;0;5;6;4;4;5
26/12/2020;1;15;17;6;5;6
25/12/2020;0;4;4;8;2;5
24/12/2020;1;6;8;8;3;7
23/12/2020;2;12;16;6;4;5
22/12/2020;3;11;16;4;3;5
21/12/2020;6;13;23;4;3;5
20/12/2020;3;13;18;8;8;5
19/12/2020;1;11;13;5;5;5
18/12/2020;3;12;16;5;4;5
17/12/2020;15;27;51;11;10;6
16/12/2020;2;12;15;5;3;5
15/12/2020;2;12;15;4;2;5
14/12/2020;2;13;17;5;3;5
13/12/2020;1;8;10;5;4;5
12/12/2020;1;10;12;11;6;5
11/12/2020;2;9;12;11;5;5
10/12/2020;4;16;22;12;6;5
09/12/2020;2;12;16;6;4;8
08/12/2020;0;6;7;5;2;9
07/12/2020;1;8;10;6;4;7
06/12/2020;0;6;6;3;1;9
05/12/2020;0;6;7;3;1;10
04/12/2020;1;9;11;4;1;9
03/12/2020;3;15;20;8;6;5
02/12/2020;4;18;24;10;5;6
01/12/2020;19;18;47;14;11;9
30/11/2020;59;28;119;26;17;7
29/11/2020;2;19;21;9;7;6
28/11/2020;5;29;37;15;15;8
27/11/2020;9;37;51;20;17;6
26/11/2020;2;22;26;16;13;5
25/11/2020;2;19;23;18;17;5
24/11/2020;6;28;38;21;22;7
23/11/2020;29;37;81;24;21;7
22/11/2020;3;18;22;17;16;9
21/11/2020;8;25;37;18;17;6
20/11/2020;14;23;45;17;11;6
19/11/2020;5;22;29;14;8;5
18/11/2020;4;22;29;14;10;5
17/11/2020;18;27;54;17;15;7
16/11/2020;7;23;34;21;9;5
15/11/2020;0;4;5;6;;4
14/11/2020;0;7;8;11;9;5
13/11/2020;6;21;31;12;11;6
12/11/2020;9;25;39;17;16;8
11/11/2020;2;14;17;8;7;5
