Date;Benceno (µg/m3);CO (mg/m3);CO 8h (mg/m3);Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
31/12/2020;0,3;0,18;0,19;0,06;1;19;21;0,26;5;4;6;0,45
30/12/2020;0,3;0,2;0,18;0,06;5;29;37;0,27;4;3;6;0,52
29/12/2020;0,25;0,17;0,17;0,04;2;20;23;0,17;3;1;5;0,35
28/12/2020;0,21;0,23;0,24;0,02;1;13;15;0,13;4;2;6;0,27
27/12/2020;0,27;0,18;0,18;0,04;1;17;18;0,21;4;3;9;0,42
26/12/2020;0,32;0,25;0,23;0,08;4;28;33;0,32;6;4;8;0,67
25/12/2020;0,22;0,17;0,18;0,01;0;8;8;0,09;7;3;7;0,27
24/12/2020;0,24;0,15;0,13;0,05;1;13;14;0,22;7;4;7;0,42
23/12/2020;0,23;0,17;0,18;0,16;1;14;15;0,63;6;3;8;0,97
22/12/2020;0,34;0,23;0,24;0,29;9;26;39;1,1;7;3;8;1,75
21/12/2020;0,45;0,28;0,27;0,26;8;27;38;1,04;5;3;7;1,81
20/12/2020;0,39;0,23;0,24;0,17;5;26;33;0,6;7;5;9;0,99
19/12/2020;0,32;0,25;0,24;0,19;4;25;30;0,71;6;4;8;0,96
18/12/2020;0,38;0,18;0,19;0,33;6;30;40;1,19;7;4;7;1,43
17/12/2020;0,49;0,3;0,31;0,33;19;46;74;1,21;13;8;9;2,04
16/12/2020;0,3;0,21;0,19;0,21;4;27;34;0,78;8;3;6;1,17
15/12/2020;0,3;0,24;0,25;0,28;12;34;52;0,99;8;4;6;1,44
14/12/2020;0,24;0,21;0,2;0,19;5;22;29;0,73;6;3;5;1,38
13/12/2020;0,27;0,19;0,21;0,16;2;19;22;0,57;5;3;6;1,4
12/12/2020;0,31;0,18;0,14;0,08;2;20;22;0,32;10;6;6;0,98
11/12/2020;0,25;0,22;0,23;0,16;11;21;38;0,57;12;7;9;1,1
10/12/2020;0,25;0,26;0,25;0,13;3;29;33;0,47;14;8;11;0,79
09/12/2020;0,44;0,28;0,28;0,16;14;33;53;0,62;7;4;10;1,15
08/12/2020;0,23;0,19;0,17;0,01;1;14;15;0,09;4;2;8;0,24
07/12/2020;0,24;0,18;0,21;0,05;2;19;21;0,19;5;3;9;0,38
06/12/2020;0,24;0,21;0,2;0,02;1;18;19;0,12;3;2;8;0,29
05/12/2020;0,23;0,19;0,2;0,05;1;17;18;0,2;3;2;8;0,38
04/12/2020;0,23;0,18;0,17;0,06;2;20;23;0,25;4;2;8;0,43
03/12/2020;0,42;0,23;0,26;0,27;10;32;47;0,93;11;6;11;1,14
02/12/2020;0,52;0,31;0,3;0,37;19;37;66;1,32;16;9;9;2,07
01/12/2020;0,54;0,31;0,32;0,39;21;31;63;1,36;30;21;12;2,3
30/11/2020;0,61;0,32;0,32;0,48;41;41;103;1,8;31;20;15;2,86
29/11/2020;0,52;0,28;0,27;0,35;9;37;50;1,31;14;9;11;2,45
28/11/2020;0,65;0,27;0,28;0,53;15;42;64;2,04;18;12;11;3,33
27/11/2020;0,58;0,32;0,3;0,64;24;53;89;2,47;20;11;7;3,64
26/11/2020;0,35;0,23;0,25;0,28;3;25;29;1;18;11;9;1,61
25/11/2020;0,59;0,28;0,26;0,53;8;35;47;1,89;30;22;12;2,72
24/11/2020;0,68;0,28;0,31;0,47;15;46;69;1,74;26;16;18;2,75
23/11/2020;0,86;0,39;0,39;0,52;47;46;117;2;29;18;21;3,51
22/11/2020;0,66;0,33;0,32;0,24;12;33;52;0,85;21;15;17;1,75
21/11/2020;0,51;0,24;0,21;0,23;11;30;47;0,8;22;17;15;1,63
20/11/2020;0,42;0,21;0,22;0,27;12;36;53;0,95;21;13;12;1,77
19/11/2020;0,35;0,29;0,31;0,38;8;30;42;1,33;18;11;12;2,09
18/11/2020;0,49;0,29;0,26;0,63;23;40;75;2,34;23;11;12;3,97
17/11/2020;0,61;0,27;0,27;0,56;23;42;77;1,98;21;11;15;3,49
16/11/2020;0,26;0,21;0,19;0,26;8;32;44;0,82;20;11;11;1,59
15/11/2020;0,13;0,2;0,21;0,14;0;6;7;0,54;6;4;8;0,83
14/11/2020;0,29;0,19;0,19;0,25;1;13;15;0,89;14;10;8;1,33
13/11/2020;0,51;0,23;0,23;0,59;9;30;43;1,95;16;10;10;2,81
12/11/2020;0,57;0,27;0,25;0,61;16;39;64;2,4;21;11;13;3,79
11/11/2020;0,29;0,2;0,22;0,29;8;29;40;1,38;12;7;11;3,02
10/11/2020;0,38;0,39;0,39;0,38;21;39;71;1,62;18;12;12;3,22
09/11/2020;0,08;0,24;0,21;0,11;5;29;36;0,87;13;6;9;1,92
08/11/2020;0,03;0,15;0,15;0,05;1;10;10;0,83;5;3;7;1,65
07/11/2020;0,02;0,19;0,2;0,2;1;14;16;1,06;17;7;6;1,88
06/11/2020;0,16;0,24;0,25;0,27;2;12;16;1,32;50;17;6;2,31
05/11/2020;0,5;0,26;0,24;0,32;15;31;54;1,21;19;10;9;2,67
04/11/2020;0,2;0,16;0,16;0,08;4;26;32;0,54;15;9;7;1,37
