Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);SO2 (µg/m3)
31/12/2020;1;17;17;5;2
30/12/2020;2;28;30;6;2
29/12/2020;1;13;14;4;2
28/12/2020;0;5;5;4;2
27/12/2020;0;8;8;6;2
26/12/2020;1;21;22;7;2
25/12/2020;1;10;11;9;1
24/12/2020;3;14;19;10;2
23/12/2020;1;11;12;7;2
22/12/2020;5;20;27;9;3
21/12/2020;3;20;24;10;2
20/12/2020;3;15;19;8;2
19/12/2020;1;16;18;8;2
18/12/2020;2;17;20;12;3
17/12/2020;14;34;54;16;2
16/12/2020;1;15;16;10;2
15/12/2020;10;30;45;19;2
14/12/2020;1;15;17;;2
13/12/2020;1;12;13;;2
12/12/2020;0;13;14;;2
11/12/2020;10;24;38;20;2
10/12/2020;1;22;23;21;2
09/12/2020;17;41;67;;2
08/12/2020;0;14;14;6;2
07/12/2020;1;14;15;6;2
06/12/2020;0;11;12;4;2
05/12/2020;1;17;18;5;2
04/12/2020;3;19;24;6;2
03/12/2020;5;21;29;13;3
02/12/2020;15;32;56;25;2
01/12/2020;14;27;48;28;4
30/11/2020;41;35;98;30;3
29/11/2020;3;19;24;12;3
28/11/2020;11;25;41;20;2
27/11/2020;12;41;58;27;3
26/11/2020;1;8;9;14;3
25/11/2020;2;25;30;27;3
24/11/2020;11;36;52;30;8
23/11/2020;29;34;78;38;5
22/11/2020;6;25;33;21;3
21/11/2020;9;22;35;20;3
20/11/2020;9;28;41;24;2
19/11/2020;11;24;41;24;2
18/11/2020;16;30;54;26;5
17/11/2020;19;29;58;21;4
16/11/2020;10;27;42;24;2
15/11/2020;1;5;7;9;2
14/11/2020;1;7;9;13;2
13/11/2020;4;21;27;16;4
12/11/2020;12;29;47;23;3
11/11/2020;9;20;34;15;3
10/11/2020;19;31;60;28;2
09/11/2020;5;26;33;18;2
08/11/2020;1;7;9;10;1
07/11/2020;2;13;15;18;1
06/11/2020;1;4;6;38;1
05/11/2020;16;27;51;24;2
04/11/2020;5;20;27;17;2
03/11/2020;3;24;27;12;1
02/11/2020;4;17;22;16;2
01/11/2020;1;10;12;8;2
31/10/2020;4;20;25;15;2
30/10/2020;39;35;94;42;2
29/10/2020;18;33;61;35;3
28/10/2020;9;31;44;21;2
27/10/2020;4;21;28;15;3
26/10/2020;11;30;47;18;1
25/10/2020;1;11;13;7;1
24/10/2020;5;13;20;10;2
23/10/2020;9;26;39;15;2
22/10/2020;9;32;46;19;2
21/10/2020;2;20;23;15;1
20/10/2020;1;12;13;20;1
19/10/2020;13;22;42;28;2
18/10/2020;11;28;44;19;2
17/10/2020;12;25;43;18;2
16/10/2020;21;34;66;21;2
15/10/2020;15;35;59;20;2
14/10/2020;5;26;34;13;1
13/10/2020;2;17;19;10;1
12/10/2020;2;16;18;13;1
11/10/2020;1;9;11;9;1
10/10/2020;2;13;15;12;1
09/10/2020;11;30;46;24;1
08/10/2020;12;27;46;20;1
07/10/2020;4;24;29;12;1
06/10/2020;26;31;70;27;2
05/10/2020;4;25;30;15;1
04/10/2020;1;12;14;7;1
03/10/2020;1;11;12;9;1
02/10/2020;1;8;10;7;1
01/10/2020;;;;18;1
30/09/2020;;;;26;3
29/09/2020;14;27;48;22;2
28/09/2020;10;27;42;18;2
27/09/2020;1;12;13;10;1
26/09/2020;1;13;15;9;1
25/09/2020;0;8;9;12;1
24/09/2020;2;16;18;14;1
23/09/2020;5;21;28;23;1
22/09/2020;6;22;31;25;3
21/09/2020;7;22;32;17;2
20/09/2020;1;13;15;12;2
19/09/2020;1;20;22;15;1
18/09/2020;3;20;24;23;1
17/09/2020;16;35;60;37;2
16/09/2020;11;34;50;45;2
15/09/2020;3;24;29;28;1
14/09/2020;2;27;30;27;2
13/09/2020;4;25;31;19;2
12/09/2020;5;17;24;18;1
11/09/2020;6;23;32;21;2
10/09/2020;6;28;37;25;3
09/09/2020;8;28;39;24;2
08/09/2020;8;20;31;15;2
07/09/2020;3;14;19;12;1
06/09/2020;0;5;6;12;1
05/09/2020;0;6;7;11;1
04/09/2020;9;27;39;30;2
03/09/2020;6;34;43;22;4
02/09/2020;8;20;32;17;3
01/09/2020;8;23;36;16;5
31/08/2020;8;19;30;13;4
