Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
22/09/2020;0,24;0,22;6;22;31;45;48;22;14;4
21/09/2020;0,22;0,23;3;14;19;58;56;16;9;4
20/09/2020;0,17;0,17;2;13;17;49;49;14;6;4
19/09/2020;0,25;0,26;2;10;14;59;59;13;4;4
18/09/2020;0,14;0,13;;;;60;60;15;7;4
17/09/2020;0,24;0,26;;;;45;44;25;20;4
16/09/2020;0,29;0,3;;;;44;44;42;22;4
15/09/2020;0,26;0,25;;;;71;75;46;18;4
14/09/2020;0,18;0,16;;;;88;85;35;13;4
13/09/2020;0,21;0,2;;;;62;56;39;13;4
12/09/2020;0,18;0,17;2;15;14;34;33;23;10;4
11/09/2020;0,18;0,2;3;17;17;35;36;22;11;4
10/09/2020;0,28;0,31;5;19;24;48;47;34;14;4
09/09/2020;0,26;0,25;8;23;35;55;55;29;16;4
08/09/2020;0,21;0,2;8;16;28;49;45;18;9;4
07/09/2020;0,17;0,16;4;7;13;51;54;12;4;4
06/09/2020;0,15;0,15;3;1;6;64;64;25;4;4
05/09/2020;0,19;0,2;4;2;8;66;71;16;6;4
04/09/2020;0,24;0,25;6;18;27;66;62;35;18;4
03/09/2020;0,23;0,21;5;20;28;59;60;22;12;4
02/09/2020;0,21;0,2;6;11;20;55;58;14;7;4
01/09/2020;0,21;0,24;7;17;28;47;44;14;9;4
31/08/2020;0,16;0,15;4;16;22;36;36;10;5;4
30/08/2020;0,14;0,13;1;5;6;52;55;15;4;4
29/08/2020;0,17;0,17;1;3;4;36;34;12;4;4
28/08/2020;0,18;0,19;0;3;4;32;31;14;4;4
27/08/2020;0,23;0,24;5;8;15;29;28;13;10;4
26/08/2020;0,21;0,2;4;8;14;25;27;20;8;4
25/08/2020;0,2;0,19;4;10;17;42;44;15;7;4
24/08/2020;0,19;0,2;4;9;15;40;38;13;5;4
23/08/2020;0,21;0,2;3;6;12;37;37;16;5;4
22/08/2020;0,19;0,19;3;7;11;34;32;20;8;4
21/08/2020;0,18;0,18;2;7;11;;;26;7;4
20/08/2020;0,15;0,16;5;13;21;;;23;9;4
19/08/2020;0,14;0,13;5;11;19;;;11;8;4
18/08/2020;0,19;0,18;4;12;18;41;40;8;4;4
17/08/2020;0,17;0,17;4;13;18;41;41;13;7;4
16/08/2020;0,17;0,17;3;8;12;43;44;11;5;4
15/08/2020;0,19;0,19;3;5;9;48;49;11;5;4
14/08/2020;0,19;0,2;4;7;13;44;44;13;5;4
13/08/2020;0,21;0,22;2;3;6;48;45;12;3;4
12/08/2020;0,21;0,21;;;;45;45;29;10;4
11/08/2020;0,22;0,21;;;;54;58;22;13;4
10/08/2020;0,22;0,22;;;;70;68;16;10;4
09/08/2020;0,2;0,2;;;;53;52;21;10;4
08/08/2020;0,2;0,2;;;;46;46;41;13;4
07/08/2020;0,25;0,25;;;;54;59;35;15;4
06/08/2020;0,25;0,23;;;;69;69;30;15;4
05/08/2020;0,18;0,16;2;7;10;48;45;15;7;4
04/08/2020;0,15;0,15;2;9;12;29;29;10;4;4
03/08/2020;0,14;0,14;2;6;9;34;38;12;4;4
02/08/2020;0,11;0,11;1;2;4;40;38;12;3;4
01/08/2020;0,16;0,17;1;4;6;43;46;16;8;4
31/07/2020;0,21;0,22;1;4;5;65;70;34;13;4
30/07/2020;0,19;0,18;1;8;10;62;55;27;12;4
29/07/2020;0,16;0,16;0;3;2;46;47;17;4;4
28/07/2020;0,21;0,21;1;7;7;30;28;16;6;4
27/07/2020;0,21;0,2;1;6;6;31;31;15;8;4
26/07/2020;0,17;0,17;0;9;9;30;34;18;7;4
25/07/2020;0,16;0,16;1;9;8;57;59;15;9;4
24/07/2020;0,19;0,21;1;3;4;82;86;16;7;4
23/07/2020;0,18;0,19;4;3;10;82;77;25;12;4
22/07/2020;0,23;0,22;6;7;16;62;60;38;12;4
21/07/2020;0,2;0,2;6;6;16;54;52;41;11;4
20/07/2020;0,21;0,24;6;6;16;50;52;22;12;4
19/07/2020;0,27;0,25;6;8;17;59;59;49;15;4
18/07/2020;0,19;0,19;6;9;18;52;50;15;11;4
17/07/2020;0,16;0,15;5;3;10;54;55;17;5;4
16/07/2020;0,16;0,16;5;2;10;57;57;11;;4
15/07/2020;0,19;0,19;5;4;12;49;50;14;4;4
14/07/2020;0,22;0,25;10;7;22;63;66;14;6;5
13/07/2020;0,2;0,18;17;5;30;79;79;20;7;5
12/07/2020;0,22;0,24;5;7;14;63;63;20;7;4
11/07/2020;0,22;0,21;3;6;12;55;51;16;6;4
10/07/2020;0,21;0,25;4;3;8;42;43;13;4;4
09/07/2020;0,27;0,26;5;6;14;57;62;21;7;4
08/07/2020;0,21;0,19;10;13;28;60;59;30;11;5
07/07/2020;0,18;0,16;6;8;16;67;69;;9;4
06/07/2020;0,19;0,21;3;3;8;65;61;21;5;4
05/07/2020;0,2;0,19;6;10;20;68;71;16;8;5
04/07/2020;0,15;0,14;6;9;18;61;60;13;6;5
03/07/2020;0,14;0,13;4;5;12;63;63;11;3;4
02/07/2020;0,17;0,18;3;4;8;63;63;11;3;4
01/07/2020;0,24;0,26;5;9;17;59;61;15;5;4
30/06/2020;0,2;0,18;9;7;20;64;65;13;4;4
29/06/2020;0,17;0,19;4;3;9;65;61;10;3;4
28/06/2020;0,24;0,24;7;4;14;58;58;10;4;4
27/06/2020;0,22;0,21;7;9;19;62;66;11;6;4
26/06/2020;0,21;0,22;3;5;9;91;93;15;6;4
25/06/2020;0,26;0,28;3;6;10;92;90;30;13;4
24/06/2020;0,45;0,53;5;12;20;75;74;49;35;4
23/06/2020;0,37;0,28;8;14;27;72;68;40;15;5
22/06/2020;0,24;0,22;5;7;15;60;61;23;6;4
21/06/2020;0,22;0,23;5;11;18;60;58;12;6;5
20/06/2020;0,21;0,21;5;10;18;56;57;10;5;4
19/06/2020;0,21;0,2;5;10;18;49;48;13;4;5
18/06/2020;0,19;0,19;3;8;13;59;63;10;4;4
17/06/2020;0,18;0,17;2;4;7;77;77;12;4;4
16/06/2020;0,2;0,21;3;10;15;57;56;13;5;4
15/06/2020;0,28;0,27;4;13;20;58;62;14;6;4
14/06/2020;0,28;0,31;5;9;16;61;57;14;7;4
13/06/2020;0,35;0,35;4;16;23;50;51;15;6;4
12/06/2020;0,2;0,18;4;8;15;59;60;14;4;5
11/06/2020;0,29;0,29;5;13;20;46;50;15;7;5
10/06/2020;0,26;0,25;5;10;18;67;68;15;7;5
09/06/2020;0,18;0,18;3;5;9;78;78;14;5;4
08/06/2020;0,19;0,18;3;5;9;75;74;11;3;4
07/06/2020;0,16;0,16;3;3;7;75;73;13;3;4
06/06/2020;0,17;0,16;3;4;8;52;53;10;3;4
05/06/2020;0,15;0,15;3;4;8;78;82;22;5;4
04/06/2020;0,18;0,19;3;5;10;91;93;18;7;4
03/06/2020;0,26;0,27;4;4;10;81;74;19;16;4
02/06/2020;0,28;0,28;5;7;15;63;63;28;23;4
01/06/2020;0,3;0,31;5;7;15;80;79;23;16;4
31/05/2020;0,35;0,32;5;11;19;74;77;26;21;4
30/05/2020;0,34;0,33;8;12;23;79;80;24;16;4
29/05/2020;0,47;0,48;8;21;33;73;73;32;23;5
28/05/2020;0,27;0,25;11;16;32;76;70;24;15;5
27/05/2020;0,39;0,39;7;16;27;50;52;31;17;5
26/05/2020;0,29;0,27;5;10;18;59;63;28;11;4
25/05/2020;0,33;0,34;5;8;16;59;56;23;6;4
24/05/2020;0,31;0,3;3;7;11;55;55;16;6;4
23/05/2020;0,19;0,19;2;5;9;65;64;14;3;4
22/05/2020;0,23;0,24;4;5;12;53;60;15;8;4
21/05/2020;0,28;0,28;5;8;15;85;85;29;13;4
20/05/2020;0,31;0,31;6;15;23;75;71;23;;5
19/05/2020;0,34;0,34;5;15;23;65;67;19;11;4
18/05/2020;0,32;0,31;5;10;18;66;66;16;10;4
17/05/2020;0,27;0,27;4;6;12;81;88;17;8;4
16/05/2020;0,2;0,19;2;5;8;101;101;24;7;4
15/05/2020;0,19;0,19;2;4;7;90;84;21;8;4
14/05/2020;0,2;0,21;2;4;7;59;56;9;4;4
13/05/2020;0,24;0,23;2;4;8;60;61;9;5;4
12/05/2020;0,2;0,2;3;5;9;64;64;15;5;4
11/05/2020;0,2;0,2;2;3;7;76;79;11;4;4
10/05/2020;0,23;0,24;2;4;7;78;78;8;4;4
09/05/2020;0,21;0,23;3;4;10;72;72;15;9;4
08/05/2020;0,27;0,26;4;7;12;73;69;28;10;4
07/05/2020;0,24;0,22;4;8;13;63;64;23;13;4
06/05/2020;0,25;0,24;6;10;19;59;59;23;9;4
05/05/2020;0,2;0,2;5;8;16;68;68;25;5;4
04/05/2020;0,18;0,19;8;11;23;57;52;21;8;4
03/05/2020;0,25;0,25;6;10;19;31;32;18;6;4
02/05/2020;0,22;0,21;4;6;13;34;33;11;4;4
01/05/2020;0,2;0,2;3;4;8;49;53;15;3;4
