Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2020;0,18;0,18;1;15;17;5;4;2
30/12/2020;0,18;0,18;1;18;20;4;3;2
29/12/2020;0,17;0,17;1;13;14;4;2;2
28/12/2020;0,17;0,17;1;9;10;6;3;2
27/12/2020;0,14;0,14;1;5;5;5;4;2
26/12/2020;0,19;0,18;2;19;22;6;4;3
25/12/2020;0,14;0,15;1;5;6;8;3;2
24/12/2020;0,17;0,16;1;10;11;9;4;3
23/12/2020;0,16;0,17;1;11;12;8;5;3
22/12/2020;0,18;0,18;4;12;18;7;4;3
21/12/2020;0,2;0,2;1;8;10;6;3;3
20/12/2020;0,19;0,21;3;12;16;7;5;7
19/12/2020;0,23;0,21;3;15;18;7;5;4
18/12/2020;0,15;0,15;1;9;10;6;3;2
17/12/2020;0,21;0,22;9;24;37;10;6;6
16/12/2020;0,19;0,17;2;18;20;8;4;3
15/12/2020;0,16;0,17;4;17;23;9;5;3
14/12/2020;0,17;0,16;2;14;17;9;6;3
13/12/2020;0,15;0,18;1;6;7;5;4;4
12/12/2020;0,25;0,24;1;15;17;15;8;8
11/12/2020;0,22;0,21;2;14;16;16;9;8
10/12/2020;0,21;0,21;1;15;16;15;7;5
09/12/2020;0,23;0,23;6;22;31;7;4;3
08/12/2020;0,21;0,2;1;10;11;5;3;4
07/12/2020;0,17;0,18;1;11;12;6;3;4
06/12/2020;0,17;0,18;1;8;8;3;2;3
05/12/2020;0,18;0,18;1;10;10;4;3;5
04/12/2020;0,17;0,18;1;13;14;8;5;4
03/12/2020;0,18;0,18;2;15;18;9;6;5
02/12/2020;0,27;0,27;13;31;51;17;9;7
01/12/2020;0,24;0,26;9;19;32;24;17;7
30/11/2020;0,32;0,32;37;34;91;37;21;9
29/11/2020;0,24;0,23;4;23;28;14;11;11
28/11/2020;0,26;0,27;8;28;40;19;14;16
27/11/2020;0,31;0,29;16;42;66;25;13;8
26/11/2020;0,2;0,21;1;18;19;18;11;5
25/11/2020;0,23;0,23;4;26;31;26;19;7
24/11/2020;0,25;0,26;7;29;39;25;17;9
23/11/2020;0,32;0,32;26;35;75;27;19;10
22/11/2020;0,27;0,26;6;25;34;20;14;9
21/11/2020;0,25;0,23;10;23;37;21;15;8
20/11/2020;0,19;0,19;9;26;40;19;10;4
19/11/2020;0,21;0,23;3;20;24;19;9;3
18/11/2020;0,24;0,2;8;22;35;18;10;3
17/11/2020;0,24;0,26;14;28;49;19;11;7
16/11/2020;0,22;0,2;6;25;33;22;11;4
15/11/2020;0,18;0,18;0;4;4;9;6;1
14/11/2020;0,16;0,16;1;6;6;13;10;1
13/11/2020;0,19;0,19;4;19;25;16;12;6
12/11/2020;0,23;0,22;9;25;38;22;15;12
11/11/2020;0,14;0,17;2;13;15;14;9;3
10/11/2020;0,29;0,28;14;31;52;23;15;5
09/11/2020;0,18;0,17;1;17;18;13;8;3
08/11/2020;0,14;0,14;0;6;6;8;6;3
07/11/2020;0,19;0,19;1;12;13;19;10;2
06/11/2020;0,18;0,18;1;10;12;42;16;3
05/11/2020;0,21;0,2;16;27;50;23;13;4
04/11/2020;0,16;0,17;3;21;26;17;10;3
03/11/2020;0,21;0,21;3;20;24;16;10;6
02/11/2020;0,19;0,18;1;7;9;12;7;2
01/11/2020;0,16;0,16;0;3;3;8;7;2
31/10/2020;0,17;0,21;2;12;14;15;12;5
30/10/2020;0,33;0,32;28;32;74;40;24;8
29/10/2020;0,25;0,24;13;31;51;32;18;9
28/10/2020;0,22;0,24;7;27;39;20;12;3
27/10/2020;0,24;0,22;1;7;9;9;6;3
26/10/2020;0,15;0,15;2;13;15;17;9;4
25/10/2020;0,18;0,18;1;10;12;9;6;4
24/10/2020;0,15;0,16;2;9;12;11;9;4
23/10/2020;0,23;0,23;6;21;29;17;11;6
22/10/2020;0,22;0,22;6;25;33;15;10;5
21/10/2020;0,2;0,18;2;16;18;9;7;4
20/10/2020;0,2;0,2;2;13;16;22;13;5
19/10/2020;0,2;0,22;3;24;28;28;15;7
18/10/2020;0,31;0,31;9;28;42;23;16;12
